pkg_type,process_id,version,detail_id,remark,
	T,	153XT081       ,	 F,	S22000102,	A0803CB1224(KNS)                        ,
	T,	020YU001       ,	 K,	S22000102,	A0803CB0826                             ,
	T,	012Y1002       ,	 G,	S22000102,	A0803CB0938 (KNS)                       ,
	T,	345XT053       ,	 B,	S22000102,	A0801CB1285(UTC)                        ,
	T,	345XT053       ,	 B,	S22000102,	A0803CB1323(KNS)                        ,
	T,	345XT053       ,	 B,	S32000102,	A0801CB1285(UTC)                        ,
	T,	345XT053       ,	 B,	S32000102,	A0803CB1323(KNS)                        ,
	T,	345XT053       ,	 B,	S34000102,	A0801CB1285(UTC)                        ,
	T,	345XT053       ,	 B,	S34000102,	A0803CB1323(KNS)                        ,
	T,	132X2296       ,	 C,	S22000102,	A0801CB1176(UTC)                        ,
	T,	132X2296       ,	 C,	S22000102,	A0803CB1295(KNS)                        ,
	T,	020YU002       ,	 J,	S22000102,	A0803CB0826 (KNS)                       ,
	T,	020YU006       ,	 G,	S22000102,	A0803CB0826 (KNS)                       ,
	T,	010YK024       ,	 G,	S22000102,	A0803CB0784(KNS)                        ,
	T,	008YK046       ,	 F,	S22000102,	A0803CB1315(KNS)                        ,
	T,	132X2341       ,	 A,	S22000102,	A0801CB1176(UTC)                        ,
	T,	132X2341       ,	 A,	S22000102,	A0803CB1295(KNS)                        ,
	T,	132X2341       ,	 A,	S32000102,	A0801CB1176(UTC)                        ,
	T,	132X2341       ,	 A,	S32000102,	A0803CB1295(KNS)                        ,
	T,	012DN020       ,	 E,	S22000102,	A0801CB0727(UTC)                        ,
	T,	012DN020       ,	 E,	S22000102,	A0803CB0727(KNS)                        ,
	T,	010YK031       ,	 D,	S22000102,	A0803CB1315(KNS)                        ,
	T,	048TP199       ,	 J,	S22000102,	A0801CB1000(UTC)                        ,
	T,	048TP199       ,	 J,	S22000102,	A0803CB1000(KNS)                        ,
	T,	008Y6089       ,	 E,	S22000102,	A0803CB0926(KNS)                        ,
	T,	096EF064       ,	 B,	S22000102,	A0801CB1366 (UTC)                       ,
	T,	096EF064       ,	 B,	S22000102,	A0803CB1366 (KNS)                       ,
	T,	096EF064       ,	 B,	S32000102,	A0801CB1366 (UTC)                       ,
	T,	096EF064       ,	 B,	S32000102,	A0803CB1366 (KNS)                       ,
	T,	0086A137       ,	 F,	S22000102,	A0803CB1212(KNS)                        ,
	T,	0086A139       ,	 E,	S22000102,	A0803CB1212(KNS)                        ,
	T,	0282J028       ,	 B,	S22000102,	A0803CB0991(KNS)                        ,
	T,	0086A138       ,	 E,	S22000102,	A0803CB1212(KNS)                        ,
	T,	0086A171       ,	 B,	S22000102,	A0803CB1212(KNS)                        ,
	T,	0086A099       ,	 C,	S22000102,	A0803CB1212(KNS)                        ,
	T,	0086A148       ,	 E,	S22000102,	A0803CB1212(KNS)                        ,
	T,	048TV158       ,	 G,	S22000102,	A0801CB0649                             ,
	T,	078EP007       ,	 C,	S22000102,	A0801CB1264(UTC)                        ,
	T,	078EP007       ,	 C,	S22000102,	A0803CB1264(KNS)                        ,
	T,	054TS017       ,	 F,	S22000102,	A0801CB0777                             ,
	T,	060CA010       ,	 I,	S22000102,	A0801CB0802 (UTC)                       ,
	T,	060CA010       ,	 I,	S22000102,	A0803CB0802 (KNS)                       ,
	T,	048XJ018       ,	 C,	S22000102,	A0801CB0248                             ,
	T,	048XJ018       ,	 C,	S32000102,	A0801CB0248(UTC)                        ,
	T,	048TV155       ,	 G,	S22000102,	A0801CB0652                             ,
	T,	078EP009       ,	 A,	S22000102,	A0801CB1264(UTC)                        ,
	T,	078EP009       ,	 A,	S22000102,	A0803CB1264(KNS)                        ,
	T,	064RK002       ,	 G,	S22000102,	A0801CB0890                             ,
	T,	0086B019       ,	 F,	S22000102,	A0803CB1212(KNS)                        ,
