OPER, CUST, PRODUCT ID, PACKAGE ID, B/D#, PIN PKG, MODEL, G.UPH, N.UPH
2200,EMC,000SHQ307,SUBMATSHQ307,AHQ0282D3001A,SMT,,0.0000,0.0000
2200,EMC,000SHQ307,SUBMATSHQ307,AHQ0282D3001A,SMT,,0.0000,0.0000
2200,EMC,000SHQ307,SUBMATSHQ307,AHQ0282D3001A,SMT,,0.0000,0.0000
2200,EMC,000SHQ307,SUBMATSHQ307,AHQ0282D3001A,SMT,,0.0000,0.0000
2200,EMC,000SHQ307,SUBMATSHQ307,AHQ0282D3001A,SMT,,0.0000,0.0000
2200,EMC,000SHQ307,SUBMATSHQ307,AHQ0282D3001A,SMT,,0.0000,0.0000
2200,EMC,000SHQ307,SUBMATSHQ307,AHQ0282D3001A,SMT,,0.0000,0.0000
2200,PHISON,000SNV149,,TDANV153XT8028A-A,SMT,,0.0000,0.0000
2200,PHISON,000SNV149,,TDANV153XT8028A-A,SMT,,0.0000,0.0000
2200,PHISON,000SNV149,,TDANV153XT8028A-A,SMT,,0.0000,0.0000
2200,PHISON,000SNV149,,TDANV153XT8028A-A,SMT,,0.0000,0.0000
2200,PHISON,000SNV149,,TDANV153XT8028A-A,SMT,,0.0000,0.0000
2200,PHISON,000SNV149,,TDANV153XT8028A-A,SMT,,0.0000,0.0000
2200,PHISON,000SNV149,,TDANV153XT8028A-A,SMT,,0.0000,0.0000
2200,PHISON,000SNV294,SUBMATSNV294,ANV0086A1032A,SMT,ICONN-PLUS,100.1652,88.9717
2200,PHISON,000SNV294,SUBMATSNV294,ANV0086A1032A,SMT,MAXUM-PLUS,0.0000,0.0000
2200,PHISON,000SNV294,SUBMATSNV294,ANV0086A1032A,SMT,RAPID,97.5593,86.6571
2200,PHISON,000SNV294,SUBMATSNV294,ANV0086A1032A,SMT,MAXUM-CU,0.0000,0.0000
2200,PHISON,000SNV294,SUBMATSNV294,ANV0086A1032A,SMT,ICONN,0.0000,0.0000
2200,PHISON,000SNV294,SUBMATSNV294,ANV0086A1032A,SMT,MAXUM-BASE,0.0000,0.0000
2200,PHISON,000SNV294,SUBMATSNV294,ANV0086A1032A,SMT,MAXUM,0.0000,0.0000
2200,PHISON,000SNV295,SUBMATSNV295,ANV0086A1065A,SMT,ICONN-PLUS,0.0000,0.0000
2200,PHISON,000SNV295,SUBMATSNV295,ANV0086A1065A,SMT,MAXUM-PLUS,108.1061,96.0252
2200,PHISON,000SNV295,SUBMATSNV295,ANV0086A1065A,SMT,MAXUM-CU,0.0000,0.0000
2200,PHISON,000SNV295,SUBMATSNV295,ANV0086A1065A,SMT,MAXUM-BASE,0.0000,0.0000
2200,PHISON,000SNV295,SUBMATSNV295,ANV0086A1065A,SMT,MAXUM,0.0000,0.0000
2200,PHISON,000SNV295,SUBMATSNV295,ANV0086A1065A,SMT,RAPID,0.0000,0.0000
2200,PHISON,000SNV295,SUBMATSNV295,ANV0086A1065A,SMT,ICONN,0.0000,0.0000
2200,PHISON,000SNV332,SUBMATSNV332,ANV345XTB016A,SMT,,0.0000,0.0000
2200,PHISON,000SNV332,SUBMATSNV332,ANV345XTB016A,SMT,,0.0000,0.0000
2200,PHISON,000SNV332,SUBMATSNV332,ANV345XTB016A,SMT,,0.0000,0.0000
2200,PHISON,000SNV332,SUBMATSNV332,ANV345XTB016A,SMT,,0.0000,0.0000
2200,PHISON,000SNV332,SUBMATSNV332,ANV345XTB016A,SMT,,0.0000,0.0000
