code_flag,gw_part_no,serialn_no,op_id,trans_date,trans_time,mc_no,area,roll_length,no_208,item_208,date_208,roll_weight,roll_weight_old,roll_length_inch,roll_length_old,roll_length_inch_old,roll_weight_dif,roll_length_dif,roll_length_inch_dif,transaction,txt_trans_date,txt_trans_time,trans_ways,assy_lot,oper,cimes_hist_seq,cimes_ent_hist_seq,die_count,die_count_old,die_count_dif,cimes_transaction,
R  ,1091A09C41               ,N2216304-0024  ,S8036     ,20220123,122152,BB460     ,TA,1040.650,2021050826,1,20210918,0.000,0.000,3413.332,1040.650,3413.332,0.000,0.000,0.000,RETURN    ,20220123,122152,M,            ,0,0,0,0,0,0,          ,
N  ,1091A06T41               ,S21Z0246-7590  ,11176     ,20220123,155643,          ,TA,3000.000,2022004110,2,20220123,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220123,155643,M,,0,0,0,0,0,0,,
N  ,1091A06T41               ,S21Z0246-7591  ,11176     ,20220123,155643,          ,TA,3000.000,2022004110,2,20220123,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220123,155643,M,,0,0,0,0,0,0,,
N  ,1091A06T41               ,S21Z0246-7592  ,11176     ,20220123,155643,          ,TA,3000.000,2022004110,2,20220123,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220123,155643,M,,0,0,0,0,0,0,,
N  ,1091A06T41               ,S21Z0246-7593  ,11176     ,20220123,155643,          ,TA,3000.000,2022004110,2,20220123,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220123,155643,M,,0,0,0,0,0,0,,
N  ,1091A06T41               ,S21Z0246-7594  ,11176     ,20220123,155643,          ,TA,3000.000,2022004110,2,20220123,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220123,155643,M,,0,0,0,0,0,0,,
N  ,1091A06T41               ,S21Z0246-7595  ,11176     ,20220123,155643,          ,TA,3000.000,2022004110,2,20220123,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220123,155643,M,,0,0,0,0,0,0,,
N  ,1091A06T41               ,S21Z0246-7596  ,11176     ,20220123,155643,          ,TA,3000.000,2022004110,2,20220123,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220123,155643,M,,0,0,0,0,0,0,,
N  ,1091A06T41               ,S21Z0246-7597  ,11176     ,20220123,155643,          ,TA,3000.000,2022004110,2,20220123,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220123,155643,M,,0,0,0,0,0,0,,
N  ,1091A06T41               ,S21Z0246-7598  ,11176     ,20220123,155643,          ,TA,3000.000,2022004110,2,20220123,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220123,155643,M,,0,0,0,0,0,0,,
N  ,1091A06T41               ,S21Z0246-7622  ,11176     ,20220123,155643,          ,TA,3000.000,2022004110,2,20220123,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220123,155643,M,,0,0,0,0,0,0,,
A  ,1091A06T21               ,S21X0953-3763  ,19186     ,20220123,210848,BBH15     ,TA,1021.763,2022000043,1,20220101,0.000,0.000,3351.383,1021.763,3351.383,0.000,0.000,0.000,STATUS    ,20220123,210848,M,            ,0,0,0,0,0,0,          ,
R  ,1091A09C41               ,N2219285-0008  ,19186     ,20220123,215351,BB619     ,TA,2201.822,2021066447,3,20211213,0.000,0.000,7221.976,2201.822,7221.976,0.000,0.000,0.000,RETURN    ,20220123,215351,M,            ,0,0,0,0,0,0,          ,
R  ,1091A09C41               ,N2216304-0021  ,19186     ,20220123,215328,BB621     ,TA,2741.596,2021050826,1,20210918,0.000,0.000,8992.435,2741.596,8992.435,0.000,0.000,0.000,RETURN    ,20220123,215328,M,            ,0,0,0,0,0,0,          ,
