¦C¼Æ,pin_package,bd_id,product,da_out,da_act,wb_out,wb_act,cure_out,cure_act,
1,	WLCSP-WAFER ,	ENG                 ,	000IABW027               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
2,	QFN-56AD1   ,	ABW056AD1004B       ,	056ADBW031               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
3,	WAFER-RDL-C ,	                    ,	0008CSI001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
4,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI081               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
5,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI089               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
6,	FCDFN-09YZ2A,	ANI009YZ1001A       ,	009YZNI011               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
7,	DFN-12Y12A  ,	ANI012Y11002C       ,	012Y1NI051               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
8,	DFN-12Y12A  ,	ANI012Y11002C       ,	012Y1NI059               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
9,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI127               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
10,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI138               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
11,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI147               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
12,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI155               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
13,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI160               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
14,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI166               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
15,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI170               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
16,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI194               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
17,	FCQFN-14OL2D,	ANI014OL1001C       ,	014OLNI030               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
18,	QFN-20YU2D  ,	ANI020YU1005C       ,	020YUNI041               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
19,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI108               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
20,	QFN-20YU2D  ,	ANI020YU1005C       ,	020YUNI111               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
21,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI124               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
