bom_id,ver,reg_date,item,oper,part_id,qty,tole,reason,supp,remark,
	IA000041  ,	 A,	2017/11/2 上午 12:00:00,	1,	3720,	1011CA243A               ,	0.016,	0.800,	,	          ,	8mm pitch/ 500m                         ,
	IA000026  ,	 B,	2017/8/31 上午 12:00:00,	1,	2021,	1071F28502               ,	0.059,	14.000,	,	          ,	                                        ,
	IA000026  ,	 B,	2017/8/31 上午 12:00:00,	2,	3720,	1011CA234A               ,	0.013,	0.800,	,	          ,	20170828002 美霖改CARRIER TAPE          ,
	IA000075  ,	 A,	,	1,	2021,	1071FC86R3               ,	0.111,	14.000,	,	          ,	,
	IA000075  ,	 A,	,	2,	3720,	1011CA286A               ,	0.008,	0.800,	,	          ,	,
	IA000060  ,	 A,	2018/5/9 上午 12:00:00,	1,	3720,	1011CA265A               ,	0.008,	0.800,	,	          ,	                                        ,
	IA000039  ,	 A,	2017/10/18 上午 12:00:00,	1,	3720,	1011CA244A               ,	0.008,	0.800,	,	          ,	                                        ,
	IA000083  ,	 A,	2019/7/4 上午 12:00:00,	1,	2021,	1071FC86R3               ,	0.111,	14.000,	,	          ,	,
	IA000083  ,	 A,	2019/7/4 上午 12:00:00,	2,	3720,	1011CA301A               ,	0.008,	0.800,	          ,	          ,	,
	YU020604  ,	 A,	2020/12/11 上午 12:00:00,	1,	2070,	1071F76004               ,	0.000,	14.000,	,	          ,	                                        ,
	YU020604  ,	 A,	2020/12/11 上午 12:00:00,	2,	2200,	1091A08T41               ,	0.000,	0.150,	20        ,	          ,	0.8 AU                                  ,
	YU020604  ,	 A,	2020/12/11 上午 12:00:00,	3,	2300,	108192HF36               ,	0.000,	4.000,	,	          ,	PJ指示用92HF;1230BALLSN0000A            ,
	YU020604  ,	 A,	2020/12/11 上午 12:00:00,	4,	2070,	120100185B               ,	0.000,	3.400,	0.152     ,	          ,	改版                                    ,
	YU020604  ,	 A,	2020/12/11 上午 12:00:00,	5,	3720,	1011CA176A               ,	0.014,	0.800,	,	          ,	                                        ,
	Y3012603  ,	 B,	2021/11/5 上午 12:00:00,	1,	2300,	10819240H5               ,	0.000,	4.000,	,	          ,	1230BALLSN0000A                         ,
	Y3012603  ,	 B,	2021/11/5 上午 12:00:00,	2,	2070,	120100153A               ,	0.000,	3.400,	0.152     ,	          ,	6/4 15改用 HDS L/F                      ,
	Y3012603  ,	 B,	2021/11/5 上午 12:00:00,	3,	3720,	1011CA295A               ,	0.014,	0.800,	,	          ,	                                        ,
	Y3012603  ,	 B,	2021/11/5 上午 12:00:00,	4,	2070,	1241FAC26S               ,	0.000,	5.000,	,	          ,	,
	Y3012604  ,	 B,	2021/11/5 上午 12:00:00,	1,	2300,	10819240H5               ,	0.000,	4.000,	,	          ,	1230BALLSN0000A                         ,
	Y3012604  ,	 B,	2021/11/5 上午 12:00:00,	2,	2070,	120100155A               ,	0.000,	3.400,	0.152     ,	          ,	8/10 15變更LF供應商(Shinko)             ,
	Y3012604  ,	 B,	2021/11/5 上午 12:00:00,	3,	3720,	1011CA295A               ,	0.014,	0.800,	,	          ,	,
	Y3012604  ,	 B,	2021/11/5 上午 12:00:00,	4,	2070,	1241FAC26S               ,	0.000,	5.000,	,	          ,	,
	OK008601  ,	 C,	2021/11/5 上午 12:00:00,	1,	2300,	10819240H5               ,	0.000,	4.000,	,	          ,	靜電金屬袋回貨                          ,
