route,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_hold,wlot_mvin_perfmd,bd_id,urgent_code,sub_lot,wb_location,automotive,package_id,CR,super_hot_run_code,last_WB_entity,wip_outplan_time
BGA132,R09VGA401,ISSI-VG,VFBGA63H8L,063NWVG002,3960,0,2250,N,N,ABU063NW1003A,,3,,,IS34ML01G081-BLI,74.61,N,BB728,
BGA132,R09VGA402,ISSI-VG,VFBGA63H8L,063NWVG002,3960,0,2250,N,N,ABU063NW1003A,,3,,,IS34ML01G081-BLI,74.61,N,BB728,
BGA132,R09VGA403,ISSI-VG,VFBGA63H8L,063NWVG002,1371,0,2250,N,N,ABU063NW1003A,,3,,,IS34ML01G081-BLI,74.61,N,BB728,
BGA140,R80CMGT01,ENG,FBGA-78U9,078U9CM010ENG,60,0,2250,N,N,AMS078C93001B,E,1,,,V00HX8-ENG,71.03,N,,
BGA140,R80CMEE01,ENG,FBGA-84UC(2),084UCCM137ENG,2759,0,2430,Y,N,ABU084CC2004B,E,1,,,IS46DR16320D{PTN22}-ENG,84.55,N,BB589,
BGA145,PXXVGHT,ChipMOS,VFBGA64B4U,064RKVG004,10,0,2070,N,N,ABU064RK1001A,,1,,,IS29GL128-70DLET-AS,78.71,N,,
BGA161,R10AWB4,MXIC,MINIBGA24A3L,024MAAW065,10,40889,2003,N,N,AAW024MA6036A,,5,,Y,6757L-24XD08QYD999{A},73.34,N,,
BGA161,R10AWA1,MXIC,MBGA24J3U,024MAAW083,7,8139,2005,N,N,AAW024MAA006A,4,2,,Y,6769A-24XD08RYB2GE,73.62,N,,
BGA161,R10AWA2,MXIC,MBGA24J3U,024MAAW083,5,7188,2005,N,N,AAW024MAA006A,4,2,,Y,6769A-24XD08RYB2GE,73.62,N,,
BGA161,R10AWA3,MXIC,MBGA24J3U,024MAAW083,3,3433,2005,N,N,AAW024MAA006A,4,1,,Y,6769A-24XD08RYB2GE,73.62,N,,
BGA161,PXXAWJ3,ChipMOS,MINIBGA24A3L,024MAAW066,48,0,2070,N,N,AAW024MA6037B,,2,,Y,6762A-24XD10RTE13G{A},84.53999999999999,N,,
BGA161,PXXAWAF01,ChipMOS,MINIBGA24A4L,024MAAW045,144,0,2150,N,N,AAW024MA6022C,,3,N2WB TB,Y,6732L-24XD08RTE9VA,114.53999999999999,N,DA,
BGA161,PXXAWAP01,ChipMOS,MINIBGA24A4L,024MAAW059,300,0,2150,N,N,AAW024MA6031B,,9,N2WB TB,Y,6738V-24XD05STE999{A},114.06,N,DA,
BGA161,RXXAW2U01,ChipMOS,MINIBGA24A3L,024MAAW066,6,0,2150,N,N,AAW024MA6037B,,1,N2WB TA,Y,6762A-24XD10QYF13G{A},74.38,N,DA,
BGA161,R09AWAM02,MXIC,MINIBGA24A4L,024MAAW059,8552,0,2250,N,N,AAW024MA6031B,,4,,Y,6738V-24XD05SYE999{A},73.77,N,BB603,
BGA161,R09AWAN02,MXIC,MINIBGA24A4L,024MAAW059,8462,0,2250,N,N,AAW024MA6031B,,6,,Y,6738V-24XD05SYE9PH{A},73.77,N,BB595,
BGA161,R09AWAN06,MXIC,MINIBGA24A4L,024MAAW059,2949,0,2250,N,N,AAW024MA6031B,,6,,Y,6738V-24XD05SYE9PH{A},73.77,N,BB603,
BGA161,R09AWBM01,MXIC,MINIBGA24A4L,024MAAW060,653,0,2250,N,N,AAW024MA6033B,,1,,,6732L-24XD08IYFW99,73.77,N,BBB13,
BGA161,R09AWBW01,MXIC,MBGA24J3U,024MAAW083,6160,0,2250,N,N,AAW024MAA006A,4,2,,Y,6769A-24XD08RTB2GE{A},73.98,N,BB507,
BGA161,R09AWAL01,MXIC,MINIBGA24A4L,024MAAW059,8492,0,2250,N,N,AAW024MA6031B,,2,,Y,6738V-24XD05SYE999{A},73.77,N,BB595,
BGA161,R09AWAM03,MXIC,MINIBGA24A4L,024MAAW059,8540,0,2250,N,N,AAW024MA6031B,,4,,Y,6738V-24XD05SYE999{A},73.77,N,BB607,
BGA161,R09AWAN03,MXIC,MINIBGA24A4L,024MAAW059,8573,0,2250,N,N,AAW024MA6031B,,6,,Y,6738V-24XD05SYE9PH{A},73.77,N,BB603,
BGA161,R09AWAP01,MXIC,MINIBGA24A4L,024MAAW059,8353,0,2250,N,N,AAW024MA6031B,,2,,Y,6738V-24XD05SYE9PH{A},73.77,N,BB595,
BGA161,R09AWBW02,MXIC,MBGA24J3U,024MAAW083,3201,0,2250,N,N,AAW024MAA006A,4,2,,Y,6769A-24XD08RTB2GE{A},73.98,N,BB507,
BGA161,R09AWAL02,MXIC,MINIBGA24A4L,024MAAW059,6750,0,2250,N,N,AAW024MA6031B,,2,,Y,6738V-24XD05SYE999{A},73.77,N,BB607,
BGA161,R09AWAM04,MXIC,MINIBGA24A4L,024MAAW059,8838,0,2250,N,N,AAW024MA6031B,,4,,Y,6738V-24XD05SYE999{A},73.77,N,BB595,
BGA161,R09AWAN04,MXIC,MINIBGA24A4L,024MAAW059,8560,0,2250,N,N,AAW024MA6031B,,6,,Y,6738V-24XD05SYE9PH{A},73.77,N,BB595,
BGA161,R09AWAP02,MXIC,MINIBGA24A4L,024MAAW059,6925,0,2250,N,N,AAW024MA6031B,,2,,Y,6738V-24XD05SYE9PH{A},73.77,N,BB607,
BGA161,R09AWAM01,MXIC,MINIBGA24A4L,024MAAW059,8273,0,2250,N,N,AAW024MA6031B,,4,,Y,6738V-24XD05SYE999{A},73.77,N,BB603,
BGA161,R09AWAN01,MXIC,MINIBGA24A4L,024MAAW059,8387,0,2250,N,N,AAW024MA6031B,,6,,Y,6738V-24XD05SYE9PH{A},73.77,N,BB607,
BGA161,R09AWAN05,MXIC,MINIBGA24A4L,024MAAW059,8465,0,2250,N,N,AAW024MA6031B,,6,,Y,6738V-24XD05SYE9PH{A},73.77,N,BB607,
