part_no,product_id,route,pin_package,die_size,die_pad_size,qty1,qty2,qty3,desc,die_size_pad_size,column,row,die,hb_design_version,wc_design_version,hb_series_no,wc_series_no,hb_unit_price,wc_unit_price,
	A0803CB0755,	TSOP II 66L,	,	,	,	199*133,	13,	0,	13,	SH( K&s : H/B:SK5498/02; W/C : SK5498/02);每個BLOCK有1直3橫共3顆Die ; 2015/04/20全面更換2度角熱板;流水序號已到W027 ; H027,	199*133,	1,	3,	3,	SK5498/02,	SK5498/02,	H027,	W027,	NA,	NA,
	A0803CB0756,	TSOP II 54L,	,	,	,	199*133,	23,	0,	23,	SH (KNS: H/B:SK5499/02 W/C:SK5499/02) ; 每個BLOCK有1直3橫共3顆Die ; 2015/5/20 全面更改02版熱壓板;流水號已到H057;W057,	199*133,	1,	3,	3,	SK5499/02,	SK5499/02,	H057,	W057,	NA,	NA,
	A0803CB0758,	TSOP II 54L,	,	,	,	125*138,	13,	0,	13,	SH( K&s : H/B:SK5500/02; W/C : SK5500/02);每個BLOCK有1直3橫共3顆Die ; 2015/01/28全數改2度角流水序號已到W027 ; H027;2015/5/11 報廢2EA壓板,	125*138,	1,	3,	3,	SK5500/02,	SK5500/02,	H027,	W027,	NA,	NA,
	A0803CB0759,	TSOP II 66L,	,	,	,	TSOP II 66L,	13,	0,	13,	SH( K&s : H/B:SK5501/02; W/C : SK5501/02);每個BLOCK有1直3橫共3顆Die ; 2015/04/20全面更換2度角熱板;流水序號已到W027 ; H027,	TSOP II 66L,	1,	3,	3,	SK5501/02,	SK5501/02,	H027,	W027,	NA,	NA,
	A0803CB0797,	TSOP II 66L,	,	,	,	185*130,	42,	0,	43,	SH(KNS: H/B:SK5505/03;W/C:SK5505/02);每個BLOCK有2直3橫共6顆Die; 2019/01/22流水號已到H0103;W102,	185*130,	2,	3,	6,	SK5505/03,	SK5505/02,	H103,	W102,	NA,	NA,
	A0801CB0798,	TSOPI 48L,	,	,	,	,	3,	0,	3,	須加壓板 ;SH (UTC-1000 : SK3004/01) ; 每個BLOCK有1直2橫共2顆Die ; 2013/11/18;流水序號已到H003 ; W003,	417*260mil,	1,	2,	2,	SK3004/01,	SK3004/01,	H003,	W003,	1950,	2450,
	A0803CB0798,	,	,	,	,	417*260,	3,	0,	3,	SH( K&s : H/B&W/C:SK5507/01); 每個BLOCK有1直2橫共2顆Die ; 2013/11/20;流水序號已到H003 ; W003,	147*260,	1,	2,	2,	SK5507/01,	SK5507/01,	H003,	W003,	,	,
	A0801CB0800,	TSOPI 48L,	,	,	,	,	3,	0,	3,	須加壓板 ;SH (UTC-1000 : SK3007/01) ; 每個BLOCK有1直3橫共3Die ; 2013/12/16 ;流水序號已到H003 ; W003,	315*358,	1,	3,	3,	SK3007/01,	SK3007/01,	H003,	W003,	2150,	2650,
	A0801CB0799,	TSOP2-66L,	,	,	,	,	3,	0,	3,	須加壓板 ;SH (UTC-1000 : SK3006/01) ; 每個BLOCK有1直3橫共3顆Die ; 2013/12/20;流水序號已到H003 ; W003,	174*155mil,	1,	3,	3,	SK3006/01,	SK3006/01,	H003,	W003,	2200,	2700,
	A0801CB0053,	,	LOC,	TSOP 2-54,	202*805 mil,	,	0,	0,	0,	Die厚度12mil ; 2000/4/17  ; UTC-300 H/B 5 Set,	202*805mil,	,	,	,	NA,	NA,	H001,	W001,	1950,	2450,
	A0801CB0169,	,	LOC,	TSOP 2-66,	234*231,	,	40,	0,	0,	2005/8/29與2005/9/21分別各有4 & 5 pcs熱板修改後轉成A0801CB0192 ; 2006/07/04,	234*231,	,	,	,	NA,	NA,	H040,	W040,	2950,	3450,
	A0801CB0054,	,	Normal (L/F + Subs.),	TSOP 2-44,	5.15*7.18 mm,	7.4*15.2 mm,	0,	0,	0,	須加壓板;2000/8/10  ; UTC-300 H/B 2 Set,	5.15*7.18mm/7.4*15.2mm,	,	,	,	NA,	NA,	H001,	W001,	1950,	2450,
	A0801CB0057,	,	LOC,	TSOP 2-54,	278*530 mil,	,	0,	0,	0,	Die厚度15mil ; 2000/4/21  ; UTC-300 H/B 6 Set,	278*530mil,	,	,	,	NA,	NA,	H001,	W001,	1950,	2450,
	A0801CB0058,	,	Normal (L/F),	TSOP 1-48,	,	240*200 mil,	0,	0,	0,	須加壓板;2000/9/4  ; UTC-300 H/B 8 Set,	240*200mil,	,	,	,	NA,	NA,	H001,	W001,	3450,	4200,
	A0801CB0060,	,	Normal (L/F),	PLCC 32,	,	180*180 mil,	0,	0,	0,	須加壓板 ; 8套(for UTC-300)已轉移至華特 ; 2004/11/03,	180*180mil,	,	,	,	NA,	NA,	H001,	W001,	3450,	4200,
	A0801CB0062,	,	Normal (L/F),	TSOP 2-44/50,	,	172*327 mil,	0,	0,	0,	Inner Lead with Down Set ; 2000/8/14  ; UTC-300 H/B 12 Set,	172*327mil,	,	,	,	NA,	NA,	H001,	W001,	2200,	2700,
	A0801CB0063,	,	Normal (L/F),	TSOP 1-32,	,	240*200 mil,	5,	0,	5,	須加壓板 ; UTC-300有0套(ZC) ; UTC-1000有5套(SH ; SK2164/01) ; 轉移8套(UTC-300)給上海 ; 2004/11/19,	240*200mil,	1,	2,	2,	SK2164/01,	SK2164/01,	H005,	W005,	3450,	4200,
	A0801CB0064,	,	Normal (L/F),	TSOP 1-32,	,	240*200 mil,	0,	0,	0,	須加壓板 ; 轉移10套(UTC-300)給上海 ; 2004/11/19,	240*200mil,	,	,	,	NA,	NA,	H001,	W001,	3450,	4200,
	A0801CB0065,	,	LOC,	TSOP 2-54,	162*304 mil,	,	0,	0,	0,	Die厚度12.5mil ; 可由A0801CB0028代替 ; 2000/7/12  ; UTC-300 H/B 5 Set,	162*304mil,	,	,	,	NA,	NA,	H001,	W001,	1950,	2450,
	A0801CB0067,	,	Normal (L/F + Subs.),	TSOP 1-32,	7.27*5.24 mm,	9.7*6.8 mm,	0,	0,	0,	須加壓板 ; (8*13.4) ; For BSI反面打線熱壓板 ; 轉移1套(UTC-300)給上海 ; 2004/11/19,	7.27*5.24mm/9.7*6.8mm,	,	,	,	NA,	NA,	H001,	W001,	3450,	4200,
	A0801CB0070,	,	Normal (L/F),	TSOP 1-48,	,	340*315 mil,	5,	0,	5,	UTC-1000有5套 ; 一個BLOCK為上下兩顆DIE (SH ; SK2175/01) ; 2004/8/31  ; UTC-300 H/B 8 Set,	340*315mil,	1,	2,	2,	SK2175/01,	SK2175/01,	H005,	W005,	3450,	4200,
	A0801CB0071,	,	Normal (L/F),	LQFP 100,	,	301*441 mil,	0,	0,	0,	須加壓板 ; 轉移1套(UTC-300)給華特 ; 2004/11/11,	301*441mil,	,	,	,	NA,	NA,	H001,	W001,	1950,	2450,
	A0801CB0801,	FBGA-60L,	,	,	,	,	3,	0,	3,	須加壓板 ;SH (UTC-1000 : SK3008/01) ; 每個BLOCK有5直4橫共20顆Die ; 2013/12/20;流水序號已到H003 ; W003,	8*10mil,	5,	4,	20,	SK3008/01,	SK3008/01,	H003,	W003,	6400,	7150,
	A0803CB0799,	TSOP II 66L,	,	,	,	174*155,	26,	0,	27,	SH( K&s : H/B&W/C:SK5520/01); 每個BLOCK有1直3橫共3顆Die ; 2014/08/05;流水序號已到H027 ; W027;2015/4/24報廢1EA熱板,	174*155,	1,	3,	3,	SK5520/01,	SK5520/01,	H027,	W027,	NA,	NA,
	A0803CB0800,	TSOP II 66L,	,	,	,	197*127,	23,	0,	25,	SH( K&s : H/B&W/C:SK5521/02); 每個BLOCK有1直3橫共3顆Die ; 2014/12/30全面更換熱壓板02版;2015/09/25報廢1EA熱板;流水序號已到H053/W052,	197*127,	1,	3,	3,	SK5521/02,	SK5521/02,	H053,	W052,	NA,	NA,
	A0803CB0801,	,	,	,	,	158*347*10,	3,	0,	3,	SH( K&s : H/B&W/C:SK5522/01); 每個BLOCK有5直4橫共20顆Die ; 2013/12/26;流水序號已到H003 ; W003,	158*347*10,	5,	4,	20,	SK5522/01,	SK5522/01,	H003,	W003,	NA,	NA,
	A0801CB0802,	FBGA-60L,	,	,	,	,	13,	0,	13,	須加壓板 ;SH (UTC-1000 : SK3009/01) ; 每個BLOCK有5直3橫共15顆Die ; 2015/10/28 ;流水序號已到H013 ; W013,	8*13mil,	5,	3,	15,	SK3009/01,	SK3009/01,	H013,	W013,	5150,	5900,
	A0803CB0802,	,	,	,	,	151*151*10 MIL,	3,	0,	3,	SH( K&s : H/B:SK5526 / 01; W/C : SK5526 / 01 );; 每個BLOCK有3直5橫共15顆Die ; 2013/12/31;流水序號已到H003 ; W003,	151*151*10 MIL,	3,	5,	18,	SK5526/01,	SK5526/01,	H003,	W003,	NA,	NA,
	A0801CB0803,	FBGA-84L,	,	,	,	,	3,	0,	3,	須加壓板 ;SH (UTC-1000 : SK3010/01) ; 每個BLOCK有1直4橫共4顆Die ; 2014/1/15;流水序號已到W003 ; H003,	8*12.5mil,	1,	4,	4,	SK3010/01,	SK3010/01,	H003,	W003,	2400,	3150,
	A0801CB0804,	VTLGA 8L,	,	,	,	,	3,	0,	3,	須加壓板 ;SH (UTC-1000 : SK3011/01) ; 每個BLOCK有6直8橫共48顆Die ; 2014/1/16;流水序號已到H003 ; W003,	6*8 mil,	6,	8,	48,	SK3011/01,	SK3011/01,	H003,	W003,	6450,	4150,
	A0803CB0804,	VTLGA 8L,	,	,	,	6*8,	8,	0,	8,	SH (K&S : H/B:SK5532/02 ; W/C:SK5532/02) ; 每個BLOCK有6直8橫共48顆Die;2019/09/27，流水序號已到W019 ; H018,	6*8,	6,	8,	48,	SK5532/02,	SK5532/02,	H018,	W019,	NA,	NA,
	A0801CB0805,	TSOP 1-48L,	,	,	,	,	3,	0,	3,	須加壓板 ;SH (UTC-1000 : SK3012/01) ; 每個BLOCK有1直3橫共3Die ; 2014/1/23 ;流水序號已到H003 ; W003,	476*736 mil,	1,	3,	3,	SK3012/01,	SK3012/01,	H003,	W003,	2150,	2650,
	A0801CB0806,	FBGA-60L,	,	,	,	,	3,	0,	3,	須加壓板 ;SH (UTC-1000 : SK3014/01) ; 每個BLOCK有4直3橫共12顆Die ; 2014/02/06;流水序號已到H003 ; W003,	10*12mil,	4,	3,	12,	SK3014/01,	SK3014/01,	H003,	W003,	4400,	5150,
	A0803CB0805,	,	,	,	,	476*376,	3,	0,	3,	SH( K&s : H/B:SK5534 / 01; W/C : SK5534 / 01 );; 每個BLOCK有1直3橫共3顆Die ; 2014/02/24;流水序號已到H003 ; W003,	476*376,	1,	3,	3,	SK5534/01,	SK5534/01,	H003,	W003,	NA,	NA,
