ENTITY,SUM,MODEL,STATUS,LOT#,Pre-Lot,OPER,PRODUCT,PACKAGE ID,BOND ID,WIP,IC Q'ty,IN TIME,OUTPLAN,CUST,PIN_PKG,CLOT,JCODE,UPH,LAMILATION,REMARK1,AREA,PM,SETTING OPER,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,Unnamed: 31,G.UPH,N.UPH,wip_outplan_time
BB211,0,UTC3000,IN-REPAIR,R08AWCW33,,2200,048TPAW086,5468ANB-48TG000,AAW048TP1041B,720,33684,22-03-02 07:40,22-03-02 02:29:50,MXIC,TSOP1-48/M2,T1220185,W1/E1,77.5263,,3000M,TA-A20,03/04/2022 MP,2200,1091A08T41,,R08AWCE12,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,,77.5263,68.8628,22-03-02 02:29
BB212,0,UTC3000,RUNNING,R09NVJ101,,2200,345XTNV080,SC7800490U-00000-00019{SS,ANV345XTG002A,663,16244,22-03-01 07:17,22-03-01 16:50,PHISON,STBGA345NBC,00R09NVJ1,,69.5439,,3000M,TA-A19,03/05/2022 MP,2200,1091A07C41,4P,R09NVJ701,STBGA345FBC,PHISON,ANV345XTC011A,1091A07C41,,69.5439,61.7724,22-03-01 16:50
BB213,0,UTC3000,RUNNING,R09CDB607,,2200,054TNCD026,EDEF10FTS0J0-NL-6G-DP-000,ACD054TN1002B,2741,20021,22-03-01 21:19,22-03-02 09:24,ETRON,TSOP2-54ME,BTH733.16.1,,226.9653,,3000M,TA-A19,03/06/2022 MP,2200,1091A07T21,,R09CDB808,TSOP2-54ME,ETRON,ACD054TN1002B,1091A07T21,,226.9653,201.6019,22-03-02 09:24
BB214,0,UTC3000,RUNNING,R08AWDD18,,2200,048TPAW086,5468ANB-48TG000,AAW048TP1041B,720,33757,22-03-02 06:20,22-03-02 15:38,MXIC,TSOP1-48/M2,T1220188,,77.5263,,3000M,TA-A19,03/07/2022 MP,2200,1091A08T41,,R08AWD913,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,,77.5263,68.8628,22-03-02 15:38
BB215,0,UTC3000,RUNNING,R07VGAQ01,,3600,024XJVG008,IS25LP01G-RILE,ABU024XJ8004A,6080,10137,22-03-01 20:06,22-03-02 09:57,ISSI-VG,STBGA24D4U,PPH913Y1,,439.4472,,3000M,TA-A19,03/08/2022 MP,3600,,,R08AWCT23,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,,546.937,485.8168,22-03-02 09:57
BB216,0,UTC3000,RUNNING,R09CDB704,,2200,054TNCD026,EDEF10FTS0J0-NL-6G-DP-000,ACD054TN1002B,2880,30248,22-03-01 15:03,22-03-02 03:44,ETRON,TSOP2-54ME,BTH733.17.1,,226.9653,,3000M,TA-A19,03/09/2022 MP,2200,1091A07T21,,R09CDB605,TSOP2-54ME,ETRON,ACD054TN1002B,1091A07T21,,226.9653,201.6019,22-03-02 03:44
BB217,0,UTC3000,RUNNING,R09NVJ105,,2200,345XTNV080,SC7800490U-00000-00019{SS,ANV345XTG002A,647,16244,22-03-02 02:07,22-03-02 11:26,PHISON,STBGA345NBC,00R09NVJ1,,69.5439,,2000M,TA-A20,03/10/2022 MP,2200,1091A07C41,4P,R09NVJ119,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,,69.5439,61.7724,22-03-02 11:26
BB218,0,UTC3000,RUNNING,R09CDAL06A,,2200,096EFCD001,EDDK29FWX0J0-NL-12H-DP-00,ACD096EF2001B,2500,30602,22-03-02 04:31,22-03-02 14:05,ETRON,FBGA-96UEF,BTJ008.11.1,,262.6932,,1000M,TA-A20,03/11/2022 MP,2200,1091A07T41,,R09CDBA05,FBGA-96UEF,ETRON,ACD096EF2001B,1091A07T41,,262.6932,233.3372,22-03-02 14:05
BB219,0,UTC3000,RUNNING,R08AWDE24,,2200,048TPAW086,5468ANB-48TG000,AAW048TP1041B,720,33802,22-03-01 17:17,22-03-02 02:34,MXIC,TSOP1-48/M2,T1220189,,77.5263,,3000M,TA-A20,03/12/2022 MP,2200,1091A08T41,,R08AWCW44,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,,77.5263,68.8628,22-03-02 02:34
BB220,0,UTC3000,SETUP,R09CDBF03,,2200,096EFCD001,EDDK29FWX000-NL-12H-DP-00,ACD096EF2001B,4956,21685,22-03-02 07:42,22-03-02 08:12,ETRON,FBGA-96UEF,BTG979.14.1,CC,262.6932,,3000M,TA-A20,03/13/2022 MP,2200,,,R09CDBA04,FBGA-96UEF,ETRON,ACD096EF2001B,1091A07T41,,262.6932,233.3372,22-03-03 02:07
