wrto_route,wrto_oper,wrto_seq_num,wrto_opr_shrt_desc
BGA139,2000,1,IQC
BGA139,2003,2,TPM
BGA139,2005,3,TAPING
BGA139,2010,4,LAPPING
BGA139,2020,5,A21 QUEUE
BGA139,2030,6,W/M
BGA139,2040,7,D/S
BGA139,2050,8,A31
BGA139,2060,9,2IP
BGA139,2061,10,UV
BGA139,2070,11,D/A
BGA139,2080,12,D/A CURE
BGA139,2150,13,PLASMA
BGA139,2090,14,POST D/A Q
BGA139,2200,15,W/B
BGA139,2209,16,BMP
BGA139,2210,17,3IP
BGA139,2250,18,PLASMA
BGA139,2230,19,M/D QUEUE
BGA139,2300,20,M/D
BGA139,2320,21,T/M
BGA139,2330,22,PMC
BGA139,2405,23,PLASMA
BGA139,2418,24,WTC
BGA139,2410,25,S/P
BGA139,2430,26,F/S
BGA139,2435,27,P/P
BGA139,2440,28,O/S
BGA139,2450,29,L/S
BGA139,2460,30,F/V
BGA139,2470,31,4IP
BGA139,2480,32,PACK
BGA139,2490,33,SHIP
BGA140,2000,1,IQC
BGA140,2003,2,TPM
BGA140,2005,3,TAPING
BGA140,2010,4,LAPPING
BGA140,2020,5,A21 QUEUE
BGA140,2030,6,W/M
BGA140,2040,7,D/S
BGA140,2050,8,A31
BGA140,2060,9,2IP
BGA140,2061,10,UV
BGA140,2070,11,D/A
BGA140,2080,12,D/A CURE
BGA140,2150,13,PLASMA
BGA140,2090,14,POST D/A Q
BGA140,2200,15,W/B
BGA140,2210,16,3IP
BGA140,2250,17,PLASMA
BGA140,2230,18,M/D QUEUE
BGA140,2300,19,M/D
BGA140,2320,20,T/M
BGA140,2330,21,PMC
BGA140,2405,22,PLASMA
BGA140,2418,23,WTC
BGA140,2410,24,S/P
BGA140,2430,25,F/S
BGA140,2440,26,O/S
BGA140,2450,27,L/S
BGA140,2460,28,F/V
BGA140,2470,29,4IP
BGA140,2480,30,PACK
BGA140,2490,31,SHIP
BGA145,2000,1,IQC
BGA145,2003,2,TPM
BGA145,2005,3,TAPING
BGA145,2010,4,LAPPING
BGA145,2020,5,A21 QUEUE
BGA145,2030,6,W/M
BGA145,2040,7,D/S
BGA145,2050,8,A31
BGA145,2060,9,2IP
BGA145,2070,10,D/A
BGA145,2080,11,D/A CURE
BGA145,2150,12,PLASMA
BGA145,2090,13,POST D/A Q
BGA145,2200,14,W/B
BGA145,2209,15,BMP
BGA145,2210,16,3IP
BGA145,2225,17,F/C
BGA145,2250,18,PLASMA
BGA145,2230,19,M/D QUEUE
BGA145,2300,20,M/D
BGA145,2320,21,T/M
BGA145,2330,22,PMC
BGA145,2405,23,PLASMA
BGA145,2418,24,WTC
BGA145,2410,25,S/P
BGA145,2430,26,F/S
BGA145,2435,27,P/P
BGA145,2440,28,O/S
BGA145,2450,29,L/S
BGA145,2460,30,F/V
BGA145,2470,31,4IP
BGA145,2480,32,PACK
BGA145,2490,33,SHIP
BGA161,2000,1,IQC
BGA161,2003,2,TPM
BGA161,2005,3,TAPING
BGA161,2010,4,LAPPING
BGA161,2020,5,A21 QUEUE
BGA161,2030,6,W/M
BGA161,2040,7,D/S
BGA161,2050,8,A31
BGA161,2060,9,2IP
BGA161,2070,10,D/A
BGA161,2080,11,D/A CURE
BGA161,2150,12,PLASMA
BGA161,2090,13,POST D/A Q
BGA161,2200,14,W/B
BGA161,2209,15,BMP
BGA161,2210,16,3IP
BGA161,2250,17,PLASMA
BGA161,2230,18,M/D QUEUE
BGA161,2300,19,M/D
BGA161,2320,20,T/M
BGA161,2330,21,PMC
BGA161,2405,22,PLASMA
BGA161,2418,23,WTC
BGA161,2410,24,S/P
BGA161,2430,25,F/S
BGA161,2435,26,P/P
BGA161,2440,27,O/S
BGA161,2450,28,L/S
BGA161,2460,29,F/V
BGA161,2470,30,4IP
BGA161,2480,31,PACK
BGA161,2490,32,SHIP
BGA170,2000,1,IQC
BGA170,2003,2,TPM
BGA170,2030,3,W/M
BGA170,2040,4,D/S
BGA170,2050,5,A31
BGA170,2060,6,2IP
BGA170,2070,7,D/A
BGA170,2080,8,D/A CURE
BGA170,2150,9,PLASMA
BGA170,2090,10,POST D/A Q
BGA170,2200,11,W/B
BGA170,2205,12,A41
BGA170,2209,13,BMP
BGA170,2210,14,3IP
BGA170,2250,15,PLASMA
BGA170,2230,16,M/D QUEUE
BGA170,2300,17,M/D
BGA170,2320,18,T/M
BGA170,2330,19,PMC
BGA170,2430,20,F/S
BGA170,2435,21,P/P
BGA170,2480,22,PACK
BGA170,2490,23,SHIP
BGA174,2000,1,IQC
BGA174,2003,2,TPM
BGA174,2005,3,TAPING
BGA174,2010,4,LAPPING
BGA174,2020,5,A21 QUEUE
BGA174,2030,6,W/M
BGA174,2040,7,D/S
BGA174,2050,8,A31
BGA174,2060,9,2IP
BGA174,2070,10,D/A
BGA174,2080,11,D/A CURE
BGA174,2150,12,PLASMA
BGA174,2090,13,POST D/A Q
BGA174,2200,14,W/B
BGA174,2209,15,BMP
BGA174,2210,16,3IP
BGA174,2225,17,F/C
BGA174,2250,18,PLASMA
BGA174,2230,19,M/D QUEUE
BGA174,2300,20,M/D
BGA174,2320,21,T/M
BGA174,2330,22,PMC
BGA174,2405,23,PLASMA
BGA174,2418,24,WTC
BGA174,2410,25,S/P
BGA174,2430,26,F/S
BGA174,2435,27,P/P
BGA174,2440,28,O/S
BGA174,2450,29,L/S
BGA174,2460,30,F/V
BGA174,2470,31,4IP
BGA174,2480,32,PACK
BGA174,2490,33,SHIP
BGA184,2000,1,IQC
BGA184,2003,2,TPM
BGA184,2005,3,TAPING
BGA184,2010,4,LAPPING
BGA184,2020,5,A21 QUEUE
BGA184,2030,6,W/M
BGA184,2040,7,D/S
BGA184,2050,8,A31
BGA184,2060,9,2IP
BGA184,2070,10,D/A
BGA184,2150,11,PLASMA
BGA184,2090,12,POST D/A Q
BGA184,2200,13,W/B
BGA184,2209,14,BMP
BGA184,2210,15,3IP
BGA184,2225,16,F/C
BGA184,2250,17,PLASMA
BGA184,2230,18,M/D QUEUE
BGA184,2300,19,M/D
BGA184,2320,20,T/M
BGA184,2330,21,PMC
BGA184,2405,22,PLASMA
BGA184,2418,23,WTC
BGA184,2410,24,S/P
BGA184,2430,25,F/S
BGA184,2435,26,P/P
BGA184,2440,27,O/S
BGA184,2450,28,L/S
BGA184,2460,29,F/V
BGA184,2470,30,4IP
BGA184,2480,31,PACK
BGA184,2490,32,SHIP
BGA185,2000,1,IQC
BGA185,2003,2,TPM
BGA185,2005,3,TAPING
BGA185,2010,4,LAPPING
BGA185,2020,5,A21 QUEUE
BGA185,2030,6,W/M
BGA185,2040,7,D/S
BGA185,2050,8,A31
BGA185,2060,9,2IP
BGA185,2061,10,UV
BGA185,2070,11,D/A
BGA185,2080,12,D/A CURE
BGA185,2150,13,PLASMA
BGA185,2090,14,POST D/A Q
BGA185,2200,15,W/B
BGA185,2210,16,3IP
BGA185,2250,17,PLASMA
BGA185,2230,18,M/D QUEUE
BGA185,2300,19,M/D
BGA185,2320,20,T/M
BGA185,2330,21,PMC
BGA185,2405,22,PLASMA
BGA185,2418,23,WTC
BGA185,2410,24,S/P
BGA185,2430,25,F/S
BGA185,2440,26,O/S
BGA185,2450,27,L/S
BGA185,2460,28,F/V
BGA185,2470,29,4IP
BGA185,2480,30,PACK
BGA185,2490,31,SHIP
BGA192,2000,1,IQC
BGA192,2003,2,TPM
BGA192,2005,3,TAPING
BGA192,2010,4,LAPPING
BGA192,2020,5,A21 QUEUE
BGA192,2030,6,W/M
BGA192,2040,7,D/S
BGA192,2050,8,A31
BGA192,2060,9,2IP
BGA192,2070,10,D/A
BGA192,2080,11,D/A CURE
BGA192,2150,12,PLASMA
BGA192,2090,13,POST D/A Q
BGA192,2200,14,W/B
BGA192,2209,15,BMP
BGA192,2210,16,3IP
BGA192,2250,17,PLASMA
BGA192,2230,18,M/D QUEUE
BGA192,2300,19,M/D
BGA192,2320,20,T/M
BGA192,6000,21,WTC2
BGA192,2330,22,PMC
BGA192,2405,23,PLASMA
BGA192,2418,24,WTC
BGA192,2410,25,S/P
BGA192,2430,26,F/S
BGA192,2435,27,P/P
BGA192,2440,28,O/S
BGA192,2450,29,L/S
BGA192,2460,30,F/V
BGA192,2470,31,4IP
BGA192,2480,32,PACK
BGA192,2490,33,SHIP
BGA199,2000,1,IQC
BGA199,2003,2,TPM
BGA199,2005,3,TAPING
BGA199,2010,4,LAPPING
BGA199,2020,5,A21 QUEUE
BGA199,2030,6,W/M
BGA199,2040,7,D/S
BGA199,2050,8,A31
BGA199,2060,9,2IP
BGA199,2070,10,D/A
BGA199,2080,11,D/A CURE
BGA199,2150,12,PLASMA
BGA199,2090,13,POST D/A Q
BGA199,2200,14,W/B
BGA199,2210,15,3IP
BGA199,2225,16,F/C
BGA199,2250,17,PLASMA
BGA199,2230,18,M/D QUEUE
BGA199,2300,19,M/D
BGA199,2320,20,T/M
BGA199,6000,21,WTC2
BGA199,2330,22,PMC
BGA199,2405,23,PLASMA
BGA199,2418,24,WTC
BGA199,2410,25,S/P
BGA199,2430,26,F/S
BGA199,2435,27,P/P
BGA199,2440,28,O/S
BGA199,2450,29,L/S
BGA199,2460,30,F/V
BGA199,2470,31,4IP
BGA199,2480,32,PACK
BGA199,2490,33,SHIP
BGA202,2000,1,IQC
BGA202,2003,2,TPM
BGA202,2005,3,TAPING
BGA202,2010,4,LAPPING
BGA202,2020,5,A21 QUEUE
BGA202,2030,6,W/M
BGA202,2040,7,D/S
BGA202,2050,8,A31
BGA202,2060,9,2IP
BGA202,2070,10,D/A
BGA202,2080,11,D/A CURE
BGA202,2150,12,PLASMA
BGA202,2090,13,POST D/A Q
BGA202,2200,14,W/B
BGA202,2205,15,A41
BGA202,2210,16,3IP
BGA202,2250,17,PLASMA
BGA202,2230,18,M/D QUEUE
BGA202,2300,19,M/D
BGA202,2320,20,T/M
BGA202,6000,21,WTC2
BGA202,2330,22,PMC
BGA202,2405,23,PLASMA
BGA202,2418,24,WTC
BGA202,2410,25,S/P
BGA202,2430,26,F/S
BGA202,2435,27,P/P
BGA202,2440,28,O/S
BGA202,2450,29,L/S
BGA202,2460,30,F/V
BGA202,2470,31,4IP
BGA202,2480,32,PACK
BGA202,2490,33,SHIP
BGA206,2000,1,IQC
BGA206,2058,2,RWTC
BGA206,2050,3,A31
BGA206,2060,4,2IP
BGA206,2070,5,D/A
BGA206,2080,6,D/A CURE
BGA206,2150,7,PLASMA
