CAN_RUN_MODELS,PROCESS_TIME,amount_of_tools,amount_of_wires,automotive,bom_id,code,customer,dest_oper,fcst_time,hold,is_sub_lot,log,lot_number,lot_size,mvin,oper,package_id,part_id,part_no,pin_package,prescheduled_machine,prescheduled_order,process_id,prod_id,qty,queue_time,recipe,route,uphs,urgent_code,wb_location
"MAXUM-PLUS,MAXUM,RAPID,MAXUM,MAXUM-PLUS,RAPID","418.426021,590.188839,360.299068",62,115,N,6A008205,,PHISON,2200,0.000000,N,Y,"Add queue time + -112.000000 for the reason : DA Queue Time||Pass the station(2140), add cure time : 40||Add cure time + 40.000000 for cure station : 2140||Add queue time + 120.000000 for(2140->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route",R13NVN535,1600,Y,2130,PC51S2910J-00000-00617{OT-BIN22-125},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A147,0086ANV172,1571,123.000000,ANV0086A1075A,MBGA558,"225.272797,159.711594,261.615997",4,
"MAXUM-PLUS,MAXUM,RAPID,MAXUM,MAXUM-PLUS,RAPID","405.641522,572.156335,349.290567",62,115,N,6A008205,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R13NVN533,1600,N,2150,PC51S2910J-00000-00617{OT-BIN22-125},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A147,0086ANV172,1523,75.000000,ANV0086A1075A,MBGA558,"225.272797,159.711594,261.615997",4,N2WB TB
"MAXUM-PLUS,MAXUM,RAPID,MAXUM,MAXUM-PLUS,RAPID","420.823115,593.569933,362.363162",62,115,N,6A008205,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R13NVN534,1600,N,2150,PC51S2910J-00000-00617{OT-BIN22-125},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A147,0086ANV172,1580,75.000000,ANV0086A1075A,MBGA558,"225.272797,159.711594,261.615997",4,
"MAXUM-PLUS,MAXUM,RAPID,MAXUM,MAXUM-PLUS,RAPID","414.430865,584.553681,356.858911",62,115,N,6A008205,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R13NVN531,1600,N,2150,PC51S2910J-00000-00617{OT-BIN22-125},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A147,0086ANV172,1556,75.000000,ANV0086A1075A,MBGA558,"225.272797,159.711594,261.615997",4,N2WB TB
"MAXUM-PLUS,MAXUM,RAPID,MAXUM,MAXUM-PLUS,RAPID","413.365490,583.050973,355.941536",62,115,N,6A008205,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R13NVN532,1600,N,2150,PC51S2910J-00000-00617{OT-BIN22-125},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A147,0086ANV172,1552,75.000000,ANV0086A1075A,MBGA558,"225.272797,159.711594,261.615997",4,N2WB TB
"RAPID,RAPID",518.106050,62,115,N,6A008233,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R13NVN315,1600,N,2090,PC51S2910J-00000-00617{OT-BIN22-75},1091A06C41,A0803CB1212,uSD08AQV-C,BBRA7,1,0086A167,0086ANV203,1545,15.000000,ANV0086A1076A,MBGA558,178.920898,4,BBRA7-1
"RAPID,RAPID",513.746582,62,115,N,6A008233,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R13NVN323,1600,N,2090,PC51S2910J-00000-00617{OT-BIN22-75},1091A06C41,A0803CB1212,uSD08AQV-C,BBRF3,1,0086A167,0086ANV203,1532,15.000000,ANV0086A1076A,MBGA558,178.920898,4,BBRF3-1
"RAPID,RAPID",511.734520,62,115,N,6A008233,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R13NVN327,1600,N,2090,PC51S2910J-00000-00617{OT-BIN22-75},1091A06C41,A0803CB1212,uSD08AQV-C,BBRC6,1,0086A167,0086ANV203,1526,15.000000,ANV0086A1076A,MBGA558,178.920898,4,BBRC6-1
"RAPID,RAPID",532.525830,62,115,N,6A008233,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R13NVN324,1600,N,2090,PC51S2910J-00000-00617{OT-BIN22-75},1091A06C41,A0803CB1212,uSD08AQV-C,BBRA6,1,0086A167,0086ANV203,1588,15.000000,ANV0086A1076A,MBGA558,178.920898,4,BBRA6-1
"RAPID,RAPID",529.172393,62,115,N,6A008233,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R13NVN314,1600,N,2090,PC51S2910J-00000-00617{OT-BIN22-75},1091A06C41,A0803CB1212,uSD08AQV-C,BBR97,1,0086A167,0086ANV203,1578,15.000000,ANV0086A1076A,MBGA558,178.920898,4,BBR97-1
