assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,wlot_oper,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_crt_dat_al_3,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_crte_category,wlot_hold,prod_type,cust_code,package_id,po_no,wlot_mvin_perfmd,wlot_deleted,wlot_actl_mvin_dt,wlot_actl_mvin_tm,wlot_dt_last_trans,wlot_tm_last_trans,assy_issue,bd_id,assy_group,wlot_hold_category,da_type,tape_no,mark_type,test_entity,package_id1,wlot_owner,wb_date,sp_date,pack_date,ship_date,due_date,wafer_size,urgent_code,note_4,heat_block,heat_block_qty,pb_free,sps_status,ship_to,md_no,swr_id,swr_ver,wlot_hold_note,wlot_assy_lot,assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,
	R12MSAQ    ,	21,	2020,	2022/3/21 下午 08:31:19,	WSM       ,	Y,	2070,	R12MSAQ    ,	MTI          ,	FBGA-78UEN     ,	078ENMS018               ,	228298B.01L                                       ,	0,	19,	2070,	A2,	N,	TSOP  ,	MS,	Z42B1SA8CMS4913{Thick Ni}                         ,	1372119                  ,	Y,	N,	20220402,	180542,	20220402,	185814,	2022/3/18 上午 12:00:00,	AMS078EN1006A       ,	,	      ,	M,	                         ,	          ,	               ,	Z42B1SA8CMS4913{Thick Ni}                         ,	SWR         ,	2022/3/28 上午 12:00:00,	2022/4/2 上午 12:00:00,	2022/4/7 上午 12:00:00,	2022/4/7 上午 12:00:00,	2022/4/12 上午 12:00:00,	12,	 P,	 A E B A D                                                                      ,	A0801CB1338         ,	30,	Y3,	     ,	MS41    ,	1081G771S1               ,	20220317009.E  ,	1,	                                   ,	R12MSAQ,	R12MSAQ    ,	21,	2020,	2022/3/21 下午 08:31:19,	WSM       ,	Y,
	R12QRN639  ,	2,	2470,	2022/3/23 下午 04:07:17,	WSM       ,	Y,	3720,	R12QRN639  ,	GigaDevice   ,	WLCSP          ,	000IAQR024               ,	C005323                                           ,	3000,	0,	3720,	A2,	Y,	TSOP  ,	QR,	GD25LE64ELIGR{0136}                               ,	4600012156               ,	N,	N,	0,	0,	20220323,	160831,	2022/3/19 上午 12:00:00,	                    ,	,	CM99  ,	M,	                         ,	          ,	               ,	GD25LE64ELIGR{0136}                               ,	PROD        ,	2022/3/25 上午 12:00:00,	2022/3/26 上午 12:00:00,	2022/3/27 上午 12:00:00,	2022/3/27 上午 12:00:00,	2022/3/27 上午 12:00:00,	12,	,	 D D B A A                                                                      ,	                    ,	0,	 N,	     ,	QR99    ,	                         ,	,	,	IC翻轉                             ,	R12QRN6,	R12QRN639  ,	2,	2470,	2022/3/23 下午 04:07:17,	WSM       ,	Y,
	R12VGC703  ,	41,	2470,	2022/3/31 上午 02:05:49,	WSM       ,	Y,	2430,	R12VGC703  ,	ISSI-VG      ,	DFN-08YQ2A     ,	008YQVG002               ,	PPJ315Y1                                          ,	8640,	0,	2430,	A2,	N,	TSOP  ,	VG,	IS25WP256D-JLLE                                   ,	C02PO-100557061          ,	N,	N,	0,	0,	20220331,	132449,	2022/3/20 上午 12:00:00,	ABU008YQ2001A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25WP256D-JLLE                                   ,	PROD        ,	2022/3/25 上午 12:00:00,	2022/3/27 上午 12:00:00,	2022/3/30 上午 12:00:00,	2022/3/31 上午 12:00:00,	2022/4/1 上午 12:00:00,	12,	,	 H J A E H                                                                      ,	A0803CB1174         ,	10,	Y1,	     ,	VG51    ,	108192HF42               ,	,	,	                                   ,	R12VGC7,	R12VGC703  ,	41,	2470,	2022/3/31 上午 02:05:49,	WSM       ,	Y,
	R12VGC720  ,	41,	2470,	2022/3/30 下午 06:41:59,	WSM       ,	Y,	2430,	R12VGC720  ,	ISSI-VG      ,	DFN-08YQ2A     ,	008YQVG002               ,	PPJ315Y1                                          ,	8640,	0,	2430,	A2,	N,	TSOP  ,	VG,	IS25WP256D-JLLE                                   ,	C02PO-100557061          ,	N,	N,	0,	0,	20220331,	91311,	2022/3/20 上午 12:00:00,	ABU008YQ2001A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25WP256D-JLLE                                   ,	PROD        ,	2022/3/25 上午 12:00:00,	2022/3/27 上午 12:00:00,	2022/3/30 上午 12:00:00,	2022/3/31 上午 12:00:00,	2022/4/1 上午 12:00:00,	12,	,	 H J A E H                                                                      ,	A0803CB1174         ,	10,	Y1,	     ,	VG51    ,	108192HF42               ,	,	,	                                   ,	R12VGC7,	R12VGC720  ,	41,	2470,	2022/3/30 下午 06:41:59,	WSM       ,	Y,
	R12ZAAM03  ,	15,	2210,	2022/4/2 下午 07:13:09,	WSM       ,	Y,	2310,	R12ZAAM03  ,	Auton        ,	uSD08AQV-C     ,	0086AZA021               ,	TPO220121004-2(B11)                               ,	1580,	0,	2310,	A2,	N,	TSOP  ,	ZA,	507K0000282-S1B{BIN22-125UM}                      ,	AT1110315016             ,	N,	N,	0,	0,	20220403,	24653,	2022/3/23 上午 12:00:00,	AZA0086A1016A       ,	,	      ,	M,	                         ,	          ,	               ,	507K0000282-S1B{BIN22-125UM}                      ,	PROD        ,	2022/3/24 上午 12:00:00,	2022/3/25 上午 12:00:00,	2022/3/26 上午 12:00:00,	2022/3/26 上午 12:00:00,	,	12,	  ,	 B F B A B                                                                      ,	A0803CB1212         ,	62,	Y3,	     ,	ZA02    ,	1081E770A1               ,	,	,	                                   ,	R12ZAAM,	R12ZAAM03  ,	15,	2210,	2022/4/2 下午 07:13:09,	WSM       ,	Y,
	R13ABA508  ,	41,	2470,	2022/4/1 上午 07:46:16,	WSM       ,	Y,	2435,	R13ABA508  ,	WINBOND      ,	DFN-08YD4AW    ,	008YDAB027               ,	6150BN000                                         ,	9119,	0,	2435,	A2,	N,	TSOP  ,	AB,	AAG061900/I2/W25Q256JWPIQ{78x258}                 ,	OP6CMC04BI               ,	N,	N,	0,	0,	20220403,	40347,	2022/3/21 上午 12:00:00,	AAB008YD4001A       ,	,	      ,	M,	                         ,	          ,	               ,	AAG061900/I2/W25Q256JWPIQ{78x258}                 ,	PROD        ,	2022/3/22 上午 12:00:00,	2022/3/23 上午 12:00:00,	2022/3/24 上午 12:00:00,	2022/3/24 上午 12:00:00,	2022/3/31 上午 12:00:00,	12,	,	 B D C A B                                                                      ,	A0803CB1340         ,	2,	Y1,	     ,	AB06    ,	108192HF4B               ,	,	,	                                   ,	R13ABA5,	R13ABA508  ,	41,	2470,	2022/4/1 上午 07:46:16,	WSM       ,	Y,
	R13ABFP09  ,	43,	2470,	2022/4/1 下午 11:25:54,	WSM       ,	Y,	2430,	R13ABFP09  ,	WINBOND      ,	DFN-08YD4AW    ,	008YDAB027               ,	6149F9700                                         ,	7174,	0,	2430,	A2,	N,	TSOP  ,	AB,	AAG061900/I2/W25Q256JWPIQ{78x258}                 ,	OP6CMC04DW               ,	N,	N,	0,	0,	20220402,	143754,	2022/3/23 上午 12:00:00,	AAB008YD4001A       ,	,	      ,	M,	                         ,	          ,	               ,	AAG061900/I2/W25Q256JWPIQ{78x258}                 ,	PROD        ,	2022/3/24 上午 12:00:00,	2022/3/25 上午 12:00:00,	2022/3/26 上午 12:00:00,	2022/3/26 上午 12:00:00,	2022/4/2 上午 12:00:00,	12,	,	 B D C A B                                                                      ,	A0803CB1340         ,	2,	Y1,	     ,	AB06    ,	108192HF4B               ,	,	,	                                   ,	R13ABFP,	R13ABFP09  ,	43,	2470,	2022/4/1 下午 11:25:54,	WSM       ,	Y,
	R13ABHC08  ,	45,	2470,	2022/4/1 下午 02:39:35,	WSM       ,	Y,	2430,	R13ABHC08  ,	WINBOND      ,	STDFN-08YQ2A   ,	008YQAB082               ,	6212M0009                                         ,	8640,	0,	2430,	A2,	N,	TSOP  ,	AB,	AAG070910/IG/W25R512JVEIN                         ,	OP6CMC04EY               ,	N,	N,	0,	0,	20220402,	21452,	2022/3/24 上午 12:00:00,	AAB008YQ2041A       ,	,	      ,	M,	                         ,	          ,	               ,	AAG070910/IG/W25R512JVEIN                         ,	PROD        ,	2022/3/27 上午 12:00:00,	2022/3/29 上午 12:00:00,	2022/3/31 上午 12:00:00,	2022/4/1 上午 12:00:00,	2022/3/24 上午 12:00:00,	12,	,	 E J E B D                                                                      ,	A0803CB1050         ,	16,	Y1,	     ,	AB06    ,	108192HF4A               ,	,	,	                                   ,	R13ABHC,	R13ABHC08  ,	45,	2470,	2022/4/1 下午 02:39:35,	WSM       ,	Y,
	R13ABHK02  ,	41,	2470,	2022/4/1 下午 09:39:41,	WSM       ,	Y,	2460,	R13ABHK02  ,	WINBOND      ,	DFN08YQ3AW     ,	008YQAB116               ,	61485A70052                                       ,	11200,	0,	2460,	A2,	N,	TSOP  ,	AB,	AAG061800/IG/W25Q256JWEIQ{78x258}                 ,	OP6CMC04AV               ,	N,	N,	0,	0,	20220403,	70117,	2022/3/24 上午 12:00:00,	AAB008YQ3023A       ,	,	      ,	M,	                         ,	          ,	               ,	AAG061800/IG/W25Q256JWEIQ{78x258}                 ,	PROD        ,	2022/3/25 上午 12:00:00,	2022/3/26 上午 12:00:00,	2022/3/27 上午 12:00:00,	2022/3/27 上午 12:00:00,	2022/4/3 上午 12:00:00,	12,	,	 A A E A B                                                                      ,	A0803CB1365         ,	32,	Y1,	     ,	AB06    ,	108192HF4B               ,	,	,	                                   ,	R13ABHK,	R13ABHK02  ,	41,	2470,	2022/4/1 下午 09:39:41,	WSM       ,	Y,
	R13ABJ205  ,	45,	2470,	2022/4/2 下午 03:35:25,	WSM       ,	Y,	2430,	R13ABJ205  ,	WINBOND      ,	STDFN-08YQ2A   ,	008YQAB082               ,	6212M0012                                         ,	7072,	0,	2430,	A2,	N,	TSOP  ,	AB,	AAG070910/IG/W25R512JVEIN                         ,	OP6CMC04EZ               ,	N,	N,	0,	0,	20220402,	230750,	2022/3/25 上午 12:00:00,	AAB008YQ2041A       ,	,	      ,	M,	                         ,	          ,	               ,	AAG070910/IG/W25R512JVEIN                         ,	PROD        ,	2022/3/28 上午 12:00:00,	2022/3/30 上午 12:00:00,	2022/4/1 上午 12:00:00,	2022/4/2 上午 12:00:00,	2022/3/25 上午 12:00:00,	12,	,	 E J E B D                                                                      ,	A0803CB1050         ,	16,	Y1,	     ,	AB06    ,	108192HF4A               ,	,	,	                                   ,	R13ABJ2,	R13ABJ205  ,	45,	2470,	2022/4/2 下午 03:35:25,	WSM       ,	Y,
	R13ABJ302  ,	45,	2470,	2022/4/1 下午 02:57:05,	WSM       ,	Y,	2430,	R13ABJ302  ,	WINBOND      ,	STDFN-08YQ2A   ,	008YQAB082               ,	6212M0013                                         ,	8640,	0,	2430,	A2,	N,	TSOP  ,	AB,	AAG070910/IG/W25R512JVEIN                         ,	OP6CMC04EZ               ,	N,	N,	0,	0,	20220402,	53246,	2022/3/25 上午 12:00:00,	AAB008YQ2041A       ,	,	      ,	M,	                         ,	          ,	               ,	AAG070910/IG/W25R512JVEIN                         ,	PROD        ,	2022/3/28 上午 12:00:00,	2022/3/30 上午 12:00:00,	2022/4/1 上午 12:00:00,	2022/4/2 上午 12:00:00,	2022/3/25 上午 12:00:00,	12,	,	 E J E B D                                                                      ,	A0803CB1050         ,	16,	Y1,	     ,	AB06    ,	108192HF4A               ,	,	,	                                   ,	R13ABJ3,	R13ABJ302  ,	45,	2470,	2022/4/1 下午 02:57:05,	WSM       ,	Y,
	R13ABJ405  ,	45,	2470,	2022/4/3 上午 02:49:12,	WSM       ,	Y,	2320,	R13ABJ405  ,	WINBOND      ,	STDFN-08YQ2A   ,	008YQAB082               ,	6212M0014                                         ,	2160,	0,	2320,	A2,	N,	TSOP  ,	AB,	AAG070910/IG/W25R512JVEIN                         ,	OP6CMC04EZ               ,	N,	N,	0,	0,	20220403,	75756,	2022/3/25 上午 12:00:00,	AAB008YQ2041A       ,	,	      ,	M,	                         ,	          ,	               ,	AAG070910/IG/W25R512JVEIN                         ,	PROD        ,	2022/3/28 上午 12:00:00,	2022/3/30 上午 12:00:00,	2022/4/1 上午 12:00:00,	2022/4/2 上午 12:00:00,	2022/3/25 上午 12:00:00,	12,	,	 E J E B D                                                                      ,	A0803CB1050         ,	16,	Y1,	     ,	AB06    ,	108192HF4A               ,	,	,	                                   ,	R13ABJ4,	R13ABJ405  ,	45,	2470,	2022/4/3 上午 02:49:12,	WSM       ,	Y,
	R13ABJ505  ,	45,	2470,	2022/4/3 上午 02:09:38,	WSM       ,	Y,	2320,	R13ABJ505  ,	WINBOND      ,	STDFN-08YQ2A   ,	008YQAB082               ,	6212M0015                                         ,	6909,	0,	2320,	A2,	N,	TSOP  ,	AB,	AAG070910/IG/W25R512JVEIN                         ,	OP6CMC04EZ               ,	Y,	N,	20220403,	75718,	20220403,	75718,	2022/3/25 上午 12:00:00,	AAB008YQ2041A       ,	,	      ,	M,	                         ,	          ,	               ,	AAG070910/IG/W25R512JVEIN                         ,	PROD        ,	2022/3/28 上午 12:00:00,	2022/3/30 上午 12:00:00,	2022/4/1 上午 12:00:00,	2022/4/2 上午 12:00:00,	2022/3/25 上午 12:00:00,	12,	,	 E J E B D                                                                      ,	A0803CB1050         ,	16,	Y1,	     ,	AB06    ,	108192HF4A               ,	,	,	                                   ,	R13ABJ5,	R13ABJ505  ,	45,	2470,	2022/4/3 上午 02:09:38,	WSM       ,	Y,
	R13ABJE02  ,	44,	2470,	2022/4/1 上午 04:58:30,	WSM       ,	Y,	2430,	R13ABJE02  ,	WINBOND      ,	DFN-08YQ2A     ,	008YQAB072               ,	61517P800                                         ,	8640,	0,	2430,	A2,	N,	TSOP  ,	AB,	AAG070900/IG/W25Q512JVEIN{VER4}                   ,	OP6CMC04J2               ,	N,	N,	0,	0,	20220401,	123023,	2022/3/25 上午 12:00:00,	AAB008YQ2022A       ,	,	      ,	M,	                         ,	          ,	               ,	AAG070900/IG/W25Q512JVEIN{VER4}                   ,	PROD        ,	2022/3/30 上午 12:00:00,	2022/4/1 上午 12:00:00,	2022/4/4 上午 12:00:00,	2022/4/5 上午 12:00:00,	2022/4/6 上午 12:00:00,	12,	,	 G K E A D                                                                      ,	A0803CB1050         ,	16,	Y1,	     ,	AB06    ,	108192HF4A               ,	,	,	                                   ,	R13ABJE,	R13ABJE02  ,	44,	2470,	2022/4/1 上午 04:58:30,	WSM       ,	Y,
	R13ABJQ05  ,	43,	2470,	2022/4/2 下午 01:51:07,	WSM       ,	Y,	2430,	R13ABJQ05  ,	WINBOND      ,	DFN08YQ3AW     ,	008YQAB116               ,	61515A100                                         ,	10359,	0,	2430,	A2,	N,	TSOP  ,	AB,	AAG061800/IG/W25Q256JWEIQ{78x258}                 ,	OP6CMC04IN               ,	N,	N,	0,	0,	20220402,	212131,	2022/3/25 上午 12:00:00,	AAB008YQ3023A       ,	,	      ,	M,	                         ,	          ,	               ,	AAG061800/IG/W25Q256JWEIQ{78x258}                 ,	PROD        ,	2022/3/26 上午 12:00:00,	2022/3/27 上午 12:00:00,	2022/3/28 上午 12:00:00,	2022/3/28 上午 12:00:00,	2022/4/4 上午 12:00:00,	12,	,	 A A E A B                                                                      ,	A0803CB1365         ,	32,	Y1,	     ,	AB06    ,	108192HF4B               ,	,	,	                                   ,	R13ABJQ,	R13ABJQ05  ,	43,	2470,	2022/4/2 下午 01:51:07,	WSM       ,	Y,
	R13ABLK03  ,	45,	2470,	2022/4/3 上午 04:38:02,	WSM       ,	Y,	2320,	R13ABLK03  ,	WINBOND      ,	STDFN-08YQ2A   ,	008YQAB082               ,	6212M0095                                         ,	2160,	0,	2320,	A2,	N,	TSOP  ,	AB,	AAG070910/IG/W25R512JVEIN                         ,	OP6CMC04OZ               ,	N,	N,	0,	0,	20220403,	75759,	2022/3/26 上午 12:00:00,	AAB008YQ2041A       ,	,	      ,	M,	                         ,	          ,	               ,	AAG070910/IG/W25R512JVEIN                         ,	PROD        ,	2022/3/29 上午 12:00:00,	2022/3/31 上午 12:00:00,	2022/4/2 上午 12:00:00,	2022/4/3 上午 12:00:00,	2022/3/26 上午 12:00:00,	12,	,	 E J E B D                                                                      ,	A0803CB1050         ,	16,	Y1,	     ,	AB06    ,	108192HF4A               ,	,	,	                                   ,	R13ABLK,	R13ABLK03  ,	45,	2470,	2022/4/3 上午 04:38:02,	WSM       ,	Y,
	R13ABLK07  ,	45,	2470,	2022/4/3 上午 03:29:13,	WSM       ,	Y,	2320,	R13ABLK07  ,	WINBOND      ,	STDFN-08YQ2A   ,	008YQAB082               ,	6212M0095                                         ,	2160,	0,	2320,	A2,	N,	TSOP  ,	AB,	AAG070910/IG/W25R512JVEIN                         ,	OP6CMC04OZ               ,	N,	N,	0,	0,	20220403,	75800,	2022/3/26 上午 12:00:00,	AAB008YQ2041A       ,	,	      ,	M,	                         ,	          ,	               ,	AAG070910/IG/W25R512JVEIN                         ,	PROD        ,	2022/3/29 上午 12:00:00,	2022/3/31 上午 12:00:00,	2022/4/2 上午 12:00:00,	2022/4/3 上午 12:00:00,	2022/3/26 上午 12:00:00,	12,	,	 E J E B D                                                                      ,	A0803CB1050         ,	16,	Y1,	     ,	AB06    ,	108192HF4A               ,	,	,	                                   ,	R13ABLK,	R13ABLK07  ,	45,	2470,	2022/4/3 上午 03:29:13,	WSM       ,	Y,
