,Unnamed: 0,bd_id_1,bd_id_2,end_time,entity,jobcode,lot_num_1,lot_num_2,number,start_time,start_time_trans,end_time_trans,CR,start_time_adj,end_time_adj
0,0,AAB024XJ6011A,ALW078C93001A,562.546786,BB211,"CWN,SC",R14ABKY01,R14LWBG03,BB211_2,442.546786,2022-04-06 15:27:32,2022-04-06 17:27:32,7619.82,2022-04-06 15:27:32,2022-04-06 17:27:32
1,1,ACD096EF2001B,AMS096EF2001A,476.0,BB212,MC,R14CDB703,R14MSFD02,BB212_1,392.0,2022-04-06 14:37:00,2022-04-06 16:01:00,7619.05,2022-04-06 14:37:00,2022-04-06 16:01:00
2,2,AAB024MA6020A,AAW048TP1008B,2177.260136,BB214,"CWN,SC",R14ABPE04,R14AWBS34,BB214_12,2057.260136,2022-04-07 18:22:15,2022-04-07 20:22:15,7620.91,2022-04-07 18:22:15,2022-04-07 20:22:15
3,3,AMS078EN1001A,AMS096EF2001A,416.0,BB216,MC,R14MSBU02,R14MSFD01,BB216_1,332.0,2022-04-06 13:37:00,2022-04-06 15:01:00,7619.05,2022-04-06 13:37:00,2022-04-06 15:01:00
4,4,ANV132X2C059A,ALW078C93001A,84.0,BB217,MC,,R14LWB102,BB217_1,0.0,2022-04-06 08:05:00,2022-04-06 09:29:00,7617.94,2022-04-06 08:05:00,2022-04-06 09:29:00
5,5,ANV132X2C059A,ALW078EP1001A,1027.885652,BB219,MC,R14NVPN08,R14LWBZ01,BB219_1,943.885652,2022-04-06 23:48:53,2022-04-07 01:12:53,7626.71,2022-04-06 23:48:53,2022-04-07 01:12:53
6,6,ACD084CC2003A,AMS078C91003A,2263.090236,BB220,"CWN,SC",R14CDC802,R14MSM401,BB220_3,2143.090236,2022-04-07 19:48:05,2022-04-07 21:48:05,7623.019999999999,2022-04-07 19:48:05,2022-04-07 21:48:05
7,7,ANV132X2C059A,AAB162KE1006A,1095.300686,BB221,MC,R14NVPN03,R14ABK305,BB221_1,1011.300686,2022-04-07 00:56:18,2022-04-07 02:20:18,7617.75,2022-04-07 00:56:18,2022-04-07 02:20:18
8,8,ACD096EF2001B,AAB162KE1006A,84.0,BB231,MC,,R14ABD902,BB231_1,0.0,2022-04-06 08:05:00,2022-04-06 09:29:00,7617.4,2022-04-06 08:05:00,2022-04-06 09:29:00
9,9,ACD084CC2003A,AAW048TP1008B,1495.749808,BB233,"CWN,SC",R14CDC905,R14AWBS28,BB233_2,1375.749808,2022-04-07 07:00:44,2022-04-07 09:00:44,7620.91,2022-04-07 07:00:44,2022-04-07 09:00:44
10,10,AAB024XJ6011A,AMS078C91003A,84.0,BB234,MC,,R14MSM202,BB234_1,0.0,2022-04-06 08:05:00,2022-04-06 09:29:00,7622.78,2022-04-06 08:05:00,2022-04-06 09:29:00
11,11,AAB060EM2001A,ABU048MA4015A,84.0,BB447,MC,,R14BUB102,BB447_1,0.0,2022-04-06 08:05:00,2022-04-06 09:29:00,7777.0,2022-04-06 08:05:00,2022-04-06 09:29:00
12,12,AAB060EM2001A,AAW064MR1009A,84.0,BB450,MC,,R14AWCA01,BB450_1,0.0,2022-04-06 08:05:00,2022-04-06 09:29:00,7630.16,2022-04-06 08:05:00,2022-04-06 09:29:00
13,13,ABU060C32001D,AAB066TN1004A,1068.674979,BB461,"CWN,SC",R14BUBK09,R14ABU601,BB461_2,948.674979,2022-04-06 23:53:40,2022-04-07 01:53:40,7631.73,2022-04-06 23:53:40,2022-04-07 01:53:40
14,14,ACD054MF2003A,AAB054TN1002A,541.0,BB462,MC,R14CDBG07,R14ABRY01,BB462_1,457.0,2022-04-06 15:42:00,2022-04-06 17:06:00,7617.08,2022-04-06 15:42:00,2022-04-06 17:06:00
15,15,ABU165MC4001A,AAB060EM2002A,-10032.0,BB474,MC,R80CMJX01,R14ABQB08,BB474_1,-10116.0,2022-03-30 07:29:00,2022-03-30 08:53:00,7617.16,2022-03-30 07:29:00,2022-03-30 08:53:00
16,16,AAB063NW3008A,AAB054NB2001A,1411.437958,BB476,"CWN,SC",R14ABNB03,R14ABRR04,BB476_3,1291.437958,2022-04-07 05:36:26,2022-04-07 07:36:26,7618.019999999999,2022-04-07 05:36:26,2022-04-07 07:36:26
17,17,AAB060EM2001A,AAB060EM2002A,946.0,BB483,MC,R14ABP401,R14ABQB01,BB483_1,862.0,2022-04-06 22:27:00,2022-04-06 23:51:00,7617.39,2022-04-06 22:27:00,2022-04-06 23:51:00
18,18,AMS096EC3001B,CU048MA2012A,1942.587022,BB485,"CWN,SC",R14MSF802,R14BUAW03,BB485_2,1822.587022,2022-04-07 14:27:35,2022-04-07 16:27:35,7618.45,2022-04-07 14:27:35,2022-04-07 16:27:35
19,19,AAB060EM2001A,AAB060EM2002A,84.0,BB496,MC,,R14ABQB04,BB496_1,0.0,2022-04-06 08:05:00,2022-04-06 09:29:00,7617.16,2022-04-06 08:05:00,2022-04-06 09:29:00
20,20,AAB063NW3008A,IS048XJ2006A,960.218979,BB505,"CWN,SC",R14ABNB02,R13ISB501,BB505_2,840.218979,2022-04-06 22:05:13,2022-04-07 00:05:13,7617.08,2022-04-06 22:05:13,2022-04-07 00:05:13
21,21,ABU060C32001D,AAB054TN1002A,733.262681,BB509,"CWN,SC",R14BUBK10,R14ABRY07,BB509_2,613.262681,2022-04-06 18:18:15,2022-04-06 20:18:15,7617.08,2022-04-06 18:18:15,2022-04-06 20:18:15
22,22,AAB060EM2001A,AAB060NR1004B,84.0,BB526,MC,,R14ABQ313,BB526_1,0.0,2022-04-06 08:05:00,2022-04-06 09:29:00,7617.41,2022-04-06 08:05:00,2022-04-06 09:29:00
23,23,ABU048MA7001A,AAB060EM2002A,84.0,BB528,MC,,R14ABQB09,BB528_1,0.0,2022-04-06 08:05:00,2022-04-06 09:29:00,7617.16,2022-04-06 08:05:00,2022-04-06 09:29:00
24,24,ACD054MF2003A,AAB060NR1004B,102.0,BB538,MC,R14CDBF05,R14ABQ407,BB538_1,18.0,2022-04-06 08:23:00,2022-04-06 09:47:00,7617.62,2022-04-06 08:23:00,2022-04-06 09:47:00
25,25,BU054MF1002A,AAW024MA6006C,189.0,BB542,"CWN,SC",R14BUBH02,R14AWBE01,BB542_1,69.0,2022-04-06 09:14:00,2022-04-06 11:14:00,7654.39,2022-04-06 09:14:00,2022-04-06 11:14:00
26,26,AAW024MA6006C,AAW064MR1009A,2237.800193,BB542,"CWN,SC",R14AWBD11,R14AWCA02,BB542_7,2117.800193,2022-04-07 19:22:48,2022-04-07 21:22:48,7630.16,2022-04-07 19:22:48,2022-04-07 21:22:48
27,27,BU054MF1002A,AAB048TW2002A,120.0,BB545,"CWN,SC",,R14ABT502,BB545_1,0.0,2022-04-06 08:05:00,2022-04-06 10:05:00,7644.26,2022-04-06 08:05:00,2022-04-06 10:05:00
28,28,AAB048TW2002A,AAW064MR1012A,770.122795,BB545,"CWN,SC",R14ABT504,R14AWB905,BB545_3,650.122795,2022-04-06 18:55:07,2022-04-06 20:55:07,7621.72,2022-04-06 18:55:07,2022-04-06 20:55:07
29,29,BU054MF1002A,AAB060EM2002A,84.0,BB549,MC,,R14ABQB10,BB549_1,0.0,2022-04-06 08:05:00,2022-04-06 09:29:00,7617.16,2022-04-06 08:05:00,2022-04-06 09:29:00
30,30,BU054MF1002A,AUL086TA1003A,204.0,BB550,MC,R14BUBH01,R14ULA909,BB550_1,120.0,2022-04-06 10:05:00,2022-04-06 11:29:00,7617.46,2022-04-06 10:05:00,2022-04-06 11:29:00
31,31,AAB096EL1019A,AAB060NR1004B,84.0,BB556,MC,,R14ABQ311,BB556_1,0.0,2022-04-06 08:05:00,2022-04-06 09:29:00,7617.41,2022-04-06 08:05:00,2022-04-06 09:29:00
