arrival_time,bd_id,cust,end_time,entity,lot_number,oper,part_id,part_no,pin_pkg,process_time,prod_id,qty,start_time
15.000000,AAB024MA6020A,WINBOND,313.860602,BB214,R14ABPE01,2200,1091A07T21,A0801CB1057,MBGA24D6U,244.860602,024MAAB053,6160,69.000000
15.000000,ACD084CC2003A,ETRON,1135.872116,BB220,R14CDCB05,2200,1091A07T41,A0801CB0660,FBGA-84UC(2),367.625573,084UCCD007,2033,768.246543
15.000000,ACD084CC2003A,ETRON,2042.457246,BB230,R14CDC904,2200,1091A07T41,A0801CB0660,FBGA-84UC(2),1012.642994,084UCCD007,5600,1029.814252
15.000000,ACD084CC2003A,ETRON,2023.926299,BB232,R14CDCB04,2200,1091A07T41,A0801CB0660,FBGA-84UC(2),1012.642994,084UCCD007,5600,1011.283305
15.000000,ACD084CC2003A,ETRON,1375.749808,BB233,R14CDC905,2200,1091A07T41,A0801CB0660,FBGA-84UC(2),363.466503,084UCCD007,2010,1012.283305
15.000000,ACD084CC2003A,ETRON,2050.236537,BB235,R14CDCB03,2200,1091A07T41,A0801CB0660,FBGA-84UC(2),1012.642994,084UCCD007,5600,1037.593544
15.000000,AB054NB2002A,WINBOND,710.758993,BB446,R14ABNJ03,2200,1091A08T21,A0801CB0248,VFBGA54B4,653.758993,054NBAB001,3866,57.000000
15.000000,AMS078EN1006A,MTI,1190.328813,BB452,R14MSFR01,2200,1091A06T21,A0801CB1338,FBGA-78UEN,1175.328813,078ENMS018,3580,15.000000
15.000000,AMS078EN1006A,MTI,431.640284,BB453,R14MSFP01,2200,1091A06T21,A0801CB1338,FBGA-78UEN,371.640284,078ENMS018,1132,60.000000
15.000000,AMS078EN1006A,MTI,1102.829730,BB467,R14MSFL01,2200,1091A06T21,A0801CB1338,FBGA-78UEN,1033.829730,078ENMS018,3149,69.000000
15.000000,AB054NB2002A,WINBOND,673.502117,BB480,R14ABNJ04,2200,1091A08T21,A0801CB0248,VFBGA54B4,647.502117,054NBAB001,3829,26.000000
15.000000,AAB060NR1004B,WINBOND,1375.599108,BB482,R14ABQ306,2200,1091A07T21,A0801CB0569,VFBGA60B4L,1307.599108,060NRAB005,5620,68.000000
15.000000,AMS078EN1006A,MTI,766.729573,BB484,R14MSFM01,2200,1091A06T21,A0801CB1338,FBGA-78UEN,735.729573,078ENMS018,2241,31.000000
15.000000,AAB054TN1004A,WINBOND,732.458999,BB498,R14ABQF04,2200,1091A07T21,A0801CB0549,TSOP2-54ME,717.458999,054TNAB029,2880,15.000000
15.000000,ABU096EA1001A,ICSI,1026.630149,BB499,R14BUB902,2200,1091A07C21,A0801CB1021,FBGA-96LEA,799.630149,096EABU001,2640,227.000000
15.000000,AMS078EN1006A,MTI,414.874440,BB503,R14MSEI01,2200,1091A06T21,A0801CB1338,FBGA-78UEN,399.874440,078ENMS018,1218,15.000000
15.000000,AMS078EN1006A,MTI,1313.434427,BB504,R14MSFN01,2200,1091A06T21,A0801CB1338,FBGA-78UEN,1168.434427,078ENMS018,3559,145.000000
15.000000,AMS078EN1006A,MTI,1101.286577,BB511,R14MSEV02,2200,1091A06T21,A0801CB1338,FBGA-78UEN,1069.286577,078ENMS018,3257,32.000000
15.000000,AMS078EN1006A,MTI,392.878063,BB517,R14MSE101,2200,1091A06T21,A0801CB1338,FBGA-78UEN,377.878063,078ENMS018,1151,15.000000
15.000000,AAB066TN1003A,WINBOND,791.494102,BB534,R14ABT304,2200,1091A07T21,A0801CB0788,TSOP2-66ME,671.494102,066TNAB031,2880,120.000000
15.000000,AMS078EN1006A,MTI,1192.139920,BB536,R14MSFK02,2200,1091A06T21,A0801CB1338,FBGA-78UEN,1144.139920,078ENMS018,3485,48.000000
15.000000,AMS048TW1053A,MTI,526.492621,BB543,R14MSM901,2200,1091A07T41,A0801CB1151,TSOP1-48AM,471.492621,048TWMS063,2160,55.000000
15.000000,ABU096EA1001A,ICSI,1068.712182,BB546,R14BUBN05,2200,1091A07C21,A0801CB1021,FBGA-96LEA,354.987324,096EABU001,1172,713.724859
15.000000,AMS078EN1006A,MTI,392.221454,BB555,R14MSFI01,2200,1091A06T21,A0801CB1338,FBGA-78UEN,377.221454,078ENMS018,1149,15.000000
15.000000,AAB096EL1003A,WINBOND,1836.222218,BB573,R14ABS105,2200,1091A07T21,A0801CB1102,FBGA96UEL(2),1666.222218,096ELAB016,5920,170.000000
15.000000,AMS078EN1006A,MTI,1269.630565,BB574,R14MSFK01,2200,1091A06T21,A0801CB1338,FBGA-78UEN,1155.630565,078ENMS018,3520,114.000000
15.000000,AMS078EN1006A,MTI,716.257638,BB580,R14MSGQ01,2200,1091A06T21,A0801CB1338,FBGA-78UEN,701.257638,078ENMS018,2136,15.000000
15.000000,AAW024MAA006A,MXIC,515.889386,BB585,R14AWCI02,2200,1091A07T41,A0801CB1057,MBGA24J3U,410.889386,024MAAW083,6140,105.000000
15.000000,AMS078C93001B,MTI,3137.506047,BB587,R13MSHM06,2200,1091A06T21,A0801CB0823,FBGA-78U9,1913.506047,078U9MS017,6675,1224.000000
15.000000,AMS078EN1006A,MTI,360.375953,BB589,R14MSEF02,2200,1091A06T21,A0801CB1338,FBGA-78UEN,345.375953,078ENMS018,1052,15.000000
15.000000,AAB096EL1017A,WINBOND,1082.588856,BB592,R14ABNH08,2200,1091A07T21,A0801CB1307,FBGA96UEL(2),950.588856,096ELAB047,3000,132.000000
