ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER
BB211,UTC3000,RUNNING,R15VGBP01,3200,024XJVG009,ABU024XJ6003A,22-04-17 14:16,22-04-17 02:43,ISSI-VG,STBGA24J4U,4782,,1091A07T41,4,R15VGBN01,STBGA24J4U,ISSI-VG,ABU024XJ6003A,1091A07T41,432.3776,22-04-17 14:16,3200
BB212,UTC3000,RUNNING,R16MSB401,2200,096EFMS006,AMS096EF2001A,22-04-17 12:36,22-04-16 12:05,MTI,FBGA-96UEF,4982,,1091A06T21,,R15MSDX01,FBGA-96UEF,MTI,AMS096EF2001A,1091A06T21,203.2268,22-04-17 12:36,2200
BB213,UTC3000,RUNNING,R16MSB402,2200,096EFMS006,AMS096EF2001A,22-04-17 12:11,22-04-16 12:03,MTI,FBGA-96UEF,4904,,1091A06T21,,R16MSB305,FBGA-96UEF,MTI,AMS096EF2001A,1091A06T21,203.2268,22-04-17 12:11,2200
BB214,UTC3000,IDLE,,,,AAB024XJ6011A,,22-04-16 22:39,,,,,,,R16ABD201,STBGA24D6U,WINBOND,AAB024XJ6011A,1091A07T21,1077.1637,,3200
BB215,UTC3000,RUNNING,R14ABTN11,3200,162KEAB011,AAB162KE1006A,22-04-17 17:23,22-04-16 09:55,WINBOND,STBGA162B4U,3320,,1091A07T21,,R14ABTD01,STBGA162B4U,WINBOND,AAB162KE1006A,1091A07T21,412.5821,22-04-17 17:23,3200
BB216,UTC3000,RUNNING,R15OKM206,2200,048TVOK056,AOK048TV1029A,22-04-17 13:02,22-04-17 02:25,LAPIS,TSOP1-48A2,2560,,1091A07C41,,R15OKM408,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-17 13:02,2200
BB217,UTC3000,RUNNING,R14ABTN14,3200,162KEAB011,AAB162KE1006A,22-04-17 22:33,22-04-16 17:23,WINBOND,STBGA162B4U,3076,,1091A07T21,,R14ABTN04,STBGA162B4U,WINBOND,AAB162KE1006A,1091A07T21,412.5821,22-04-17 22:33,3200
BB218,UTC3000,RUNNING,R15OKM207,2200,048TVOK056,AOK048TV1029A,22-04-17 17:48,22-04-17 07:11,LAPIS,TSOP1-48A2,2560,,1091A07C41,,R15OKM202,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-17 17:48,2200
BB219,UTC3000,IDLE,,,,AMS096EF2001A,,22-04-17 04:26,,,,,,,R16MSB405,FBGA-96UEF,MTI,AMS096EF2001A,1091A06T21,203.2268,,2200
BB220,UTC3000,IDLE,,,,AOK048TV1029A,,22-04-17 07:51,,,,,,,R15OKM415,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,,2200
BB221,UTC3000,RUNNING,R15OKM203,2200,048TVOK056,AOK048TV1029A,22-04-17 10:15,22-04-16 23:38,LAPIS,TSOP1-48A2,2560,,1091A07C41,,R15OKM115,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-17 10:15,2200
