process_id,Oper,master_desc,detail_id,remark
0008W044,2070,Entity,E20700199,DB-700
0008W044,2070,Entity,E20700199,DB-700
0008W044,2070,Entity,E20700199,DB-700
0008W044,2070,Lot Size,O20700198,1600
0008W044,2010,Entity Code,R20100698,S
0008W044,2040,Support Entity,S20400102,
0008W044,2040,Support Entity,S20400102,
0008W068,2070,Lot Size,O20700198,3520
0008W068,2010,Entity Code,R20100698,C
0008W068,2040,Support Entity,S20400102,
0008W068,2040,Support Entity,S20400102,
0008W364,2070,Entity,E20700199,DB-800;DB-700
0008W364,2070,Entity,E20700199,DB-800;DB-700
0008W364,2070,Entity,E20700199,DB-800;DB-700
0008W364,2070,Lot Size,O20700198,4320
0008W364,2010,Entity Code,R20100698,L
0008W364,2040,Support Entity,S20400102,
0008W364,2040,Support Entity,S20400102,
0008W751,2070,Lot Size,O20700198,3520
0008W751,2010,Entity Code,R20100698,S
0008W751,2040,Support Entity,S20400102,
0008W751,2040,Support Entity,S20400102,
0008W936,2070,Lot Size,O20700198,2160
0008W936,2010,Entity Code,R20100698,C
0008W936,2040,Support Entity,S20400102,
0008W936,2040,Support Entity,S20400102,
0008W990,2070,Lot Size,O20700198,2160
0008W990,2010,Entity Code,R20100698,C
0008W990,2040,Support Entity,S20400102,
0008W990,2040,Support Entity,S20400102,
0008WA104,2070,Lot Size,O20700198,2160
0008WA104,2010,Entity Code,R20100698,S
0008WA104,2040,Support Entity,S20400102,
0008WA104,2040,Support Entity,S20400102,
0008WA109,2070,Lot Size,O20700198,950
0008WA109,2010,Entity Code,R20100698,I
0008WA109,2040,Support Entity,S20400102,
0008WA109,2040,Support Entity,S20400102,
0008WA141,2070,Lot Size,O20700198,2160
0008WA141,2010,Entity Code,R20100698,M
0008WA141,2040,Support Entity,S20400102,
0008WA141,2040,Support Entity,S20400102,
0008WA155,2070,Lot Size,O20700198,950
0008WA155,2010,Entity Code,R20100698,O
0008WA155,2040,Support Entity,S20400102,
0008WA155,2040,Support Entity,S20400102,
0008WA160,2070,Lot Size,O20700198,950
0008WA160,2010,Entity Code,R20100698,Z
0008WA160,2040,Support Entity,S20400102,
0008WA160,2040,Support Entity,S20400102,
0008WA188,2070,Lot Size,O20700198,720
0008WA188,2010,Entity Code,R20100698,H
0008WA188,2040,Support Entity,S20400102,
0008WA188,2040,Support Entity,S20400102,
0008WA189,2070,Lot Size,O20700198,720
0008WA189,2010,Entity Code,R20100698,H
0008WA189,2040,Support Entity,S20400102,
0008WA189,2040,Support Entity,S20400102,
0008WA194,2070,Lot Size,O20700198,950
0008WA194,2010,Entity Code,R20100698,O
0008WA194,2040,Support Entity,S20400102,
0008WA194,2040,Support Entity,S20400102,
0008WA202,2070,Lot Size,O20700198,1900
0008WA202,2010,Entity Code,R20100698,O
0008WA202,2040,Support Entity,S20400102,
0008WA202,2040,Support Entity,S20400102,
0008WA207,2070,Lot Size,O20700198,720
0008WA207,2010,Entity Code,R20100698,H
0008WA207,2040,Support Entity,S20400102,
0008WA207,2040,Support Entity,S20400102,
0008WA401,2070,Lot Size,O20700198,950
0008WA401,2010,Entity Code,R20100698,I
0008WA403,2070,Lot Size,O20700198,5600
0008WA403,2010,Entity Code,R20100698,C
0008WA403,2040,Support Entity,S20400102,
0008WA403,2040,Support Entity,S20400102,
0008WA429,2070,Lot Size,O20700198,1600
0008WA429,2010,Entity Code,R20100698,Y
0008WA429,2040,Support Entity,S20400102,
0008WA429,2040,Support Entity,S20400102,
0008WA430,2070,Lot Size,O20700198,1600
0008WA457,2070,Lot Size,O20700198,3920
0008WA457,2010,Entity Code,R20100698,I
0008WAA9,2070,Lot Size,O20700198,2400
0008WAA9,2010,Entity Code,R20100698,Y
0008WAA9,2040,Support Entity,S20400102,
0008WAA9,2040,Support Entity,S20400102,
0008WDAE001,2010,Entity Code,R20100698,Y
0008WDAF001,2010,Entity Code,R20100698,Y
0008WE54ENG,2070,Lot Size,O20700198,720
0008WE54ENG,2010,Entity Code,R20100698,I
0008WE79ENG,2070,Lot Size,O20700198,1200
0008WE82ENG,2070,Lot Size,O20700198,720
0008WE82ENG,2010,Entity Code,R20100698,I
0008WE83ENG,2070,Lot Size,O20700198,720
0008WE83ENG,2010,Entity Code,R20100698,I
0008WE84ENG,2070,Lot Size,O20700198,720
0008WE84ENG,2010,Entity Code,R20100698,I
0008WE85ENG,2070,Lot Size,O20700198,3520
0008WE85ENG,2010,Entity Code,R20100698,D
0008WE85ENG,2040,Support Entity,S20400102,
0008WE85ENG,2040,Support Entity,S20400102,
0008WLAS001,2010,Entity Code,R20100698,Y
0008WPRT001,2010,Entity Code,R20100698,Y
0008WS211,2070,Entity,E20700199,DB-700
0008WS211,2070,Entity,E20700199,DB-700
0008WS211,2070,Entity,E20700199,DB-700
0008WS211,2070,Lot Size,O20700198,2160
0008WS211,2040,Support Entity,S20400102,
0008WS211,2040,Support Entity,S20400102,
0008WS361,2070,Lot Size,O20700198,3840
0008WS361,2010,Entity Code,R20100698,C
