OPER,CUST,B/D#,MODEL,G.UPH
2200,MXIC,AAW016D53004A,UTC2000,92.3769
2200,MXIC,AAW016D53004A,UTC2000S,90.66135
2200,MXIC,AAW016D53004A,UTC1000,90.66135
2200,MXIC,AAW016D53004A,UTC3000,90.66135
2200,MXIC,AAW016D53004A,UTC1000S,90.66135
2200,MXIC,AAW016D53004A,RAPID,90.66135
2200,MXIC,AAW016D53004A,ICONN-PLUS,90.66135
2200,MXIC,AAW016D53004A,MAXUM-PLUS,79.2414
2200,MXIC,AAW016D53004A,MAXUM-BASE,90.66135
2200,MXIC,AAW016D53004A,MAXUM-CU,90.66135
2200,MXIC,AAW016D53004A,UTC5000S,107.6208
2200,MXIC,AAW016D53004A,MAXUM,90.66135
2200,MXIC,AAW016D53004A,ICONN,90.66135
2200,MXIC,AAW016D53004A,UTC1000,90.66135
2200,MXIC,AAW016D53004A,UTC3000,90.66135
2200,MXIC,AAW016D53004A,UTC1000S,90.66135
2200,MXIC,AAW016D53004A,UTC2000,92.3769
2200,MXIC,AAW016D53004A,UTC2000S,90.66135
2200,MXIC,AAW016D53004A,ICONN-PLUS,90.66135
2200,MXIC,AAW016D53004A,MAXUM-PLUS,79.2414
2200,MXIC,AAW016D53004A,MAXUM-BASE,90.66135
2200,MXIC,AAW016D53004A,MAXUM-CU,90.66135
2200,MXIC,AAW016D53004A,MAXUM,90.66135
2200,MXIC,AAW016D53004A,RAPID,90.66135
2200,MXIC,AAW016D53004A,ICONN,90.66135
2200,MXIC,AAW016D53004A,UTC5000S,107.6208
2200,MXIC,AAW016D53019A,,0.0
2200,MXIC,AAW016D53019A,,0.0
2200,MXIC,AAW016D53019A,,0.0
2200,MXIC,AAW016D53019A,,0.0
2200,MXIC,AAW016D53019A,,0.0
2200,MXIC,AAW016D53019A,,0.0
2200,MXIC,AAW016D53019A,,0.0
2200,MXIC,AAW016D53019A,,0.0
2200,MXIC,AAW016D53019A,,0.0
2200,MXIC,AAW016D53019A,,0.0
2200,MXIC,AAW016D53019A,,0.0
2200,MXIC,AAW016D53019A,,0.0
2200,MXIC,AAW016D53019A,,0.0
2200,MXIC,AAW016D53017A,,86.2466
2200,MXIC,AAW016D53017A,,86.2466
2200,MXIC,AAW016D53017A,,86.2466
2200,MXIC,AAW016D53017A,,86.2466
2200,MXIC,AAW016D53017A,,86.2466
2200,MXIC,AAW016D53017A,,86.2466
2200,MXIC,AAW016D53017A,,86.2466
2200,MXIC,AAW016D53017A,,86.2466
2200,MXIC,AAW016D53017A,,86.2466
2200,MXIC,AAW016D53017A,,86.2466
2200,MXIC,AAW016D53017A,,86.2466
2200,MXIC,AAW016D53017A,,86.2466
2200,MXIC,AAW016D53017A,,86.2466
2200,PHISON,TDANV153XT8028A-A,,0.0
2200,PHISON,TDANV153XT8028A-A,,0.0
2200,PHISON,TDANV153XT8028A-A,,0.0
2200,PHISON,TDANV153XT8028A-A,,0.0
2200,PHISON,TDANV153XT8028A-A,,0.0
2200,PHISON,TDANV153XT8028A-A,,0.0
2200,PHISON,TDANV153XT8028A-A,,0.0
2200,PHISON,ANV0086A1032A,ICONN-PLUS,100.1652
2200,PHISON,ANV0086A1032A,MAXUM-PLUS,98.86224999999999
2200,PHISON,ANV0086A1032A,ICONN,98.86224999999999
2200,PHISON,ANV0086A1032A,RAPID,97.5593
2200,PHISON,ANV0086A1032A,MAXUM-CU,98.86224999999999
2200,PHISON,ANV0086A1032A,MAXUM-BASE,98.86224999999999
2200,PHISON,ANV0086A1032A,MAXUM,98.86224999999999
2200,PHISON,ANV0086A1065A,MAXUM,215.90503333333334
2200,PHISON,ANV0086A1065A,MAXUM-BASE,215.90503333333334
2200,PHISON,ANV0086A1065A,MAXUM-CU,215.90503333333334
2200,PHISON,ANV0086A1065A,MAXUM-PLUS,108.1061
2200,PHISON,ANV0086A1065A,ICONN-PLUS,215.90503333333334
2200,PHISON,ANV0086A1065A,ICONN,215.90503333333334
2200,PHISON,ANV0086A1065A,RAPID,215.90503333333334
2200,PHISON,ANV345XTB016A,,0.0
2200,PHISON,ANV345XTB016A,,0.0
2200,PHISON,ANV345XTB016A,,0.0
2200,PHISON,ANV345XTB016A,,0.0
2200,PHISON,ANV345XTB016A,,0.0
2200,PHISON,ANV345XTB016A,,0.0
2200,PHISON,ANV345XTB016A,,0.0
2200,PHISON,ANV345XTB016A,,0.0
2200,PHISON,ANV345XTB016A,,0.0
2200,PHISON,ANV345XTB016A,,0.0
2200,PHISON,ANV345XTB016A,,0.0
2200,PHISON,ANV345XTB016A,,0.0
2200,PHISON,ANV153XT9085A,,104.5328
2200,PHISON,ANV153XT9085A,,104.5328
2200,PHISON,ANV153XT9085A,,104.5328
2200,PHISON,ANV153XT9085A,,104.5328
2200,PHISON,ANV153XT9085A,,104.5328
2200,PHISON,ANV153XT9085A,,104.5328
2200,PHISON,ANV153XT9085A,,104.5328
2200,PHISON,ANV153XT9085A,,104.5328
2200,PHISON,ANV153XT9085A,,104.5328
2200,PHISON,ANV153XT9085A,,104.5328
2200,PHISON,ANV153XT9085A,,104.5328
2200,PHISON,ANV153XT9085A,,104.5328
2200,PHISON,ANV0086A1078A,,237.46482
2200,PHISON,ANV0086A1078A,,237.46482
2200,PHISON,ANV0086A1078A,,237.46482
2200,PHISON,ANV0086A1078A,,237.46482
2200,PHISON,ANV0086A1078A,,237.46482
2200,PHISON,ANV0086A1078A,,237.46482
2200,PHISON,ANV0086A1078A,,237.46482
2200,PHISON,ANV0086A1070A,,225.11659999999998
2200,PHISON,ANV0086A1070A,,225.11659999999998
2200,PHISON,ANV0086A1070A,,225.11659999999998
2200,PHISON,ANV0086A1070A,,225.11659999999998
2200,PHISON,ANV0086A1070A,,225.11659999999998
2200,PHISON,ANV0086A1070A,,225.11659999999998
2200,PHISON,ANV0086A1070A,,225.11659999999998
2200,LAPIS,AOK016D53002A,UTC1000,124.03385
2200,LAPIS,AOK016D53002A,UTC3000,124.03385
2200,LAPIS,AOK016D53002A,UTC1000S,124.03385
2200,LAPIS,AOK016D53002A,UTC2000,134.0743
2200,LAPIS,AOK016D53002A,UTC2000S,124.03385
2200,LAPIS,AOK016D53002A,MAXUM,124.03385
2200,LAPIS,AOK016D53002A,ICONN-PLUS,124.03385
2200,LAPIS,AOK016D53002A,MAXUM-PLUS,113.9934
2200,LAPIS,AOK016D53002A,UTC5000S,124.03385
2200,LAPIS,AOK016D53002A,MAXUM-BASE,124.03385
2200,LAPIS,AOK016D53002A,RAPID,124.03385
2200,LAPIS,AOK016D53002A,ICONN,124.03385
2200,LAPIS,AOK016D53002A,MAXUM-CU,124.03385
2200,HOSIN,ASS153XT3001A,UTC3000,125.311275
2200,HOSIN,ASS153XT3001A,UTC1000,125.311275
2200,HOSIN,ASS153XT3001A,UTC1000S,125.311275
2200,HOSIN,ASS153XT3001A,UTC2000S,125.311275
2200,HOSIN,ASS153XT3001A,UTC2000,127.2132
2200,HOSIN,ASS153XT3001A,MAXUM,125.311275
2200,HOSIN,ASS153XT3001A,MAXUM-BASE,125.311275
2200,HOSIN,ASS153XT3001A,ICONN,125.311275
2200,HOSIN,ASS153XT3001A,MAXUM-CU,125.311275
2200,HOSIN,ASS153XT3001A,ICONN-PLUS,125.311275
2200,HOSIN,ASS153XT3001A,RAPID,125.311275
2200,HOSIN,ASS153XT3001A,MAXUM-PLUS,125.311275
2200,HOSIN,ASS153XT3003A,UTC3000,205.42518888888887
2200,HOSIN,ASS153XT3003A,UTC2000,205.42518888888887
2200,HOSIN,ASS153XT3003A,UTC1000,205.42518888888887
2200,HOSIN,ASS153XT3003A,UTC2000S,205.42518888888887
2200,HOSIN,ASS153XT3003A,UTC1000S,205.42518888888887
2200,HOSIN,ASS153XT3003A,ICONN,205.42518888888887
2200,HOSIN,ASS153XT3003A,RAPID,171.2012
2200,HOSIN,ASS153XT3003A,MAXUM,205.42518888888887
2200,HOSIN,ASS153XT3003A,ICONN-PLUS,205.42518888888887
2200,HOSIN,ASS153XT3003A,MAXUM-BASE,205.42518888888887
2200,HOSIN,ASS153XT3003A,MAXUM-PLUS,205.42518888888887
2200,HOSIN,ASS153XT3003A,MAXUM-CU,205.42518888888887
2200,HOSIN,ASS153XT9007A,,169.9801
2200,HOSIN,ASS153XT9007A,,169.9801
2200,HOSIN,ASS153XT9007A,,169.9801
2200,HOSIN,ASS153XT9007A,,169.9801
2200,HOSIN,ASS153XT9007A,,169.9801
2200,HOSIN,ASS153XT9007A,,169.9801
2200,HOSIN,ASS153XT9007A,,169.9801
2200,HOSIN,ASS153XT9007A,,169.9801
2200,HOSIN,ASS153XT9007A,,169.9801
2200,HOSIN,ASS153XT9007A,,169.9801
2200,HOSIN,ASS153XT9007A,,169.9801
2200,HOSIN,ASS153XT9007A,,169.9801
2200,PHISON,ANV0086A1040A,MAXUM-PLUS,194.6965
2200,PHISON,ANV0086A1040A,MAXUM-CU,189.89175
2200,PHISON,ANV0086A1040A,MAXUM-BASE,189.89175
2200,PHISON,ANV0086A1040A,MAXUM,185.087
2200,PHISON,ANV0086A1040A,ICONN,189.89175
2200,PHISON,ANV0086A1040A,ICONN-PLUS,189.89175
2200,PHISON,ANV0086A1040A,RAPID,189.89175
2200,PHISON,ANV0086A1027A,MAXUM-PLUS,163.6317
2200,PHISON,ANV0086A1027A,MAXUM-CU,164.57209999999998
2200,PHISON,ANV0086A1027A,MAXUM-BASE,164.57209999999998
2200,PHISON,ANV0086A1027A,MAXUM,164.57209999999998
2200,PHISON,ANV0086A1027A,ICONN,164.57209999999998
2200,PHISON,ANV0086A1027A,ICONN-PLUS,164.57209999999998
2200,PHISON,ANV0086A1027A,RAPID,165.5125
2200,PHISON,ANV0086A1075A,MAXUM,190.3692
2200,PHISON,ANV0086A1075A,RAPID,187.1041
2200,PHISON,ANV0086A1075A,ICONN-PLUS,249.2967
2200,PHISON,ANV0086A1075A,MAXUM-PLUS,159.7116
2200,PHISON,ANV0086A1075A,MAXUM-CU,214.31525333333335
2200,PHISON,ANV0086A1075A,MAXUM-BASE,214.31525333333335
2200,PHISON,ANV0086A1075A,ICONN,236.9883
2200,PHISON,ANV0086A1075A,ICONN,236.9883
2200,PHISON,ANV0086A1075A,MAXUM-CU,214.31525333333335
2200,PHISON,ANV0086A1075A,MAXUM,225.2728
2200,PHISON,ANV0086A1075A,MAXUM-PLUS,159.7116
2200,PHISON,ANV0086A1075A,MAXUM-BASE,214.31525333333335
2200,PHISON,ANV0086A1075A,ICONN-PLUS,249.2967
