ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER
BB211,UTC3000,RUNNING,R13OKL407,2200,048TVOK056,AOK048TV1029A,22-04-02 14:23,22-04-02 03:47,LAPIS,TSOP1-48A2,2560,,1091A07C41,,R13OKL512,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-02 14:23,2200
BB212,UTC3000,RUNNING,R09NVJW08,3400,345XTNV080,ANV345XTG002A,22-04-02 06:18,22-04-01 20:41,PHISON,STBGA345NBC,664,04/02/2022 SP,1091A07C41,4P,R09NVJW04,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,69.5439,22-04-02 06:18,3400
BB213,UTC3000,IDLE,,,,AMS078EN1001A,,22-04-01 18:31,,,,04/03/2022 SP,,,R13MSI205,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,254.6119,,2200
BB214,UTC3000,RUNNING,R12NVMC01,3400,345XTNV078,ANV345XTB023B,22-04-02 08:15,22-04-02 05:21,PHISON,STBGA345SBC,170,04/04/2022 SP,1091A07C41,Q,R07NVG401,STBGA345SBC,PHISON,ANV345XTB023B,1091A07C41,66.1572,22-04-02 08:15,3400
BB215,UTC3000,RUNNING,R13LWAN02,2200,078U9LW012,ALW078C93001A,22-04-02 16:11,22-04-02 03:25,MTI-S,FBGA-78U9,4123,04/05/2022 SP,,,R13LWAP03,FBGA-78U9,MTI-S,ALW078C93001A,1091A06C21,324.0975,22-04-02 16:11,2200
BB216,UTC3000,IDLE,,,,AMS078EN1001A,,22-04-01 17:00,,,,04/06/2022 SP,,,R13MSI207,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,254.6119,,2200
BB217,UTC3000,RUNNING,R13OKL513,2200,048TVOK056,AOK048TV1029A,22-04-02 08:12,22-04-01 21:35,LAPIS,TSOP1-48A2,2560,04/07/2022 SP,1091A07C41,,R13OKL511,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-02 08:12,2200
BB218,UTC3000,IDLE,,,,AHQ0262G1002A,,22-04-01 07:04,,,,04/08/2022 SP,,,R13HQA202,FPSLGA26MJP,EMC,AHQ0262G1002A,1091A06C41,195.9314,,2200
BB219,UTC3000,RUNNING,R13OKL514,2200,048TVOK056,AOK048TV1029A,22-04-02 14:07,22-04-02 03:30,LAPIS,TSOP1-48A2,2560,04/09/2022 SP,1091A07C41,,R13HQA203,FPSLGA26MJP,EMC,AHQ0262G1002A,1091A06C41,241.1997,22-04-02 14:07,2200
BB220,UTC3000,RUNNING,R13OKL101,2200,048TVOK056,AOK048TV1029A,22-04-02 15:21,22-04-02 04:44,LAPIS,TSOP1-48A2,2560,04/10/2022 SP,1091A07C41,,R13OKL302,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-02 15:21,2200
BB221,UTC3000,RUNNING,R13OKL305,2200,048TVOK056,AOK048TV1029A,22-04-02 15:18,22-04-02 04:41,LAPIS,TSOP1-48A2,2560,04/11/2022 MP,1091A07C41,,R13OKL301,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-02 15:18,2200
BB222,UTC3000,RUNNING,R13OKL406,2200,048TVOK056,AOK048TV1029A,22-04-02 09:48,22-04-01 23:12,LAPIS,TSOP1-48A2,2560,04/12/2022 MP,1091A07C41,,R13OKL403,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-02 09:48,2200
BB223,UTC3000,IDLE,,,,AMS078EN1001A,,22-04-02 02:10,,,,04/13/2022 MP,,,R13MSHZ07,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,254.6119,,2200
BB224,UTC3000,IDLE,,,,AAW048TP1008B,,22-04-02 07:03,,,,04/14/2022 MP,,,R12AWB617,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,,2200
BB225,UTC3000,RUNNING,R13LWAP02,2200,078U9LW012,ALW078C93001A,22-04-02 07:50,22-04-01 11:06,MTI-S,FBGA-78U9,6720,04/15/2022 MP,1091A06C21,,R13LWAR01,FBGA-78U9,MTI-S,ALW078C93001A,1091A06C21,324.0975,22-04-02 07:50,2200
BB226,UTC3000,SETUP,,,,ANV132X2C086A,22-04-02 09:42,22-04-02 07:42,,,,04/16/2022 MP,,,R12AWB621,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,215.9892,,2200
BB227,UTC3000,RUNNING,R09NVJW03,3400,345XTNV080,ANV345XTG002A,22-04-02 10:37,22-04-02 00:46,PHISON,STBGA345NBC,679,04/17/2022 MP,1091A07C41,4P,R09NVJW07,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,69.5439,22-04-02 10:37,3400
BB228,UTC3000,RUNNING,R12AWB622,2200,048TPAW103,AAW048TP1008B,22-04-02 06:03,22-04-01 19:28,MXIC,TSOP1-48/M2,720,04/18/2022 MP,1091A08T41,,R12AWB612,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-04-02 06:03,2200
BB229,UTC3000,IDLE,,,,AAW024XJ4004A,,22-04-01 22:11,,,,04/19/2022 MP,,,R80CML601,STBGA24D4U,ENG,AAW024XJ4004A,1091A07T41,562.3146,,3400
BB230,UTC3000,RUNNING,R12AWB619,2200,048TPAW103,AAW048TP1008B,22-04-02 15:57,22-04-02 05:22,MXIC,TSOP1-48/M2,720,04/20/2022 MP,1091A08T41,,R12AWB615,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-04-02 15:57,2200
BB231,UTC3000,RUNNING,R09NVJW10,3400,345XTNV080,ANV345XTG002A,22-04-02 17:05,22-04-02 07:14,PHISON,STBGA345NBC,680,04/21/2022 MP,1091A07C41,4P,R09NVJW05,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,69.5439,22-04-02 17:05,3400
BB232,UTC3000,RUNNING,R13OKL408,2200,048TVOK056,AOK048TV1029A,22-04-02 18:35,22-04-02 07:58,LAPIS,TSOP1-48A2,2560,04/22/2022 MP,1091A07C41,,R13OKL405,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-02 18:35,2200
BB233,UTC3000,RUNNING,R13OKL515,2200,048TVOK056,AOK048TV1029A,22-04-02 13:50,22-04-02 04:31,LAPIS,TSOP1-48A2,2244,04/23/2022 MP,1091A07C41,,R13OKL404,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-02 13:50,2200
BB234,UTC3000,RUNNING,R13OKL303,2200,048TVOK056,AOK048TV1029A,22-04-02 08:25,22-04-01 21:49,LAPIS,TSOP1-48A2,2560,04/24/2022 MP,1091A07C41,,R13OKL215,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-02 08:25,2200
