,Unnamed: 0,bd_id_1,bd_id_2,end_time,entity,jobcode,lot_num_1,lot_num_2,number,start_time,start_time_trans,end_time_trans,CR,start_time_adj,end_time_adj
0,0,AOK048TV1029A,ANV132X2C059A,1223.971031,BB211,"CWN,SC",R13OKL103,R14NVP210,BB211_2,1103.971031,2022-04-03 02:28:58,2022-04-03 04:28:58,7521.08,2022-04-03 02:28:58,2022-04-03 04:28:58
1,1,ANV345XTG002A,ANV132X2C059A,807.594505,BB212,"CWN,SC",R09NVJW06,R14NVP217,BB212_2,687.594505,2022-04-02 19:32:35,2022-04-02 21:32:35,7521.08,2022-04-02 19:32:35,2022-04-02 21:32:35
2,2,ANV345XTB023B,ACD084CC2002A,94.0,BB214,MC,R12NVMC01,R14CDAL03,BB214_1,10.0,2022-04-02 08:15:00,2022-04-02 09:39:00,7526.059999999999,2022-04-02 08:15:00,2022-04-02 09:39:00
3,3,AHQ0262G1002A,ACD084CC2002A,84.0,BB218,MC,,R14CDAJ02,BB218_1,0.0,2022-04-02 08:05:00,2022-04-02 09:29:00,7526.059999999999,2022-04-02 08:05:00,2022-04-02 09:29:00
4,4,AOK048TV1029A,ANV132X2C059A,1281.971031,BB220,"CWN,SC",R13OKL310,R14NVP214,BB220_2,1161.971031,2022-04-03 03:26:58,2022-04-03 05:26:58,7521.08,2022-04-03 03:26:58,2022-04-03 05:26:58
5,5,AAW048TP1008B,AAW024XJ6010B,84.0,BB224,MC,,R14AWAV01,BB224_1,0.0,2022-04-02 08:05:00,2022-04-02 09:29:00,7524.16,2022-04-02 08:05:00,2022-04-02 09:29:00
6,6,ANV132X2C086A,ATM132X2B002A,181.0,BB226,MC,,R13TMA101,BB226_1,97.0,2022-04-02 09:42:00,2022-04-02 11:06:00,7521.08,2022-04-02 09:42:00,2022-04-02 11:06:00
7,7,AAW048TP1008B,ACD084CC2002A,-38.0,BB228,MC,R12AWB622,R14CDAL02,BB228_1,-122.0,2022-04-02 06:03:00,2022-04-02 07:27:00,7526.059999999999,2022-04-02 06:03:00,2022-04-02 07:27:00
8,8,AAW024XJ4004A,AAW024XJ6010B,84.0,BB229,MC,,R14AWAE04,BB229_1,0.0,2022-04-02 08:05:00,2022-04-02 09:29:00,7524.16,2022-04-02 08:05:00,2022-04-02 09:29:00
9,9,AAW048TP1008B,ACD084CC2002A,556.0,BB230,MC,R12AWB619,R14CDAP01,BB230_1,472.0,2022-04-02 15:57:00,2022-04-02 17:21:00,7526.059999999999,2022-04-02 15:57:00,2022-04-02 17:21:00
10,10,AOK048TV1029A,AYZ084CC2001A,57.0,BB235,MC,R13OKL304,R13YZAD03,BB235_1,-27.0,2022-04-02 07:38:00,2022-04-02 09:02:00,7521.36,2022-04-02 07:38:00,2022-04-02 09:02:00
