process_id,Oper,master_desc,detail_id,remark
0008W068,2070,Lot Size,O20700198,3520
0008W068,2010,Entity Code,R20100698,C
0008W068,2040,Support Entity,S20400102,
0008W068,2040,Support Entity,S20400102,
0008W372,2010,Entity Code,R20100698,M
0008W372,2040,Support Entity,S20400199,Dual
0008W372,2040,Support Entity,S20400199,Dual
0008W372,2200,Support Entity,S22000101,
0008W393,2070,Lot Size,O20700198,1120
0008W393,2010,Entity Code,R20100698,S
0008W393,2040,Support Entity,S20400102,
0008W393,2040,Support Entity,S20400102,
0008W727,2070,Lot Size,O20700198,5280
0008W727,2010,Entity Code,R20100698,C
0008W727,2040,Support Entity,S20400102,
0008W727,2040,Support Entity,S20400102,
0008W733,2070,Lot Size,O20700198,6160
0008W733,2010,Entity Code,R20100698,C
0008W733,2040,Support Entity,S20400102,
0008W733,2040,Support Entity,S20400102,
0008W928,2070,Lot Size,O20700198,1900
0008W928,2040,Support Entity,S20400102,
0008W928,2040,Support Entity,S20400102,
0008W929,2070,Lot Size,O20700198,1900
0008W929,2040,Support Entity,S20400102,
0008W929,2040,Support Entity,S20400102,
0008WA109,2070,Lot Size,O20700198,950
0008WA109,2010,Entity Code,R20100698,I
0008WA109,2040,Support Entity,S20400102,
0008WA109,2040,Support Entity,S20400102,
0008WA202,2070,Lot Size,O20700198,1900
0008WA202,2010,Entity Code,R20100698,O
0008WA202,2040,Support Entity,S20400102,
0008WA202,2040,Support Entity,S20400102,
0008WA206,2070,Lot Size,O20700198,1900
0008WA206,2010,Entity Code,R20100698,N
0008WA206,2040,Support Entity,S20400102,
0008WA206,2040,Support Entity,S20400102,
0008WA20ENG,2070,Lot Size,O20700198,2520
0008WA20ENG,2010,Entity Code,R20100698,Y
0008WA20ENG,2040,Support Entity,S20400102,
0008WA20ENG,2040,Support Entity,S20400102,
0008WA224,2070,Lot Size,O20700198,2880
0008WA224,2010,Entity Code,R20100698,J
0008WA224,2040,Support Entity,S20400102,
0008WA224,2040,Support Entity,S20400102,
0008WA243,2070,Lot Size,O20700198,1120
0008WA243,2010,Entity Code,R20100698,S
0008WA243,2040,Support Entity,S20400102,
0008WA243,2040,Support Entity,S20400102,
0008WA401,2070,Lot Size,O20700198,950
0008WA401,2010,Entity Code,R20100698,I
0008WA403,2070,Lot Size,O20700198,5600
0008WA403,2010,Entity Code,R20100698,C
0008WA403,2040,Support Entity,S20400102,
0008WA403,2040,Support Entity,S20400102,
0008WA457,2070,Lot Size,O20700198,3920
0008WA457,2010,Entity Code,R20100698,I
0008WA461,2070,Lot Size,O20700198,2640
0008WA461,2010,Entity Code,R20100698,C
0008WA461,2040,Support Entity,S20400102,
0008WA461,2040,Support Entity,S20400102,
0008WA462,2070,Lot Size,O20700198,2640
0008WA462,2010,Entity Code,R20100698,I
0008WA466,2010,Entity Code,R20100698,D
0008WA466,2040,Support Entity,S20400102,
0008WA466,2040,Support Entity,S20400102,
0008WAA10,2070,Lot Size,O20700198,2400
0008WAA10,2010,Entity Code,R20100698,Y
0008WAA10,2040,Support Entity,S20400102,
0008WAA10,2040,Support Entity,S20400102,
0008WAA12,2070,Lot Size,O20700198,2400
0008WAA12,2010,Entity Code,R20100698,Y
0008WAA12,2040,Support Entity,S20400102,
0008WAA12,2040,Support Entity,S20400102,
0008WDAE001,2010,Entity Code,R20100698,Y
0008WDAF001,2010,Entity Code,R20100698,Y
0008WE79ENG,2070,Lot Size,O20700198,1200
0008WLAS001,2010,Entity Code,R20100698,Y
0008WPRT001,2010,Entity Code,R20100698,Y
0008WS206,2070,Entity,E20700199,DB-800
0008WS206,2070,Entity,E20700199,DB-800
0008WS206,2070,Entity,E20700199,DB-800
0008WS206,2070,Lot Size,O20700198,8640
0008WS206,2010,Entity Code,R20100698,L
0008WS206,2040,Support Entity,S20400102,
0008WS206,2040,Support Entity,S20400102,
0008WS288,2070,Entity,E20700199,DB-700
0008WS288,2070,Entity,E20700199,DB-700
0008WS288,2070,Entity,E20700199,DB-700
0008WS288,2070,Lot Size,O20700198,5760
0008WS288,2010,Entity Code,R20100698,G
0008WS288,2040,Support Entity,S20400102,
0008WS288,2040,Support Entity,S20400102,
0008WS323,2070,Entity,E20700199,DB-700
0008WS323,2070,Entity,E20700199,DB-700
0008WS323,2070,Entity,E20700199,DB-700
0008WS323,2070,Lot Size,O20700198,5760
0008WS323,2010,Entity Code,R20100698,L
0008WS323,2040,Support Entity,S20400102,
0008WS323,2040,Support Entity,S20400102,
0008WSA11,2070,Lot Size,O20700198,3520
0008WSA11,2010,Entity Code,R20100698,A
0008WSA11,2040,Support Entity,S20400102,
0008WSA11,2040,Support Entity,S20400102,
0008WSA12,2070,Lot Size,O20700198,3520
0008WSA12,2010,Entity Code,R20100698,C
0008WSA12,2040,Support Entity,S20400102,
0008WSA12,2040,Support Entity,S20400102,
0008WSA5,2070,Entity,E20700199,ESEC-2100; DB-800; DB-700
0008WSA5,2070,Entity,E20700199,ESEC-2100; DB-800; DB-700
0008WSA5,2070,Entity,E20700199,ESEC-2100; DB-800; DB-700
0008WSA5,2070,Lot Size,O20700198,3520
0008WSA5,2010,Entity Code,R20100698,A
0008WSA5,2080,PTN No,R20800698,11
0008WSA5,2040,Support Entity,S20400102,
0008WSA5,2040,Support Entity,S20400102,
0008WSA5,2040,Support Entity,S20400199,Dual
0008WSA5,2040,Support Entity,S20400199,Dual
0008WSMT001,2010,Entity Code,R20100698,Y
000IA003,2022,PTN No,O20220198,12
000IA003,2070,Lot Size,O20700198,999999
000IA003,2010,Entity Code,R20100698,C
000IA003,2040,Support Entity,S20400102,
000IA003,2040,Support Entity,S20400102,
000IA031,2070,Lot Size,O20700198,999999
000IA031,2010,Entity Code,R20100698,Y
000IA031,2040,Support Entity,S20400102,
000IA031,2040,Support Entity,S20400102,
000IA033,2070,Lot Size,O20700198,999999
000IA033,2010,Entity Code,R20100698,Y
000IA033,2040,Support Entity,S20400102,
000IA033,2040,Support Entity,S20400102,
000IA034,2070,Lot Size,O20700198,999999
000IA034,2010,Entity Code,R20100698,Y
000IA034,2040,Support Entity,S20400102,
000IA034,2040,Support Entity,S20400102,
000IA039,2070,Lot Size,O20700198,999999
000IA039,2010,Entity Code,R20100698,Y
000IA039,2040,Support Entity,S20400102,
000IA039,2040,Support Entity,S20400102,
000IA040,2070,Lot Size,O20700198,999999
000IA040,2010,Entity Code,R20100698,Y
000IA045,2070,Lot Size,O20700198,999999
000IA045,2010,Entity Code,R20100698,Y
000IA058,2070,Lot Size,O20700198,999999
000IA058,2010,Entity Code,R20100698,Y
000IA058,2040,Support Entity,S20400102,
000IA058,2040,Support Entity,S20400102,
000IA066,2022,PTN No,O20220198,12
000IA066,2070,Lot Size,O20700198,999999
000IA066,2010,Entity Code,R20100698,X
000IA075,2070,Lot Size,O20700198,999999
000IA075,2010,Entity Code,R20100698,Y
000IA075,2040,Support Entity,S20400102,
000IA075,2040,Support Entity,S20400102,
000IA081,2022,PTN No,O20220198,12
000IA081,2070,Lot Size,O20700198,999999
000IA081,2010,Entity Code,R20100698,V
000IA081,2040,Support Entity,S20400102,
000IA081,2040,Support Entity,S20400102,
000IA085,2070,Lot Size,O20700198,999999
000IA085,2010,Entity Code,R20100698,Y
000IA089,2070,Lot Size,O20700198,999999
000IA089,2010,Entity Code,R20100698,Y
000IA104,2022,PTN No,O20220198,12
000IA104,2070,Lot Size,O20700198,999999
000IA104,2010,Entity Code,R20100698,X
000IA114,2070,Lot Size,O20700198,999999
000IA114,2010,Entity Code,R20100698,Y
000IA116,2070,Lot Size,O20700198,999999
000IA116,2010,Entity Code,R20100698,Y
000IA119,2022,PTN No,O20220198,12
000IA119,2070,Lot Size,O20700198,999999
000IA119,2010,Entity Code,R20100698,V
000IA119,2040,Support Entity,S20400102,
000IA119,2040,Support Entity,S20400102,
000IA125,2070,Lot Size,O20700198,999999
000IA125,2010,Entity Code,R20100698,Y
000IA125,2040,Support Entity,S20400102,
000IA125,2040,Support Entity,S20400102,
000IA132,2070,Lot Size,O20700198,999999
000IA132,2010,Entity Code,R20100698,C
000IA132,2040,Support Entity,S20400199,Dual
000IA132,2040,Support Entity,S20400199,Dual
000IA138,2070,Lot Size,O20700198,999999
000IA138,2010,Entity Code,R20100698,Y
000IA138,2040,Support Entity,S20400102,
000IA138,2040,Support Entity,S20400102,
000IA143,2070,Lot Size,O20700198,999999
000IA143,2010,Entity Code,R20100698,Y
000IA146ENG,2070,Lot Size,O20700198,999999
000IA146ENG,2010,Entity Code,R20100698,Y
000IA146ENG,2040,Support Entity,S20400102,
000IA146ENG,2040,Support Entity,S20400102,
000IA147,2070,Lot Size,O20700198,999999
000IA147,2010,Entity Code,R20100698,Y
000IA149,2070,Lot Size,O20700198,999999
000IA149,2010,Entity Code,R20100698,Y
000IA149,2040,Support Entity,S20400102,
000IA149,2040,Support Entity,S20400102,
000IA162,2022,PTN No,O20220198,12
000IA162,2070,Lot Size,O20700198,999999
000IA162,2010,Entity Code,R20100698,X
000IA162,2040,Support Entity,S20400199,Dual
000IA162,2040,Support Entity,S20400199,Dual
000IA163,2022,PTN No,O20220198,12
000IA163,2070,Lot Size,O20700198,999999
000IA163,2010,Entity Code,R20100698,C
000IA163,2040,Support Entity,S20400102,
