arrival_time,bd_id,cust,end_time,entity,lot_number,oper,part_id,part_no,pin_pkg,process_time,prod_id,qty,start_time
15.000000,AOK048TV1029A,LAPIS,784.000854,BB211,R13OKL415,2200,1091A07C41,A0801CB0655,TSOP1-48A2,703.000854,048TVOK056,2479,81.000000
15.000000,AMS078EN1001A,MTI,976.746120,BB213,R14MSBL07,2200,1091A06T21,A0801CB1169,FBGA-78UEN,961.746120,078ENMS009,3580,15.000000
15.000000,AOK048TV1029A,LAPIS,554.940954,BB232,R13OKL315,2200,1091A07C41,A0801CB0655,TSOP1-48A2,539.940954,048TVOK056,1904,15.000000
15.000000,AAB096EL1017A,WINBOND,1642.914338,BB441,R14ABC803,2200,1091A07T21,A0801CB1307,FBGA96UEL(2),937.914338,096ELAB047,2960,705.000000
15.000000,AAB024MA5010A,WINBOND,452.346006,BB444,R14ABC105,2200,1091A07T21,A0801CB0373,MINIBGA24A2L,377.346006,024MAAB026,8571,75.000000
15.000000,AMS078EN1002A,MTI,1133.888398,BB475,R14MSAQ10,2200,1091A06T21,A0801CB1169,FBGA-78UEN,1118.888398,078ENMS007,4009,15.000000
15.000000,AAB048TW2006A,WINBOND,368.627793,BB482,R14ABDQ07,2200,1091A07T21,A0801CB0850,TSOP1-48AM,271.627793,048TWAB012,2160,97.000000
15.000000,AAB060EM2001A,WINBOND,2308.187757,BB483,R14ABBN01,2200,1091A07T21,A0801CB1291,FBGA60UEM2-1,1725.187757,060EMAB004,7800,583.000000
15.000000,AMS078EN1002A,MTI,1016.110672,BB488,R14MSAS05,2200,1091A06T21,A0801CB1169,FBGA-78UEN,1001.110672,078ENMS007,3587,15.000000
15.000000,AMS078EN1006A,MTI,1346.374076,BB489,R14MSCR04,2200,1091A06T21,A0801CB1338,FBGA-78UEN,1172.374076,078ENMS018,3571,174.000000
15.000000,AAB096EL1019A,WINBOND,1467.487597,BB497,R14ABBY08,2200,1091A06T21,A0801CB1331,FBGA96UEL(2),1452.487597,096ELAB057,5242,15.000000
15.000000,AMS078EN1006A,MTI,1190.328813,BB500,R14MSCN01,2200,1091A06T21,A0801CB1338,FBGA-78UEN,1175.328813,078ENMS018,3580,15.000000
15.000000,AMS078EN1006A,MTI,1322.630565,BB502,R14MSCR03,2200,1091A06T21,A0801CB1338,FBGA-78UEN,1155.630565,078ENMS018,3520,167.000000
15.000000,ACD084CC2002A,ETRON,1718.842808,BB509,R14CDAK02,2200,1091A07T41,A0801CB0660,FBGA-84UC(2),1597.842808,084UCCD006,5600,121.000000
15.000000,AAB060EM2001A,WINBOND,2054.811193,BB526,R14ABBI01,2200,1091A07T21,A0801CB1291,FBGA60UEM2-1,1710.811193,060EMAB004,7735,344.000000
15.000000,AMS078EN1006A,MTI,1332.973957,BB537,R12MSAQ02,2200,1091A06T21,A0801CB1338,FBGA-78UEN,1154.973957,078ENMS018,3518,178.000000
15.000000,AMS078C93001B,MTI,1913.886001,BB539,R13MSER04,2200,1091A06T21,A0801CB0823,FBGA-78U9,1898.886001,078U9MS017,6624,15.000000
