OPER,CUST,B/D#,MODEL,G.UPH,N.UPH
2200,EliteMT,AAS136XZ4003A,,0.0000,0.0000
2200,EliteMT,AAS136XZ4003A,,0.0000,0.0000
2200,EliteMT,AAS136XZ4003A,,0.0000,0.0000
2200,EliteMT,AAS136XZ4003A,,0.0000,0.0000
2200,EliteMT,AAS136XZ4003A,,0.0000,0.0000
2200,EliteMT,AAS136XZ4003A,,0.0000,0.0000
2200,EliteMT,AAS136XZ4003A,,0.0000,0.0000
2200,MXIC,AAW016D53004A,UTC2000,92.3769,82.0538
2200,MXIC,AAW016D53004A,UTC3000,0.0000,0.0000
2200,MXIC,AAW016D53004A,UTC2000S,0.0000,0.0000
2200,MXIC,AAW016D53004A,UTC1000,0.0000,0.0000
2200,MXIC,AAW016D53004A,UTC1000S,0.0000,0.0000
2200,MXIC,AAW016D53004A,MAXUM-PLUS,79.2414,70.3862
2200,MXIC,AAW016D53004A,MAXUM-BASE,0.0000,0.0000
2200,MXIC,AAW016D53004A,MAXUM-CU,0.0000,0.0000
2200,MXIC,AAW016D53004A,MAXUM,0.0000,0.0000
2200,MXIC,AAW016D53004A,ICONN-PLUS,0.0000,0.0000
2200,MXIC,AAW016D53004A,RAPID,0.0000,0.0000
2200,MXIC,AAW016D53004A,ICONN,0.0000,0.0000
2200,MXIC,AAW016D53004A,UTC5000S,107.6208,95.5942
2200,ETRON,ACD008DR1031A,,0.0000,0.0000
2200,ETRON,ACD008DR1031A,,0.0000,0.0000
2200,ETRON,ACD008DR1031A,,0.0000,0.0000
2200,ETRON,ACD008DR1031A,,0.0000,0.0000
2200,ETRON,ACD008DR1031A,,0.0000,0.0000
2200,EMC,AHQ0442J3003A,,0.0000,0.0000
2200,EMC,AHQ0442J3003A,,0.0000,0.0000
2200,EMC,AHQ0442J3003A,,0.0000,0.0000
2200,EMC,AHQ0442J3003A,,0.0000,0.0000
2200,EMC,AHQ0442J3003A,,0.0000,0.0000
2200,EMC,AHQ0442J3003A,,0.0000,0.0000
2200,EMC,AHQ0442J3003A,,0.0000,0.0000
2200,EMC,AHQ0442J3005A,,0.0000,0.0000
2200,EMC,AHQ0442J3005A,,0.0000,0.0000
2200,EMC,AHQ0442J3005A,,0.0000,0.0000
2200,EMC,AHQ0442J3005A,,0.0000,0.0000
2200,EMC,AHQ0442J3005A,,0.0000,0.0000
2200,EMC,AHQ0442J3005A,,0.0000,0.0000
2200,EMC,AHQ0442J3005A,,0.0000,0.0000
2200,EMC,AHQ0442J3006A,,0.0000,0.0000
2200,EMC,AHQ0442J3006A,,0.0000,0.0000
2200,EMC,AHQ0442J3006A,,0.0000,0.0000
2200,EMC,AHQ0442J3006A,,0.0000,0.0000
2200,EMC,AHQ0442J3006A,,0.0000,0.0000
2200,EMC,AHQ0442J3006A,,0.0000,0.0000
2200,EMC,AHQ0442J3006A,,0.0000,0.0000
2200,EMC,AHQ0442J3005A,,0.0000,0.0000
2200,EMC,AHQ0442J3005A,,0.0000,0.0000
2200,EMC,AHQ0442J3005A,,0.0000,0.0000
2200,EMC,AHQ0442J3005A,,0.0000,0.0000
2200,EMC,AHQ0442J3005A,,0.0000,0.0000
2200,EMC,AHQ0442J3005A,,0.0000,0.0000
2200,EMC,AHQ0442J3005A,,0.0000,0.0000
2200,PHISON,TDANV153XT8028A-A,,0.0000,0.0000
2200,PHISON,TDANV153XT8028A-A,,0.0000,0.0000
2200,PHISON,TDANV153XT8028A-A,,0.0000,0.0000
2200,PHISON,TDANV153XT8028A-A,,0.0000,0.0000
2200,PHISON,TDANV153XT8028A-A,,0.0000,0.0000
2200,PHISON,TDANV153XT8028A-A,,0.0000,0.0000
2200,PHISON,TDANV153XT8028A-A,,0.0000,0.0000
2200,PHISON,ANV0086A1032A,ICONN-PLUS,100.1652,88.9717
2200,PHISON,ANV0086A1032A,MAXUM-PLUS,0.0000,0.0000
2200,PHISON,ANV0086A1032A,MAXUM-CU,0.0000,0.0000
2200,PHISON,ANV0086A1032A,MAXUM-BASE,0.0000,0.0000
2200,PHISON,ANV0086A1032A,RAPID,97.5593,86.6571
2200,PHISON,ANV0086A1032A,MAXUM,0.0000,0.0000
2200,PHISON,ANV0086A1032A,ICONN,0.0000,0.0000
2200,PHISON,ANV0086A1065A,ICONN-PLUS,0.0000,0.0000
2200,PHISON,ANV0086A1065A,MAXUM-PLUS,108.1061,96.0252
2200,PHISON,ANV0086A1065A,RAPID,0.0000,0.0000
2200,PHISON,ANV0086A1065A,MAXUM-CU,0.0000,0.0000
2200,PHISON,ANV0086A1065A,ICONN,0.0000,0.0000
2200,PHISON,ANV0086A1065A,MAXUM-BASE,0.0000,0.0000
2200,PHISON,ANV0086A1065A,MAXUM,0.0000,0.0000
2200,PHISON,ANV345XTB016A,,0.0000,0.0000
2200,PHISON,ANV345XTB016A,,0.0000,0.0000
2200,PHISON,ANV345XTB016A,,0.0000,0.0000
2200,PHISON,ANV345XTB016A,,0.0000,0.0000
2200,PHISON,ANV345XTB016A,,0.0000,0.0000
2200,PHISON,ANV345XTB016A,,0.0000,0.0000
2200,PHISON,ANV345XTB016A,,0.0000,0.0000
2200,PHISON,ANV345XTB016A,,0.0000,0.0000
2200,PHISON,ANV345XTB016A,,0.0000,0.0000
2200,PHISON,ANV345XTB016A,,0.0000,0.0000
2200,PHISON,ANV345XTB016A,,0.0000,0.0000
2200,PHISON,ANV345XTB016A,,0.0000,0.0000
2200,PHISON,ANV153XT9078A,,0.0000,0.0000
2200,PHISON,ANV153XT9078A,,0.0000,0.0000
2200,PHISON,ANV153XT9078A,,0.0000,0.0000
2200,PHISON,ANV153XT9078A,,0.0000,0.0000
2200,PHISON,ANV153XT9078A,,0.0000,0.0000
2200,PHISON,ANV153XT9078A,,0.0000,0.0000
2200,PHISON,ANV153XT9078A,,0.0000,0.0000
2200,PHISON,ANV153XT9078A,,0.0000,0.0000
2200,PHISON,ANV153XT9078A,,0.0000,0.0000
2200,PHISON,ANV153XT9078A,,0.0000,0.0000
2200,PHISON,ANV153XT9078A,,0.0000,0.0000
2200,PHISON,ANV153XT9078A,,0.0000,0.0000
2200,PHISON,ANV153XT9066A,,0.0000,0.0000
2200,PHISON,ANV153XT9066A,,0.0000,0.0000
2200,PHISON,ANV153XT9066A,,0.0000,0.0000
2200,PHISON,ANV153XT9066A,,0.0000,0.0000
2200,PHISON,ANV153XT9066A,,0.0000,0.0000
2200,PHISON,ANV153XT9066A,,0.0000,0.0000
2200,PHISON,ANV153XT9066A,,0.0000,0.0000
2200,PHISON,ANV153XT9066A,,0.0000,0.0000
2200,PHISON,ANV153XT9066A,,0.0000,0.0000
2200,PHISON,ANV153XT9066A,,0.0000,0.0000
2200,PHISON,ANV153XT9066A,,0.0000,0.0000
2200,PHISON,ANV153XT9066A,,0.0000,0.0000
2200,HOSIN,ASS153XT9007A,,0.0000,0.0000
2200,HOSIN,ASS153XT9007A,,0.0000,0.0000
2200,HOSIN,ASS153XT9007A,,0.0000,0.0000
2200,HOSIN,ASS153XT9007A,,0.0000,0.0000
2200,HOSIN,ASS153XT9007A,,0.0000,0.0000
2200,HOSIN,ASS153XT9007A,,0.0000,0.0000
2200,HOSIN,ASS153XT9007A,,0.0000,0.0000
2200,HOSIN,ASS153XT9007A,,0.0000,0.0000
2200,HOSIN,ASS153XT9007A,,0.0000,0.0000
