,bd_id,oper,Location,Output plan,Original ENT(07:30),Original ENT(11:00),Allocate ENT
0,AAB008YB2005A,2200,TB-P,0.0,1.0,0.0,0.0
1,AAB008YB2005A,2200,TB-U,0.0,4.0,0.0,0.0
2,AAB008YD4001A,2200,TB-U,45.6,3.0,3.0,3.0
3,AAB008YD4004A,2200,TB-U,20.064,2.0,2.0,2.0
4,AAB008YM2023A,2200,TB-IP,32.0,1.0,1.0,1.0
5,AAB008YM2023A,2200,TB-P,128.0,1.0,1.0,7.0
6,AAB008YM2023A,2200,TB-U,105.814,0.0,0.0,8.0
7,AAB008YM2025A,2200,TB-IP,48.203,2.0,2.0,2.0
8,AAB008YM2025A,2200,TB-P,16.0,0.0,0.0,1.0
9,AAB008YM2025A,2200,TB-U,160.259,8.0,8.0,8.0
10,AAB008YQ2019A,2200,TB-U,0.0,1.0,0.0,0.0
11,AAB008YQ2019A,3200,TB-U,3.308,0.0,0.0,1.0
12,AAB008YQ2022A,2200,TB-P,0.0,4.0,0.0,0.0
13,AAB008YQ2032A,2200,TB-P,53.816,3.0,3.0,3.0
14,AAB008YQ3004A,2200,TB-U,28.0,3.0,3.0,3.0
15,AAB008YQ3012A,2200,TB-R,65.637,7.0,7.0,7.0
16,AAB008YQ3020A,2200,TB-U,0.0,1.0,0.0,0.0
17,AAB008YQ3021A,2200,TB-U,63.089,10.0,10.0,9.0
18,AAB008YQ3023A,2200,TB-U,0.0,1.0,0.0,0.0
19,AAB008YQ3025A,2200,TB-U,0.0,1.0,0.0,0.0
20,AAB024MA5012A,2200,TA-2,0.0,2.0,0.0,0.0
21,AAB024MA5014A,2200,TA-1,59.939,2.0,2.0,2.0
22,AAB024MAA005A,2200,TA-1,52.673,2.0,2.0,2.0
23,AAB024MAA010A,2200,TA-1,12.49,0.0,0.0,0.5
24,AAB024MAA010A,2200,TA-2,17.39,0.0,0.0,0.3333333333333333
25,AAB024XJ6006A,2200,TA-2,6.522,0.0,0.0,0.5
26,AAB024XJ6011A,3200,TA-2,7.35,1.0,0.0,0.0
27,AAB048TW2006A,2200,TA-1,20.234,3.0,3.0,1.0
28,AAB048TW2009A,2200,TA-2,3.463,0.0,0.0,1.0
29,AAB054TN1004A,2200,TA-1,2.88,0.0,0.0,1.5
30,AAB054TN1004A,2200,TA-2,5.977,0.0,0.0,2.0
31,AAB054TN1005A,2200,TA-2,32.855,10.0,1.0,1.0
32,AAB054TN1005A,2200,TA-5,0.0,1.0,0.0,0.0
33,AAB060EM2001A,2200,TA-1,69.862,9.0,9.0,9.0
34,AAB060EM2001A,2200,TA-2,42.713,6.0,6.0,6.0
