bd_id,da_out,da_act
,0.00,0.00
,0.00,0.00
,0.00,0.00
ENG,0.00,0.00
,0.00,0.00
ABW048AC1009A,0.00,0.00
AZA0086A1007A,0.00,0.00
AZA0086A1032A,0.00,0.00
AZA0086A1033A,0.00,0.00
,0.00,0.00
,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008YK3002A,0.00,0.00
ANI008YZ1001D,0.00,0.00
ANI009YZ1001A,0.00,0.00
ANI012Y11002C,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI014OA1001C,0.00,0.00
ANI014OA1001C,0.00,0.00
ANI014OL1001C,0.00,0.00
ANI014OL1001C,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1001M,0.00,0.00
,0.00,0.00
AHQ0225N1001B,0.00,0.00
AHQ0282J2006B,0.00,0.00
AHQ0282J2006B,0.00,0.00
AHQ0442J4004A,0.00,2.37
AHQ0442J4008A,0.00,0.00
AAS008FG1032A,0.00,0.00
AAS008YQ2014A,0.00,0.00
ABW064AE1005A,0.00,0.00
ABU084CC2004B,0.00,0.00
AAB084UN1001A,0.00,0.00
ABU096EF5001A,0.00,0.00
AAS096EL1009B,0.00,0.00
ANV132X2C075A,0.00,0.00
ANV132X2C059A,0.00,0.00
ATO132Y23001A,0.00,0.00
ABU134N93008A,0.00,0.00
AAS136XZ4003A,0.00,0.00
ASS153XT9007A,0.00,0.00
AAS153XT9018A,0.00,0.00
AAS153XT9018A,0.00,0.00
AAS162KE1016A,0.00,0.00
ABU200KX1001D,0.00,0.00
ACD096EL1003A,0.00,0.00
AAS063NW3011A,0.00,0.00
,0.00,0.00
AVE048XZ3001A,0.00,0.00
AVE048XZ3007A,0.00,0.00
ABU048TG1002A,18.08,0.00
ABU144C71003A,0.00,0.00
ABU200N74005A,0.00,0.00
,0.00,0.00
ABU008YD2002A,4.62,0.00
ABU008YM2008A,0.00,0.00
ABU008YQ2017A,0.00,0.00
ABU024MA6008A,0.00,0.00
AOK016D53002A,0.00,0.00
AOK036RP1001A,0.00,0.00
AIS048XW2001A,0.00,0.00
AMS096EF2001A,0.00,0.00
ALW078C93001A,0.00,0.00
ENG,0.00,0.00
AAW008Y62016A,0.00,0.00
AAW024XJ6008B,0.00,0.00
AAW048TP1008B,16.19,0.00
AAW064MR1007A,0.00,0.00
,0.00,0.00
ANV345XTB016A,0.00,0.00
ANV0086A1075A,0.00,0.00
ANV0086A1081A,0.00,0.00
ANV0086A1061A,0.00,0.00
ANV0086A1106A,0.00,0.00
ANV0086A1081A,0.00,0.00
ANV048TR2008B,0.00,0.00
ANV048TR2042A,0.00,0.00
ANV048TR2033A,0.00,0.00
ANV048TR2053A,0.00,0.00
ANV132X2C049A,0.00,0.00
ANV132X2A024A,0.00,0.00
ANV132X2C037A,0.00,0.00
ANV319UK1001A,0.00,0.00
,0.00,0.00
AEU0086B1011A,0.00,0.00
ENG,0.00,0.00
,0.00,0.00
,0.00,0.00
AAB008YB2004A,0.00,0.00
AAB008YB2005A,82.60,0.00
AAB008YD4004A,0.00,0.00
AAB008YD4003A,0.00,0.00
AAB008YM2036A,143.62,0.00
AAB008YM2025A,0.00,0.00
AAB024MA5009A,0.00,0.00
AAB024MA6020A,0.00,0.00
AAB054NB2001A,0.00,0.00
AAB054TN1002A,0.00,0.00
AAB054TN1005A,0.00,0.00
AAB096EF3001A,0.00,2.40
AYZ084CC2003A,0.00,0.00
ENG,0.00,0.00
,0.00,0.00
,0.00,0.00
,0.00,0.00
AQW090MV1016A,0.00,0.00
AZA0086A1032A,0.00,0.00
AHD048MA2001A,0.00,0.00
ACS054TS1012A,0.00,0.00
,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008Y71001C,0.00,0.00
ANI008YZ1001D,0.00,0.00
ANI008YZ1001D,0.00,0.00
ANI010YK3001A,0.00,0.00
ANI012Y11002C,0.00,0.00
ANI012Y11002C,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI014OA1001C,0.00,0.00
ANI014OA1001C,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1005C,0.00,0.00
AHQ0442J3005A,24.49,2.38
ENG,0.00,0.00
AAB008YQ3013A,0.00,0.00
AQH072AF1002A,0.00,0.00
AEU252X20001A,0.00,0.00
AAS008YQ2001B,0.00,0.00
,0.00,0.00
BU048MA4005B,0.00,0.00
BU048MA2009B,0.00,0.00
ABU096EF2001A,0.00,0.00
ABU168XI2001A,0.00,0.00
ABU200N78001A,0.00,0.00
ABU008Y62012A,0.00,0.00
ABU024MA5002A,0.00,0.00
AMS078EN1002A,0.00,0.00
AMS078EP1001A,186.95,0.00
AMS078C93001B,0.00,0.00
ENG,0.00,0.00
AAW016D53018A,0.00,0.00
AAW016D53004A,62.28,1.26
AAW024XJ6012A,0.00,0.00
AAW024XJ4017A,0.00,0.00
AAW048TP1085A,0.00,0.00
AAW064MR1001A,0.00,0.00
,0.00,0.00
,0.00,0.00
ANV0086A1065A,0.00,0.00
ANV0086A1081A,0.00,0.00
ANV0086A1061A,0.00,0.00
ANV0086A1106A,0.00,0.00
ANV132X2C117A,0.00,0.00
ANV345XTG002A,0.00,0.69
ATH240UE2001A,0.00,0.00
,0.00,0.00
AAB008YQ2041A,0.00,0.00
AAB008YQ2038A,0.00,0.00
AAB008YQ3013A,0.00,0.00
AAB134N94001A,0.00,0.00
AGJ252X02001A,0.00,0.00
AGJ252X20003A,0.00,0.00
ENG,0.00,0.00
ENG,0.00,0.00
