assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,wlot_oper,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_crt_dat_al_3,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_crte_category,wlot_hold,prod_type,cust_code,package_id,po_no,wlot_mvin_perfmd,wlot_deleted,wlot_actl_mvin_dt,wlot_actl_mvin_tm,wlot_dt_last_trans,wlot_tm_last_trans,assy_issue,bd_id,assy_group,wlot_hold_category,da_type,tape_no,mark_type,test_entity,package_id1,wlot_owner,wb_date,sp_date,pack_date,ship_date,due_date,wafer_size,urgent_code,note_4,heat_block,heat_block_qty,pb_free,sps_status,ship_to,md_no,swr_id,swr_ver,wlot_hold_note,wlot_assy_lot,assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,
	N36BWBU03  ,	2,	2470,	2020/9/8 下午 03:58:21,	WSM       ,	Y,	3720,	N36BWBU03  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200908,	155820,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU03  ,	2,	2470,	2020/9/8 下午 03:58:21,	WSM       ,	Y,
	N36BWBU07  ,	2,	2470,	2020/9/8 下午 10:42:56,	WSM       ,	Y,	3720,	N36BWBU07  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200908,	224256,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU07  ,	2,	2470,	2020/9/8 下午 10:42:56,	WSM       ,	Y,
	N36BWBU11  ,	2,	2470,	2020/9/9 上午 05:04:28,	WSM       ,	Y,	3720,	N36BWBU11  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200909,	50428,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU11  ,	2,	2470,	2020/9/9 上午 05:04:28,	WSM       ,	Y,
	N36BWBU15  ,	2,	2470,	2020/9/9 下午 01:28:18,	WSM       ,	Y,	3720,	N36BWBU15  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200909,	132817,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU15  ,	2,	2470,	2020/9/9 下午 01:28:18,	WSM       ,	Y,
	N36BWBU19  ,	2,	2470,	2020/9/9 下午 07:35:27,	WSM       ,	Y,	3720,	N36BWBU19  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200909,	193526,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU19  ,	2,	2470,	2020/9/9 下午 07:35:27,	WSM       ,	Y,
	N36BWBU23  ,	2,	2470,	2020/9/10 上午 03:13:47,	WSM       ,	Y,	3720,	N36BWBU23  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200910,	31347,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU23  ,	2,	2470,	2020/9/10 上午 03:13:47,	WSM       ,	Y,
	N36BWBU27  ,	2,	2470,	2020/9/10 上午 10:08:07,	WSM       ,	Y,	3720,	N36BWBU27  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200910,	100807,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU27  ,	2,	2470,	2020/9/10 上午 10:08:07,	WSM       ,	Y,
	N36BWBU31  ,	2,	2470,	2020/9/10 下午 06:36:53,	WSM       ,	Y,	3720,	N36BWBU31  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200910,	183654,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU31  ,	2,	2470,	2020/9/10 下午 06:36:53,	WSM       ,	Y,
	N36BWBU35  ,	2,	2470,	2020/9/11 上午 01:32:29,	WSM       ,	Y,	3720,	N36BWBU35  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200911,	13229,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU35  ,	2,	2470,	2020/9/11 上午 01:32:29,	WSM       ,	Y,
	N36BWBU39  ,	2,	2470,	2020/9/11 上午 08:27:49,	WSM       ,	Y,	3720,	N36BWBU39  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200911,	82748,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU39  ,	2,	2470,	2020/9/11 上午 08:27:49,	WSM       ,	Y,
