bom_id,oper,part_id,qty
IA000041,3720,1011CA243A,0.016
IA000026,2021,1071F28502,0.059
IA000026,3720,1011CA234A,0.013
IA000060,3720,1011CA265A,0.008
IA000097,3720,1011CA308A,0.008
IA000031,3720,1011CA232B,0.008
OL014602,2070,120100167A,0.000
OL014602,2300,108192HF36,0.000
OL014602,3720,1011CA296A,0.014
OL014602,2070,1241FAC26S,0.000
YU020603,2070,1071F76004,0.000
YU020603,2200,1091A08T41,0.000
YU020603,2300,108192HF36,0.000
YU020603,2070,120100185B,0.000
YU020603,3720,1011CA176A,0.014
Y1012604,2070,120100158A,0.000
Y1012604,2070,1071P10764,0.000
Y1012604,2200,1091A08T41,0.000
Y1012604,2300,1081G700L1,0.000
Y1012604,3720,1011CA104A,0.014
OK008601,2300,10819240H5,0.000
OK008601,2070,120100022A,0.000
OK008601,3720,1011CA254A,0.014
OK008601,2070,1241FAC26S,0.000
OA014603,2300,10819240H5,0.000
OA014603,2070,120100163A,0.000
OA014603,3720,1011CA296A,0.014
OA014603,2070,1241FAC26S,0.000
IA000140,3720,1011CA349A,0.008
Y3012604,2300,10819240H5,0.000
Y3012604,2070,120100155A,0.000
Y3012604,3720,1011CA295A,0.014
Y3012604,2070,1241FAC26S,0.000
IA000118,2021,1071F28502,0.046
IA000118,3720,1011CA328A,0.004
YU020604,2070,1071F76004,0.000
YU020604,2200,1091A08T41,0.000
YU020604,2300,108192HF36,0.000
YU020604,2070,120100185B,0.000
YU020604,3720,1011CA176A,0.014
YK010632,2070,120101077A,0.000
YK010632,2070,1071P10764,0.000
YK010632,2200,1091A08T41,0.000
YK010632,2300,108192HF42,0.000
YK010632,3720,1011CA106A,0.014
IA000112,3720,1011CA312A,0.008
YK008646,2070,120101106A,0.000
YK008646,2070,1071P10764,0.000
YK008646,2200,1091A08T41,0.000
YK008646,2300,108192HF42,0.000
YK008646,2410,1011CA106A,0.014
Y3012603,2300,10819240H5,0.000
Y3012603,2070,120100153A,0.000
Y3012603,3720,1011CA295A,0.014
Y3012603,2070,1241FAC26S,0.000
YZ008604,2300,108192HF36,0.000
YZ008604,2070,120100008A,0.000
YZ008604,3720,1011CA139A,0.014
YZ008604,2070,1241FAC26S,0.000
IA000017,3720,1011CA203B,0.016
IA000015,3720,1011CA201B,0.008
IA000013,3720,1011CA190A,0.027
2J028035,2300,1081A381C1,0.203
IA000158,3720,1011CA358A,0.016
6A008190,2052,1221C20040,6000.000
6A008190,2070,121101916A,1000.000
6A008190,2434,1011TR727A,9.167
6A008190,2070,1071F350L1,0.040
6A008190,2130,1071F76001,1.008
6A008190,2200,1091A06C41,78.844
6A008190,2300,1081E770A1,0.297
6A008190,2052,1101T70525,8.680
6A008190,2070,SUBMATWNV419,1000.000
6A008190,2130,SUBMATWNV199,1000.000
6A008190,2052,SUBMATSNV295,1000.000
IA000E14,3720,1011CA363A,0.008
MR064035,2070,1071P20251,1.205
MR064035,2200,1091A07T41,74.000
MR064035,2300,1081G1250B,0.335
MR064035,2410,1101L70560,64.000
MR064035,2430,1011TR035A,7.640
MR064035,2070,121100947A,1000.000
YU020611,2070,1071F76004,0.000
YU020611,2200,1091A08T41,0.000
YU020611,2300,108192HF36,0.000
YU020611,2070,120100185B,0.000
YU020611,3720,1011CA176A,0.014
XT345091,2052,1221C20016,5000.000
XT345091,2052,1221R20006,1000.000
XT345091,2052,1221R20005,1000.000
XT345091,2052,1221I20010,1000.000
XT345091,2070,121102136A,1000.000
XT345091,2430,1011TR755A,7.237
XT345091,2070,1071F350L2,0.011
XT345091,2130,1071F76004,0.317
XT345091,3130,1071F76004,0.132
XT345091,3330,1071F76004,0.828
XT345091,4130,1071F310JB,1.008
XT345091,4330,1071F76001,3.024
XT345091,4530,1071F76001,1.008
XT345091,4730,1071F76001,3.024
XT345091,2200,1091A07C41,267.912
XT345091,3200,1091A08C41,244.214
XT345091,3400,1091A08C41,194.584
XT345091,2300,1081GE100C,0.358
XT345091,2052,1101T70525,8.680
XT345091,2410,1101L70528,345.000
XT345091,2070,SUBMATWNV022,1000.000
XT345091,2130,SUBMATWNV157,1000.000
XT345091,3130,SUBMATWNV220,1000.000
XT345091,3330,SUBMATWNV221,1000.000
XT345091,4130,SUBMATWNV390,1000.000
XT345091,4330,SUBMATWNV391,3000.000
XT345091,4530,SUBMATWNV392,1000.000
XT345091,4730,SUBMATWNV391,3000.000
XT345091,2052,SUBMATSNV392,1000.000
IA000114,3720,1011CA310A,0.016
IA000065,3720,1011CA270A,0.016
IA000090,3720,1011CA235A,0.008
DN012025,2070,121100034A,1000.000
DN012025,2070,1071F350L2,0.042
DN012025,2200,1091A07C41,10.980
DN012025,2300,10819740Z2,0.009
YK010633,2070,120101109A,0.000
YK010633,2070,1071P10764,0.000
YK010633,2200,1091A08T41,0.000
YK010633,2300,108192HF42,0.000
YK010633,3720,1011CA106A,0.014
X2132430,2070,121102061A,1000.000
X2132430,2430,1011TR726A,9.821
X2132430,2070,1071F76004,4.608
X2132430,2130,1071F310JB,2.304
X2132430,3130,1071F76004,2.304
X2132430,2200,1091A07C41,145.236
X2132430,3200,1091A07C41,153.316
X2132430,2300,1081GE100C,0.328
X2132430,2410,1101L70542,132.000
X2132430,2070,SUBMATWNV532,4000.000
X2132430,2130,SUBMATWNV533,2000.000
