part_no,qty1,qty3
A0803CB0755,13,13
A0803CB0756,23,23
A0803CB0758,13,13
A0803CB0759,13,13
A0803CB0797,42,43
A0801CB0798,3,3
A0803CB0798,3,3
A0801CB0800,3,3
A0801CB0799,3,3
A0801CB0053,0,0
A0801CB0169,40,0
A0801CB0054,0,0
A0801CB0057,0,0
A0801CB0058,0,0
A0801CB0060,0,0
A0801CB0062,0,0
A0801CB0063,5,5
A0801CB0064,0,0
A0801CB0065,0,0
A0801CB0067,0,0
A0801CB0070,5,5
A0801CB0071,0,0
A0801CB0801,3,3
A0803CB0799,26,27
A0803CB0800,23,25
A0803CB0801,3,3
A0801CB0802,13,13
A0803CB0802,3,3
A0801CB0803,3,3
A0801CB0804,3,3
A0803CB0804,8,8
A0801CB0805,3,3
A0801CB0806,3,3
A0803CB0805,3,3
A0803CB0806,3,3
A0801CB0807,103,103
A0801CB0808,23,23
A0801CB0809,33,33
A0801CB0023,0,0
A0801CB0032,0,0
A0801CB0034,0,0
A0801CB0035,0,0
A0801CB0037,0,0
A0801CB0043,0,0
A0801CB0044,0,0
A0801CB0045,0,0
A0801CB0048,0,0
A0801CB0050,0,0
A0801CB0052,6,6
A0801CB0059,0,0
A0801CB0130,0,0
A0801CB0073,0,0
A0801CB0074,0,0
A0803CB0660,55,59
A0803CB0807,104,104
A0803CB0808,22,22
A0803CB0809,22,22
A0801CB0779,3,3
A0801CB0810,3,3
A0803CB0812,3,3
A0803CB0811,3,3
A0801CB0024,2,0
A0801CB0028,2,0
A0801CB0041,15,0
A0801CB0046,1,0
A0801CB0047,0,0
A0801CB0061,0,0
A0801CB0066,0,0
A0801CB0069,7,7
A0801CB0072,0,0
A0801CB0075,0,0
A0801CB0078,0,0
A0801CB0083,0,0
A0801CB0085,0,0
A0801CB0086,0,0
A0801CB0089,3,3
A0801CB0811,15,15
A0801CB0812,48,48
A0803CB0813,3,3
A0803CB0815,3,3
A0801CB0813,56,56
A0801CB0814,23,23
A0801CB0815,10,10
A0801CB0816,3,3
A0801CB0148,6,6
A0801CB0149,0,0
A0801CB0150,40,40
A0801CB0151,4,4
A0801CB0155,0,0
A0801CB0152,0,0
A0801CB0154,0,0
A0801CB0153,0,0
A0801CB0157,0,0
A0801CB0156,5,5
A0801CB0158,0,0
A0801CB0160,0,0
A0801CB0165,0,0
A0801CB0159,9,9
A0801CB0164,3,3
A0801CB0167,0,0
A0801CB0172,2,2
A0801CB0170,18,18
A0801CB0171,7,7
A0801CB0174,1,1
A0801CB0173,1,1
A0801CB0181,1,1
A0801CB0176,5,5
A0801CB0177,7,7
A0801CB0178,15,15
A0803CB0346,12,13
A0801CB0179,4,4
A0801CB0180,9,9
A0801CB0184,26,26
A0801CB0185,10,10
A0801CB0186,31,31
A0801CB0187,2,2
A0801CB0188,2,2
A0801CB0257,2,2
A0801CB0189,53,53
A0801CB0190,2,2
A0801CB0191,23,23
A0801CB0193,25,25
A0801CB0195,2,2
