process_id,Oper,master_desc,detail_id,remark
0008M007,2070,Lot Size,O20700198,1200
0008W330,2070,Lot Size,O20700198,2160
0008W330,2010,Entity Code,R20100698,C
0008W330,2040,Support Entity,S20400102,
0008W330,2040,Support Entity,S20400102,
0008W772,2070,Lot Size,O20700198,2500
0008W772,2010,Entity Code,R20100698,C
0008W772,2040,Support Entity,S20400102,
0008W772,2040,Support Entity,S20400102,
0008W774,2070,Lot Size,O20700198,2160
0008W774,2010,Entity Code,R20100698,C
0008W774,2040,Support Entity,S20400102,
0008W774,2040,Support Entity,S20400102,
0008WA109,2070,Lot Size,O20700198,950
0008WA109,2010,Entity Code,R20100698,I
0008WA109,2040,Support Entity,S20400102,
0008WA109,2040,Support Entity,S20400102,
0008WA160,2070,Lot Size,O20700198,950
0008WA160,2010,Entity Code,R20100698,Z
0008WA160,2040,Support Entity,S20400102,
0008WA160,2040,Support Entity,S20400102,
0008WA194,2070,Lot Size,O20700198,950
0008WA194,2010,Entity Code,R20100698,O
0008WA194,2040,Support Entity,S20400102,
0008WA194,2040,Support Entity,S20400102,
0008WA225,2070,Lot Size,O20700198,1200
0008WA225,2010,Entity Code,R20100698,I
0008WA249,2070,Lot Size,O20700198,2400
0008WA249,2010,Entity Code,R20100698,Y
0008WA249,2040,Support Entity,S20400102,
0008WA249,2040,Support Entity,S20400102,
0008WA401,2070,Lot Size,O20700198,950
0008WA401,2010,Entity Code,R20100698,I
0008WA403,2070,Lot Size,O20700198,5600
0008WA403,2010,Entity Code,R20100698,C
0008WA403,2040,Support Entity,S20400102,
0008WA403,2040,Support Entity,S20400102,
0008WA457,2070,Lot Size,O20700198,3920
0008WA457,2010,Entity Code,R20100698,I
0008WA473,2070,Lot Size,O20700198,960
0008WA473,2010,Entity Code,R20100698,C
0008WA473,2040,Support Entity,S20400102,
0008WA473,2040,Support Entity,S20400102,
0008WA474,2070,Lot Size,O20700198,960
0008WA474,2010,Entity Code,R20100698,D
0008WA474,2040,Support Entity,S20400102,
0008WA474,2040,Support Entity,S20400102,
0008WA59,2070,Entity,E20700199,DB-800
0008WA59,2070,Entity,E20700199,DB-800
0008WA59,2070,Entity,E20700199,DB-800
0008WA59,2250,Entity,E22500199,TEPLA
0008WA59,2070,Lot Size,O20700198,1600
0008WA59,2010,Entity Code,R20100698,O
0008WA59,2080,PTN No,R20800698,66
0008WA59,2150,PTN no,R21500198,05
0008WA59,2250,PTN no,R22500198,02
0008WA59,2330,PTN no,R23300398,01
0008WA59,2040,Support Entity,S20400102,
0008WA59,2040,Support Entity,S20400102,
0008WA59,2200,Support Entity,S22000102,
0008WA59,2200,Support Entity,S22000103,SU-22061-263E12
0008WAA10,2070,Lot Size,O20700198,2400
0008WAA10,2010,Entity Code,R20100698,Y
0008WAA10,2040,Support Entity,S20400102,
0008WAA10,2040,Support Entity,S20400102,
0008WDAE001,2010,Entity Code,R20100698,Y
0008WDAF001,2010,Entity Code,R20100698,Y
0008WE79ENG,2070,Lot Size,O20700198,1200
0008WLAS001,2010,Entity Code,R20100698,Y
0008WPRT001,2010,Entity Code,R20100698,Y
0008WS211,2070,Entity,E20700199,DB-700
0008WS211,2070,Entity,E20700199,DB-700
0008WS211,2070,Entity,E20700199,DB-700
0008WS211,2070,Lot Size,O20700198,2160
0008WS211,2040,Support Entity,S20400102,
0008WS211,2040,Support Entity,S20400102,
0008WS327,2070,Lot Size,O20700198,1900
0008WS327,2010,Entity Code,R20100698,M
0008WS327,2040,Support Entity,S20400199,Single
0008WS327,2040,Support Entity,S20400199,Single
0008WS353,2070,Lot Size,O20700198,1600
0008WS353,2010,Entity Code,R20100698,Y
0008WS353,2040,Support Entity,S20400102,
0008WS353,2040,Support Entity,S20400102,
0008WS358,2010,Entity Code,R20100698,Y
0008WS358,2040,Support Entity,S20400102,
0008WS358,2040,Support Entity,S20400102,
0008WSA6,2070,Lot Size,O20700198,360
0008WSA6,2010,Entity Code,R20100698,L
0008WSA6,2040,Support Entity,S20400102,
0008WSA6,2040,Support Entity,S20400102,
0008WSA7,2070,Lot Size,O20700198,360
0008WSA7,2010,Entity Code,R20100698,L
0008WSA7,2040,Support Entity,S20400102,
0008WSA7,2040,Support Entity,S20400102,
0008WSMT001,2010,Entity Code,R20100698,Y
000IA031,2070,Lot Size,O20700198,999999
