product,process_id,bom_id
000IABW056,000IA116,IA000041
000IAVT001,000IA081,IA000026
0008WNV323,153XT098,8W000A01
000IABW072,000IA143,IA000060
000IABW108,000IA220,IA000097
000IABW045,000IA089,IA000031
014OLNI034,014OL001,OL014602
020YUNI150,020YU001,YU020603
012Y1NI054,012Y1002,Y1012604
008OKNI049,008OK001,OK008601
014OANI058,014OA002,OA014603
008OKNI065,008OK001,OK008601
000IABW142,000IA317,IA000140
012Y3NI158,012Y3001,Y3012604
000IAVT006,000IA250,IA000118
020YUNI183,020YU002,YU020604
020YUNI181,020YU002,YU020604
020YUNI108,020YU002,YU020604
020YUNI224,020YU002,YU020604
020YUNI236,020YU001,YU020603
010YKNI046,010YK024,YK010632
020YUNI124,020YU002,YU020604
020YUNI252,020YU002,YU020604
020YUNI257,020YU002,YU020604
020YUNI216,020YU002,YU020604
020YUNI263,020YU002,YU020604
020YUNI267,020YU001,YU020603
020YUNI271,020YU001,YU020603
000IABW112,000IA232,IA000112
008YKNI091,008YK046,YK008646
012Y3NI166,012Y3001,Y3012604
012Y3NI184,012Y3002,Y3012603
020YUNI280,020YU002,YU020604
020YUNI139,020YU002,YU020604
0008WNV501,0008WA401,8W000A01
020YUNI119,020YU002,YU020604
012Y3NI131,012Y3001,Y3012604
008YZNI048,008YZ006,YZ008604
000IABW015,000IA039,IA000017
020YUNI299,020YU002,YU020604
020YUNI121,020YU002,YU020604
000IABW020,000IA040,IA000015
000IABW032,000IA033,IA000013
020YUNI309,020YU002,YU020604
0282JHQ034,0282J028,2J028035
020YUNI319,020YU001,YU020603
020YUNI325,020YU002,YU020604
012Y3NI194,012Y3002,Y3012603
008OKNI077,008OK001,OK008601
000IABW058,000IA058,IA000041
014OLNI030,014OL001,OL014602
014OLNI048,014OL001,OL014602
020YUNI117,020YU001,YU020603
000IABW144,000IA333,IA000158
012Y3NI155,012Y3001,Y3012604
020YUNI345,020YU002,YU020604
000SNV295,0086A137,6A008190
000IACM233ENG,000IAE22ENG,IA000E14
0008WDAE001,0008WDAE001,8W000A01
0008WSMT001,0008WSMT001,8W000A01
0008WLAS001,0008WLAS001,8W000A01
0008WDAF001,0008WDAF001,8W000A01
0008WPRT005,0008WPRT001,8W000A01
0008WPRT001,0008WPRT001,8W000A01
064MRAW028,064MR026,MR064035
012Y3NI206,012Y3001,Y3012604
020YUNI284,020YU002,YU020604
008YKNI097,008YK046,YK008646
012Y3NI122,012Y3001,Y3012604
020YUNI107,020YU006,YU020611
020YUNI179,020YU002,YU020604
345XTNV086,345XT065,XT345091
014OANI061,014OA002,OA014603
012Y1NI051,012Y1002,Y1012604
000IABW115,000IA235,IA000114
020YUNI307,020YU002,YU020604
014OANI054,014OA002,OA014603
012Y3NI208,012Y3001,Y3012604
000IABW075,000IA149,IA000065
000IABW094,000IA193,IA000090
012DNUK014,012DN020,DN012025
010YKNI057,010YK030,YK010633
020YUNI248,020YU002,YU020604
020YUNI290,020YU002,YU020604
012Y3NI198,012Y3002,Y3012603
132X2NV209,132X2364,X2132430
000IABW052,000IA045,IA000018
020YUNI158,020YU006,YU020611
020YUNI356,020YU002,YU020604
0086ANV219,0086A181,6A008250
0086ANV209,0086A137,6A008190
012Y3NI120,012Y3001,Y3012604
012Y3NI136,012Y3002,Y3012603
048XJIS034,048XJ020,XJ048020
014OANI065,014OA002,OA014603
0086ANV172,0086A147,6A008205
020YUNI366,020YU006,YU020611
020YUNI370,020YU006,YU020611
012Y3NI129,012Y3002,Y3012603
020YUNI333,020YU002,YU020604
0086ANV213,0086A175,6A008242
0086ANV216,0086A178,6A008245
0086ANV215,0086A177,6A008244
020YUNI104,020YU006,YU020611
000IAQR004,000IA281,IA000045
020YUNI122,020YU002,YU020604
012Y3NI141,012Y3002,Y3012603
000IABW143,000IA325,IA000122
0086ANV203,0086A167,6A008233
0086ANV225,0086A188,6A008257
0086ANV214,0086A176,6A008243
020YUNI386,020YU006,YU020611
008OKNI092,008OK001,OK008601
008OKNI039,008OK001,OK008601
000IAQR014,000IA203,IA000096
048XZVE007,048XZ008,XZ048017
054NBAB002,054NB026,NB054015
0008WBU040,0008W772,8W000A01
096EFBU003,096EF044,EF096045
000IABW040,000IA085,IA000025
016OFNI035,016OF003,OF016610
020YUNI274,020YU002,YU020604
012Y3NI183,012Y3001,Y3012604
012Y3NI121,012Y3002,Y3012603
020YUNI131,020YU001,YU020603
020YUNI394,020YU001,YU020603
153XTNV128,153XT164,XT153217
000IAQR036,000IA289,IA000136
078EABU005,078EA005,EA078005
000IABW109,000IA313,IA000025
078ENMS007,078EN006,EN078015
020YUNI323,020YU001,YU020603
008OKNI048,008OK001,OK008601
153XTNV148,153XT189,XT153245
008YQAB104,008YQ188,YQ008223
060EMAB004,060EM004,EM060004
