bd_id,oper,model
ALW048TW1060A,2200,UTC1000S
ALW048TW1060A,2200,UTC2000
AAW024XJ6011B,2200,UTC2000
AAW024XJ6011B,2200,UTC3000
AAW024XJ6011B,3200,UTC2000
AAW024XJ6011B,3200,UTC3000
ABU144C71005A,2200,UTC2000
AAB008YM2020A-A,2200,MAXUM-PLUS
AAB008YM2020A-A,2200,MAXUM
ABU100X69002A,2200,UTC2000
ANV0086A1007A,2200,MAXUM-PLUS
ANV0086A1007A,2200,MAXUM
ANI020YU1002B,2200,ICONN
AQW008YM2001A,2200,MAXUM
ABU008Y62009A,2200,MAXUM
AQW008YM2004A,2200,MAXUM-PLUS
OI072AF1066A,2200,MAXUM-PLUS
AAB008YQ2011B,2200,RAPID
ACD096EF2001A,2200,UTC1000S
ACD096EF2001A,2200,UTC2000
ACD096EF2001A,2200,UTC3000
ACD096EF2001A,2200,MAXUM-PLUS
ABU008YD2007A,2200,MAXUM
ABU008YD2007A,2200,ICONN-PLUS
AAB162KE1007A,3200,UTC2000
AAB162KE1007A,2200,UTC2000
AMS048TW1039A,2200,UTC1000S
ABW032YF1013A,2200,MAXUM-PLUS
ABU024XJ6002A,2200,UTC2000
ABU024XJ6002A,3200,UTC2000
ABU048TP2009A,2200,UTC1000S
ABU048TP2009A,2200,UTC2000
AAB063NW3003A,2200,UTC1000S
AAB063NW3003A,2200,UTC2000
ANV0086A1032A,2200,ICONN-PLUS
AAW048TP1034C,2200,UTC1000S
AAW016D53007B,2200,UTC2000
AAW016D53007B,2200,UTC3000
BU048MW2003B,2200,UTC1000S
AAB162KE1008A,2200,UTC2000
AAB162KE1008A,2200,UTC3000
AAW008Y62013B,2200,MAXUM-PLUS
AAW008Y62013B,2200,MAXUM
AMS048TW1032A,2200,UTC1000S
AAB008YQ2035A,2200,ICONN-PLUS
ABU134N93001A,2200,UTC1000S
ASS153XT9002A,2200,UTC2000
ASS153XT9002A,2200,UTC3000
AAS008YD2019A,2200,MAXUM
ASS153XT9002A,2200,MAXUM-PLUS
ABU063NW1001A,2200,UTC2000
AQW008YM2004A,2200,MAXUM
ANI010YK3002A,2200,RAPID
AAW048TP1034C,2200,UTC2000
ABW032YF1013A,2200,MAXUM
AQH072AF1001A,2200,MAXUM-PLUS
AQH072AF1001A,2200,MAXUM
AEU0086A1004A,2200,MAXUM-PLUS
AGA060NR1001A,2200,UTC1000S
AGA060NR1001A,2200,UTC2000
ABU008Y62003A,2200,MAXUM
ABU008Y62003A,2200,ICONN
ABU008Y62003A,2200,RAPID
AMS048TW1020A,2200,UTC1000S
AMS048TW1020A,2200,UTC2000
ASS153XT9001A,2200,UTC3000
AAW048TP1042C,2200,UTC1000S
AAW048TP1042C,2200,UTC2000
ASS153XT9001A,2200,UTC2000
AHQ0225N1001A,2200,ICONN
ANV0086A1003A,2200,MAXUM-PLUS
ANV0086A1003A,2200,MAXUM
AAB008YQ2002A,2200,MAXUM-PLUS
AAB008YQ2002A,2200,MAXUM
AAS008FG1003A,2200,MAXUM
OK048TV1005B,2200,UTC1000S
ABW048LF1018A,2200,UTC1000S
AAS066TS1004B,2200,MAXUM-PLUS
AAS066TS1004B,2200,MAXUM
AAS066TS1004B,2200,ICONN
ABW032YF1005A,2200,MAXUM
ABU064RK1002A,2200,UTC2000
ABU024MA6001A,2200,UTC1000S
ABU024MA6001A,2200,UTC2000
ABU024MA6001A,2200,UTC3000
ALW078C93002A,2200,UTC2000
ALW078C93002A,2200,UTC3000
ALW078C93002A,2200,MAXUM-PLUS
ALW078C93002A,2200,MAXUM
ALW078C93002A,2200,ICONN
ACS054TS1004A,2200,UTC1000S
ALW048TW1072A,2200,UTC1000S
AUL086TA1004A,2200,UTC1000S
AUL086TA1004A,2200,UTC2000
ALW048TW1072A,2200,UTC2000
AAB063NW3001A,2200,UTC1000S
AAB063NW3001A,2200,UTC2000
AHQ0223R1001A,2200,ICONN
AAB008YD2007A,2200,MAXUM
AAB008YD2007A,2200,RAPID
AAW048TP1043B,2200,UTC1000S
AAW048TP1043B,2200,UTC2000
ACD084CC2004A,2200,UTC1000S
ACD084CC2004A,2200,UTC2000
ABU008Y62011A,2200,MAXUM
ABU100X69001A,2200,UTC2000
AVE008YD2005A,2200,MAXUM
ANV153XT3002A,2200,UTC2000
ANV153XT3002A,2200,UTC3000
ANV153XT3002A,3200,UTC2000
ANV153XT3002A,3200,UTC3000
AAS008YD2024A,2200,MAXUM
AAS008YD2030A,2200,MAXUM
ADY060CD4001A,2200,UTC1000S
ALW048TW1061A,2200,UTC1000S
ALW048TW1061A,2200,UTC2000
ABU008YQ2004A,2200,MAXUM
AAW063NW3002A,2200,UTC2000
ALW048TW1070A,2200,UTC1000S
AAS063NW1021A,2200,MAXUM
ALW048TW1070A,2200,UTC2000
ABU048MA4014A,2200,UTC1000S
ADY060CD4001A,2200,UTC2000
ABW048AC1013A,2200,MAXUM-PLUS
ABU048MA4014A,2200,UTC2000
ABU048MA4014A,2200,UTC3000
AAW024MA6022B,2200,UTC1000S
AAW024MA6022B,2200,UTC2000
ACS054TS1008A,2200,UTC1000S
ACS054TS1008A,2200,UTC2000
AQB054TN1003A,2200,ICONN
AQB066TN1006A,3200,ICONN
AQB066TN1006A,2200,ICONN
AQB054TN1004A,3200,ICONN
AQB054TN1004A,2200,ICONN
AOI072AF1081A,2200,MAXUM
AQB066TN1008A,2200,ICONN
AHQ0242J1001A,2200,ICONN
AAB008YD2012B,3200,MAXUM
AAB008YD2012B,2200,MAXUM
AVE054TS1001D,2200,UTC2000
AGJ132X2C005A,2200,UTC2000
AAW024MA6039A,2200,UTC2000
ANV0086A1020A,2200,MAXUM-PLUS
AAS008YM2024A,2200,MAXUM
AAB084N43002A,2200,UTC2000
ANV153XT3008A,2200,UTC2000
AAS008YM2022A,2200,MAXUM
ABW048AC1013A,2200,MAXUM
AAS008FG1011A,2200,MAXUM-PLUS
AAS008FG1011A,2200,MAXUM
AAS008FG1016A,2200,MAXUM-PLUS
AAS008FG1016A,2200,MAXUM
ACD054TN1002A,2200,UTC3000
ACD054TN1002A,2200,MAXUM
AAS048TG2003A,2200,MAXUM
AAS008FG1020A,2200,MAXUM-PLUS
AAS048TG2003A,2200,ICONN
AAB008YQ2044A,2200,MAXUM
ABU008YQ2001A,2200,MAXUM-PLUS
ABU008YQ2001A,2200,MAXUM
AAS096EI2001A,2200,MAXUM
AAS008YD2011A,2200,MAXUM
AAS008YQ2028A,2200,ICONN
AAW048TP1050A,2200,UTC1000S
AAW024XJ6013B,2200,UTC2000
AAW008YM2003A,2200,MAXUM
AAW024XJ6013B,3200,UTC2000
AAS054TS1001B,2200,MAXUM-PLUS
AAS054TS1001B,2200,MAXUM
ANV0086A1005A,2200,MAXUM-PLUS
ANV132X25007B,2200,UTC1000S
ANV132X25007B,2200,UTC2000
ANV0086A1017A,2200,MAXUM-PLUS
ANV0086A1018A,2200,MAXUM-PLUS
ANV0086A1019A,2200,MAXUM-PLUS
ABW032YF1008A,2200,MAXUM-PLUS
ABW032YF1008A,2200,MAXUM
ACS054TS1012A,2200,UTC1000S
ACS054TS1012A,2200,UTC2000
ACS054TS1012A,3200,UTC1000S
ACS054TS1012A,3200,UTC2000
AQW096EF2001A,2200,UTC1000S
AHQ028DX1002A,2200,UTC3000
ABU048TP2002A,2200,UTC2000
AAS008YD2032A,2200,MAXUM
AAW048TP1052A,2200,UTC2000
ABU200N71002B,2200,UTC1000S
ABU200N71002B,2200,UTC2000
AMS096EE2001A,2200,UTC2000
AMS096EE2001A,2200,UTC3000
AAS008FG1019A,2200,MAXUM
AAB008YQ2039B,2200,MAXUM
AAB008YQ2039B,2200,RAPID
ANV0086A1042A,2200,MAXUM-PLUS
ANV0086A1006A,2200,MAXUM-PLUS
AAS048TP2004A,2200,MAXUM
AQW008YM2003A,2200,MAXUM-PLUS
AQW008YM2003A,2200,MAXUM
AQW008YM2003A,2200,ICONN
AQW008YM2003A,2200,RAPID
AUL086TA1003A,2200,UTC1000S
ABU200N71001C,2200,UTC2000
AAW048TP1051A,2200,UTC1000S
AAS008FG1013A,2200,MAXUM-PLUS
AAS008FG1013A,2200,MAXUM
AAS008FG1021A,2200,MAXUM
AAS048TG2005B,2200,MAXUM
AAW008Y62017A,2200,MAXUM-PLUS
AAW008Y62017A,2200,MAXUM
AAW008YM1012A,2200,MAXUM-PLUS
AAW008YM1012A,2200,MAXUM
AAW008YM1012A,2200,RAPID
AAS008YM2016A,2200,MAXUM
AAS008YM2017A,2200,MAXUM
AAS008YQ2024A,2200,ICONN
ANV132X2A006B,2200,UTC1000S
ANV132X2A006B,2200,UTC2000
AAS008YQ2013A,2200,MAXUM
AAS096EI2009A,2200,MAXUM
AAS096EL1004B,2200,MAXUM
AAS096EL1004B,2200,ICONN
AAW008Y62010C,2200,MAXUM
ABW032YF1006B,2200,MAXUM
ACS054TS1007A,2200,UTC1000S
ACS054TS1007A,2200,UTC2000
AAS048TP2001A,2200,MAXUM
AAW024MA6029C,2200,UTC2000
BU165ML3004C,2200,UTC1000S
AAW024MAA008A,2200,UTC1000S
AAW024MAA006A,2200,UTC1000S
AAB008YM2020A,2200,MAXUM-PLUS
AAB008YM2020A,2200,MAXUM
AAW048TP1034B,2200,UTC1000S
AAS008YM2029A,2200,ICONN
AAB024MA5010A,2200,UTC1000S
AAB024MA5010A,2200,UTC2000
AAW008Y62019A,2200,MAXUM-PLUS
AAW008Y62019A,2200,MAXUM
AAS008FG1023A,2200,MAXUM
ANV132X25008A,2200,UTC2000
ANV132X25008A,2200,UTC3000
ABU200N71001B,2200,UTC2000
ABU200N71002A,2200,UTC2000
ABU200KX1001C,2200,UTC2000
ANV132X25001A,2200,UTC2000
ANV132X25001A,3200,UTC2000
ABU200KX1001C,3200,UTC2000
AAS008YQ2030A,2200,ICONN
ALW048TW1056A,2200,UTC1000S
ALW048TW1056A,2200,UTC2000
AAS008YQ2029A,2200,ICONN
ABU090NC8003A,2200,UTC1000S
ABU090NC8003A,2200,UTC2000
ANV132X25003A,2200,UTC2000
ANV132X25003A,2200,UTC3000
AAS008YD2028A,2200,MAXUM
AAW016D53011A,2200,UTC2000
AEU0086A1001A,2200,ICONN
AAW008Y62013A,2200,MAXUM-PLUS
AAW008Y62013A,2200,MAXUM
ABU008Y62010A,2200,MAXUM
ACD054TN1001A,2200,UTC1000S
ACD054TN1001A,2200,UTC2000
ACD054TN1001A,2200,MAXUM-PLUS
ABU200KX1001B,2200,UTC2000
ABU200KX1001B,3200,UTC2000
ANV0086A1004A,2200,MAXUM-PLUS
ANV0086A1004A,2200,MAXUM
AOK048TV1012A,2200,UTC1000S
AAB024MAA006A,2200,UTC1000S
AAW048TP1024D,2200,UTC1000S
AAW048TP1024D,2200,UTC2000
AAW048TP1024D,2200,UTC3000
AAW048TP1024D,2200,MAXUM-PLUS
AAB048TW2009A,2200,UTC2000
AAB060NR1006A,2200,UTC1000S
AAB060NR1006A,2200,UTC2000
