ENTITY,SUM,MODEL,STATUS,LOT#,Pre-Lot,OPER,PRODUCT,PACKAGE ID,BOND ID,WIP,IC Q'ty,IN TIME,OUTPLAN,CUST,PIN_PKG,CLOT,JCODE,UPH,LAMILATION,REMARK1,AREA,PM,SETTING OPER,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,Unnamed: 31,G.UPH,N.UPH,wip_outplan_time,ent_weight
BB211,,UTC3000,RUNNING,R20AWB325,,2200,048TPAW086,5468ANB-48TG000,AAW048TP1041B,720,34088,2022/5/16 23:10,2022/5/17 08:27,MXIC,TSOP1-48/M2,T1221216,,77.5263,,3000M,TA-A20,,2200,1091A08T41,,R20AWB303,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,,77.5263,68.8628,2022/5/17 08:27,32020.10714
BB212,,UTC3000,ENG,R18NVUF54,,2200,345XTNV080,SC7800490U-00000-00055{SS,ANV345XTG002A,687,39499,2022/5/16 13:33,2022/5/16 13:33,PHISON,STBGA345NBC,00R18NVUF,PE,69.5439,,3000M,TA-A19,,2200,1091A07C41,P,R18NVUF31,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,,69.5439,61.7724,2022/5/16 23:15,2969.285714
BB213,,UTC3000,RUNNING,R18RKAI03,,2200,078EPRK003,Z32D-78ball{ARK-T},ARK078EP1001B,5960,25200,2022/5/15 06:08,2022/5/16 09:34,RK,FBGA-78UEP,JMC220426,,217.3454,,3000M,TA-A19,,2200,,,R19MSCH01,FBGA-96UEF,MTI,AMS096EF2001A,1091A06T21,,217.3454,193.057,2022/5/16 09:34,45783.5
BB214,,UTC3000,ENG,,,,,,ANV345XTG002A,,,2022/5/16 18:07,2022/5/16 18:07,,,,PE,,,3000M,TA-A19,,2200,,,R18NVUF51,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,,69.5439,61.7724,,
BB215,,UTC3000,RUNNING,R18RKAI01,,2200,078EPRK003,Z32D-78ball{ARK-T},ARK078EP1001B,5960,25200,2022/5/15 06:36,2022/5/16 10:01,RK,FBGA-78UEP,JMC220426,,217.3454,,3000M,TA-A19,,2200,,,R19MSCZ01,FBGA-96UEF,MTI,AMS096EF2001A,1091A06T21,,217.3454,193.057,2022/5/16 10:01,45783.5
BB216,,UTC3000,IDLE,,R18RKAM04,,,,ARK078EP1001B,,,2022/5/17 07:48,,,,,,,,3000M,TA-A19,,2200,,,R19VGAN01,STBGA24J4U,ISSI-VG,ABU024XJ6003A,1091A07T41,,217.3454,193.057,,
BB217,,UTC3000,ENG,,,,,,ANV345XTG002A,,,2022/5/14 16:10,2022/5/14 16:10,,,,PE,,,2000M,TA-A20,,2200,,,R18NVUF30,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,,69.5439,61.7724,,
BB218,,UTC3000,IDLE,,,,,,AEU252X02002A,,,2022/5/17 07:06,,,,,,,,1000M,TA-A20,,2200,,,R19EUKC03,STBGA252D4V,TRANSCEND,AEU252X02002A,1091A07C41,,58.8644,52.2863,,
BB219,,UTC3000,ENG,R18NVUF46,,2200,345XTNV080,SC7800490U-00000-00055{SS,ANV345XTG002A,679,39499,2022/5/14 17:04,2022/5/14 17:04,PHISON,STBGA345NBC,00R18NVUF,PE,69.5439,,3000M,TA-A20,,2200,1091A07C41,P,R18NVUF32,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,,69.5439,61.7724,2022/5/14 23:04,2969.285714
BB220,,UTC3000,RUNNING,R20NVW903,,2200,132X2NV158,30-P0QA0HPF37,ANV132X2C059A,1141,38677,2022/5/16 11:11,2022/5/17 03:40,PHISON,STBGA132G4VT,R20NVW9,,69.2208,,3000M,TA-A20,,2200,1091A06C41,,R18OKAN12,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,,69.2208,61.4854,2022/5/17 03:40,13140.4
BB221,,UTC3000,RUNNING,R20AWB317,,2200,048TPAW086,5468ANB-48TG000,AAW048TP1041B,720,34088,2022/5/16 23:47,2022/5/17 09:04,MXIC,TSOP1-48/M2,T1221216,,77.5263,,3000M,TA-A20,,2200,1091A08T41,,R20AWA741,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,,77.5263,68.8628,2022/5/17 09:04,32020.10714
BB222,,UTC3000,RUNNING,R20AWBV03,,2200,048TPAW086,5468ANB-48TG000,AAW048TP1041B,720,34064,2022/5/17 04:44,2022/5/17 14:01,MXIC,TSOP1-48/M2,T1221220A1,,77.5263,,3000M,TA-A20,05/17/2022 SP,2200,1091A08T41,,R20AWB335,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,,77.5263,68.8628,2022/5/17 14:01,32020.10714
BB223,,UTC3000,RUNNING,R80CMRJ01,,2200,132X2CM106ENG,SZZZZZZZ0Q-22FLH-00035-EN,ANV132X2A021C,240,240,2022/5/16 20:42,,ENG,STBGA132G4U,R80CMRJ,,,,3000M,TA-A20,05/18/2022 SP,2200,,,R07NVG501,STBGA132G4U,PHISON,ANV132X2A021C,1091A08C41,,164.1774,145.8306,,68.57142857
BB224,,UTC3000,SETUP,,,,,,ARK078EP1001B,,,2022/5/17 07:36,2022/5/17 09:00,,,,MC,,,3000M,TA-A20,05/19/2022 SP,2200,,,R19AWDU02,STBGA24A3L,MXIC,AAW024XJ6014A,1091A07T41,,217.3454,193.057,,
BB225,,UTC3000,RUNNING,R20AWBQ07,,2200,048TPAW086,5468ANB-48TG000,AAW048TP1041B,720,34086,2022/5/17 00:10,2022/5/17 09:27,MXIC,TSOP1-48/M2,T1221219,,77.5263,,3000M,TA-A12,05/20/2022 SP,2200,1091A08T41,,R20AWB301,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,,77.5263,68.8628,2022/5/17 09:27,32020.10714
BB226,,UTC3000,WAIT-SETUP,,,,,,ARK078EP1001B,,,2022/5/17 07:00,,,,,MC,,,3000M,TA-A20,05/21/2022 SP,2200,,,R19AWDU04,STBGA24A3L,MXIC,AAW024XJ6014A,1091A07T41,,217.3454,193.057,,
BB227,,UTC3000,RUNNING,R20AWBQ44,,2200,048TPAW086,5468ANB-48TG000,AAW048TP1041B,720,34086,2022/5/17 00:07,2022/5/17 09:24,MXIC,TSOP1-48/M2,T1221219,,77.5263,,3000M,TA-A20,05/22/2022 SP,2200,1091A08T41,,R20AWB306,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,,77.5263,68.8628,2022/5/17 09:24,32020.10714
BB228,,UTC3000,RUNNING,R20ABA601,,2200,060NRAB028,UAA074931/DB/W94AD6KBHX5I,AAB060NR2004A,500,500,2022/5/17 05:23,2022/5/17 05:29,WINBOND,VFBGA60B4U,615178000ZY,,,,3000M,TA-A20,05/23/2022 SP,2200,,,R20ABA501,VFBGA60B4U,WINBOND,AAB060NR2004A,1091A07T21,,,,2022/5/17 05:29,220
BB229,,UTC3000,ENG,R18NVUF50,,2200,345XTNV080,SC7800490U-00000-00055{SS,ANV345XTG002A,680,39499,2022/5/14 16:04,2022/5/14 16:04,PHISON,STBGA345NBC,00R18NVUF,PE,69.5439,,3000M,TA-A20,05/24/2022 SP,2200,1091A07C41,P,R18NVUF33,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,,69.5439,61.7724,2022/5/14 19:02,2969.285714
BB230,,UTC3000,ENG,R18NVUF53,,2200,345XTNV080,SC7800490U-00000-00055{SS,ANV345XTG002A,680,39499,2022/5/14 20:20,2022/5/14 20:20,PHISON,STBGA345NBC,00R18NVUF,PE,69.5439,,3000M,TA-A21,05/25/2022 SP,2200,1091A07C41,P,R18NVUF42,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,,69.5439,61.7724,2022/5/15 06:06,2969.285714
BB231,,UTC3000,IDLE,,,,,,ABU024XJ8004A,,,2022/5/17 05:46,,,,,,,,3000M,TA-A21,05/26/2022 SP,3400,,,R18VGB301,STBGA24D4U,ISSI-VG,ABU024XJ8004A,1091A07T41,,546.937,485.8168,,
BB232,,UTC3000,WAIT-SETUP,R20AWBV23,,2200,048TPAW086,5468ANB-48TG000,AAW048TP1041B,720,34064,2022/5/17 07:28,2022/5/17 13:09,MXIC,TSOP1-48/M2,T1221220A1,M,77.5263,,3000M,TA-A21,05/27/2022 SP,2200,1091A08T41,,R20AWA923,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,,77.5263,68.8628,2022/5/17 13:09,32020.10714
BB233,,UTC3000,ENG,,,,,,ANV345XTG002A,,,2022/5/16 13:23,2022/5/16 13:23,,,,PE,,,3000M,TA-A21,05/28/2022 SP,2200,,,R18NVUF54,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,,69.5439,61.7724,,
BB234,,UTC3000,RUNNING,R20AWBV02,,2200,048TPAW086,5468ANB-48TG000,AAW048TP1041B,720,34064,2022/5/17 02:42,2022/5/17 11:59,MXIC,TSOP1-48/M2,T1221220A1,,77.5263,,3000M,TA-A21,05/29/2022 SP,2200,1091A08T41,,R20AWB338,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,,77.5263,68.8628,2022/5/17 11:59,32020.10714
