process_id,Oper,master_desc,detail_desc,detail_id,remark,
	0008W364       ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-800;DB-700                           ,
	0008W364       ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-800;DB-700                           ,
	0008W364       ,	2070,	Entity                                  ,	Other                                             ,	E20700199,	DB-800;DB-700                           ,
	0008W364       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	4320                                    ,
	0008W364       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	L                                       ,
	0008W364       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W364       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W375ENG    ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	1280                                    ,
	0008W375ENG    ,	2051,	PTN No                                  ,	                                                  ,	R20510198,	15                                      ,
	0008W375ENG    ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W375ENG    ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W395       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	1120                                    ,
	0008W395       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008W395       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008W395       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA109      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	950                                     ,
	0008WA109      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	I                                       ,
	0008WA109      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA109      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA140      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	3360                                    ,
	0008WA140      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	C                                       ,
	0008WA140      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA140      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA194      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	950                                     ,
	0008WA194      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	O                                       ,
	0008WA194      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA194      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA243      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	1120                                    ,
	0008WA243      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	D                                       ,
	0008WA243      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA243      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA248      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	1800                                    ,
	0008WA248      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	D                                       ,
	0008WA248      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA248      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA249      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	2400                                    ,
	0008WA249      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WA249      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA249      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA401      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	950                                     ,
	0008WA401      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	I                                       ,
	0008WA450      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	1600                                    ,
	0008WA450      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WA450      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WA450      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA10      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	2400                                    ,
	0008WAA10      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WAA10      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA10      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA12      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	2400                                    ,
	0008WAA12      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WAA12      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA12      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA13      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	3520                                    ,
	0008WAA13      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WAA13      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA13      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA17      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	2520                                    ,
	0008WAA17      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WAA17      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA17      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA18      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	C                                       ,
	0008WAA18      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA18      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WAA2       ,	2250,	Entity                                  ,	Other                                             ,	E22500199,	TEPLA                                   ,
	0008WAA2       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	1680                                    ,
	0008WAA2       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	G                                       ,
	0008WAA2       ,	2080,	PTN No                                  ,	                                                  ,	R20800698,	66                                      ,
