OPER, CUST, PRODUCT ID, PACKAGE ID,B/D#, PIN PKG, MODEL,G.UPH, N.UPH
2200,MXIC,000SAW014,SUBMATSAW007{SMT-N},AAW016D53004A,SMT,UTC3000,89.62491428571427,0.0
2200,MXIC,000SAW014,SUBMATSAW007{SMT-N},AAW016D53004A,SMT,UTC2000,92.3769,82.0538
2200,MXIC,000SAW014,SUBMATSAW007{SMT-N},AAW016D53004A,SMT,UTC2000S,89.62491428571427,0.0
2200,MXIC,000SAW014,SUBMATSAW007{SMT-N},AAW016D53004A,SMT,UTC1000S,89.62491428571427,0.0
2200,MXIC,000SAW014,SUBMATSAW007{SMT-N},AAW016D53004A,SMT,UTC1000,89.62491428571427,0.0
2200,MXIC,000SAW014,SUBMATSAW007{SMT-N},AAW016D53004A,SMT,UTC5000S,107.6208,95.5942
2200,MXIC,000SAW014,SUBMATSAW007{SMT-N},AAW016D53004A,SMT,MAXUM-BASE,89.62491428571427,0.0
2200,MXIC,000SAW014,SUBMATSAW007{SMT-N},AAW016D53004A,SMT,MAXUM-PLUS,79.2414,70.3862
2200,MXIC,000SAW014,SUBMATSAW007{SMT-N},AAW016D53004A,SMT,ICONN-PLUS,89.62491428571427,0.0
2200,MXIC,000SAW014,SUBMATSAW007{SMT-N},AAW016D53004A,SMT,ICONN,89.62491428571427,0.0
2200,MXIC,000SAW014,SUBMATSAW007{SMT-N},AAW016D53004A,SMT,MAXUM,89.62491428571427,0.0
2200,MXIC,000SAW014,SUBMATSAW007{SMT-N},AAW016D53004A,SMT,RAPID,89.62491428571427,0.0
2200,MXIC,000SAW014,SUBMATSAW007{SMT-N},AAW016D53004A,SMT,MAXUM-CU,89.62491428571427,0.0
2200,MXIC,000SAW016,SUBMATSAW016,AAW016D53011A,SMT,UTC1000,102.127,0.0
2200,MXIC,000SAW016,SUBMATSAW016,AAW016D53011A,SMT,UTC2000S,102.127,0.0
2200,MXIC,000SAW016,SUBMATSAW016,AAW016D53011A,SMT,UTC1000S,102.127,0.0
2200,MXIC,000SAW016,SUBMATSAW016,AAW016D53011A,SMT,UTC2000,85.2863,75.7555
2200,MXIC,000SAW016,SUBMATSAW016,AAW016D53011A,SMT,UTC3000,101.2351,89.9221
2200,MXIC,000SAW016,SUBMATSAW016,AAW016D53011A,SMT,MAXUM-CU,102.127,0.0
2200,MXIC,000SAW016,SUBMATSAW016,AAW016D53011A,SMT,MAXUM-BASE,102.127,0.0
2200,MXIC,000SAW016,SUBMATSAW016,AAW016D53011A,SMT,MAXUM,102.127,0.0
2200,MXIC,000SAW016,SUBMATSAW016,AAW016D53011A,SMT,MAXUM-PLUS,104.2246,92.5775
2200,MXIC,000SAW016,SUBMATSAW016,AAW016D53011A,SMT,ICONN-PLUS,102.127,0.0
2200,MXIC,000SAW016,SUBMATSAW016,AAW016D53011A,SMT,ICONN,102.127,0.0
2200,MXIC,000SAW016,SUBMATSAW016,AAW016D53011A,SMT,RAPID,113.383,100.7125
2200,MXIC,000SAW016,SUBMATSAW016,AAW016D53011A,SMT,UTC5000S,108.9892,96.8097
2200,MXIC,000SAW030,SUBMATSAW030,AAW016D53017A,SMT,,86.2466,0.0
2200,MXIC,000SAW030,SUBMATSAW030,AAW016D53017A,SMT,,86.2466,0.0
2200,MXIC,000SAW030,SUBMATSAW030,AAW016D53017A,SMT,,86.2466,0.0
2200,MXIC,000SAW030,SUBMATSAW030,AAW016D53017A,SMT,,86.2466,0.0
2200,MXIC,000SAW030,SUBMATSAW030,AAW016D53017A,SMT,,86.2466,0.0
2200,MXIC,000SAW030,SUBMATSAW030,AAW016D53017A,SMT,,86.2466,0.0
2200,MXIC,000SAW030,SUBMATSAW030,AAW016D53017A,SMT,,86.2466,0.0
2200,MXIC,000SAW030,SUBMATSAW030,AAW016D53017A,SMT,,86.2466,0.0
2200,MXIC,000SAW030,SUBMATSAW030,AAW016D53017A,SMT,,86.2466,0.0
2200,MXIC,000SAW030,SUBMATSAW030,AAW016D53017A,SMT,,86.2466,0.0
2200,MXIC,000SAW030,SUBMATSAW030,AAW016D53017A,SMT,,86.2466,0.0
2200,MXIC,000SAW030,SUBMATSAW030,AAW016D53017A,SMT,,86.2466,0.0
2200,MXIC,000SAW030,SUBMATSAW030,AAW016D53017A,SMT,,86.2466,0.0
2200,EMC,000SHQ322,SUBMATSHQ322,AHQ0445T2011A,SMT,,247.9786,0.0
2200,EMC,000SHQ322,SUBMATSHQ322,AHQ0445T2011A,SMT,,247.9786,0.0
2200,EMC,000SHQ322,SUBMATSHQ322,AHQ0445T2011A,SMT,,247.9786,0.0
2200,EMC,000SHQ322,SUBMATSHQ322,AHQ0445T2011A,SMT,,247.9786,0.0
