assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,wlot_oper,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_crt_dat_al_3,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_crte_category,wlot_hold,prod_type,cust_code,package_id,po_no,wlot_mvin_perfmd,wlot_deleted,wlot_actl_mvin_dt,wlot_actl_mvin_tm,wlot_dt_last_trans,wlot_tm_last_trans,assy_issue,bd_id,assy_group,wlot_hold_category,da_type,tape_no,mark_type,test_entity,package_id1,wlot_owner,wb_date,sp_date,pack_date,ship_date,due_date,wafer_size,urgent_code,note_4,heat_block,heat_block_qty,pb_free,sps_status,ship_to,md_no,swr_id,swr_ver,wlot_hold_note,wlot_assy_lot,assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,
	N33BWGF01  ,	2,	2470,	2020/8/13 下午 01:26:13,	WSM       ,	Y,	3720,	N33BWGF01  ,	AKM          ,	WLCSP          ,	000IABW108               ,	WSDP137A                                          ,	520,	0,	3720,	A2,	Y,	TSOP  ,	BW,	AK07314-XC2-FI{FT1}{FRM-PP}                       ,	5K3G34                   ,	N,	N,	0,	0,	20200813,	134128,	2020/8/13 上午 12:00:00,	                    ,	,	CM99  ,	M,	                         ,	          ,	               ,	AK07314-XC2-FI{FT1}{FRM-PP}                       ,	PROD        ,	2020/8/14 上午 12:00:00,	2020/8/15 上午 12:00:00,	2020/8/16 上午 12:00:00,	2020/8/17 上午 12:00:00,	2020/8/17 上午 12:00:00,	8 ,	2G,	 A A B B                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200605006.E  ,	1,	封合不良                           ,	N33BWGF,	N33BWGF01  ,	2,	2470,	2020/8/13 下午 01:26:13,	WSM       ,	Y,
	N36BWBU04  ,	2,	2470,	2020/9/8 下午 05:28:44,	WSM       ,	Y,	3720,	N36BWBU04  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200908,	172843,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU04  ,	2,	2470,	2020/9/8 下午 05:28:44,	WSM       ,	Y,
	N36BWBU08  ,	2,	2470,	2020/9/9 上午 12:10:14,	WSM       ,	Y,	3720,	N36BWBU08  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200909,	1014,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU08  ,	2,	2470,	2020/9/9 上午 12:10:14,	WSM       ,	Y,
	N36BWBU12  ,	2,	2470,	2020/9/9 上午 08:57:43,	WSM       ,	Y,	3720,	N36BWBU12  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200909,	85742,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU12  ,	2,	2470,	2020/9/9 上午 08:57:43,	WSM       ,	Y,
	N36BWBU16  ,	2,	2470,	2020/9/9 下午 03:02:04,	WSM       ,	Y,	3720,	N36BWBU16  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200909,	150203,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU16  ,	2,	2470,	2020/9/9 下午 03:02:04,	WSM       ,	Y,
	N36BWBU20  ,	2,	2470,	2020/9/9 下午 09:24:54,	WSM       ,	Y,	3720,	N36BWBU20  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200909,	212454,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU20  ,	2,	2470,	2020/9/9 下午 09:24:54,	WSM       ,	Y,
	N36BWBU24  ,	2,	2470,	2020/9/10 上午 05:05:37,	WSM       ,	Y,	3720,	N36BWBU24  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200910,	50536,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU24  ,	2,	2470,	2020/9/10 上午 05:05:37,	WSM       ,	Y,
	N36BWBU28  ,	2,	2470,	2020/9/10 下午 12:40:43,	WSM       ,	Y,	3720,	N36BWBU28  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200910,	124042,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU28  ,	2,	2470,	2020/9/10 下午 12:40:43,	WSM       ,	Y,
	N36BWBU32  ,	2,	2470,	2020/9/10 下午 08:14:50,	WSM       ,	Y,	3720,	N36BWBU32  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200910,	201450,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU32  ,	2,	2470,	2020/9/10 下午 08:14:50,	WSM       ,	Y,
	N36BWBU36  ,	2,	2470,	2020/9/11 上午 03:22:30,	WSM       ,	Y,	3720,	N36BWBU36  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200911,	32229,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU36  ,	2,	2470,	2020/9/11 上午 03:22:30,	WSM       ,	Y,
	N36BWBU40  ,	2,	2470,	2020/9/11 上午 11:20:10,	WSM       ,	Y,	3720,	N36BWBU40  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200911,	112011,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU40  ,	2,	2470,	2020/9/11 上午 11:20:10,	WSM       ,	Y,
