assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,wlot_oper,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_crt_dat_al_3,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_crte_category,wlot_hold,prod_type,cust_code,package_id,po_no,wlot_mvin_perfmd,wlot_deleted,wlot_actl_mvin_dt,wlot_actl_mvin_tm,wlot_dt_last_trans,wlot_tm_last_trans,assy_issue,bd_id,assy_group,wlot_hold_category,da_type,tape_no,mark_type,test_entity,package_id1,wlot_owner,wb_date,sp_date,pack_date,ship_date,due_date,wafer_size,urgent_code,note_4,heat_block,heat_block_qty,pb_free,sps_status,ship_to,md_no,swr_id,swr_ver,wlot_hold_note,wlot_assy_lot,assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,
	PF1MSEC02  ,	2,	2460,	2021/12/17 下午 04:12:28,	WSM       ,	Y,	5065,	PF1MSEC02  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	531661L.00L                                       ,	6000,	0,	5065,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	1293662                  ,	N,	N,	0,	0,	20211220,	222001,	2021/12/16 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2021/12/26 上午 12:00:00,	2021/12/31 上午 12:00:00,	2022/1/5 上午 12:00:00,	2022/1/5 上午 12:00:00,	2022/1/10 上午 12:00:00,	,	,	 A E B A C                                                                      ,	                    ,	0,	Y3,	     ,	MS36    ,	1081G771S1               ,	,	,	                                   ,	PF1MSEC,	PF1MSEC02  ,	2,	2460,	2021/12/17 下午 04:12:28,	WSM       ,	Y,
	R09BWFA14  ,	2,	2470,	2022/5/20 上午 10:10:33,	WSM       ,	Y,	3720,	R09BWFA14  ,	AKM          ,	WLCSP          ,	000IABW040               ,	WSBKR29A                                          ,	20000,	0,	3720,	A2,	Y,	TSOP  ,	BW,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	5K4W90                   ,	N,	N,	0,	0,	20220520,	101115,	2022/5/16 上午 12:00:00,	ENG                 ,	,	CM99  ,	M,	                         ,	          ,	               ,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	PROD        ,	2022/5/22 上午 12:00:00,	2022/5/23 上午 12:00:00,	2022/5/24 上午 12:00:00,	2022/5/24 上午 12:00:00,	2022/5/24 上午 12:00:00,	8 ,	,	 E G E C                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	IC站立                             ,	R09BWFA,	R09BWFA14  ,	2,	2470,	2022/5/20 上午 10:10:33,	WSM       ,	Y,
	R09BWFA55  ,	2,	2470,	2022/5/22 下午 03:09:25,	WSM       ,	Y,	3720,	R09BWFA55  ,	AKM          ,	WLCSP          ,	000IABW040               ,	WSBKR29A                                          ,	20000,	0,	3720,	A2,	Y,	TSOP  ,	BW,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	5K4W90                   ,	N,	N,	0,	0,	20220522,	151000,	2022/5/16 上午 12:00:00,	ENG                 ,	,	CM99  ,	M,	                         ,	          ,	               ,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	PROD        ,	2022/5/22 上午 12:00:00,	2022/5/23 上午 12:00:00,	2022/5/24 上午 12:00:00,	2022/5/24 上午 12:00:00,	2022/5/24 上午 12:00:00,	8 ,	,	 E G E C                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	IC翻轉                             ,	R09BWFA,	R09BWFA55  ,	2,	2470,	2022/5/22 下午 03:09:25,	WSM       ,	Y,
	R09BWH618  ,	2,	2470,	2022/5/22 上午 04:34:27,	WSM       ,	Y,	3720,	R09BWH618  ,	AKM          ,	WLCSP          ,	000IABW040               ,	WSBKR31A                                          ,	20000,	0,	3720,	A2,	Y,	TSOP  ,	BW,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	5K4W90                   ,	N,	N,	0,	0,	20220522,	50809,	2022/5/18 上午 12:00:00,	ENG                 ,	,	CM99  ,	M,	                         ,	          ,	               ,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	PROD        ,	2022/5/24 上午 12:00:00,	2022/5/25 上午 12:00:00,	2022/5/26 上午 12:00:00,	2022/5/26 上午 12:00:00,	2022/5/26 上午 12:00:00,	8 ,	,	 E G E C                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	封合不良                           ,	R09BWH6,	R09BWH618  ,	2,	2470,	2022/5/22 上午 04:34:27,	WSM       ,	Y,
	R10BWA123  ,	2,	2470,	2022/5/25 上午 02:10:20,	WSM       ,	Y,	3720,	R10BWA123  ,	AKM          ,	WLCSP          ,	000IABW040               ,	WSBKR38A                                          ,	20000,	0,	3720,	A2,	Y,	TSOP  ,	BW,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	5K4W90                   ,	N,	N,	0,	0,	20220525,	23515,	2022/5/21 上午 12:00:00,	ENG                 ,	,	CM99  ,	M,	                         ,	          ,	               ,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	PROD        ,	2022/5/27 上午 12:00:00,	2022/5/28 上午 12:00:00,	2022/5/29 上午 12:00:00,	2022/5/29 上午 12:00:00,	2022/5/29 上午 12:00:00,	8 ,	,	 E G E C                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	封合不良                           ,	R10BWA1,	R10BWA123  ,	2,	2470,	2022/5/25 上午 02:10:20,	WSM       ,	Y,
	R10BWA146  ,	2,	2470,	2022/5/26 上午 11:51:37,	WSM       ,	Y,	3720,	R10BWA146  ,	AKM          ,	WLCSP          ,	000IABW040               ,	WSBKR38A                                          ,	20000,	0,	3720,	A2,	Y,	TSOP  ,	BW,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	5K4W90                   ,	N,	N,	0,	0,	20220526,	115235,	2022/5/21 上午 12:00:00,	ENG                 ,	,	CM99  ,	M,	                         ,	          ,	               ,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	PROD        ,	2022/5/27 上午 12:00:00,	2022/5/28 上午 12:00:00,	2022/5/29 上午 12:00:00,	2022/5/29 上午 12:00:00,	2022/5/29 上午 12:00:00,	8 ,	,	 E G E C                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	IC站立                             ,	R10BWA1,	R10BWA146  ,	2,	2470,	2022/5/26 上午 11:51:37,	WSM       ,	Y,
	R10BWB804  ,	2,	2470,	2022/6/5 下午 02:57:48,	WSM       ,	Y,	3720,	R10BWB804  ,	AKM          ,	WLCSP          ,	000IABW040               ,	WSBKR56A                                          ,	20000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	5K4W90                   ,	N,	N,	0,	0,	20220605,	145748,	2022/5/31 上午 12:00:00,	ENG                 ,	,	      ,	M,	                         ,	          ,	               ,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	PROD        ,	2022/6/6 上午 12:00:00,	2022/6/7 上午 12:00:00,	2022/6/8 上午 12:00:00,	2022/6/8 上午 12:00:00,	2022/6/8 上午 12:00:00,	8 ,	,	 E G E C                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	                                   ,	R10BWB8,	R10BWB804  ,	2,	2470,	2022/6/5 下午 02:57:48,	WSM       ,	Y,
	R10BWB808  ,	2,	2470,	2022/6/5 下午 08:04:54,	WSM       ,	Y,	3720,	R10BWB808  ,	AKM          ,	WLCSP          ,	000IABW040               ,	WSBKR56A                                          ,	20000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	5K4W90                   ,	N,	N,	0,	0,	20220605,	200454,	2022/5/31 上午 12:00:00,	ENG                 ,	,	      ,	M,	                         ,	          ,	               ,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	PROD        ,	2022/6/6 上午 12:00:00,	2022/6/7 上午 12:00:00,	2022/6/8 上午 12:00:00,	2022/6/8 上午 12:00:00,	2022/6/8 上午 12:00:00,	8 ,	,	 E G E C                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	                                   ,	R10BWB8,	R10BWB808  ,	2,	2470,	2022/6/5 下午 08:04:54,	WSM       ,	Y,
	R10BWB812  ,	2,	2470,	2022/6/6 上午 01:45:38,	WSM       ,	Y,	3720,	R10BWB812  ,	AKM          ,	WLCSP          ,	000IABW040               ,	WSBKR56A                                          ,	20000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	5K4W90                   ,	N,	N,	0,	0,	20220606,	14537,	2022/5/31 上午 12:00:00,	ENG                 ,	,	      ,	M,	                         ,	          ,	               ,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	PROD        ,	2022/6/6 上午 12:00:00,	2022/6/7 上午 12:00:00,	2022/6/8 上午 12:00:00,	2022/6/8 上午 12:00:00,	2022/6/8 上午 12:00:00,	8 ,	,	 E G E C                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	                                   ,	R10BWB8,	R10BWB812  ,	2,	2470,	2022/6/6 上午 01:45:38,	WSM       ,	Y,
	R10BWB816  ,	2,	2470,	2022/6/6 上午 05:55:34,	WSM       ,	Y,	3720,	R10BWB816  ,	AKM          ,	WLCSP          ,	000IABW040               ,	WSBKR56A                                          ,	20000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	5K4W90                   ,	N,	N,	0,	0,	20220606,	55534,	2022/5/31 上午 12:00:00,	ENG                 ,	,	      ,	M,	                         ,	          ,	               ,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	PROD        ,	2022/6/6 上午 12:00:00,	2022/6/7 上午 12:00:00,	2022/6/8 上午 12:00:00,	2022/6/8 上午 12:00:00,	2022/6/8 上午 12:00:00,	8 ,	,	 E G E C                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	                                   ,	R10BWB8,	R10BWB816  ,	2,	2470,	2022/6/6 上午 05:55:34,	WSM       ,	Y,
	R10BWBR04  ,	2,	2470,	2022/6/5 下午 12:29:04,	WSM       ,	Y,	3720,	R10BWBR04  ,	AKM          ,	WLCSP          ,	000IABW040               ,	WSBKR39A                                          ,	20000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	5K4W90                   ,	N,	N,	0,	0,	20220605,	122904,	2022/5/31 上午 12:00:00,	ENG                 ,	,	      ,	M,	                         ,	          ,	               ,	AK09918AUC0-B4{FT2}{FRM-PP}                       ,	PROD        ,	2022/6/6 上午 12:00:00,	2022/6/7 上午 12:00:00,	2022/6/8 上午 12:00:00,	2022/6/8 上午 12:00:00,	2022/6/8 上午 12:00:00,	8 ,	,	 E G E C                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	                                   ,	R10BWBR,	R10BWBR04  ,	2,	2470,	2022/6/5 下午 12:29:04,	WSM       ,	Y,
