ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER,ent_weight
BB211,UTC3000,RUNNING,R22AWC134,2200.0,048TPAW086,AAW048TP1041B,22-06-06 11:13,22-06-06 01:55,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R22AWBW18,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,77.5263,22-06-06 11:13,2200,46880.428571428565
BB212,UTC3000,RUNNING,R22OKA801,2200.0,048TVOK056,AOK048TV1029A,22-06-06 16:17,22-06-06 04:30,LAPIS,TSOP1-48A2,2560.0,,1091A07C41,,R22OKA509,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,217.3206,22-06-06 16:17,2200,9628.857142857141
BB213,UTC3000,RUNNING,R22AWC143,2200.0,048TPAW086,AAW048TP1041B,22-06-06 15:46,22-06-06 06:29,MXIC,TSOP1-48/M2,720.0,,1091A08T41,,R22AWBW41,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,77.5263,22-06-06 15:46,2200,46880.428571428565
BB214,UTC3000,RUNNING,R22OKA614,2200.0,048TVOK056,AOK048TV1029A,22-06-06 09:06,22-06-05 21:19,LAPIS,TSOP1-48A2,2560.0,06/06/2022 MP,1091A07C41,,R22OKA608,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,217.3206,22-06-06 09:06,2200,9628.857142857141
BB215,UTC3000,WAIT-SETUP,R22AWC139,2200.0,048TPAW086,AAW048TP1041B,22-06-06 10:49:07,22-06-06 07:17,MXIC,TSOP1-48/M2,720.0,06/07/2022 MP,1091A08T41,,R22AWBZ15,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,77.5263,22-06-06 10:49,2200,46880.428571428565
BB216,UTC3000,RUNNING,R22AWC202,2200.0,048TPAW086,AAW048TP1041B,22-06-06 14:46,22-06-06 05:28,MXIC,TSOP1-48/M2,720.0,06/08/2022 MP,1091A08T41,,R22AWBW48,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,77.5263,22-06-06 14:46,2200,46880.428571428565
BB217,UTC3000,RUNNING,R22AWC404,2200.0,048TPAW086,AAW048TP1041B,22-06-06 09:57,22-06-06 00:40,MXIC,TSOP1-48/M2,720.0,06/09/2022 MP,1091A08T41,,R22AWB137,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,77.5263,22-06-06 09:57,2200,46880.428571428565
BB218,UTC3000,WAIT-REPAIR,,,,AAB162KE1002A,,22-06-01 15:13,,,,06/10/2022 MP,,,R22ABB426,STBGA162B4U,WINBOND,AAB162KE1002A,1091A07T21,109.2198,,2200,0.0
BB219,UTC3000,WAIT-SETUP,,,,AAB024XW3013A,,22-06-06 07:47,,,,06/11/2022 MP,,,R22ABBH01,STBGA24D6U,WINBOND,AAB024XJ6011A,1091A07T21,836.7986,,3400,0.0
BB220,UTC3000,ENG,,,,AAW056TH1022A,22-06-04 10:00,22-06-04 10:00,,,,06/12/2022 MP,,,R21OKA614,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,494.1396,,3200,0.0
BB221,UTC3000,RUNNING,R22AWC405,2200.0,048TPAW086,AAW048TP1041B,22-06-06 14:53,22-06-06 05:36,MXIC,TSOP1-48/M2,720.0,06/13/2022 MP,1091A08T41,,R22AWC118,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,77.5263,22-06-06 14:53,2200,46880.428571428565
BB222,UTC3000,RUNNING,R22AWC135,2200.0,048TPAW086,AAW048TP1041B,22-06-06 08:04,22-06-05 22:47,MXIC,TSOP1-48/M2,720.0,06/14/2022 MP,1091A08T41,,R22AWB122,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,77.5263,22-06-06 08:04,2200,46880.428571428565
