ALL_CAN_RUN_MODELS,CAN_RUN_MODELS,PROCESS_TIME,all_part_no,amount_of_tools,amount_of_wires,automotive,bom_id,code,customer,dest_oper,fcst_time,hold,is_sub_lot,log,lot_number,lot_size,mvin,oper,package_id,part_id,part_no,pin_package,prescheduled_machine,prescheduled_order,process_id,prod_id,qty,queue_time,recipe,route,uphs,urgent_code,wb_location
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","351.629193,335.071253",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN20,1600,N,2090,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,BBR07,1,0086A172,0086ANV210,1461,15.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,BBR07-1
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","374.493514,356.858911",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN28,1600,N,2090,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1556,15.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","370.402004,352.960067",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXM17,1600,N,2090,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,BBRB8,1,0086A172,0086ANV210,1539,15.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,BBRB8-1
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","371.846067,354.336130",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXM33,1600,N,2090,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,BBRA9,1,0086A172,0086ANV210,1545,15.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,BBRA9-1
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","368.717265,351.354661",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN01,1600,N,2090,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,BBRA3,1,0086A172,0086ANV210,1532,15.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,BBRA3-1
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","367.754557,350.437286",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXM30,1600,N,2090,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,BBRC5,1,0086A172,0086ANV210,1528,15.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,BBRC5-1
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","372.808775,355.253505",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXM23,1600,N,2090,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,BBRA8,1,0086A172,0086ANV210,1549,15.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,BBRA8-1
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","355.961380,339.199441",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXM31,1600,N,2090,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,BBS01,1,0086A172,0086ANV210,1479,15.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,BBS01-1
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","375.456223,357.776286",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXM40,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1560,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2WB TB
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","361.015599,344.015660",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN04,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1500,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-1
