lot_number,oper,cust,pin_pkg,prod_id,qty,part_id,part_no,bd_id,entity,start_time,end_time
R22BUAK11,2200,ICSI,TSOP2-86E,086TABU026,1600,1091A09C21,A0801CB0462,ABU086TA1007A,BB448,2022-06-06 09:49:00,2022-06-06 18:32:48
R23ABFS14,2200,WINBOND,FBGA-84UC2H,084UCAB027,785,1091A07T21,A0801CB1250,AAB084CC9001A,BB461,2022-06-06 08:55:00,2022-06-06 12:01:59
R23ABF201,2200,WINBOND,MBGA24J3U,024MAAB081,2000,1091A07T21,A0801CB1057,AAB024MAA005A,BB466,2022-06-06 09:56:00,2022-06-06 11:40:21
R23ABG104,2200,WINBOND,TSOP1-48AM,048TWAB014,2160,1091A07T21,A0801CB0864,AAB048TW2005A,BB470,2022-06-06 09:16:00,2022-06-06 14:01:34
R23MSP203,2200,MTI,FBGA-78UEN,078ENMS018,3543,1091A06T21,A0801CB1338,AMS078EN1006A,BB475,2022-06-06 13:53:00,2022-06-07 09:16:10
R23ABBH04,2200,WINBOND,VFBGA54B4,054NBAB001,2633,1091A08T21,A0801CB0248,AB054NB2002A,BB477,2022-06-06 08:21:00,2022-06-06 15:46:15
R23MSP102,2200,MTI,FBGA-78UEN,078ENMS018,1928,1091A06T21,A0801CB1338,AMS078EN1006A,BB479,2022-06-06 11:59:00,2022-06-06 22:31:58
R23MSNY01,2200,MTI,FBGA-78UEN,078ENMS018,3519,1091A06T21,A0801CB1338,AMS078EN1006A,BB484,2022-06-06 09:36:00,2022-06-07 04:51:18
R23TEAI04,2200,ZCN,FBGA-96UEI,096EITE002,2840,1091A07T21,A0801CB1277,ATE096EI1001A,BB502,2022-06-06 12:00:00,2022-06-06 23:02:28
R23MSJI01,2200,MTI,TSOP1-48AM,048TWMS063,2160,1091A07T41,A0801CB1151,AMS048TW1053A,BB509,2022-06-06 08:21:00,2022-06-06 16:12:29
R23MSP101,2200,MTI,FBGA-78UEN,078ENMS018,3520,1091A06T21,A0801CB1338,AMS078EN1006A,BB510,2022-06-06 08:31:00,2022-06-07 03:46:37
R23ABC201,2200,WINBOND,TSOP2-54ME,054TNAB027,2879,1091A07T21,A0801CB0515,AAB054TN1002A,BB520,2022-06-06 09:02:00,2022-06-06 19:29:30
R23TEAI03,2200,ZCN,FBGA-96UEI,096EITE002,2845,1091A07T21,A0801CB1277,ATE096EI1001A,BB524,2022-06-06 12:00:00,2022-06-06 23:03:38
R23ABHF15,2200,WINBOND,TSOP1-48AM,048TWAB016,2160,1091A07T21,A0801CB0850,AAB048TW2002A,BB525,2022-06-06 08:21:00,2022-06-06 12:46:03
R22NVYM51,2200,PHISON,TSOP1-48MR-C,048TRNV073,2160,1091A07C21,A0801CB1192,ANV048TR2018A,BB526,2022-06-06 08:36:00,2022-06-06 21:30:22
R22NVYM49,2200,PHISON,TSOP1-48MR-C,048TRNV073,2160,1091A07C21,A0801CB1192,ANV048TR2018A,BB534,2022-06-06 08:21:00,2022-06-06 21:15:22
R23ABC105,2200,WINBOND,TSOP2-54ME,054TNAB027,2880,1091A07T21,A0801CB0515,AAB054TN1002A,BB550,2022-06-06 09:04:00,2022-06-06 19:31:43
R23MSJH08,2200,MTI,TSOP1-48AM,048TWMS063,2160,1091A07T41,A0801CB1151,AMS048TW1053A,BB554,2022-06-06 08:21:00,2022-06-06 16:12:29
R23ABC104,2200,WINBOND,TSOP2-54ME,054TNAB027,2880,1091A07T21,A0801CB0515,AAB054TN1002A,BB556,2022-06-06 09:04:00,2022-06-06 19:31:43
R22NVYM47,2200,PHISON,TSOP1-48MR-C,048TRNV073,2160,1091A07C21,A0801CB1192,ANV048TR2018A,BB563,2022-06-06 13:02:00,2022-06-07 01:56:22
R23ABC101,2200,WINBOND,TSOP2-54ME,054TNAB027,2879,1091A07T21,A0801CB0515,AAB054TN1002A,BB570,2022-06-06 09:12:00,2022-06-06 19:39:30
R22NVYM34,2200,PHISON,TSOP1-48MR-C,048TRNV073,2160,1091A07C21,A0801CB1192,ANV048TR2018A,BB574,2022-06-06 08:21:00,2022-06-06 21:15:22
