,bd_id,oper,Location,Output plan,Original ENT(07:30),Original ENT(11:00),Allocate ENT
0,AAB008YB2003A,2200,TB-U,0.0,1.0,1.0,1.0
1,AAB008YD4001A,2200,TB-U,36.48,2.0,2.0,2.0
2,AAB008YD4004A,2200,TB-U,45.6,5.0,5.0,5.0
3,AAB008YM2018A,2200,TB-I,0.0,3.0,3.0,3.0
4,AAB008YM2018A,2200,TB-P,0.0,14.0,14.0,14.0
5,AAB008YM2023A,2200,TB-U,309.797,10.0,10.0,10.0
6,AAB008YQ2022A,2200,TB-P,0.0,1.0,1.0,1.0
7,AAB008YQ3001A,2200,TB-U,0.0,1.0,1.0,0.0
8,AAB008YQ3021A,2200,TB-U,36.797,4.0,4.0,4.0
9,AAB008YQ3028A,2200,TB-U,141.032,2.0,2.0,8.5
10,AAB008YQ3034A,2200,TB-U,11.506,2.0,2.0,2.0
11,AAB024MA6020A,2200,TA-2,8.693,0.0,0.0,0.5
12,AAB024MAA005A,2200,TA-1,9.027,1.0,1.0,1.0
13,AAB024MAA010A,2200,TA-1,18.499,0.0,0.0,0.5
14,AAB024MAA010A,2200,TA-2,40.723,0.0,0.0,1.5
15,AAB024XJ6009A,2200,TA-2,0.0,2.0,2.0,0.0
16,AAB024XJ6009A,3200,TA-2,41.594,1.0,1.0,2.0
17,AAB024XJ6011A,3600,TA-3,11.847,0.0,0.0,1.0
18,AAB048TW2002A,2200,TA-1,16.538,3.0,3.0,3.0
19,AAB048TW2005A,2200,TA-1,10.893,1.0,1.0,1.0
20,AAB048TW2006A,2200,TA-1,47.52,11.0,11.0,11.0
21,AAB048TW2009A,2200,TA-2,3.214,0.0,0.0,1.0
22,AAB054TN1002A,2200,TA-1,35.398,6.0,6.0,7.5
23,AAB054TN1004A,2200,TA-1,4.957,0.0,0.0,2.0
24,AAB054TN1004A,2200,TA-2,7.885,0.0,0.0,2.0
25,AAB054TN1005A,2200,TA-2,54.134,10.0,10.0,10.0
26,AAB060EM2001A,2200,TA-1,50.866,8.0,8.0,8.0
27,AAB060EM2001A,2200,TA-2,6.817,1.0,1.0,1.0
28,AAB060NR2003A,2200,TA-1,31.753,5.0,5.0,5.0
29,AAB060NR2003A,2200,TA-2,27.129,5.0,5.0,1.0
30,AAB063XM5003A,2200,TA-2,0.0,1.0,1.0,0.0
31,AAB084CC9001A,2200,TA-1,29.078,5.0,5.0,5.0
32,AAB084N43003A,2200,TA-2,0.0,1.0,1.0,0.0
33,AAB096EF3001A,2200,TA-1,3.142,0.0,0.0,1.0
34,AAB134N94001A,2200,TA-1,13.509,3.0,3.0,5.5
35,AAS008DR1029A,2200,TB-U,0.0,2.0,2.0,1.0
36,AAS084CC2023A,2200,TB-U,0.0,16.0,16.0,7.0
37,AAS096EL1007A,2200,TB-P,0.0,3.0,3.0,3.0
38,AAS096EL1007A,2200,TB-U,0.0,3.0,3.0,1.0
39,AAS096EL1009B,2200,TB-U,37.493,12.0,12.0,12.0
40,AAS096EL1016A,2200,TB-I,15.044,5.0,5.0,5.0
41,AAS096EL1016A,2200,TB-P,16.189,8.0,8.0,8.0
42,AAS096EL1016A,2200,TB-U,11.92,4.0,4.0,4.0
43,AAS178NN2001A,2200,TB-U,1.566,1.0,1.0,2.0
44,AAW008Y62014A,2200,TB-P,5.117,3.0,3.0,3.0
45,AAW008Y62014A,2200,TB-U,16.64,5.0,5.0,5.0
46,AAW008Y62017A,2200,TB-P,33.28,2.0,2.0,2.0
47,AAW008Y62017A,2200,TB-U,24.96,1.0,1.0,1.0
48,AAW008YM2004A,2200,TB-P,16.0,0.0,0.0,1.0
49,AAW008YM2004A,2200,TB-U,226.334,3.0,3.0,11.0
50,AAW016D53004A,2200,TA-P,3.615,4.0,4.0,4.0
51,AAW016D53004A,2200,TA-R,31.042,25.0,23.0,23.0
52,AAW024MA5005A,2200,TA-2,0.0,1.0,1.0,0.0
53,AAW024MA6013C,2200,TA-1,72.494,0.0,0.0,3.0
54,AAW024MA6024A,2200,TA-2,0.0,2.0,1.0,0.0
55,AAW024XJ6001B,2200,TA-2,13.023,2.0,2.0,0.5
56,AAW024XJ6010B,2200,TA-2,50.165,6.0,6.0,6.0
57,AAW024XJ6014A,2200,TA-2,8.761,0.0,0.0,2.0
58,AAW048TP1008B,2200,TA-5,0.587,1.0,1.0,1.0
59,AAW048TP1024D,2200,TA-P,0.0,5.0,5.0,5.0
60,AAW048TP1041B,2200,TA-2,2.88,2.0,2.0,2.0
61,AAW048TP1041B,2200,TA-3,28.8,18.0,18.0,18.0
62,AAW048TP1041B,2200,TA-5,44.64,61.0,61.0,61.0
63,AAW064MR1009A,2200,TA-1,0.0,7.0,7.0,5.0
64,AAW064MR1016A,2200,TA-1,0.998,1.0,1.0,0.0
65,AB054NB2002A,2200,TA-1,39.354,5.0,5.0,5.0
66,ABU008Y62002A,2200,TB-U,0.0,1.0,1.0,1.0
67,ABU008YQ2007A,2200,TB-U,43.2,0.0,0.0,5.5
68,ABU008YQ2017A,2200,TB-U,8.099,1.0,1.0,1.0
69,ABU024XJ6003A,2200,TA-3,2.334,0.0,0.0,1.0
70,ABU048TG1002A,2200,TA-1,2.56,0.0,0.0,1.0
71,ABU064RK1001A,2200,TA-2,0.0,1.0,1.0,0.0
72,ABU064RK1002A,2200,TA-1,7.808,1.0,1.0,1.0
73,ABU078EA1001A,2200,TA-2,0.0,2.0,2.0,0.0
74,ABU084CC2001C,2200,TA-1,11.16,5.0,5.0,1.0
75,ABU084CC2002B,2200,TA-1,11.161,3.0,3.0,2.0
76,ABU084CC2004B,2200,TA-1,1.994,0.0,0.0,1.0
77,ABU084CT2001C,2200,TA-1,12.168,4.0,4.0,3.0
78,ABU084XU2001B,2200,TA-2,3.102,0.0,0.0,2.0
79,ABU084XU2001B,3200,TA-2,0.0,2.0,2.0,0.0
80,ABU086TA1007A,2200,TA-1,12.816,3.0,3.0,3.0
81,ABU096EA1001A,2200,TA-1,10.56,5.0,5.0,3.0
82,ABU096EF2001A,2200,TA-1,17.564,3.0,3.0,3.0
83,ABU096EF2001A,2200,TA-2,24.96,5.0,5.0,5.0
84,ABU096EF2001A,2200,TA-5,32.055,11.0,11.0,11.0
85,ABU096EF2002A,2200,TA-5,0.0,1.0,1.0,1.0
86,ABU096EF5001A,2200,TA-2,8.243,4.0,4.0,0.0
87,ABU096EF5001A,3200,TA-2,4.572,6.0,6.0,10.0
88,ABU165ML4002A,2200,TA-1,1.433,3.0,3.0,3.0
89,ABU168RM1007A,2200,TB-U,0.0,1.0,1.0,1.0
90,ABU168XI2001A,2200,TA-2,0.0,1.0,1.0,0.0
91,ABU200N74006A,2200,TA-2,0.0,1.0,1.0,1.0
92,ABW032YF1006B,2200,TB-P,0.0,3.0,3.0,3.0
93,ABW036AB1004A,2200,TB-I,0.0,6.0,6.0,6.0
94,ABW036AB1004A,2200,TB-P,0.0,2.0,2.0,2.0
95,ABW072AF1004B,2200,TB-U,14.946,7.0,7.0,7.0
96,ACD054MF2002A,2200,TA-1,12.991,5.0,5.0,2.0
97,ACD054TN1001A,2200,TA-P,0.0,4.0,4.0,4.0
98,ACD096EL1003A,2200,TA-2,0.0,4.0,4.0,1.0
99,AEU0086B1005A,2200,TB-I,1.502,2.0,2.0,2.0
100,AEU0086B1009A,2200,TB-R,0.828,1.0,1.0,1.0
101,AEU0086B1011A,3200,TB-R,1.533,1.0,1.0,1.0
102,AEU048TR2003A,2200,TA-2,1.942,1.0,1.0,1.0
103,AHQ0442J3003A,2200,TB-R,0.0,1.0,1.0,1.0
104,AHQ0442J3003A,3200,TB-R,0.0,2.0,2.0,2.0
105,AHQ0442J3005A,2200,TB-R,48.672,8.0,8.0,7.5
106,AHQ0442J3005A,3200,TB-R,4.68,3.0,3.0,3.5
107,ALW078C93001A,2200,TB-P,31.288,6.0,6.0,6.0
108,ALW132NY4049A,2200,TA-1,0.0,1.0,1.0,0.0
109,AMS048TW1050A,2200,TA-5,0.0,3.0,3.0,3.0
110,AMS048TW1053A,2200,TA-1,36.965,11.0,11.0,11.0
111,AMS048TW1058A,2200,TA-1,0.0,7.0,7.0,0.0
112,AMS048TW1064A,2200,TA-1,0.0,1.0,1.0,0.0
113,AMS060NR1003A,2200,TA-1,6.647,0.0,0.0,2.5
114,AMS078C91003A,2200,TA-1,0.0,9.0,9.0,1.0
115,AMS078C93001B,2200,TA-2,9.657,2.0,2.0,1.0
116,AMS078C93001B,2200,TA-5,15.692,4.0,4.0,4.0
117,AMS078C93001B,2200,TA-P,111.654,18.0,18.0,18.0
118,AMS078C93001B,2200,TA-U,36.76,7.0,7.0,7.0
119,AMS078C93001B,2200,TB-5P,30.494,8.0,8.0,8.0
120,AMS078EN1001A,2200,TB-5P,0.0,19.0,19.0,19.0
121,AMS078EN1006A,2200,TA-1,43.632,8.0,8.0,10.0
122,AMS078EN1006A,2200,TA-2,36.496,12.0,12.0,12.0
123,AMS078EN4001A,2200,TA-1,0.0,2.0,2.0,0.0
124,AMS078EP1001A,2200,TA-1,4.115,0.0,0.0,3.0
125,AMS078EP1001A,2200,TA-2,41.778,6.0,6.0,8.0
126,AMS078EP1001A,2200,TA-R,16.512,18.0,20.0,20.0
127,AMS096EC1002A,2200,TA-1,61.115,11.0,11.0,24.0
128,AMS096EC1002A,2200,TA-2,10.967,1.0,1.0,10.0
