OPER,CUST,B/D#,MODEL,G.UPH,N.UPH
2200,PHISON,ANV0086A1116A,,0.0,0.0
2200,PHISON,ANV0086A1116A,,0.0,0.0
2200,PHISON,ANV0086A1116A,,0.0,0.0
2200,PHISON,ANV0086A1116A,,0.0,0.0
2200,PHISON,ANV0086A1116A,,0.0,0.0
2200,PHISON,ANV0086A1116A,,0.0,0.0
2200,PHISON,ANV0086A1116A,,0.0,0.0
2200,MXIC,AAW016D53004A,UTC2000,92.3769,82.0538
2200,MXIC,AAW016D53004A,UTC3000,88.68269999999998,0.0
2200,MXIC,AAW016D53004A,UTC2000S,88.68269999999998,0.0
2200,MXIC,AAW016D53004A,UTC1000,88.68269999999998,0.0
2200,MXIC,AAW016D53004A,UTC1000S,88.68269999999998,0.0
2200,MXIC,AAW016D53004A,MAXUM-BASE,88.68269999999998,0.0
2200,MXIC,AAW016D53004A,ICONN,88.68269999999998,0.0
2200,MXIC,AAW016D53004A,MAXUM-PLUS,79.2414,70.3862
2200,MXIC,AAW016D53004A,UTC5000S,107.6208,95.5942
2200,MXIC,AAW016D53004A,ICONN-PLUS,88.68269999999998,0.0
2200,MXIC,AAW016D53004A,RAPID,88.68269999999998,0.0
2200,MXIC,AAW016D53004A,MAXUM,88.68269999999998,0.0
2200,MXIC,AAW016D53004A,MAXUM-CU,88.68269999999998,0.0
2200,MXIC,AAW016D53011A,UTC2000,85.2863,75.7555
2200,MXIC,AAW016D53011A,UTC3000,101.2351,89.9221
2200,MXIC,AAW016D53011A,UTC2000S,102.127,0.0
2200,MXIC,AAW016D53011A,UTC1000,102.127,0.0
2200,MXIC,AAW016D53011A,UTC1000S,102.127,0.0
2200,MXIC,AAW016D53011A,RAPID,113.383,100.7125
2200,MXIC,AAW016D53011A,ICONN,102.127,0.0
2200,MXIC,AAW016D53011A,MAXUM,102.127,0.0
2200,MXIC,AAW016D53011A,MAXUM-CU,102.127,0.0
2200,MXIC,AAW016D53011A,MAXUM-BASE,102.127,0.0
2200,MXIC,AAW016D53011A,UTC5000S,108.9892,96.8097
2200,MXIC,AAW016D53011A,ICONN-PLUS,102.127,0.0
2200,MXIC,AAW016D53011A,MAXUM-PLUS,104.2246,92.5775
2200,MXIC,AAW016D53019A,,93.457,0.0
2200,MXIC,AAW016D53019A,,93.457,0.0
2200,MXIC,AAW016D53019A,,93.457,0.0
2200,MXIC,AAW016D53019A,,93.457,0.0
2200,MXIC,AAW016D53019A,,93.457,0.0
2200,MXIC,AAW016D53019A,,93.457,0.0
2200,MXIC,AAW016D53019A,,93.457,0.0
2200,MXIC,AAW016D53019A,,93.457,0.0
2200,MXIC,AAW016D53019A,,93.457,0.0
2200,MXIC,AAW016D53019A,,93.457,0.0
2200,MXIC,AAW016D53019A,,93.457,0.0
2200,MXIC,AAW016D53019A,,93.457,0.0
2200,MXIC,AAW016D53019A,,93.457,0.0
2200,MXIC,AAW016D53017A,,86.2466,0.0
2200,MXIC,AAW016D53017A,,86.2466,0.0
2200,MXIC,AAW016D53017A,,86.2466,0.0
2200,MXIC,AAW016D53017A,,86.2466,0.0
2200,MXIC,AAW016D53017A,,86.2466,0.0
2200,MXIC,AAW016D53017A,,86.2466,0.0
2200,MXIC,AAW016D53017A,,86.2466,0.0
2200,MXIC,AAW016D53017A,,86.2466,0.0
2200,MXIC,AAW016D53017A,,86.2466,0.0
