wpc_extenditem_sid,class,remark01,remark02,remark03,remark04,remark05,remark06,remark07,remark08,remark09,remark10,userid,updatetime,tag,
	202107231455161500,	JCODE,	CPT,	A21,	,	0.5,	9,	Change peeling tape,	BGN-SETUP,	,	,	,	25267,	2021/07/23 14:56:11,	1,
	202102180942402798,	JCODE,	MM,	AFV,	,	0.0,	5,	Move Machine,	END-REPAIR,	,	,	,	25205,	2021/02/18 09:42:56,	1,
	201708160952017656,	JCODE,	SYS,	AFV,	,	0.0,	5,	System Down,	END-REPAIR,	,	,	,	25205,	2020/11/05 14:06:43,	1106847132,
	201708221428356540,	JCODE,	WP,	AFV,	,	1.0,	0,	WEEKLY PM,	BGN-PM,	,	,	,	13898,	2017/08/22 14:29:02,	1,
	201708221429057180,	JCODE,	MP,	AFV,	,	2.0,	0,	MONTHLY PM,	BGN-PM,	,	,	,	13898,	2017/08/22 14:29:29,	1,
	201708221429347519,	JCODE,	QP,	AFV,	,	3.0,	0,	QUARTERLY PM,	BGN-PM,	,	,	,	13898,	2017/08/22 14:29:56,	1,
	201708221429597841,	JCODE,	AP,	AFV,	,	5.0,	0,	ANNUALLY PM,	BGN-PM,	,	,	,	13898,	2017/08/22 14:30:23,	1,
	201708221430348254,	JCODE,	SLS,	AFV,	,	0.0,	0,	SETUP LIGHTING SOURCE,	BGN-SETUP,	,	,	,	13898,	2017/08/22 14:30:50,	1,
	201708221431068687,	JCODE,	SC,	AFV,	,	0.0,	0,	SETUP CCD,	BGN-SETUP,	,	,	,	13898,	2017/08/22 14:31:23,	1,
	201708221431369096,	JCODE,	SP,	AFV,	,	0.0,	0,	SETUP PROGRAM,	BGN-SETUP,	,	,	,	13898,	2017/08/22 14:31:52,	1,
	201708221432029451,	JCODE,	AVS,	AFV,	,	0.0,	0,	ADJUST VISION SYSTEM,	BGN-SETUP,	,	,	,	13898,	2017/08/22 14:32:19,	1,
	201708221432310015,	JCODE,	MSP,	AFV,	,	0.0,	0,	MISS PACKAGE,	END-REPAIR,	,	,	,	13898,	2017/08/22 14:32:57,	1,
	201708221433071274,	JCODE,	MCF,	AFV,	,	0.0,	0,	MATERIAL CAUSE FAIL,	END-REPAIR,	,	,	,	13898,	2017/08/22 14:33:24,	1,
	201708221434163658,	JCODE,	OCF,	AFV,	,	0.0,	0,	OPERATOR CAUSE FAIL,	END-REPAIR,	,	,	,	13898,	2017/08/22 14:34:33,	1,
	201708221434524316,	JCODE,	PS,	AFV,	,	0.0,	0,	POWER SUPPLY,	END-REPAIR,	,	,	,	13898,	2017/08/22 14:35:09,	1,
	201708221435204780,	JCODE,	BE,	AFV,	,	0.0,	0,	BELT PROBLEM,	END-REPAIR,	,	,	,	13898,	2017/08/22 14:35:36,	1,
	201708221435465150,	JCODE,	CB,	AFV,	,	0.0,	0,	CABLE BROKEN,	END-REPAIR,	,	,	,	13898,	2017/08/22 14:36:02,	1,
	201708221436125515,	JCODE,	CRB,	AFV,	,	0.0,	0,	CIRCUIT BOARD PROBLEM,	END-REPAIR,	,	,	,	13898,	2017/08/22 14:36:29,	1,
	201708221436365819,	JCODE,	CY,	AFV,	,	0.0,	0,	CYLINDER PROBLEM,	END-REPAIR,	,	,	,	13898,	2017/08/22 14:36:56,	1,
	201708221437046152,	JCODE,	MO,	AFV,	,	0.0,	0,	MOTOR PROBLEM,	END-REPAIR,	,	,	,	13898,	2017/08/22 14:37:22,	1,
	201708221437296510,	JCODE,	PH,	AFV,	,	0.0,	0,	PC HARDWARE PROBLEM,	END-REPAIR,	,	,	,	13898,	2017/08/22 14:37:45,	1,
	201708221437596937,	JCODE,	SE,	AFV,	,	0.0,	0,	SENSOR ERROR,	END-REPAIR,	,	,	,	13898,	2017/08/22 14:38:14,	1,
	201708221438257317,	JCODE,	SV,	AFV,	,	0.0,	0,	SERVO ISSUE,	END-REPAIR,	,	,	,	13898,	2017/08/22 14:38:55,	1,
	201708221439598534,	JCODE,	FC,	AFV,	,	0.0,	0,	FACILITY SHUTDOWN,	END-REPAIR,	,	,	,	13898,	2017/08/22 14:40:14,	1,
	201708221440278995,	JCODE,	TJ,	AFV,	,	0.0,	0,	TRAY JUMP,	END-REPAIR,	,	,	,	13898,	2017/08/22 14:40:46,	1,
	202101061801423858,	JCODE,	APG,	AFV,	,	0.0,	5,	Adjust program,	END-REPAIR,	,	,	,	25205,	2021/01/06 18:02:37,	1,
	202101281717205357,	JCODE,	EE,	AFV,	,	0.0,	5,	Borrow Machine,	END-REPAIR,	,	,	,	25205,	2021/01/28 17:17:48,	1,
	201808221446019443,	JCODE,	MC,	AL,	,	0.0,	0,	Manual Cutting,	BGN-STOP,	,	,	,	13898,	2018/08/22 14:47:27,	831416314,
	200812021354367907,	JCODE,	CMA,	AL,	0.0000,	0.2500,	0.0000,	Clean FS machine,	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:36,	3,
	200812021354367924,	JCODE,	CP,	AL,	0.0000,	0.0000,	0.0000,	缺樹脂(C/P SHORTAGE),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:36,	3,
