bd_id,da_out,da_act
ANI008OK2001A,0.00,0.00
ANI008YZ1001D,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1002B,0.00,0.00
,0.00,0.00
AAS008FG1042A,0.00,0.00
AHQ0415L1003B,0.00,0.00
AHQ0445T2009A,0.00,0.00
AAW048TP1041B,0.00,0.00
ATE084CC2005A,0.00,0.00
ACD054MF2002A,34.39,0.00
AAS008Y62003A,0.00,0.00
AAS008YQ2002B,0.00,0.00
AAS008YQ2014A,0.00,0.00
AAS008YQ3002A,0.00,0.00
AAS063NW3016A,0.00,0.00
AVE008YD2005A,0.00,0.00
AVE048XV2002A,0.00,0.00
ASM078EQ1001B,0.00,0.00
ABU096EA1001A,0.00,0.00
ABU056TH2001A,9.30,0.00
ABU056TH2001A,0.00,0.00
AMS048TW1060A,0.00,0.00
AMS048TW1060A,0.00,0.00
AAW008Y62014A,52.70,0.00
AAW008Y62017A,0.00,0.00
AAW008Y62024A,21.22,0.00
AAW008YM1012A,0.00,0.00
AAW016D53017A,0.00,0.00
AAW048TP1081A,0.00,0.00
ANV0086A1004A,0.00,0.00
ANV0086A1006A,0.00,0.00
ANV0086A1071A,0.00,0.00
ANV0086A1103A,0.00,0.00
ANV132X2C104A,0.00,0.00
ANV132X2C050A,0.00,0.00
ANV345XTG002A,0.00,0.00
AEU0086B1017A,0.00,0.00
,0.00,0.00
AAB0083X1001A,0.00,0.00
AAB008Y64002A,0.00,0.00
AAB008YD2005A,0.00,0.00
AAB008YQ2004A,0.00,0.00
AAB008YQ3012A,14.97,0.00
AAB024MAA010A,0.00,0.00
AAB063NW3001A,0.00,0.00
AAB100N81004A,0.00,0.00
AAB134N94001A,0.00,0.00
,0.00,0.00
ANI008OK2001A,306.42,0.00
ANI012Y32002D,0.00,0.00
ANI020YU1005C,0.00,0.00
,0.00,0.00
AAS008FG1032A,0.00,0.00
AYZ096EI1002A,0.00,0.00
ACD008DR1031A,0.00,0.00
AAS008YQ2001B,0.00,0.00
ENG,0.00,0.00
,0.00,0.00
ABU024MAA016A,0.00,0.00
ABU078EA5001A,0.00,0.00
ABU096EF2001A,0.00,0.00
ABU008YQ2005A,0.00,0.00
ABU008YQ2002A,27.72,0.00
ABU048MA3002A,0.00,0.00
ALW078C93002A,0.00,0.00
AAW016D53004A,47.19,0.00
AAW024MA6016B,0.00,0.00
AAW024MA6031B,0.00,0.00
,0.00,0.00
,0.00,0.00
ANV0086A1065A,0.00,0.00
ANV132X2C117A,0.00,0.00
ANV345XTG002A,0.00,0.00
ANV345XTG002A,0.00,0.00
ATO132Y23002A,0.00,0.00
AAB008YM2023A,0.00,16.00
AAB008YQ3025A,0.00,0.00
AAB084RB2001A,0.00,0.00
AAB084UN3001A,0.00,0.00
,0.00,0.00
,0.00,0.00
ANI008YK3002A,0.00,0.00
,0.00,0.00
AAS008YQ3002A,0.00,0.00
AAW016D53024A,0.00,0.00
AAB048TW2009A,0.00,0.00
AYZ096EI1001A,0.00,0.00
ACD008DR1028A,0.00,0.00
AAS063NW3011A,0.00,0.00
AVE048XZ3007A,0.00,0.00
ABU078EA5001A,0.00,0.00
ABU056TH2005A,0.00,0.00
AOK016D53005A,0.00,0.00
AMS078EP1001A,0.00,0.00
ENG,0.00,0.00
ANV345XTB016A,0.00,0.00
ANV0086A1027A,0.00,0.00
ANV0086A1121A,0.00,0.00
ANV0086A1080A,0.00,0.00
ANV153XT9071A,0.00,0.00
AUL086TA1005A,0.00,0.00
AAB008YB2005A,56.44,0.00
AAB008YM2018A,157.42,0.00
AAB008YQ3019B,0.00,0.00
AAB008YQ3049A,0.00,0.00
AAB008YQ3047A,0.00,0.00
AAB024MA6008A,0.00,0.00
AAB024MA0012A,0.00,0.00
AAB096EF3001A,0.00,0.00
ATE084CC2005A,0.00,0.00
,0.00,0.00
,0.00,0.00
AAW024MA6025A,0.00,0.00
AAS096EL1007A,0.00,0.00
ENG,0.00,0.00
ASS153XT3003A,6.26,0.00
ABU054MF6004A,0.00,0.00
ABU084XU2001B,0.00,0.00
ABU024MAA024A,0.00,0.00
AOK048TV1026B,48.87,0.00
AMS048TW1037A,11.88,0.00
AMS048TW1046A,0.00,0.00
AMS078EN1001A,0.00,0.00
AMS078EN1006A,577.52,7.08
AMS078C91003A,0.00,0.00
AMS090NC4003A,0.00,0.00
,0.00,0.00
AAW008Y62010C,81.63,0.00
AAW024MA5007A,0.00,0.00
AAW024XJ6010B,0.00,0.00
AAW064MR1016A,0.00,0.00
,0.00,0.00
,0.00,0.00
ANV0086A1032A,0.00,0.00
ANV0086A1069A,0.00,0.00
ANV0086A1135A,0.00,0.00
ANV132X2C100A,0.00,0.00
ANV153XT9079A,0.00,0.00
ANV153XT9071A,0.00,0.00
ANV345XTA010A,0.00,0.00
AAB066TN1003A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI012Y32002D,0.00,0.00
,0.00,0.00
ACD084CC2002A,0.00,0.00
AAS008FG1032A,0.00,0.00
AVE008YD2002A,3.50,0.00
AVE048XZ3001A,0.00,0.00
ABU048MA7004A,0.00,0.00
ABU054NB2004C,15.86,0.00
ABU084CC2001C,0.00,0.00
ABU090NC8002B,0.00,0.00
ABU134KM3002A,0.00,0.00
,0.00,0.00
ABU024MA6014A,0.00,0.00
ABU056TH2002A,0.00,0.00
ABU064RK1001A,0.00,0.00
ABU153XT9018A,0.00,0.00
,0.00,0.00
,0.00,0.00
AAW024MAA006A,0.00,0.00
ANV0086A1065A,0.00,0.00
