wrto_route,wrto_oper,wrto_seq_num,wrto_opr_shrt_desc,wrto_prod_unt_1
BGA139,2000,1,IQC,PCS
BGA139,2003,2,TPM,PCS
BGA139,2005,3,TAPING,PCS
BGA139,2010,4,LAPPING,PCS
BGA139,2020,5,A21 QUEUE,PCS
BGA139,2030,6,W/M,PCS
BGA139,2040,7,D/S,PCS
BGA139,2050,8,A31,EA
BGA139,2060,9,2IP,EA
BGA139,2061,10,UV,EA
BGA139,2070,11,D/A,EA
BGA139,2080,12,D/A CURE,EA
BGA139,2150,13,PLASMA,EA
BGA139,2090,14,POST D/A Q,EA
BGA139,2200,15,W/B,EA
BGA139,2210,16,3IP,EA
BGA139,2250,17,PLASMA,EA
BGA139,2230,18,M/D QUEUE,EA
BGA139,2300,19,M/D,EA
BGA139,2320,20,T/M,EA
BGA139,2330,21,PMC,EA
BGA139,2405,22,PLASMA,EA
BGA139,2418,23,WTC,EA
BGA139,2410,24,S/P,EA
BGA139,2430,25,F/S,EA
BGA139,2435,26,P/P,EA
BGA139,2440,27,O/S,EA
BGA139,2450,28,L/S,EA
BGA139,2460,29,F/V,EA
BGA139,2470,30,4IP,EA
BGA139,2480,31,PACK,EA
BGA139,2490,32,SHIP,EA
BGA145,2000,1,IQC,PCS
BGA145,2003,2,TPM,PCS
BGA145,2005,3,TAPING,PCS
BGA145,2010,4,LAPPING,PCS
BGA145,2020,5,A21 QUEUE,PCS
BGA145,2030,6,W/M,PCS
BGA145,2040,7,D/S,PCS
BGA145,2050,8,A31,EA
BGA145,2060,9,2IP,EA
BGA145,2070,10,D/A,EA
BGA145,2080,11,D/A CURE,EA
BGA145,2150,12,PLASMA,EA
BGA145,2090,13,POST D/A Q,EA
BGA145,2200,14,W/B,EA
BGA145,2210,15,3IP,EA
BGA145,2250,16,PLASMA,EA
BGA145,2230,17,M/D QUEUE,EA
BGA145,2300,18,M/D,EA
BGA145,2320,19,T/M,EA
BGA145,2330,20,PMC,EA
BGA145,2405,21,PLASMA,EA
BGA145,2418,22,WTC,EA
BGA145,2410,23,S/P,EA
BGA145,2430,24,F/S,EA
BGA145,2435,25,P/P,EA
BGA145,2440,26,O/S,EA
BGA145,2450,27,L/S,EA
BGA145,2460,28,F/V,EA
BGA145,2470,29,4IP,EA
BGA145,2480,30,PACK,EA
BGA145,2490,31,SHIP,EA
BGA161,2000,1,IQC,PCS
BGA161,2003,2,TPM,PCS
BGA161,2005,3,TAPING,PCS
BGA161,2010,4,LAPPING,PCS
BGA161,2020,5,A21 QUEUE,PCS
BGA161,2030,6,W/M,PCS
BGA161,2040,7,D/S,PCS
BGA161,2050,8,A31,EA
BGA161,2060,9,2IP,EA
BGA161,2070,10,D/A,EA
BGA161,2080,11,D/A CURE,EA
BGA161,2150,12,PLASMA,EA
BGA161,2090,13,POST D/A Q,EA
BGA161,2200,14,W/B,EA
BGA161,2210,15,3IP,EA
BGA161,2250,16,PLASMA,EA
BGA161,2230,17,M/D QUEUE,EA
BGA161,2300,18,M/D,EA
BGA161,2320,19,T/M,EA
BGA161,2330,20,PMC,EA
BGA161,2405,21,PLASMA,EA
BGA161,2418,22,WTC,EA
BGA161,2410,23,S/P,EA
BGA161,2430,24,F/S,EA
BGA161,2435,25,P/P,EA
BGA161,2440,26,O/S,EA
BGA161,2450,27,L/S,EA
BGA161,2460,28,F/V,EA
BGA161,2470,29,4IP,EA
BGA161,2480,30,PACK,EA
BGA161,2490,31,SHIP,EA
BGA185,2000,1,IQC,PCS
BGA185,2003,2,TPM,PCS
BGA185,2005,3,TAPING,PCS
BGA185,2010,4,LAPPING,PCS
BGA185,2020,5,A21 QUEUE,PCS
BGA185,2030,6,W/M,PCS
BGA185,2040,7,D/S,PCS
BGA185,2050,8,A31,EA
BGA185,2060,9,2IP,EA
BGA185,2061,10,UV,EA
BGA185,2070,11,D/A,EA
BGA185,2080,12,D/A CURE,EA
BGA185,2150,13,PLASMA,EA
BGA185,2090,14,POST D/A Q,EA
BGA185,2200,15,W/B,EA
BGA185,2210,16,3IP,EA
BGA185,2250,17,PLASMA,EA
BGA185,2230,18,M/D QUEUE,EA
BGA185,2300,19,M/D,EA
BGA185,2320,20,T/M,EA
BGA185,2330,21,PMC,EA
BGA185,2405,22,PLASMA,EA
BGA185,2418,23,WTC,EA
BGA185,2410,24,S/P,EA
BGA185,2430,25,F/S,EA
BGA185,2440,26,O/S,EA
BGA185,2450,27,L/S,EA
BGA185,2460,28,F/V,EA
BGA185,2470,29,4IP,EA
BGA185,2480,30,PACK,EA
BGA185,2490,31,SHIP,EA
BGA206,2000,1,IQC,PCS
BGA206,2058,2,RWTC,EA
BGA206,2050,3,A31,EA
BGA206,2060,4,2IP,EA
BGA206,2070,5,D/A,EA
BGA206,2080,6,D/A CURE,EA
BGA206,2150,7,PLASMA,EA
BGA206,2090,8,POST D/A Q,EA
BGA206,2200,9,W/B,EA
BGA206,2210,10,3IP,EA
