MATNR,CLABS
1091A06C41,24000
1091A06T21,24000
1091A06T41,120000
1091A07C21,33000
1091A07M41,9000
1091A08C21,27000
1091A09C41,42000
1091A09T41,6000
1091C07NP3,11000
1091C08TP2,100000
1091C08TP2,24000
1091C08TP2,30000
1091G07PA4,78000
1091G07PA4,200000
1091A06T21,486000
1091A06T41,81000
1091A08T21,33000
1091A10C41,30000
1091C07NP3,16000
1091C07NP3,8000
1091C08TP2,2000
1091G07PA4,43000
1091G07PA4,14000
1091G07PA4,50000
1091G08PA4,300000
1091P10TP1,13000
1091A06T21,375000
1091A06T41,180000
1091A06T41,60000
1091A07C41,93000
1091A07T41,201000
1091A08C41,30000
1091A10T42,48000
1091C07NP3,80000
1091C07NP3,6000
1091C07NP3,22000
1091C08TP2,36000
1091C08TP2,12000
1091G07PA4,62000
1091G08MA1,12500
1091G08PA1,83000
1091G08PA4,200000
1091G08PA4,80000
1091P07TP1,1000
1091P10TP1,4000
1091A06C21,156000
1091A06T21,525000
1091A07C21,66000
1091A07C41,15000
1091A07T41,198000
1091A08C21,24000
1091A08T41,240000
1091A09C41,27000
1091A10C41,24000
1091A12C41,14000
1091C08NP3,12000
1091C08TP2,14000
1091G07PA4,13000
1091G08PA1,8000
1091G08PA4,180000
1091G08PA4,160000
1091A06C41,30000
1091A06T21,165000
1091A07M41,66000
1091A07T21,171000
1091A07T41,360000
1091A08T41,186000
1091A08T41,345000
1091A09C21,21000
1091A10T41,4000
1091C07NP3,82000
1091C07NP3,65000
1091C07NP3,1000
1091G07PA4,40000
1091G07PA4,30000
1091G08MA1,73500
1091G08PA1,10000
1091A07C41,126000
1091A07M41,15000
1091A07T21,675000
1091A08T21,21000
1091C07NP3,143000
1091G07PA4,37000
1091G07PA4,11000
1091G08MA1,2500
1091G08PA1,100000
1091G08PA4,100000
1091P07TP1,160000
1091A06C41,27000
1091A06T41,30000
1091A07C21,90000
1091A07C41,45000
1091A07T41,165000
1091A08T41,150000
1091A10C41,20000
1091C07NP3,70000
1091G07PA4,24000
1091G08PA1,157000
1091G08PA1,202000
1091G08PA1,120000
1091G08PA4,90000
1091A07T21,60000
1091A08T41,690000
1091A09C41,24000
1091A09T41,3000
1091G07PA4,100000
1091G08MA1,7000
1091G08PA4,320000
1091P07TP1,114000
