Location,Entity,
	TA-A38                   ,	BBR79 ,
	TA-A38                   ,	BBR80 ,
	TA-A38                   ,	BBR81 ,
	TA-A38                   ,	BBR82 ,
	TA-A38                   ,	BBR83 ,
	TA-A38                   ,	BBR84 ,
	TA-A38                   ,	BBR85 ,
	TB-B12                   ,	BBS01 ,
	TB-B12                   ,	BBS02 ,
	TB-B12                   ,	BBS03 ,
	TB-B12                   ,	BBS04 ,
	TB-B12                   ,	BBS05 ,
	TB-B12                   ,	BBS06 ,
	TB-B12                   ,	BBS07 ,
	TB-B12                   ,	BBS08 ,
	TB-B12                   ,	BBS09 ,
	TB-B12                   ,	BBS10 ,
	TA-A9                    ,	BBU01 ,
	TA-A9                    ,	BBU02 ,
	TA-A9                    ,	BBU03 ,
	TA-A9                    ,	BBU04 ,
	TA-A9                    ,	BBU05 ,
	TA-A9                    ,	BBU06 ,
	TA-A9                    ,	BBU07 ,
	TA-A9                    ,	BBU08 ,
	TA-A9                    ,	BBU09 ,
	TA-A9                    ,	BBU10 ,
	TA-A31                   ,	BBU11 ,
	TA-A31                   ,	BBU12 ,
	TA-A31                   ,	BBU13 ,
	TA-A31                   ,	BBU14 ,
	TA-A31                   ,	BBU15 ,
	TA-A31                   ,	BBU16 ,
	TA-A31                   ,	BBU17 ,
	TA-A31                   ,	BBU18 ,
	TA-A31                   ,	BBU19 ,
	TA-A31                   ,	BBU21 ,
	TA-A31                   ,	BBU22 ,
	TA-A31                   ,	BBU23 ,
	TA-A31                   ,	BBU24 ,
	TA-A31                   ,	BBU25 ,
	TA-A31                   ,	BBU20 ,
	TA-A32                   ,	BBU26 ,
	TA-A32                   ,	BBU27 ,
	TA-A32                   ,	BBU28 ,
	TA-A32                   ,	BBU29 ,
	TA-A32                   ,	BBU30 ,
	TA-A32                   ,	BBU31 ,
	TA-A32                   ,	BBU32 ,
	TA-A32                   ,	BBU33 ,
	TA-A32                   ,	BBU34 ,
	TA-A32                   ,	BBU35 ,
	TA-A34                   ,	BBU36 ,
	TA-A34                   ,	BBU37 ,
	TA-A34                   ,	BBU38 ,
	TA-A34                   ,	BBU39 ,
	TA-A34                   ,	BBU40 ,
	TA-A34                   ,	BBU41 ,
	TA-A34                   ,	BBU42 ,
	TA-A34                   ,	BBU43 ,
	TA-A34                   ,	BBU44 ,
	TA-A34                   ,	BBU45 ,
	TA-A34                   ,	BBU46 ,
	TA-A34                   ,	BBU47 ,
	TA-A34                   ,	BBU49 ,
	TA-A34                   ,	BBU50 ,
	TA-A34                   ,	BBU51 ,
	TA-A34                   ,	BBU52 ,
	TA-A34                   ,	BBU53 ,
	TA-A34                   ,	BBU54 ,
	TA-A34                   ,	BBU55 ,
	TA-A34                   ,	BBU56 ,
	TA-A34                   ,	BBU57 ,
	TA-A34                   ,	BBU58 ,
	TA-A34                   ,	BBU59 ,
	TA-A34                   ,	BBU60 ,
	TA-A34                   ,	BBU61 ,
	TA-A34                   ,	BBU62 ,
	TA-A34                   ,	BBU63 ,
	TA-A34                   ,	BBU65 ,
	TA-A34                   ,	BBU66 ,
	TA-A34                   ,	BBU67 ,
	TA-A34                   ,	BBU69 ,
	TA-A34                   ,	BBU70 ,
	TA-A32                   ,	BBU71 ,
	TA-A32                   ,	BBU72 ,
	TA-A32                   ,	BBU73 ,
	TA-A32                   ,	BBU74 ,
	TA-A33                   ,	BBU76 ,
	TA-A33                   ,	BBU77 ,
	TA-A33                   ,	BBU78 ,
	TA-A33                   ,	BBU79 ,
	TA-A33                   ,	BBU80 ,
	TA-A20                   ,	BB211 ,
	TA-A19                   ,	BB213 ,
	TA-A19                   ,	BB215 ,
	TA-A34                   ,	BBU64 ,
	TA-Plasma                ,	BN002 ,
	TA-Plasma                ,	BN004 ,
	TA-Plasma                ,	BN005 ,
	TA-Plasma                ,	BN006 ,
	TA-Plasma                ,	BN601 ,
	TA-Plasma                ,	BN602 ,
	TA-Plasma                ,	BN110 ,
	TB-Plasma                ,	BN008 ,
	TB-Plasma                ,	BN009 ,
	TB-Plasma                ,	BN502 ,
	TB-Plasma                ,	BN503 ,
	TB-Plasma                ,	BN701 ,
	TA-A34                   ,	BBU48 ,
	TA-A34                   ,	BBU68 ,
	TA-A33                   ,	BBU75 ,
	TA-A19                   ,	BB216 ,
	TA-A20                   ,	BB217 ,
	TA-A20                   ,	BB218 ,
	TA-A20                   ,	BB219 ,
	TA-A20                   ,	BB220 ,
	TA-A20                   ,	BB221 ,
	TA-A20                   ,	BB223 ,
	TA-A20                   ,	BB224 ,
	TA-A20                   ,	BB226 ,
	TA-A20                   ,	BB227 ,
	TA-A20                   ,	BB229 ,
	TA-A21                   ,	BB230 ,
	TA-A21                   ,	BB231 ,
	TA-A21                   ,	BB232 ,
	TA-A21                   ,	BB234 ,
	TA-A21                   ,	BB235 ,
	TA-A3                    ,	BB442 ,
	TA-A3                    ,	BB444 ,
	TA-A3                    ,	BB445 ,
	TA-A3                    ,	BB446 ,
	TA-A3                    ,	BB448 ,
	TA-A3                    ,	BB450 ,
	TA-A3                    ,	BB451 ,
	TA-A3                    ,	BB453 ,
	TA-A3                    ,	BB454 ,
	TA-A3                    ,	BB455 ,
	TA-A3                    ,	BB456 ,
	TA-A3                    ,	BB457 ,
	TA-A3                    ,	BB459 ,
	TA-A8                    ,	BB460 ,
	TA-A4                    ,	BB462 ,
	TA-A4                    ,	BB463 ,
	TA-A4                    ,	BB467 ,
	TA-A4                    ,	BB468 ,
	TA-A4                    ,	BB475 ,
	TA-A4                    ,	BB476 ,
	TA-A4                    ,	BB477 ,
	TA-A3                    ,	BB449 ,
	TA-A19                   ,	BB212 ,
	TA-A19                   ,	BB214 ,
	TA-A20                   ,	BB222 ,
	TA-A12                   ,	BB225 ,
	TA-A20                   ,	BB228 ,
	TA-A21                   ,	BB233 ,
	TA-A3                    ,	BB441 ,
	TA-A3                    ,	BB443 ,
	TA-A3                    ,	BB447 ,
	TA-A3                    ,	BB452 ,
	TA-A3                    ,	BB458 ,
	TA-A4                    ,	BB461 ,
	TA-A4                    ,	BB466 ,
	TA-A4                    ,	BB469 ,
	TA-A4                    ,	BB470 ,
	TA-A4                    ,	BB471 ,
	TA-A4                    ,	BB472 ,
	TA-A4                    ,	BB473 ,
	TA-A4                    ,	BB474 ,
	TA-A4                    ,	BB478 ,
	TA-A4                    ,	BB479 ,
	TA-A4                    ,	BB480 ,
	TA-A5                    ,	BB482 ,
	TA-A5                    ,	BB484 ,
	TA-A5                    ,	BB485 ,
	TA-A5                    ,	BB486 ,
	TA-A5                    ,	BB487 ,
	TA-A5                    ,	BB488 ,
	TA-A5                    ,	BB489 ,
	TA-A8                    ,	BB490 ,
	TA-A5                    ,	BB483 ,
	TA-A8                    ,	BB496 ,
	TA-A8                    ,	BB497 ,
	TA-A8                    ,	BB498 ,
	TA-A8                    ,	BB499 ,
	TA-A8                    ,	BB500 ,
	TA-A6                    ,	BB501 ,
	TA-A6                    ,	BB503 ,
	TA-A6                    ,	BB505 ,
	TA-A6                    ,	BB506 ,
	TA-A4                    ,	BB465 ,
	TA-A5                    ,	BB481 ,
	TA-A6                    ,	BB502 ,
	TA-A6                    ,	BB504 ,
	TA-A6                    ,	BB507 ,
	TA-A6                    ,	BB509 ,
	TA-A6                    ,	BB510 ,
	TA-A6                    ,	BB511 ,
	TA-A6                    ,	BB512 ,
	TA-A6                    ,	BB513 ,
	TA-A6                    ,	BB514 ,
	TA-A6                    ,	BB517 ,
	TA-A6                    ,	BB518 ,
	TA-A6                    ,	BB519 ,
	TA-A6                    ,	BB520 ,
	TA-A7                    ,	BB522 ,
	TA-A7                    ,	BB523 ,
	TA-A7                    ,	BB524 ,
	TA-A7                    ,	BB525 ,
	TA-A7                    ,	BB526 ,
	TA-A7                    ,	BB527 ,
	TA-A7                    ,	BB528 ,
	TA-A7                    ,	BB529 ,
	TA-A7                    ,	BB530 ,
	TA-A7                    ,	BB531 ,
	TA-A7                    ,	BB532 ,
	TA-A7                    ,	BB533 ,
	TA-A7                    ,	BB534 ,
	TA-A7                    ,	BB535 ,
	TA-A7                    ,	BB536 ,
	TA-A7                    ,	BB537 ,
	TA-A1                    ,	BB538 ,
	TA-A1                    ,	BB539 ,
	TA-A1                    ,	BB540 ,
	TA-A1                    ,	BB541 ,
	TA-A1                    ,	BB542 ,
	TA-A1                    ,	BB543 ,
	TA-A1                    ,	BB544 ,
	TA-A1                    ,	BB545 ,
	TA-A1                    ,	BB546 ,
	TA-A8                    ,	BB548 ,
	TA-A2                    ,	BB549 ,
	TA-A6                    ,	BB508 ,
	TA-A8                    ,	BB515 ,
	TA-A6                    ,	BB516 ,
	TA-A7                    ,	BB521 ,
	TA-A8                    ,	BB547 ,
	TA-A2                    ,	BB550 ,
	TA-A2                    ,	BB551 ,
	TA-A2                    ,	BB552 ,
	TA-A2                    ,	BB553 ,
	TA-A2                    ,	BB554 ,
	TA-A2                    ,	BB555 ,
	TA-A2                    ,	BB556 ,
	TA-A2                    ,	BB557 ,
	TA-A2                    ,	BB558 ,
	TA-A2                    ,	BB559 ,
	TA-A2                    ,	BB560 ,
	TA-A2                    ,	BB561 ,
	TA-A2                    ,	BB562 ,
	TA-A2                    ,	BB563 ,
	TA-A2                    ,	BB564 ,
	TA-A2                    ,	BB565 ,
	TA-A2                    ,	BB566 ,
	TA-A2                    ,	BB567 ,
	TA-A5                    ,	BB569 ,
	TA-A4                    ,	BB571 ,
	TA-A6                    ,	BB572 ,
	TA-A6                    ,	BB573 ,
	TA-A4                    ,	BB574 ,
	TA-A5                    ,	BB568 ,
	TA-A5                    ,	BB575 ,
	TA-A5                    ,	BB576 ,
	TA-A8                    ,	BB577 ,
	TA-A13                   ,	BB578 ,
	TA-A8                    ,	BB579 ,
	TA-A8                    ,	BB580 ,
	TA-A13                   ,	BB582 ,
	TA-A13                   ,	BB585 ,
	TA-A13                   ,	BB586 ,
	TA-A13                   ,	BB588 ,
	TA-A8                    ,	BB589 ,
	TA-A13                   ,	BB581 ,
	TA-A5                    ,	BB570 ,
	TA-A13                   ,	BB583 ,
	TA-A13                   ,	BB584 ,
	TA-A13                   ,	BB587 ,
	TA-A13                   ,	BB590 ,
	TA-A13                   ,	BB591 ,
	TA-A13                   ,	BB592 ,
	TA-A13                   ,	BB593 ,
	TA-A13                   ,	BB594 ,
	TA-A13                   ,	BB595 ,
	TA-A13                   ,	BB596 ,
	TA-A13                   ,	BB597 ,
	TA-A13                   ,	BB598 ,
	TA-A14                   ,	BB599 ,
	TA-A14                   ,	BB600 ,
	TA-A14                   ,	BB601 ,
	TA-A14                   ,	BB605 ,
	TA-A14                   ,	BB606 ,
	TA-A14                   ,	BB607 ,
	TA-A14                   ,	BB608 ,
	TA-A14                   ,	BB609 ,
	TA-A14                   ,	BB610 ,
	TA-A14                   ,	BB612 ,
	TA-A14                   ,	BB613 ,
	TA-A14                   ,	BB614 ,
	TA-A14                   ,	BB615 ,
	TA-A8                    ,	BB616 ,
	TA-A15                   ,	BB617 ,
	TA-A15                   ,	BB618 ,
	TA-A15                   ,	BB619 ,
	TA-A15                   ,	BB620 ,
	TA-A15                   ,	BB621 ,
	TA-A15                   ,	BB622 ,
	TA-A15                   ,	BB623 ,
	TA-A7                    ,	BB624 ,
	TA-A9                    ,	BB701 ,
	TA-A9                    ,	BB702 ,
	TA-A12                   ,	BB704 ,
	TA-A11                   ,	BB705 ,
	TA-A14                   ,	BB602 ,
	TA-A14                   ,	BB611 ,
	TA-A12                   ,	BB703 ,
	TA-A14                   ,	BB603 ,
	TA-A14                   ,	BB604 ,
	TA-A11                   ,	BB706 ,
	TA-A11                   ,	BB707 ,
	TA-A11                   ,	BB708 ,
	TA-A15                   ,	BB709 ,
	TA-A15                   ,	BB710 ,
