,bd_id,oper,Location,Original ENT(07:30),Original ENT(11:00),Allocate ENT,Output plan
0,AAB008Y62011A,2200,TB-U,8.0,8.0,8.0,0.0
1,AAB008YB2007A,2200,TB-P,4.0,4.0,4.0,0.0
2,AAB008YB2007A,2200,TB-U,3.0,3.0,3.0,0.0
3,AAB008YM2018A,2200,0,3.0,3.0,3.0,0.0
4,AAB008YM2018A,2200,TB-P,1.0,1.0,1.0,0.0
5,AAB008YM2018A,2200,TB-R,2.0,2.0,2.0,0.0
6,AAB008YM2018A,2200,TB-U,2.0,2.0,2.0,0.0
7,AAB008YM2023A,2200,0,1.0,1.0,1.0,0.0
8,AAB008YM2025A,2200,TB-U,6.0,6.0,6.0,0.0
9,AAB008YQ2004A,2200,TB-U,1.0,1.0,1.0,0.0
10,AAB008YQ2019A,2200,TB-U,2.0,2.0,2.0,0.0
11,AAB008YQ2021A,2200,TB-U,2.0,2.0,2.0,0.0
12,AAB008YQ3028A,2200,TB-U,2.0,2.0,2.0,0.0
13,AAB008YQ3038A,2200,TB-U,2.0,2.0,2.0,0.0
14,AAB008YQ3042A,2200,TB-U,1.0,1.0,1.0,0.0
15,AAB008YQ3043A,2200,TB-U,13.0,11.0,11.0,0.0
16,AAB024MA6028A,2200,TA-2,1.0,1.0,1.0,0.0
17,AAB048TW2002A,2200,TA-1,1.0,1.0,1.0,0.0
18,AAB048TW2006A,2200,TA-1,11.0,11.0,11.0,0.0
19,AAB054TN1002A,2200,TA-2,11.0,11.0,11.0,0.0
20,AAB054TN1004A,2200,TA-P,1.0,1.0,1.0,0.0
21,AAB054TN1005A,2200,TA-1,4.0,4.0,4.0,0.0
22,AAB054TN1005A,2200,TA-2,6.0,6.0,6.0,0.0
23,AAB060EM2001A,2200,TA-1,2.0,2.0,2.0,0.0
24,AAB060EM2002A,2200,TA-1,6.0,6.0,6.0,0.0
25,AAB060EM2004A,2200,TA-1,1.0,1.0,1.0,0.0
26,AAB084CC9001A,2200,0,1.0,1.0,1.0,0.0
27,AAB096EF3001A,2200,TA-1,2.0,2.0,2.0,0.0
28,AAB096EL1003A,2200,TA-1,2.0,2.0,2.0,0.0
29,AAB100N81002A,2200,TA-2,1.0,1.0,1.0,0.0
30,AAS008FG1037A,3200,TB-U,1.0,1.0,1.0,0.0
31,AAS008YD2033A,2200,0,1.0,1.0,1.0,0.0
32,AAS008YQ2001B,2200,TB-U,7.0,7.0,7.0,0.0
33,AAS008YQ2002B,2200,TB-I,1.0,1.0,1.0,0.0
34,AAS008YQ2002B,2200,TB-U,6.0,6.0,6.0,0.0
35,AAS008YQ2013A,2200,TB-U,4.0,4.0,4.0,0.0
36,AAS008YQ2014A,2200,TB-U,4.0,4.0,4.0,0.0
37,AAS048TG2008A,2200,TB-U,1.0,1.0,1.0,0.0
38,AAS054NB6002B,2200,TB-U,1.0,1.0,1.0,0.0
39,AAS084CC2007A,2200,0,8.0,8.0,8.0,0.0
40,AAS084CC2015B,2200,TB-U,3.0,3.0,3.0,0.0
41,AAS096EI2001A,2200,TB-I,10.0,10.0,10.0,0.0
42,AAS096EI2001A,2200,TB-U,17.0,19.0,19.0,0.0
43,AAS096EL1002A,2200,TB-U,21.0,21.0,21.0,0.0
44,AAS096EL1007A,2200,0,2.0,2.0,2.0,0.0
45,AAS096EL1016A,2200,0,4.0,4.0,4.0,0.0
46,AAS178NN2001A,2200,TB-U,2.0,2.0,2.0,0.0
47,AAW008Y62015A,2200,0,11.0,11.0,11.0,0.0
48,AAW008Y62015A,2200,TB-P,1.0,1.0,1.0,0.0
49,AAW008Y62015A,2200,TB-U,6.0,6.0,6.0,0.0
50,AAW008YM2004A,2200,0,10.0,10.0,10.0,0.0
51,AAW008YM2004A,2200,TB-P,3.0,3.0,3.0,0.0
52,AAW008YM2004A,2200,TB-U,1.0,1.0,1.0,0.0
53,AAW008YM2006A,2200,0,2.0,2.0,2.0,0.0
54,AAW008YM2006A,2200,TB-P,1.0,1.0,1.0,0.0
55,AAW016D53004A,2200,0,2.0,2.0,2.0,0.0
56,AAW016D53004A,2200,TA-2,13.0,13.0,13.0,0.0
57,AAW016D53004A,2200,TA-P,59.0,59.0,59.0,0.0
58,AAW016D53004A,2200,TA-R,45.0,45.0,45.0,0.0
59,AAW024MA6022C,2200,TA-2,1.0,0.0,0.0,0.0
60,AAW024MAA006A,2200,TA-1,3.0,3.0,3.0,0.0
61,AAW024XJ6010B,3200,TA-2,5.0,5.0,5.0,0.0
62,AAW048TP1008B,2200,0,1.0,1.0,1.0,0.0
63,AAW048TP1008B,2200,TA-2,35.0,35.0,35.0,0.0
64,AAW048TP1008B,2200,TA-3,23.0,23.0,23.0,0.0
65,AAW048TP1008B,2200,TA-5,78.0,78.0,78.0,0.0
66,AAW048TP1008B,2200,TA-R,3.0,3.0,3.0,0.0
67,AAW048TP1026E,2200,TA-1,5.0,5.0,5.0,0.0
68,AAW048TP1041B,2200,0,30.0,30.0,30.0,0.0
69,AAW064MR1002B,2200,TA-2,1.0,1.0,1.0,0.0
70,ABU008YD2005A,2200,TB-U,1.0,1.0,1.0,0.0
71,ABU024MAA025A,2200,TA-1,1.0,1.0,1.0,0.0
72,ABU024XJ8004A,3200,TA-3,1.0,1.0,1.0,0.0
73,ABU024XW3005A,2200,TA-2,1.0,1.0,1.0,0.0
74,ABU048MA3001A,2200,TA-2,1.0,1.0,1.0,0.0
75,ABU048MA3002A,2200,TA-2,6.0,3.0,3.0,0.0
76,ABU048MA7001A,2200,TA-1,8.0,8.0,8.0,0.0
77,ABU048MA7002A,2200,TA-1,1.0,1.0,1.0,0.0
78,ABU048MA7003A,2200,TA-1,1.0,1.0,1.0,0.0
79,ABU048MA7004A,2200,TA-1,1.0,1.0,1.0,0.0
80,ABU048TP2006A,2200,TA-1,3.0,3.0,3.0,0.0
81,ABU048TP2007A,2200,TA-2,2.0,2.0,2.0,0.0
82,ABU054MF6001A,2200,TA-1,4.0,3.0,3.0,0.0
83,ABU054NO2008B,2200,TA-1,1.0,1.0,1.0,0.0
84,ABU054NO2009A,2200,TA-1,3.0,3.0,3.0,0.0
85,ABU056TH2001A,2200,TA-1,5.0,5.0,5.0,0.0
86,ABU056TH2004A,2200,TA-1,2.0,2.0,2.0,0.0
87,ABU078EA5001A,2200,TA-2,1.0,1.0,1.0,0.0
88,ABU084CC2004B,2200,TA-1,6.0,6.0,6.0,0.0
89,ABU090NC8002B,2200,TA-1,1.0,1.0,1.0,0.0
90,ABU090NC8003B,2200,TA-2,2.0,2.0,2.0,0.0
91,ABU096EF2001A,2200,TA-1,9.0,7.0,7.0,0.0
92,ABU096EF2001A,2200,TA-R,3.0,2.0,2.0,0.0
93,ABU096EF2002A,2200,TA-1,15.0,18.0,18.0,0.0
94,ABU126CT2001B,2200,TA-2,9.0,9.0,9.0,0.0
95,ABU153XT9001A,2200,0,4.0,4.0,4.0,0.0
96,ABU153XT9002A,2200,0,1.0,1.0,1.0,0.0
97,ABW032YB1005B,2200,TB-U,5.0,5.0,5.0,0.0
98,ABW032YF1002B,2200,0,5.0,5.0,5.0,0.0
99,ABW036AB1004A,2200,TB-I,2.0,2.0,2.0,0.0
100,ABW036AB1004A,2200,TB-P,3.0,3.0,3.0,0.0
101,ABW036AB1004A,2200,TB-U,10.0,10.0,10.0,0.0
102,ACD054MF2001A,2200,TA-1,2.0,2.0,2.0,0.0
103,ACD054MF2002A,2200,TA-1,3.0,3.0,3.0,0.0
104,ACD054TN1002B,2200,0,1.0,1.0,1.0,0.0
105,ACD054TN1002B,2200,TA-5,1.0,1.0,1.0,0.0
106,ACD084CC2002A,2200,TA-P,5.0,5.0,5.0,0.0
107,ACD096EL1003A,2200,TA-2,5.0,5.0,5.0,0.0
108,ACD096EL1004A,2200,TA-2,1.0,1.0,1.0,0.0
109,AHQ0442J4004A,2200,0,4.0,4.0,4.0,0.0
110,ALW078C93002A,2200,TB-R,1.0,1.0,1.0,0.0
111,ALW078C93002A,2200,TB-U,5.0,5.0,5.0,0.0
112,ALW132NY4010A,2200,TA-2,1.0,1.0,1.0,0.0
113,AMS048TW1046A,2200,TA-1,6.0,6.0,6.0,0.0
114,AMS048TW1053A,2200,TA-1,2.0,2.0,2.0,0.0
115,AMS078EN1001A,2200,0,2.0,2.0,2.0,0.0
116,AMS078EN1001A,2200,TA-1,1.0,1.0,1.0,0.0
117,AMS078EN1001A,2200,TB-5F,50.0,50.0,50.0,0.0
118,AMS078EN1005A,2200,TA-1,1.0,1.0,1.0,0.0
