¦C¼Æ,pin_package,bd_id,product,da_out,da_act,wb_out,wb_act,cure_out,cure_act,
1,	SMT         ,	AZA0086A1001B       ,	000SZA038                ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
2,	MAT         ,	,	0008WLF001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
3,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI019               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
4,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI044               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
5,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI057               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
6,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI061               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
7,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI093               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
8,	FCDFN-08YZ2A,	ANI008YZ1001D       ,	008YZNI035               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
9,	DFN-12Y12A  ,	ANI012Y11002C       ,	012Y1NI049               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
10,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI106               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
11,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI128               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
12,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI140               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
13,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI175               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
14,	FCQFN-14OA2D,	ANI014OA1001C       ,	014OANI049               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
15,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI117               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
16,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI136               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
17,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI185               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
18,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI265               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
19,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI271               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
20,	QFN-20YU2D  ,	ANI020YU1005C       ,	020YUNI289               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
21,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI307               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
22,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI314               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
23,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI319               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
24,	FPSSLGA28N6V,	AHQ0282J2006B       ,	0282JHQ034               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
25,	FPSTLGA44YBV,	AHQ0442J3005A       ,	0442JCM009ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
26,	FPSTLGA44tBV,	AHQ0442J3003A       ,	0442JCM010ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
27,	FPSTLGA44r6V,	AHQ0445T2004B       ,	0445TCM008ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
28,	FBGAS-78LEA ,	ABU078EA3001A       ,	078EACM003ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
29,	FBGA-96UEL-3,	AAS096EL1002A       ,	096ELCM010ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
30,	STBGA132G4U ,	ANV132X25002B       ,	132X2CME51ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
31,	TSOP2-54ME  ,	ACD054TN1001A       ,	054TNCD017               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
32,	VFBGA90B4L  ,	AGA090NC4003A       ,	090NCGA037               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
33,	TSOP1-48/48 ,	ABU048TG1002A       ,	048TGBU008               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
34,	STBGA168DEU ,	ABU168XI2001A       ,	168XIBU001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
35,	MBGA36Q3L   ,	AOK036RP1001A       ,	036RPOK001               ,	0.00,	0.00,	8.36,	0.00,	0.00,	0.00,
36,	TSOP1-48/48A,	AOK048TV1012A       ,	048TVOK008               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
37,	MINIBGA24A3L,	AAW024MA6013C       ,	024MAAW023               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
38,	TSOP1-48/M2 ,	AAW048TP1008B       ,	048TPAW103               ,	90.00,	13.39,	34.15,	9.36,	0.00,	0.00,
39,	MBGA64J4U   ,	AAW064MR1007A       ,	064MRAW028               ,	0.00,	0.00,	9.67,	5.72,	0.00,	0.00,
40,	MAT         ,	                    ,	0008WNV430               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
41,	uSD08AQV-C  ,	ANV0086A1075A       ,	0086ANV172               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
42,	uSD08AQV-C  ,	ANV0086A1069A       ,	0086ANV179               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
43,	uSD08AQV-C  ,	ANV0086A1075A       ,	0086ANV202               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
44,	STBGA132C4V ,	ANV132X2B002A       ,	132X2NV188               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
45,	STBGA132G4VT,	ANV132X2C097A       ,	132X2NV195               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
46,	STBGA169D4U ,	ANV169XN8001A       ,	169XNNV011               ,	0.00,	0.00,	27.59,	0.00,	0.00,	0.00,
47,	FCCSP319A3G ,	ANV319UK1001A       ,	319UKNV002               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
48,	STBGA345SBC ,	ANV345XTB024A       ,	345XTNV081               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
49,	FBGA60LCD(2),	ADY060CD4001A       ,	060CDDY027               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
50,	WLCSP       ,	                    ,	000IAVT006               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
51,	MAT         ,	ENG                 ,	0008WAB034               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
52,	MAT         ,	ENG                 ,	0008WAB043               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
53,	DFN-08YB2G  ,	AAB008YB2003A       ,	008YBAB012               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
54,	MBGA24D6U   ,	AAB024MA6020A       ,	024MAAB053               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
55,	TSOP1-48AM  ,	AAB048TW2010A       ,	048TWAB028               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
56,	VFBGA54B4   ,	AAB054NB2001A       ,	054NBAB002               ,	0.00,	0.00,	13.61,	5.67,	0.00,	0.00,
57,	TSOP2-54ME  ,	AAB054TN1005A       ,	054TNAB036               ,	0.00,	0.00,	116.95,	25.86,	0.00,	0.00,
58,	MBGA84J3U   ,	AAB084RB2001A       ,	084RBAB004               ,	30.00,	0.00,	0.00,	0.00,	0.00,	0.00,
59,	FBGA-84UC(2),	AAB084CC2007A       ,	084UCAB022               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
