code_flag,gw_part_no,serialn_no,op_id,trans_date,trans_time,mc_no,area,roll_length,no_208,item_208,date_208,roll_weight,roll_weight_old,roll_length_inch,roll_length_old,roll_length_inch_old,roll_weight_dif,roll_length_dif,roll_length_inch_dif,transaction,txt_trans_date,txt_trans_time,trans_ways,assy_lot,oper,cimes_hist_seq,cimes_ent_hist_seq,die_count,die_count_old,die_count_dif,cimes_transaction,
DN ,1091G08MA1               ,SR198071-0143  ,S3609     ,20200330,145805,          ,TB,500.000,208-N31928,1,20200330,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20200330,145805,M,,0,0,0,0,0,0,,
DN ,1091G08MA1               ,SR198071-0142  ,S3609     ,20200330,145805,          ,TB,500.000,208-N31928,1,20200330,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20200330,145805,M,,0,0,0,0,0,0,,
DN ,1091G08MA1               ,SR198071-0144  ,S3609     ,20200330,145805,          ,TB,500.000,208-N31928,1,20200330,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20200330,145805,M,,0,0,0,0,0,0,,
DN ,1091G08MA1               ,SR198071-0145  ,S3609     ,20200330,145805,          ,TB,500.000,208-N31928,1,20200330,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20200330,145805,M,,0,0,0,0,0,0,,
DN ,1091G08MA1               ,SR198071-0146  ,S3609     ,20200330,145805,          ,TB,500.000,208-N31928,1,20200330,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20200330,145805,M,,0,0,0,0,0,0,,
DN ,1091G08MA1               ,SR198071-0147  ,S3609     ,20200330,145805,          ,TB,500.000,208-N31928,1,20200330,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20200330,145805,M,,0,0,0,0,0,0,,
DN ,1091G08MA1               ,SR198071-0148  ,S3609     ,20200330,145805,          ,TB,500.000,208-N31928,1,20200330,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20200330,145805,M,,0,0,0,0,0,0,,
DN ,1091G08MA1               ,SR198071-0149  ,S3609     ,20200330,145805,          ,TB,500.000,208-N31928,1,20200330,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20200330,145805,M,,0,0,0,0,0,0,,
DN ,1091G08MA1               ,SR198071-0150  ,S3609     ,20200330,145805,          ,TB,500.000,208-N31928,1,20200330,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20200330,145805,M,,0,0,0,0,0,0,,
DN ,1091G08MA1               ,SR198071-0120  ,21532     ,20200331,145917,          ,TB,500.000,208-N32006,2,20200331,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20200331,145917,M,,0,0,0,0,0,0,,
DN ,1091G08MA1               ,SR198071-0119  ,21532     ,20200331,145917,          ,TB,500.000,208-N32006,2,20200331,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20200331,145917,M,,0,0,0,0,0,0,,
DN ,1091G08MA1               ,SR198071-0118  ,21532     ,20200331,145917,          ,TB,500.000,208-N32006,2,20200331,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20200331,145917,M,,0,0,0,0,0,0,,
DN ,1091G08MA1               ,SR198071-0117  ,21532     ,20200331,145917,          ,TB,500.000,208-N32006,2,20200331,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20200331,145917,M,,0,0,0,0,0,0,,
DN ,1091G08MA1               ,SR198071-0081  ,21532     ,20200331,145917,          ,TB,500.000,208-N32006,2,20200331,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20200331,145917,M,,0,0,0,0,0,0,,
DN ,1091G08MA1               ,SR198071-0082  ,21532     ,20200331,145917,          ,TB,500.000,208-N32006,2,20200331,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20200331,145917,M,,0,0,0,0,0,0,,
DN ,1091G08MA1               ,SR198071-0083  ,21532     ,20200331,145917,          ,TB,500.000,208-N32006,2,20200331,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20200331,145917,M,,0,0,0,0,0,0,,
DN ,1091G08MA1               ,SR198071-0084  ,21532     ,20200331,145917,          ,TB,500.000,208-N32006,2,20200331,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20200331,145917,M,,0,0,0,0,0,0,,
DN ,1091G08MA1               ,SR198071-0085  ,21532     ,20200331,145917,          ,TB,500.000,208-N32006,2,20200331,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20200331,145917,M,,0,0,0,0,0,0,,
DN ,1091G08MA1               ,SR198071-0090  ,21532     ,20200331,145917,          ,TB,500.000,208-N32006,2,20200331,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20200331,145917,M,,0,0,0,0,0,0,,
DN ,1091G08MA1               ,SR198071-0087  ,21532     ,20200331,145917,          ,TB,500.000,208-N32006,2,20200331,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20200331,145917,M,,0,0,0,0,0,0,,
DN ,1091G08MA1               ,SR198071-0089  ,21532     ,20200331,145917,          ,TB,500.000,208-N32006,2,20200331,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20200331,145917,M,,0,0,0,0,0,0,,
DN ,1091G08MA1               ,SR198071-0088  ,21532     ,20200331,145917,          ,TB,500.000,208-N32006,2,20200331,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20200331,145917,M,,0,0,0,0,0,0,,
DN ,1091G08MA1               ,SR198071-0086  ,21532     ,20200331,145917,          ,TB,500.000,208-N32006,2,20200331,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20200331,145917,M,,0,0,0,0,0,0,,
DA ,1091A07M41               ,N270304-0014   ,24142     ,20180712,190558,          ,TA,3000.000,217-L70100,1,20180712,8.500,0.000,9840.000,0.000,0.000,8.500,3000.000,9840.000,ADD       ,20180712,190558,M,,0,0,0,0,0,0,,
DN ,1091G07PA4               ,L57Z-0006      ,S3181     ,20201010,142619,          ,TB,500.000,2020024347,3,20201010,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20201010,142619,M,,0,0,0,0,0,0,,
DN ,1091G07PA4               ,L57Z-0007      ,S3181     ,20201010,142619,          ,TB,500.000,2020024347,3,20201010,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20201010,142619,M,,0,0,0,0,0,0,,
DN ,1091G07PA4               ,L57Z-0008      ,S3181     ,20201010,142619,          ,TB,500.000,2020024347,3,20201010,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20201010,142619,M,,0,0,0,0,0,0,,
DN ,1091G07PA4               ,L57Z-0009      ,S3181     ,20201010,142619,          ,TB,500.000,2020024347,3,20201010,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20201010,142619,M,,0,0,0,0,0,0,,
DN ,1091G07PA4               ,L57Z-0010      ,S3181     ,20201010,142619,          ,TB,500.000,2020024347,3,20201010,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20201010,142619,M,,0,0,0,0,0,0,,
DN ,1091G07PA4               ,L57Z-0023      ,S3181     ,20201010,142619,          ,TB,500.000,2020024347,3,20201010,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20201010,142619,M,,0,0,0,0,0,0,,
DN ,1091G07PA4               ,L57Z-0021      ,S3181     ,20201010,142619,          ,TB,500.000,2020024347,3,20201010,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20201010,142619,M,,0,0,0,0,0,0,,
DN ,1091G07PA4               ,L57Z-0022      ,S3181     ,20201010,142619,          ,TB,500.000,2020024347,3,20201010,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20201010,142619,M,,0,0,0,0,0,0,,
DN ,1091G07PA4               ,L57Z-0024      ,S3181     ,20201010,142619,          ,TB,500.000,2020024347,3,20201010,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20201010,142619,M,,0,0,0,0,0,0,,
DN ,1091G07PA4               ,L57Z-0025      ,S3181     ,20201010,142619,          ,TB,500.000,2020024347,3,20201010,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20201010,142619,M,,0,0,0,0,0,0,,
DN ,1091G07PA4               ,L57Z-0030      ,S3181     ,20201010,142619,          ,TB,500.000,2020024347,3,20201010,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20201010,142619,M,,0,0,0,0,0,0,,
DN ,1091G07PA4               ,L57Z-0029      ,S3181     ,20201010,142619,          ,TB,500.000,2020024347,3,20201010,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20201010,142619,M,,0,0,0,0,0,0,,
DN ,1091G07PA4               ,L57Z-0028      ,S3181     ,20201010,142619,          ,TB,500.000,2020024347,3,20201010,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20201010,142619,M,,0,0,0,0,0,0,,
DN ,1091G07PA4               ,L57Z-0027      ,S3181     ,20201010,142619,          ,TB,500.000,2020024347,3,20201010,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20201010,142619,M,,0,0,0,0,0,0,,
DN ,1091G07PA4               ,L57Z-0026      ,S3181     ,20201010,142619,          ,TB,500.000,2020024347,3,20201010,0.000,0.000,1640.000,0.000,0.000,0.000,500.000,1640.000,ADD       ,20201010,142619,M,,0,0,0,0,0,0,,
DF ,1091A07T21               ,S2020365-9414  ,S8036     ,20200414,182348,BB601     ,TA,43.994,208-N40146,2,20200402,0.000,0.000,144.301,43.994,144.301,0.000,0.000,0.000,STATUS    ,20200414,182348,M,            ,0,0,0,0,0,0,          ,
DF ,1091A07T21               ,S2020365-9767  ,23202     ,20200414,183626,BB730     ,TA,50.430,208-N40041,1,20200401,0.000,0.000,165.412,50.430,165.412,0.000,0.000,0.000,STATUS    ,20200414,183626,M,            ,0,0,0,0,0,0,          ,
DF ,1091A07T21               ,S2020365-9464  ,24216     ,20200414,204319,BB745     ,TA,30.200,208-N40294,2,20200405,0.000,0.000,99.056,30.200,99.056,0.000,0.000,0.000,STATUS    ,20200414,204319,M,            ,0,0,0,0,0,0,          ,
DF ,1091A07T21               ,S2020365-9368  ,24216     ,20200414,214126,BB506     ,TA,27.091,208-N40193,3,20200403,0.000,0.000,88.857,27.091,88.857,0.000,0.000,0.000,STATUS    ,20200414,214126,M,            ,0,0,0,0,0,0,          ,
DF ,1091A07T21               ,S2020365-9593  ,24216     ,20200415,3934,BB713     ,TA,12.648,208-N31929,1,20200330,0.000,0.000,41.486,12.648,41.486,0.000,0.000,0.000,STATUS    ,20200415,3934,M,            ,0,0,0,0,0,0,          ,
DF ,1091A07T21               ,S2020365-9376  ,24414     ,20200415,44740,BBH78     ,TA,0.000,208-N32005,2,20200331,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,STATUS    ,20200415,44740,M,            ,0,0,0,0,0,0,          ,
DF ,1091A07T21               ,S2020365-9502  ,24216     ,20200415,51034,BBH18     ,TA,3.200,208-N31683,2,20200326,0.000,0.000,10.497,3.200,10.497,0.000,0.000,0.000,STATUS    ,20200415,51034,M,            ,0,0,0,0,0,0,          ,
DF ,1091A07T21               ,S2020365-9378  ,24414     ,20200415,64847,BB713     ,TA,0.000,208-N32005,2,20200331,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,STATUS    ,20200415,64847,M,            ,0,0,0,0,0,0,          ,
DF ,1091A07T21               ,S2020365-9479  ,24414     ,20200415,64930,BB511     ,TA,38.775,208-N40294,2,20200405,0.000,0.000,127.183,38.775,127.183,0.000,0.000,0.000,STATUS    ,20200415,64930,M,            ,0,0,0,0,0,0,          ,
DF ,1091A07T21               ,S2020365-9665  ,11342     ,20200415,84225,BB595     ,TA,27.648,208-N40348,2,20200406,0.000,0.000,90.686,27.648,90.686,0.000,0.000,0.000,STATUS    ,20200415,84225,M,            ,0,0,0,0,0,0,          ,
DF ,1091A07T21               ,S2020365-9380  ,S6120     ,20200415,100532,BBH99     ,TA,7.751,208-N32005,2,20200331,0.000,0.000,25.424,7.751,25.424,0.000,0.000,0.000,STATUS    ,20200415,100532,M,            ,0,0,0,0,0,0,          ,
DF ,1091A07T21               ,S2020365-9310  ,11342     ,20200415,125723,BB611     ,TA,45.217,208-N40193,3,20200403,0.000,0.000,148.311,45.217,148.311,0.000,0.000,0.000,STATUS    ,20200415,125723,M,            ,0,0,0,0,0,0,          ,
N  ,1091A07C21               ,R214095-0264   ,25785     ,20210824,154405,          ,TB,3000.000,2021045182,1,20210824,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20210824,154405,M,,0,0,0,0,0,0,,
N  ,1091A07C21               ,R214095-0263   ,25785     ,20210824,154405,          ,TB,3000.000,2021045182,1,20210824,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20210824,154405,M,,0,0,0,0,0,0,,
N  ,1091A07C21               ,R214095-0262   ,25785     ,20210824,154405,          ,TB,3000.000,2021045182,1,20210824,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20210824,154405,M,,0,0,0,0,0,0,,
N  ,1091A07C21               ,R214095-0261   ,25785     ,20210824,154405,          ,TB,3000.000,2021045182,1,20210824,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20210824,154405,M,,0,0,0,0,0,0,,
