MATNR,CLABS,
1091A06C21,117000,
1091A06T41,114000,
1091A07C21,138000,
1091A07C21,282000,
1091A07C41,108000,
1091A07M41,3000,
1091A07T21,672000,
1091A09C41,42000,
1091A09C41,39000,
1091C07NP3,11000,
1091G07PA4,138000,
1091G07PA4,69000,
1091G08PA1,200000,
1091P10TP1,9000,
1091A06T21,174000,
1091A06T21,621000,
1091A06T41,117000,
1091A07C41,300000,
1091A07C41,111000,
1091A07C41,114000,
1091A07T21,222000,
1091A07T21,300000,
1091A08C41,87000,
1091A08T21,36000,
1091A08T41,336000,
1091A09C21,24000,
1091A10C41,40000,
1091A10C41,30000,
1091C07NP3,8000,
1091C07NP3,16000,
1091G07PA4,73000,
1091G08PA1,55000,
1091G08PA4,50000,
1091G08PA4,94000,
1091A06C21,123000,
1091A06C21,33000,
1091A06T21,201000,
1091A07C41,186000,
1091A08T21,60000,
1091A08T41,30000,
1091A09C21,81000,
1091A10T42,48000,
1091C07NP3,80000,
1091C07NP3,6000,
1091C08TP2,10000,
1091G07PA4,120000,
1091G08MA1,12500,
1091G08MA1,88500,
1091G08PA1,136000,
1091G08PA1,48000,
1091G08PA1,35000,
1091G08PA4,125000,
1091G08PA4,109000,
1091G08PA4,200000,
1091P07TP1,1000,
1091A07T41,396000,
1091A08C21,96000,
1091A08T21,180000,
1091A08T41,144000,
1091A09C21,18000,
1091A12C41,14000,
1091C08NP3,12000,
1091G08PA4,165000,
1091G08PA4,160000,
1091A06T41,201000,
1091A07C21,102000,
1091A07C41,297000,
1091A07T21,201000,
1091A07T21,213000,
1091A08T21,63000,
1091A08T21,30000,
1091A10C41,26000,
1091A10T41,4000,
1091C07NP3,65000,
1091C07NP3,146000,
1091C07NP3,1000,
1091C07NP3,82000,
1091G07PA4,40000,
1091G07PA4,45000,
1091G08PA1,5000,
1091G08PA1,50000,
1091G08PA1,10000,
1091G08PA1,80000,
1091G08PA4,20500,
1091G08PA4,211000,
1091A06T21,630000,
1091A06T41,18000,
1091A07C41,258000,
1091A07C41,189000,
1091A07M41,27000,
1091A07T21,63000,
1091A07T21,162000,
1091A07T21,270000,
1091A07T41,30000,
1091A07T41,93000,
1091A08C21,9000,
1091A08C41,36000,
1091A09C41,6000,
1091G08PA1,140000,
1091G08PA1,54000,
1091G08PA1,100000,
1091A06T21,90000,
1091A07C41,12000,
1091A07C41,183000,
1091A07C41,45000,
1091A07T21,216000,
1091A07T41,204000,
1091A09C21,30000,
1091A09C21,15000,
1091A10C41,20000,
1091C07NP3,70000,
1091G08PA4,90000,
1091G08PA4,55000,
1091A06C21,183000,
1091A06C21,6000,
1091A06T21,627000,
1091A06T21,87000,
1091A07C41,192000,
1091A07T21,159000,
1091A08C41,69000,
1091A08C41,60000,
1091A08T41,162000,
1091A09C21,9000,
1091A10C41,136000,
1091G08PA1,53000,
1091G08PA1,160000,
1091G08PA1,19000,
