wlth_lot_number,wlth_equipment_id,START,END
R03NVBK16,BB211,1644420500,1644420620
R06AWAP03,BB211,1644253779,1644253779
R06MSE105,BB212,1644256586,1644256586
R06MSH802,BB212,1644392723,1644392843
R06AWAP08,BB213,1644263154,1644263154
R06AWAR16,BB213,1644407507,1644407627
R04AWDA25,BB214,1644268536,1644268536
R05AWBQ33,BB214,1644410223,1644410343
R07MSBC01,BB215,1644412334,1644412454
P46UKT301,BB216,1644270125,1644270125
R06MSG308,BB217,1644261380,1644261380
R06MSAT02,BB218,1644276600,1644318258
R03NVBK05,BB219,1644272405,1644272405
R03NVBK12,BB219,1644410516,1644410636
R06MSBJ02,BB220,1644276600,1644295123
R06MSES02,BB221,1644258516,1644258516
R06MSHB03,BB221,1644385513,1644385633
R05MSL404,BB222,1644251801,1644251801
R06MSJ603,BB223,1644276600,1644395686
R06AWAP07,BB224,1644255344,1644255344
R06AWAR19,BB224,1644411548,1644411668
R06MSJ702,BB225,1644276600,1644372168
R06MSJV06,BB225,1644372275,1644372395
R06MSG602,BB226,1644276600,1644295000
R06MSJ105,BB226,1644361985,1644363000
R05MSL403,BB227,1644276600,1644290696
R06AWAP06,BB228,1644256854,1644256854
R80CMDW01,BB228,1644405971,1644406091
R03NVBK07,BB229,1644361573,1644363000
R05AWCE01,BB230,1644252575,1644252575
R06AWA601,BB230,1644405415,1644405535
R05MSG104,BB231,1644265329,1644265329
R06MSJH06,BB231,1644421079,1644421199
R06MSB404,BB232,1644276600,1644300359
R06MSBB03,BB232,1644362574,1644363000
P46UKT302,BB233,1644276600,1644302880
R05AWA101,BB234,1644257921,1644257921
R05AWBP26,BB234,1644381300,1644381420
R05AWCE05,BB235,1644402501,1644402621
R05CDAJ02,BB235,1644253846,1644253846
R05CDBH01,BB441,1644276600,1644293229
R05CDBM03,BB441,1644394013,1644394133
R05CDBH02,BB442,1644267119,1644267119
R05CDBJ01,BB442,1644315628,1644363000
R05CDBH07,BB443,1644276600,1644420973
R05CDBI05,BB443,1644421402,1644421522
R07MSBJ01,BB444,1644392927,1644393047
R05MSKT04,BB445,1644254434,1644254434
R06MSBC03,BB445,1644337793,1644363000
R03BUB601,BB446,1644346824,1644363000
R05BUB211,BB446,1644276600,1644327272
R04RKAT01,BB447,1644255080,1644255080
R06MSFN04,BB448,1644276600,1644331169
R06MSGB02,BB448,1644331236,1644363000
R06ABB907,BB450,1644267605,1644267605
R06ABBU15,BB450,1644407364,1644407484
R06ABDV08,BB451,1644420465,1644420585
R05BUB612,BB452,1644269931,1644269931
R06AWAR02,BB452,1644407935,1644408055
R05BUB208,BB453,1644276600,1644300492
R06ABBU05,BB453,1644388668,1644388788
R04RKAT03,BB454,1644276600,1644277661
R05CDBH04,BB455,1644275573,1644275573
R05CDBN09,BB455,1644383603,1644383723
R06ABB805,BB456,1644411394,1644411514
R05BUBN02,BB457,1644269793,1644269793
R05BUBP01,BB457,1644379119,1644379239
R06ABBE03,BB458,1644258191,1644258191
R06ABDV06,BB458,1644371822,1644371942
R80CMD201,BB459,1644259018,1644259018
R05CDA102,BB460,1644376351,1644376471
R06MSC504,BB460,1644272369,1644272369
R05BUB901,BB461,1644276600,1644309325
R05BUB907,BB461,1644421637,1644421757
R06CDA205,BB462,1644387960,1644388080
R06MSC510,BB462,1644263925,1644263925
R05MSL902,BB463,1644264867,1644264867
R06MSEL03,BB463,1644339904,1644363000
R05BUB615,BB465,1644253885,1644253885
R06AWAR14,BB465,1644411777,1644411897
R06MSFH01,BB466,1644321291,1644363000
R06MSFK03,BB466,1644276600,1644321038
R06MSB104,BB467,1644274226,1644274226
R05BUB207,BB468,1644276600,1644303093
R06CDA105,BB468,1644371666,1644371786
R04RKB304,BB469,1644265705,1644265705
R06MSCD10,BB469,1644402039,1644402159
R05BUB608,BB470,1644250346,1644250346
R06ABBU10,BB470,1644393644,1644393764
R06MSA602,BB471,1644276600,1644328401
R06MSGA01,BB471,1644328483,1644363000
R06AWAE01,BB472,1644260146,1644260146
R06AWAK01,BB472,1644384170,1644384290
R06MSCH04,BB473,1644259856,1644259856
R06ABBU13,BB474,1644397669,1644397789
R06MSFI03,BB475,1644276600,1644302538
R06MSGK04,BB475,1644410279,1644410399
R06AWAR06,BB476,1644417454,1644417574
R06MSC413,BB476,1644259628,1644259628
R05MSFB08,BB477,1644254059,1644254059
R06MSA108,BB477,1644387503,1644387623
R06AWAR15,BB478,1644409955,1644410075
R06MSC503,BB478,1644258556,1644258556
R05MSL402,BB479,1644269062,1644269062
R06MSBD03,BB479,1644330258,1644363000
R05CDBI01,BB480,1644276600,1644287647
R05CDBN01,BB480,1644345970,1644363000
R06AWAF02,BB481,1644276600,1644289743
R06AWAJ01,BB481,1644415897,1644416017
R04RKAW04,BB482,1644259360,1644259360
R05CDBL06,BB482,1644403779,1644403899
R05MSF702,BB483,1644276600,1644355032
R06MSFS01,BB483,1644355248,1644363000
R04RKB103,BB484,1644276600,1644355511
R05CSD201,BB484,1644402543,1644402663
R06MSEX02,BB485,1644276600,1644303217
R06MSHB04,BB485,1644388564,1644388684
R06ABBE07A,BB486,1644256274,1644256274
R06ABDU04,BB486,1644333222,1644363000
R04RKB402,BB487,1644256873,1644256873
R05MSL102,BB487,1644287181,1644363000
R04BUAV04,BB488,1644392722,1644392842
R05BUB210,BB488,1644276600,1644277834
R06ABB601,BB489,1644362150,1644363000
R06AWA102,BB489,1644260433,1644260433
R06MSC807,BB496,1644258343,1644258343
R06MSCD17,BB496,1644412094,1644412214
R06MSJ803,BB497,1644276600,1644374859
R06MSJQ02,BB497,1644375131,1644375251
R06MSA102,BB498,1644276600,1644279751
R06MSA106,BB498,1644364206,1644364326
R06MSJ804,BB499,1644276600,1644281959
R07MSC603,BB499,1644401113,1644401233
R05CDA101,BB500,1644376221,1644376341
R06MSCH09,BB501,1644253043,1644253043
R03YZAI04,BB502,1644254244,1644254244
R05MSL502,BB504,1644276600,1644289416
R03YZAJ02,BB505,1644276600,1644302163
R05CDAM01,BB506,1644276600,1644393907
R05BUB903,BB507,1644276600,1644310096
R05BUB906,BB507,1644373224,1644373344
R05ABJB04,BB508,1644276600,1644281499
R06MSAX04,BB509,1644276600,1644335657
R06MSFA03,BB509,1644335825,1644363000
R06MSF503,BB510,1644257384,1644257384
R06MSFR04,BB510,1644348327,1644363000
R05CDBQ01,BB511,1644389331,1644389451
R06MSC502,BB511,1644273807,1644273807
R03BUB602,BB512,1644345143,1644363000
R06MSC501,BB512,1644273418,1644273418
R06MSF402,BB513,1644276600,1644290221
R06MSGG02,BB513,1644411834,1644411954
R06MSFP02,BB514,1644276600,1644306746
R06MSGG03,BB514,1644418040,1644418160
R06ABB206,BB515,1644276600,1644315938
R06ABB803,BB515,1644400716,1644400836
R06MSJA04,BB516,1644276600,1644279772
R06MSJE03,BB516,1644402281,1644402401
R06ABDV03,BB517,1644333940,1644363000
R06MSJ503,BB518,1644259825,1644259825
R07MSA101,BB518,1644359950,1644363000
R05MSL503,BB519,1644276600,1644279868
R06MSFD02,BB519,1644393275,1644393395
R04RKAX02,BB520,1644251442,1644251442
R06ABD504,BB520,1644316032,1644363000
R06MSF501,BB521,1644272018,1644272018
R06MSGF03,BB521,1644393603,1644393723
R05MSFV02,BB522,1644258563,1644258563
R06MSJJ04,BB522,1644345912,1644363000
R06MSBG01,BB523,1644276600,1644294516
R06MSJA01,BB524,1644262731,1644262731
R06MSJJ08,BB524,1644415168,1644415288
R06MSCH01,BB525,1644261169,1644261169
R04RKB301,BB526,1644276600,1644307047
R07ABC301,BB526,1644415619,1644415739
R06ABB702,BB527,1644276600,1644296826
R06ABB809,BB527,1644407423,1644407543
R04RKB504,BB528,1644255577,1644255577
R06ABB703,BB529,1644275151,1644275151
R06ABB804,BB529,1644405123,1644405243
R06MSCH15,BB530,1644269302,1644269302
R05AWAC03,BB531,1644250631,1644250631
R06ABD917,BB531,1644414111,1644414231
R04RKB401,BB532,1644267574,1644267574
R05BUAB03,BB532,1644418010,1644418130
R06MSA101,BB533,1644276600,1644286057
R06MSA107,BB533,1644389615,1644389735
