CAN_RUN_MODELS,PROCESS_TIME,amount_of_tools,amount_of_wires,automotive,bom_id,code,customer,dest_oper,fcst_time,hold,is_sub_lot,log,lot_number,lot_size,mvin,oper,package_id,part_id,part_no,pin_package,prescheduled_machine,prescheduled_order,process_id,prod_id,qty,queue_time,recipe,route,uphs,urgent_code,wb_location
,,0,0,N,,ERROR_WB7,ProMOS,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R03DYA106,0,Y,2200,V58C2512804SHAZXJ,,,FBGA60LCD(2),,-1,,060CDDY027,1842,0.000000,ADY060CD4001A,BGA140,,,
,,0,0,N,,ERROR_WB7,DOSILICO,2230,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R05YUA108,0,N,2230,GY71J88XGI-2VKF-D-SA,,,FBGA-96UEL-2,,-1,,096ELYU001,3000,0.000000,AYU096EL2001A,BGA140,,P,
,,0,0,N,,ERROR_WB7,DOSILICO,2230,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R05YUA111,0,N,2230,GY71J88XGI-2VKF-D-SA,,,FBGA-96UEL-2,,-1,,096ELYU001,2926,0.000000,AYU096EL2001A,BGA140,,P,
,,0,0,N,,ERROR_WB7,DOSILICO,2230,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R05YUA112,0,N,2230,GY71J88XGI-2VKF-D-SA,,,FBGA-96UEL-2,,-1,,096ELYU001,2923,0.000000,AYU096EL2001A,BGA140,,P,
,,0,0,N,,ERROR_WB7,DOSILICO,2230,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R05YUA107,0,N,2230,GY71J88XGI-2VKF-D-SA,,,FBGA-96UEL-2,,-1,,096ELYU001,2984,0.000000,AYU096EL2001A,BGA140,,P,
,,0,0,N,,ERROR_WB7,DOSILICO,2230,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R05YUA113,0,N,2230,GY71J88XGI-2VKF-D-SA,,,FBGA-96UEL-2,,-1,,096ELYU001,1028,0.000000,AYU096EL2001A,BGA140,,P,
,,0,0,N,,ERROR_WB7,ProMOS,2250,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R03DYA101,0,N,2250,V58C2512804SHAZXJ,,,FBGA60LCD(2),,-1,,060CDDY027,4160,0.000000,ADY060CD4001A,BGA140,,,
,,0,0,N,,ERROR_WB7,ProMOS,2250,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R03DYA105,0,N,2250,V58C2512804SHAZXJ,,,FBGA60LCD(2),,-1,,060CDDY027,4160,0.000000,ADY060CD4001A,BGA140,,,
,,0,0,N,,ERROR_WB7,ProMOS,2250,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R03DYA102,0,N,2250,V58C2512804SHAZXJ,,,FBGA60LCD(2),,-1,,060CDDY027,4160,0.000000,ADY060CD4001A,BGA140,,,
,,0,0,N,,ERROR_WB7,ProMOS,2250,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R03DYA103,0,N,2250,V58C2512804SHAZXJ,,,FBGA60LCD(2),,-1,,060CDDY027,4160,0.000000,ADY060CD4001A,BGA140,,,
,,0,0,N,,ERROR_WB7,ProMOS,2250,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R03DYA104,0,N,2250,V58C2512804SHAZXJ,,,FBGA60LCD(2),,-1,,060CDDY027,4160,0.000000,ADY060CD4001A,BGA140,,,
,,0,0,N,,ERROR_WB7,DOSILICO,2320,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R05YUA101,0,N,2320,GY71J88XGI-2VKF-D-SA,,,FBGA-96UEL-2,,-1,,096ELYU001,11842,0.000000,AYU096EL2001A,BGA140,,P,
,,0,0,N,,ERROR_WB7,DOSILICO,2320,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R05YUA102,0,N,2320,GY71J88XGI-2VKF-D-SA,,,FBGA-96UEL-2,,-1,,096ELYU001,11822,0.000000,AYU096EL2001A,BGA140,,P,
,,0,0,N,,ERROR_HOLD,MXIC,2003,0.000000,Y,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,R05AWC2,0,N,2003,6769A-24XD10JYDW99,,,MBGA24J3U,,-1,,024MAAW078,23,0.000000,AAW024MAA002B,BGA161,,,
,,0,0,N,,ERROR_WB7,MXIC,2005,0.000000,N,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R05AWC3,0,N,2005,6769A-24XD10JYDW99,,,MBGA24J3U,,-1,,024MAAW078,24,0.000000,AAW024MAA002B,BGA161,,,
,,0,0,N,,ERROR_WB7,MXIC,2005,0.000000,N,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R05AWC7,0,N,2005,6769A-24XD10JYDW99,,,MBGA24J3U,,-1,,024MAAW078,1,0.000000,AAW024MAA002B,BGA161,,,
,,0,0,N,,ERROR_WB7,MXIC,2005,0.000000,N,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R05AWC4,0,N,2005,6769A-24XD10JYDW99,,,MBGA24J3U,,-1,,024MAAW078,15,0.000000,AAW024MAA002B,BGA161,,,
,,0,0,N,,ERROR_WB7,MXIC,2005,0.000000,N,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R05AWC8,0,N,2005,6769A-24XD10JYDW99,,,MBGA24J3U,,-1,,024MAAW078,1,0.000000,AAW024MAA002B,BGA161,,,
,,0,0,N,,ERROR_WB7,MXIC,2005,0.000000,N,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R05AWC5,0,N,2005,6769A-24XD10JYDW99,,,MBGA24J3U,,-1,,024MAAW078,6,0.000000,AAW024MAA002B,BGA161,,,
,,0,0,N,,ERROR_WB7,MXIC,2005,0.000000,N,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R05AWC9,0,N,2005,6769A-24XD10JYDW99,,,MBGA24J3U,,-1,,024MAAW078,6,0.000000,AAW024MAA002B,BGA161,,,
,,0,0,N,,ERROR_WB7,MXIC,2005,0.000000,N,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R05AWC6,0,N,2005,6769A-24XD10JYDW99,,,MBGA24J3U,,-1,,024MAAW078,1,0.000000,AAW024MAA002B,BGA161,,,
,,0,0,N,,ERROR_WB7,ISSI-VG,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R05VGED01,0,Y,2200,IS29GL032-70BLED,,,MINIBGA48J3U,,-1,,048MAVG003,6138,0.000000,ABU048MA3002A,BGA161,,,
,,0,0,Y,,ERROR_WB7,MXIC,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R06AWAF01,0,Y,2200,6732O-24XD08RYI399{A},,,MINIBGA24A4L,,-1,,024MAAW045,8401,0.000000,AAW024MA6022C,BGA161,,,
,,0,0,Y,,ERROR_WB7,MXIC,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R06AWAF02,0,Y,2200,6732O-24XD08RYI399{A},,,MINIBGA24A4L,,-1,,024MAAW045,8456,0.000000,AAW024MA6022C,BGA161,,,
,,0,0,Y,,ERROR_WB7,MXIC,2250,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R06AWAE01,0,N,2250,6732O-24XD08RYI399{A},,,MINIBGA24A4L,,-1,,024MAAW045,3372,0.000000,AAW024MA6022C,BGA161,,,
,,0,0,Y,,ERROR_WB7,MXIC,2250,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R06AWA203,0,N,2250,6769A-24XD08RYB2GE,,,MBGA24J3U,,-1,,024MAAW083,6140,0.000000,AAW024MAA006A,BGA161,,4,
,,0,0,Y,,ERROR_WB7,MXIC,2250,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R06AWA101,0,N,2250,6769A-24XD08RYB2GE,,,MBGA24J3U,,-1,,024MAAW083,6010,0.000000,AAW024MAA006A,BGA161,,4,
,,0,0,Y,,ERROR_WB7,MXIC,2250,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R06AWA204,0,N,2250,6769A-24XD08RYB2GE,,,MBGA24J3U,,-1,,024MAAW083,3485,0.000000,AAW024MAA006A,BGA161,,4,
,,0,0,Y,,ERROR_WB7,MXIC,2250,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R06AWA304,0,N,2250,6757L-24XD08QYD999{A},,,MINIBGA24A3L,,-1,,024MAAW065,8254,0.000000,AAW024MA6036A,BGA161,,4,
,,0,0,Y,,ERROR_WB7,MXIC,2250,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R06AWAC01,0,N,2250,6732O-24XD08RYI399{A},,,MINIBGA24A4L,,-1,,024MAAW045,1624,0.000000,AAW024MA6022C,BGA161,,,
,,0,0,Y,,ERROR_WB7,MXIC,2250,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R06AWA102,0,N,2250,6769A-24XD08RYB2GE,,,MBGA24J3U,,-1,,024MAAW083,4677,0.000000,AAW024MAA006A,BGA161,,4,
,,0,0,Y,,ERROR_WB7,MXIC,2250,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R06AWAD01,0,N,2250,6732O-24XD08RYI399{A},,,MINIBGA24A4L,,-1,,024MAAW045,3325,0.000000,AAW024MA6022C,BGA161,,,
,,0,0,Y,,ERROR_WB7,MXIC,2320,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R06AWA302,0,N,2320,6757L-24XD08QYD999{A},,,MINIBGA24A3L,,-1,,024MAAW065,8632,0.000000,AAW024MA6036A,BGA161,,4,
,,0,0,Y,,ERROR_WB7,MXIC,2405,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R06AWA201,0,N,2405,6769A-24XD08RYB2GE,,,MBGA24J3U,,-1,,024MAAW083,12199,0.000000,AAW024MAA006A,BGA161,,4,
,,0,0,Y,,ERROR_WB7,MXIC,2405,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R06AWA303,0,N,2405,6757L-24XD08QYD999{A},,,MINIBGA24A3L,,-1,,024MAAW065,8611,0.000000,AAW024MA6036A,BGA161,,4,
,,0,0,Y,,ERROR_WB7,MXIC,2405,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R06AWA301,0,N,2405,6757L-24XD08QYD999{A},,,MINIBGA24A3L,,-1,,024MAAW065,8600,0.000000,AAW024MA6036A,BGA161,,4,
,,0,0,N,,ERROR_HOLD,QST,2003,0.000000,Y,N,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is hold,R05UKAL,0,N,2003,QMA7981-HCAAY,,,LGA12CBP,,-1,,012DNUK014,1,0.000000,AUK012DN2003A,BGA170,,,
,,0,0,N,,ERROR_WB7,QST,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,P46UKT103,0,Y,2200,QMA7981-HCAAY,,,LGA12CBP,,-1,,012DNUK014,24000,0.000000,AUK012DN2003A,BGA170,,,
,,0,0,N,,ERROR_WB7,QST,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,P46UKT302,0,Y,2200,QMA7981-HCAAY,,,LGA12CBP,,-1,,012DNUK014,24000,0.000000,AUK012DN2003A,BGA170,,,
,,0,0,N,,ERROR_WB7,QST,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,P46UKT104,0,Y,2200,QMA7981-HCAAY,,,LGA12CBP,,-1,,012DNUK014,24000,0.000000,AUK012DN2003A,BGA170,,,
,,0,0,N,,ERROR_WB7,QST,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,P46UKT303,0,Y,2200,QMA7981-HCAAY,,,LGA12CBP,,-1,,012DNUK014,24000,0.000000,AUK012DN2003A,BGA170,,,
,,0,0,N,,ERROR_WB7,QST,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,P46UKT401,0,Y,2200,QMA7981-HCAAY,,,LGA12CBP,,-1,,012DNUK014,24000,0.000000,AUK012DN2003A,BGA170,,,
,,0,0,N,,ERROR_WB7,QST,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,P46UKT102,0,Y,2200,QMA7981-HCAAY,,,LGA12CBP,,-1,,012DNUK014,23926,0.000000,AUK012DN2003A,BGA170,,,
,,0,0,N,,ERROR_WB7,QST,2250,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,P46UKT202,0,N,2250,QMA7981-HCAAY,,,LGA12CBP,,-1,,012DNUK014,24000,0.000000,AUK012DN2003A,BGA170,,,
,,0,0,N,,ERROR_WB7,QST,2250,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,P46UKT203,0,N,2250,QMA7981-HCAAY,,,LGA12CBP,,-1,,012DNUK014,24000,0.000000,AUK012DN2003A,BGA170,,,
,,0,0,N,,ERROR_WB7,QST,2250,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,P46UKT101,0,N,2250,QMA7981-HCAAY,,,LGA12CBP,,-1,,012DNUK014,24000,0.000000,AUK012DN2003A,BGA170,,,
,,0,0,N,,ERROR_WB7,QST,2250,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,P46UKT105,0,N,2250,QMA7981-HCAAY,,,LGA12CBP,,-1,,012DNUK014,1763,0.000000,AUK012DN2003A,BGA170,,,
,,0,0,N,,ERROR_WB7,QST,2250,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,P46UKT204,0,N,2250,QMA7981-HCAAY,,,LGA12CBP,,-1,,012DNUK014,11960,0.000000,AUK012DN2003A,BGA170,,,
