ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time
BB211,UTC3000,SETUP,,,,ANV345XTG001A,22-02-08 09:01,22-02-08 07:37,,,,,,,R06AWAP03,TSOP1-48/48M,MXIC,AAW048TP1024D,1091A08T41,73.5056,
BB212,UTC3000,RUNNING,R06MSEU04,2200,096ECMS003,AMS096EC1002A,22-02-08 19:25,22-02-08 01:57,MTI,FBGA-96UEC,5600,,1091A06T41,,R06MSE105,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,320.6464,22-02-08 19:25
BB213,UTC3000,RUNNING,R06AWAP11,2200,048TPAW056,AAW048TP1024D,22-02-08 08:46,22-02-08 03:47,MXIC,TSOP1-48/48M,2160,,1091A08T41,,R06AWAP08,TSOP1-48/48M,MXIC,AAW048TP1024D,1091A08T41,433.8075,22-02-08 08:46
BB214,UTC3000,RUNNING,R05AWA404,2200,048TPAW086,AAW048TP1041B,22-02-08 14:34,22-02-08 05:17,MXIC,TSOP1-48/M2,720,,1091A08T41,,R04AWDA25,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,77.5263,22-02-08 14:34
BB215,UTC3000,ENG,,,,ABU024XJ6003A,22-02-08 07:29,22-02-08 07:29,,,,02/08/2022 MP,,,R05VGE601,STBGA24J4U,ISSI-VG,ABU024XJ6003A,1091A07T41,498.1971,
BB216,UTC3000,RUNNING,P46UKT303,2200,012DNUK014,AUK012DN2003A,22-02-09 04:25,22-02-08 05:43,QST,LGA12CBP,24000,02/09/2022 MP,1091A07C41,,P46UKT301,LGA12CBP,QST,AUK012DN2003A,1091A07C41,1057.7735,22-02-09 04:25
BB217,UTC3000,RUNNING,R06MSG107,2200,096ECMS003,AMS096EC1002A,22-02-08 08:18,22-02-08 03:17,MTI,FBGA-96UEC,1586,02/10/2022 MP,,,R06MSG308,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,320.6464,22-02-08 08:18
BB218,UTC3000,RUNNING,R06MSAT02,2200,078EPMS003,AMS078EP1001A,22-02-08 19:09,22-02-07 19:59,MTI,FBGA-78UEP,6000,02/11/2022 MP,,,R05MSL401,FBGA-78UEP,MTI,AMS078EP1001A,1091A06T21,258.9276,22-02-08 19:09
BB219,UTC3000,RUNNING,R03NVBK09,2200,345XTNV080,ANV345XTG002A,22-02-08 16:10,22-02-08 06:21,PHISON,STBGA345NBC,682,02/12/2022 MP,1091A07C41,P,R03NVBK05,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,69.5439,22-02-08 16:10
BB220,UTC3000,RUNNING,R06MSBJ02,2200,078EPMS003,AMS078EP1001A,22-02-08 12:29,22-02-07 13:37,MTI,FBGA-78UEP,5920,02/13/2022 MP,,,R05MSL901,FBGA-78UEP,MTI,AMS078EP1001A,1091A06T21,258.9276,22-02-08 12:29
BB221,UTC3000,RUNNING,R06MSES03,2200,096ECMS003,AMS096EC1002A,22-02-08 19:50,22-02-08 02:30,MTI,FBGA-96UEC,5558,02/14/2022 MP,1091A06T41,,R06MSES02,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,320.6464,22-02-08 19:50
BB222,UTC3000,RUNNING,R06MSAV04,2200,078EPMS003,AMS078EP1001A,22-02-08 20:07,22-02-08 00:39,MTI,FBGA-78UEP,5040,02/15/2022 MP,,,R05MSL404,FBGA-78UEP,MTI,AMS078EP1001A,1091A06T21,258.9276,22-02-08 20:07
BB223,UTC3000,RUNNING,R06MSJ603,2200,096ECMS010,AMS096EC3001B,22-02-08 17:08,22-02-07 20:44,MTI,FBGA-96UEC,5579,02/16/2022 MP,1091A06T21,,R05MSG107,FBGA-96UEC,MTI,AMS096EC3001B,1091A06T21,273.6119,22-02-08 17:08
BB224,UTC3000,RUNNING,R06AWAP15,2200,048TPAW056,AAW048TP1024D,22-02-08 11:45,22-02-08 06:47,MXIC,TSOP1-48/48M,2160,02/17/2022 MP,1091A08T41,,R06AWAP14,TSOP1-48/48M,MXIC,AAW048TP1024D,1091A08T41,433.8075,22-02-08 11:45
BB225,UTC3000,RUNNING,R06MSJ702,2200,096ECMS010,AMS096EC3001B,22-02-08 19:37,22-02-07 23:20,MTI,FBGA-96UEC,5548,02/18/2022 MP,1091A06T21,,R05MSG104,FBGA-96UEC,MTI,AMS096EC3001B,1091A06T21,273.6119,22-02-08 19:37
BB226,UTC3000,RUNNING,R06MSG602,2200,096ECMS003,AMS096EC1002A,22-02-08 12:03,22-02-07 18:52,MTI,FBGA-96UEC,5506,02/19/2022 MP,,,R06MSE701,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,320.6464,22-02-08 12:03
BB227,UTC3000,RUNNING,R05MSL403,2200,078EPMS003,AMS078EP1001A,22-02-08 06:15,22-02-07 07:13,MTI,FBGA-78UEP,5960,02/20/2022 MP,1091A06T21,,R05MSL702,FBGA-78UEP,MTI,AMS078EP1001A,1091A06T21,258.9276,22-02-08 06:15
