bd_id_1,bd_id_2,end_time,entity,jobcode,lot_num_1,lot_num_2,number,start_time
ANV345XTG001A,AAW048TP1041B,464.634272,BB211,"CWN,SC",R03NVBJ02,R05AWC137,BB211_3,344.634272
AMS096EC1002A,AAW048TP1041B,6920.574078,BB212,"CWN,SC",R06MSH105,R05AWBQ13,BB212_7,6800.574078
AAW048TP1024D,AAW048TP1041B,4673.421672,BB213,"CWN,MC",R06AWAQ10,R05AWBQ26,BB213_17,4559.421672
AUK012DN2003A,AOK048TV1029A,2701.349967,BB216,"CWN,SC",P46UKT304,R05OKD109,BB216_2,2581.349967
AOK048TV1029A,AAW048TP1041B,4725.800048,BB216,"CWN,MC",R05OKD103,R05AWC122,BB216_5,4611.800048
AMS096EC1002A,AAW048TP1041B,6618.087768,BB217,"CWN,SC",R06MSH204,R05AWBG36,BB217_8,6498.087768
AMS078EP1001A,AOK048TV1029A,6325.008111,BB218,"CWN,SC",R06MSBB03,R05OKD110,BB218_5,6205.008111
ANV345XTG002A,AAW048TP1041B,5870.451067,BB219,"CWN,SC",R03NVBK14,R05AWBK40,BB219_10,5750.451067
AAW048TP1041B,AOK048TV1029A,7098.911600,BB219,"CWN,MC",R05AWC126,R05OKD105,BB219_12,6984.911600
AMS078EP1001A,AAW048TP1041B,6351.613829,BB220,"CWN,SC",R06MSBC03,R06AWAB11,BB220_6,6231.613829
AMS096EC1002A,AAW048TP1041B,7067.951877,BB221,"CWN,SC",R06MSH804,R06AWAB35,BB221_7,6947.951877
AMS078EP1001A,AOK048TV1029A,6371.885311,BB222,"CWN,SC",R06MSBD03,R05OKC114,BB222_5,6251.885311
AMS096EC3001B,AAW048TP1041B,3094.473122,BB223,"CWN,SC",R06MSJH01,R05AWBW41,BB223_3,2974.473122
AMS096EC3001B,AAW048TP1041B,3252.244670,BB225,"CWN,SC",R06MSJC05,R05AWBH18,BB225_3,3132.244670
AMS096EC1002A,AAW048TP1041B,6599.829145,BB226,"CWN,SC",R06MSH302,R05AWBG48,BB226_7,6479.829145
