CAN_RUN_MODELS,PROCESS_TIME,amount_of_tools,amount_of_wires,automotive,bom_id,code,customer,dest_oper,fcst_time,hold,is_sub_lot,log,lot_number,lot_size,mvin,oper,package_id,part_id,part_no,pin_package,prescheduled_machine,prescheduled_order,process_id,prod_id,qty,queue_time,recipe,route,uphs,urgent_code,wb_location
"UTC1000S,UTC2000,UTC1000S,UTC2000","964.389992,823.269977",20,140,Y,MA024137,,MXIC,2200,0.000000,N,Y,"Add queue time + -27416164.000000 for the reason : DA Queue Time||Pass the station(2080), add cure time : 75||Add cure time + 75.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route",R07AWD205,8640,Y,2070,6738V-24XD05SYE9PH{A},1091A07T41,A0801CB0700,MINIBGA24A4L,,-1,024MA099,024MAAW059,8640,-27415894.000000,AAW024MA6031B,BGA161,"537.541870,629.684082",,
"UTC1000S,UTC2000,UTC1000S,UTC2000","964.389992,823.269977",20,140,Y,MA024137,,MXIC,2200,0.000000,N,Y,"Add queue time + -27416164.000000 for the reason : DA Queue Time||Pass the station(2080), add cure time : 75||Add cure time + 75.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route",R07AWD206,8640,Y,2070,6738V-24XD05SYE9PH{A},1091A07T41,A0801CB0700,MINIBGA24A4L,,-1,024MA099,024MAAW059,8640,-27415894.000000,AAW024MA6031B,BGA161,"537.541870,629.684082",,
"UTC1000S,UTC2000,UTC1000S,UTC2000","801.091085,683.866739",20,140,Y,MA024137,,MXIC,2200,0.000000,N,Y,"Add queue time + -27416164.000000 for the reason : DA Queue Time||Pass the station(2080), add cure time : 75||Add cure time + 75.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route",R07AWD207,8640,Y,2070,6738V-24XD05SYE9PH{A},1091A07T41,A0801CB0700,MINIBGA24A4L,,-1,024MA099,024MAAW059,7177,-27415894.000000,AAW024MA6031B,BGA161,"537.541870,629.684082",,
"UTC1000S,UTC2000,UTC1000S,UTC2000","798.340501,762.682229",20,140,Y,MA024095,,MXIC,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07AWCX01,8640,N,2090,6732O-24XD08RTI399{A},1091A07T41,A0801CB0533,MINIBGA24A4L,BB456,1,024MA091,024MAAW045,8558,15.000000,AAW024MA6022C,BGA161,"643.184204,673.255493",,BB456-1
"UTC1000S,UTC2000,UTC1000S,UTC2000","512.419301,489.531839",20,140,Y,MA024095,,MXIC,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07AWCY03,8640,N,2150,6732O-24XD08RTI399{A},1091A07T41,A0801CB0533,MINIBGA24A4L,,-1,024MA091,024MAAW045,5493,75.000000,AAW024MA6022C,BGA161,"643.184204,673.255493",,N2A09-1
"UTC1000S,UTC2000,UTC1000S,UTC2000","946.530918,808.024237",20,140,Y,MA024137,,MXIC,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07AWD201,8640,N,2150,6738V-24XD05SYE9PH{A},1091A07T41,A0801CB0700,MINIBGA24A4L,,-1,024MA099,024MAAW059,8480,75.000000,AAW024MA6031B,BGA161,"537.541870,629.684082",,N2A08-3
"UTC1000S,UTC2000,UTC1000S,UTC2000","948.205207,809.453525",20,140,Y,MA024137,,MXIC,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07AWD202,8640,N,2150,6738V-24XD05SYE9PH{A},1091A07T41,A0801CB0700,MINIBGA24A4L,,-1,024MA099,024MAAW059,8495,75.000000,AAW024MA6031B,BGA161,"537.541870,629.684082",,N2A08-3
"UTC1000S,UTC2000,UTC1000S,UTC2000","780.243042,745.393101",20,140,Y,MA024095,,MXIC,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07AWCY01,8640,N,2150,6732O-24XD08RTI399{A},1091A07T41,A0801CB0533,MINIBGA24A4L,,-1,024MA091,024MAAW045,8364,75.000000,AAW024MA6022C,BGA161,"643.184204,673.255493",,N2A09-1
"UTC1000S,UTC2000,UTC1000S,UTC2000","761.131407,649.754395",20,140,Y,MA024137,,MXIC,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07AWD105,8640,N,2150,6738V-24XD05SYE9PH{A},1091A07T41,A0801CB0700,MINIBGA24A4L,,-1,024MA099,024MAAW059,6819,75.000000,AAW024MA6031B,BGA161,"537.541870,629.684082",,N2A08-3
"UTC1000S,UTC2000,UTC1000S,UTC2000","928.336987,792.492639",20,140,Y,MA024137,,MXIC,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07AWD203,8640,N,2150,6738V-24XD05SYE9PH{A},1091A07T41,A0801CB0700,MINIBGA24A4L,,-1,024MA099,024MAAW059,8317,75.000000,AAW024MA6031B,BGA161,"537.541870,629.684082",,N2A08-3
