bd_id_1,bd_id_2,end_time,entity,jobcode,lot_num_1,lot_num_2,number,start_time
ACD054TN1002B,AAW048TP1008B,327.000000,BB211,MC,R07CDAF01,R07AWBK28,BB211_1,243.000000
AAW048TP1024D,AMS078EN1001A,416.750022,BB213,"CWN,SC",R07AWB515,R07MSHF06,BB213_1,296.750022
AMS078EN1001A,AAW048TP1008B,3395.123966,BB213,"CWN,SC",R07MSHI02,R07AWCQ04,BB213_4,3275.123966
AAW048TP1041B,AAW048TP1008B,1485.485008,BB214,MC,R07AWC546,R07AWCP32,BB214_3,1401.485008
AAW048TP1041B,ANV345XTG002A,887.242504,BB216,"CWN,SC",R07AWC544,R03NVBK14,BB216_2,767.242504
ANV345XTG002A,AAW048TP1008B,3017.515200,BB216,"CWN,SC",R03NVBK13,R07AWCP27,BB216_5,2897.515200
ANV345XTB029A,AAW048TP1008B,-168.000000,BB218,MC,R04NVCJ02,R07AWBK35,BB218_1,-252.000000
ACD054TN1002B,AMS078EN1001A,1070.747205,BB219,"CWN,SC",R07CDAG10,R07MSHQ04,BB219_2,950.747205
AAW048TP1024D,ABU024XJ8004A,96.000000,BB220,"CWN,SC",R07AWB520,R07VGAP01,BB220_1,-24.000000
ABU024XJ8004A,AMS096EF2001A,1549.015657,BB220,"CWN,SC",R07VGAQ01,R07MSI704,BB220_4,1429.015657
AAW048TP1024D,AAW048TP1008B,163.000000,BB222,MC,R07AWB522,R07AWCN24,BB222_1,79.000000
AMS096EC3001B,AAW048TP1008B,3943.337121,BB223,"CWN,SC",R08MSK805,R07AWCP24,BB223_5,3823.337121
AAW048TP1024D,AAW048TP1008B,319.000000,BB224,MC,R07AWB514,R07AWBM46,BB224_1,235.000000
ANV345XTG001A,AAW048TP1008B,1140.611599,BB227,"CWN,SC",R03NVBN07,R07AWBQ08,BB227_3,1020.611599
ACD054TN1002B,AAW048TP1008B,609.000000,BB228,MC,R07CDAG04,R07AWCP48,BB228_1,525.000000
AMS096EC3001B,AAW048TP1008B,3090.878140,BB231,"CWN,SC",R08MSK706,R07AWCN07,BB231_3,2970.878140
ANV345XTB029A,AMS096EF2001A,-1339.000000,BB232,MC,R04NVCJ03,R07MSIZ05,BB232_1,-1423.000000
AAW048TP1041B,AAW048TP1008B,858.242504,BB233,MC,R07AWC542,R07AWCQ28,BB233_2,774.242504
AAW048TP1041B,AMS078EN1001A,893.242504,BB234,"CWN,SC",R07AWC545,R07MSHA06,BB234_2,773.242504
AAW024XJ6010B,AAW048TP1008B,84.000000,BB235,MC,,R07AWBM06,BB235_1,0.000000
AYZ096EI1002A,AAB178NN2001A,84.000000,BB443,MC,R07YZAY10,R07ABLG04,BB443_1,0.000000
ANV132X2C047A,ALW078EP1001A,120.000000,BB447,"CWN,SC",,R07LWB901,BB447_1,0.000000
ALW078EP1001A,AAB178NN2001A,2954.077965,BB447,"CWN,SC",R07LWDM01,R07ABLJ09,BB447_4,2834.077965
AMS048TW1058A,AAB066TN1003A,84.000000,BB449,MC,R07MSFY02,R07ABKZ02,BB449_1,0.000000
AAW048TP1024D,AAB054TN1005A,120.000000,BB452,"CWN,SC",,R07ABL705,BB452_1,0.000000
AAB054TN1005A,AAB178NN2001A,3072.304688,BB452,"CWN,SC",R07ABL920,R07ABLJ14,BB452_5,2952.304688
ANV132X2C047A,AAB054TN1004A,-36.000000,BB454,"CWN,SC",R07NVFE45,R07ABHK09,BB454_1,-156.000000
AAB054TN1004A,ABU060C32001D,3334.835995,BB454,"CWN,SC",R07ABHK02,R07BUCG02,BB454_5,3214.835995
ABU060C32001D,AMS096EC3001B,5413.563965,BB454,"CWN,SC",R07BUCG01,R08MSKC02,BB454_8,5293.563965
AAW052XY1002A,AAW024MA6022C,120.000000,BB456,"CWN,SC",R07AWAR01,R07AWCX01,BB456_1,0.000000
AAW024MA6022C,AMS078EN1001A,1150.108172,BB456,"CWN,SC",R07AWCX01,R07MSHF09,BB456_2,1030.108172
AAB096EL1003A,AMS096EF2001A,84.000000,BB458,MC,,R07MSJ305,BB458_1,0.000000
AMS048TW1058A,AAB066TN1003A,84.000000,BB462,MC,R07MSFY03,R07ABKZ01,BB462_1,0.000000
AAW048TP1024D,BU054MF1002A,215.000000,BB465,MC,R07AWB516,R07BUC904,BB465_1,131.000000
ANV132X2C047A,AAW048TP1034C,119.000000,BB467,"CWN,SC",R07NVF943,R07AWCC03,BB467_1,-1.000000
AAW048TP1034C,AMS078EN1005A,636.834827,BB467,"CWN,SC",R08AWBC01,R07MSES01,BB467_3,516.834827
AMS078EN1005A,AAB054TN1005A,2908.539001,BB467,"CWN,SC",R07MSER01,R07ABL825,BB467_5,2788.539001
AAB054TN1005A,AMS096EF2001A,5591.992797,BB467,"CWN,SC",R07ABL815,R07MSIG02,BB467_9,5471.992797
AB054NB2002A,AMS078EN1005A,-143.000000,BB470,"CWN,SC",R07ABGY07,R07MSES03,BB470_1,-263.000000
AMS078EN1005A,AAB054TN1005A,2020.847155,BB470,"CWN,SC",R07MSES03,R07ABL711,BB470_2,1900.847155
AAB054TN1005A,ABU060C32001D,4958.151842,BB470,"CWN,SC",R07ABL810,R07BUCG04,BB470_6,4838.151842
AYZ096EI1002A,ABU096EF2002A,84.000000,BB474,MC,,R07BUBN01,BB474_1,0.000000
AAW048TP1024D,AAB054TN1004A,323.000000,BB476,MC,R07AWB513,R07ABHJ10,BB476_1,239.000000
AAW048TP1024D,BU054MF1002A,401.000000,BB478,MC,R07AWB709,R07BUC706,BB478_1,317.000000
ANV132X2C047A,AAB054TN1005A,84.000000,BB479,MC,,R07ABL713,BB479_1,0.000000
AAB096EL1003A,AAB054TN1005A,120.000000,BB486,"CWN,SC",,R07ABL703,BB486_1,0.000000
AAB054TN1005A,ABU060NL3002A,3776.386302,BB486,"CWN,SC",R07ABL814,R07BUB807,BB486_6,3656.386302
AYZ096EI1002A,AAW024MA6006C,367.000000,BB502,MC,R07YZAP04,R07AWBC04,BB502_1,283.000000
ANV132X2C047A,BU060MV1004A,137.000000,BB503,MC,R07NVF934,R07BUC401,BB503_1,53.000000
AAW024MA6013C,BU054MF1002A,335.000000,BB506,MC,R05AWAI10,R07BUC906,BB506_1,251.000000
AAW052XY1002A,ABU096EF2002A,84.000000,BB508,MC,,R07BUBN04,BB508_1,0.000000
AAW048TP1024D,AMS078EN1001A,164.000000,BB509,"CWN,SC",R07AWB518,R07MSHC07,BB509_1,44.000000
AMS078EN1001A,AAB178NN2001A,3401.539208,BB509,"CWN,SC",R07MSHM05,R07ABLG14,BB509_4,3281.539208
AAB178NN2001A,AMS060NR1003A,5807.122075,BB509,"CWN,SC",R07ABLG27,R08MSKM05,BB509_6,5687.122075
AMS048TW1058A,AAB066TN1003A,84.000000,BB511,MC,R07MSFZ01,R07ABKZ07,BB511_1,0.000000
AB054NB2002A,BU054MF1002A,303.000000,BB512,MC,R07ABGX08,R07BUC909,BB512_1,219.000000
AAB060EM2001A,AAB054TN1004A,997.000000,BB520,MC,R07ABGT09,R07ABHK08,BB520_1,913.000000
AAW024MA6013C,BU054MF1002A,281.000000,BB525,MC,R05AWAI07,R07BUC501,BB525_1,197.000000
AAB060EM2001A,ABU060NL3002A,822.000000,BB526,MC,R07ABGT04,R07BUB705,BB526_1,738.000000
AAB060EM2001A,ABU096EF2002A,412.000000,BB528,MC,R07ABGT03,R07BUBN03,BB528_1,328.000000
AAW052XY1002A,AMS096EC3001B,114.000000,BB529,"CWN,MC",,R08MSKH03,BB529_1,0.000000
AMS096EC3001B,AMS096EF2001A,4126.174043,BB529,"CWN,MC",R08MSKC05,R07MSIB04,BB529_3,4012.174043
AB054NB2002A,ABU048MA7004A,127.000000,BB536,"CWN,SC",R07ABGX06,R07BUBG02,BB536_1,7.000000
ABU048MA7004A,AMS096EC3001B,2312.730406,BB536,"CWN,SC",R07BUBG01,R08MSKC06,BB536_3,2192.730406
ANV132X2C047A,BU054MF1002A,297.000000,BB538,MC,R07NVF939,R07BUC902,BB538_1,213.000000
AAB024MA6008A,AMS096EF2001A,84.000000,BB539,MC,,R07MSJ202,BB539_1,0.000000
ACD084CC2002A,AMS078EN1001A,859.000000,BB544,MC,R07CDAH02,R07MSHH01,BB544_1,775.000000
ABU084CC2002B,AMS078EN1001A,927.000000,BB546,MC,R07BUAH02,R07MSH806,BB546_1,843.000000
AB054NB2002A,AAB178NN2001A,184.000000,BB548,MC,R07ABGX09,R07ABLG17,BB548_1,100.000000
AAW052XY1002A,ABU054NO2009A,84.000000,BB552,MC,R07AWC801,R07BUAP08,BB552_1,0.000000
AAB090MV1002A,AAB178NN2001A,84.000000,BB555,MC,R07ABDN02,R07ABLG07,BB555_1,0.000000
ACS054TS1009A,AAB178NN2001A,84.000000,BB559,MC,,R07ABLJ21,BB559_1,0.000000
ACD084CC2002A,BU060MV1004A,251.000000,BB561,MC,R07CDAH01,R07BUC406,BB561_1,167.000000
ANV132X2C047A,AMS078EN1001A,513.000000,BB567,MC,R07NVF920,R07MSHG04,BB567_1,429.000000
AAB060EM2001A,AMS078EN1001A,1031.000000,BB569,MC,R07ABGT10,R07MSHG01,BB569_1,947.000000
AYZ096EI1002A,AAB096EF3001A,84.000000,BB570,MC,R07YZAY01,R07ABLA01,BB570_1,0.000000
AMS048TW1058A,AAB054TN1005A,84.000000,BB573,MC,,R07ABL802,BB573_1,0.000000
AAB060EM2001A,AAB178NN2001A,822.000000,BB579,MC,R07ABGT05,R07ABLJ17,BB579_1,738.000000
AUL086TA1003A,AMS078EN1001A,1031.019117,BB586,"CWN,SC",R05ULA113,R07MSHQ09,BB586_2,911.019117
AAW052XY1002A,AAW024MA6006C,84.000000,BB587,MC,R07AWC806,R07AWAP02,BB587_1,0.000000
AAB096EL1003A,BU048MW2005C,120.000000,BB590,"CWN,SC",,R07BUBJ02,BB590_1,0.000000
BU048MW2005C,AAB054TN1004A,824.286535,BB590,"CWN,SC",R07BUBJ02,R07ABHK15,BB590_2,704.286535
AAB054TN1004A,AMS096EF2001A,3037.124399,BB590,"CWN,SC",R07ABHK07,R07MSIL05,BB590_5,2917.124399
AMS096EF2001A,AAB178NN2001A,3809.415041,BB590,"CWN,SC",R07MSIL05,R07ABLG13,BB590_6,3689.415041
AMS048TW1053A,AAB024MA6024B,84.000000,BB595,MC,R07MSDG05,R07ABJL01,BB595_1,0.000000
AAB096EL1003A,AAW048TP1034C,120.000000,BB596,"CWN,SC",,R07AWCC02,BB596_1,0.000000
AAW048TP1034C,ABU060NL3002A,1011.663510,BB596,"CWN,SC",R07AWCC04,R07BUB808,BB596_3,891.663510
ABU060NL3002A,AMS078EN1005A,2519.114777,BB596,"CWN,SC",R07BUB803,R07MSES04,BB596_5,2399.114777
AMS078EN1005A,AMS078EN1001A,4968.029686,BB596,"CWN,MC",R07MSES02,R07MSH706,BB596_7,4854.029686
AMS078EN1001A,AMS060NR1003A,6131.072544,BB596,"CWN,SC",R07MSH706,R08MSKM06,BB596_8,6011.072544
AAW048TP1024D,AMS078EN1001A,250.000000,BB599,"CWN,SC",R07AWB521,R07MSHL01,BB599_1,130.000000
AMS078EN1001A,AAB178NN2001A,3464.360477,BB599,"CWN,SC",R07MSH701,R07ABLH01,BB599_4,3344.360477
ABU024MAA008A,ABU096EF2001A,84.000000,BB602,MC,R07VGA905,R07BUBQ02,BB602_1,0.000000
BU048MA2009B,ANV132X2A006B,-1181.000000,BB603,MC,R07BUAG02,R07NVFR01,BB603_1,-1265.000000
AUL086TA1003A,AMS078EN1001A,723.000000,BB607,MC,R05ULA109,R07MSHM01,BB607_1,639.000000
AVE048XV7001A,AMS078EN1001A,544.000000,BB608,MC,R07VEDB22,R07MSHK09,BB608_1,460.000000
AAW048TP1024D,ALW078EP1001A,-1122.000000,BB613,"CWN,SC",R07AWB406,R07LWC401,BB613_1,-1242.000000
ALW078EP1001A,ABU024MA6002B,1099.671680,BB613,"CWN,SC",R07LWBP01,R07BUCH01,BB613_3,979.671680
ABU024MA6002B,BU054MF1002A,3959.779793,BB613,"CWN,SC",R07BUCH01,R07BUC707,BB613_4,3839.779793
BU054MF1002A,ABU096EF2002A,4986.478908,BB613,"CWN,SC",R07BUC707,R07BUBM05,BB613_5,4866.478908
ABU096EF2002A,AMS096EC3001B,7190.513470,BB613,"CWN,MC",R07BUBM03,R08MSKC07,BB613_7,7076.513470
AYZ096EI1002A,AAB178NN2001A,84.000000,BB614,MC,R07YZAP05,R07ABLG02,BB614_1,0.000000
AAB048TW2005A,BU048MW2005C,143.000000,BB617,"CWN,SC",R08ABA401,R07BUBJ03,BB617_1,23.000000
BU048MW2005C,ALW078EP1001A,1399.760791,BB617,"CWN,SC",R07BUBJ01,R07LWBL01,BB617_4,1279.760791
AVE048XV7001A,AMS078EN1001A,375.000000,BB621,MC,R07VEDB14,R07MSH809,BB621_1,291.000000
AAW052XY1002A,AAB024MAA008A,84.000000,BB622,MC,R07AWC803,R07ABM403,BB622_1,0.000000
AYZ096EI1002A,AAB178NN2001A,84.000000,BB623,MC,,R07ABLG25,BB623_1,0.000000
ABU096EA1001A,AAW048TP1008B,2732.125032,BB701,"CWN,SC",R07BUBE05,R07AWC730,BB701_5,2612.125032
ACD008DR1035A,ALW078EP1001A,-1175.000000,BB702,"CWN,SC",R05CDB101,R07LWC601,BB702_1,-1295.000000
ALW078EP1001A,ACS054TS1008A,601.376235,BB702,"CWN,SC",R07LWC601,R07CSE202,BB702_2,481.376235
ACS054TS1008A,AAB054TN1004A,2094.702845,BB702,"CWN,MC",R07CSE201,R07ABHK05,BB702_5,1980.702845
AAB054TN1004A,AMS096EC3001B,4845.959567,BB702,"CWN,SC",R07ABHJ13,R08MSKC04,BB702_9,4725.959567
AMS096EC3001B,ABU096EF2002A,6558.866210,BB702,"CWN,MC",R08MSKC04,R07BUBM04,BB702_10,6444.866210
AYZ096EF2003A,AAB054TN1004A,120.000000,BB703,"CWN,SC",,R07ABHJ03,BB703_1,0.000000
AAB054TN1004A,AAW048TP1008B,915.814181,BB703,"CWN,SC",R07ABHJ03,R07AWBM48,BB703_2,795.814181
AAW048TP1008B,AMS096EF2001A,2815.865615,BB703,"CWN,SC",R07AWC704,R07MSIR04,BB703_5,2695.865615
AMS096EF2001A,AAW048TP1008B,3102.746805,BB704,"CWN,SC",R07MSHW04,R07AWCP31,BB704_2,2982.746805
AMS096EF2001A,AAW048TP1008B,3456.340277,BB705,"CWN,SC",R07MSIP02,R07AWCQ21,BB705_3,3336.340277
ACD008DR1009B,AMS078EN1001A,-444.000000,BB709,"CWN,SC",R07CDAB01,R07MSHM09,BB709_1,-564.000000
AMS078EN1001A,ACS054TS1008A,848.675600,BB709,"CWN,SC",R07MSHM09,R07CSE102,BB709_2,728.675600
ACS054TS1008A,AAB054TN1004A,1161.965734,BB709,"CWN,MC",R07CSE102,R07ABHK13,BB709_3,1047.965734
AAB054TN1004A,AMS096EF2001A,3255.408276,BB709,"CWN,SC",R07ABHJ09,R07MSIZ02,BB709_6,3135.408276
AMS078EN1001A,AAW048TP1008B,3532.941415,BB711,"CWN,SC",R07MSHC01,R07AWC722,BB711_4,3412.941415
ANV132X2C047A,AAW048TP1008B,326.000000,BB712,MC,R07NVF947,R07AWBM36,BB712_1,242.000000
ALW078EP1001A,AAW048TP1008B,2714.814599,BB714,"CWN,SC",R07LWDL01,R07AWBP31,BB714_2,2594.814599
ALW078EP1001A,AAW048TP1008B,4065.295882,BB717,"CWN,SC",R07LWAV01,R07AWBP35,BB717_3,3945.295882
AMS096EF2001A,AAW048TP1008B,3088.126645,BB718,"CWN,SC",R07MSIU01,R07AWBQ35,BB718_2,2968.126645
ANV132X2C047A,AAW048TP1008B,164.000000,BB719,MC,R07NVF938,R07AWC728,BB719_1,80.000000
AAW048TP1041B,AMS078EN1001A,911.071692,BB720,"CWN,SC",R07AWC548,R07MSHG08,BB720_2,791.071692
AAW048TP1042C,AAW048TP1008B,1656.525682,BB723,"CWN,MC",R08AWA405,R07AWBQ23,BB723_5,1542.525682
ANV132X2C047A,AAW048TP1008B,210.000000,BB725,MC,R07NVF940,R07AWC720,BB725_1,126.000000
AMS096EC3001B,AAW048TP1008B,2891.906643,BB727,"CWN,SC",R08MSK705,R07AWBQ03,BB727_2,2771.906643
AYZ096EF2003A,AAB054TN1004A,120.000000,BB728,"CWN,SC",,R07ABHK06,BB728_1,0.000000
AAB054TN1004A,AAB054TN1005A,909.814181,BB728,"CWN,MC",R07ABHK06,R07ABL805,BB728_2,795.814181
AAB054TN1005A,AAW048TP1034C,3003.256723,BB728,"CWN,SC",R07ABL702,R07AWCC05,BB728_5,2883.256723
AAW048TP1034C,ALW078EP1001A,3701.593498,BB728,"CWN,SC",R07AWCC01,R07LWB601,BB728_7,3581.593498
AAW064MR1009A,AAW048TP1008B,84.000000,BB729,MC,,R07AWBK29,BB729_1,0.000000
ABU096EA1001A,AAW048TP1008B,2896.931442,BB730,"CWN,SC",R07BUBE02,R07AWCN23,BB730_4,2776.931442
ALW078EP1001A,AAW048TP1008B,2676.188183,BB731,"CWN,SC",R07LWAN04,R07AWC724,BB731_2,2556.188183
AYZ096EF2003A,AMS096EF2001A,84.000000,BB733,MC,,R07MSIY05,BB733_1,0.000000
ALW078EP1001A,AAW048TP1008B,3369.096687,BB734,"CWN,SC",R07LWDK02,R07AWCN11,BB734_3,3249.096687
AAB060NR1004B,ALW078EP1001A,120.000000,BB736,"CWN,SC",,R07LWBU01,BB736_1,0.000000
ALW078EP1001A,AMS096EF2001A,3609.622634,BB736,"CWN,SC",R07LWB702,R07MSIK04,BB736_8,3489.622634
AYZ096EF2003A,ABU024XJ8004A,120.000000,BB737,"CWN,SC",,R07VGAQ02,BB737_1,0.000000
ABU024XJ8004A,AMS096EF2001A,1551.018084,BB737,"CWN,SC",R07VGAR01,R07MSIP05,BB737_3,1431.018084
ACD008DR1008B,AMS078EN1001A,745.778985,BB738,"CWN,SC",R07CDAA03,R07MSHC02,BB738_2,625.778985
ALW078EP1001A,AAW048TP1008B,3512.399781,BB747,"CWN,SC",R07LWAP01,R07AWBP24,BB747_5,3392.399781
ALW078ED2001A,AAW048TP1008B,387.625740,BB748,"CWN,SC",R07LWDR03,R07AWBP33,BB748_2,267.625740
AGJ252X02001A,AAW048TP1008B,1979.115914,BB750,"CWN,SC",R07GJEB10,R07AWCQ16,BB750_3,1859.115914
ALW078EP1001A,AAW048TP1008B,2731.083802,BB751,"CWN,SC",R07LWDN01,R07AWBQ47,BB751_2,2611.083802
ACD008DR1008B,AAW048TP1008B,745.778985,BB753,"CWN,SC",R07CDAA04,R07AWBM47,BB753_2,625.778985
AMS096EF2001A,AAW048TP1008B,3059.318936,BB754,"CWN,SC",R07MSIU03,R07AWBP17,BB754_4,2939.318936
AYZ096EF2003A,ALW078EP1001A,120.000000,BB759,"CWN,SC",,R07LWB101,BB759_1,0.000000
ALW078EP1001A,AMS096EC3001B,3355.794798,BB759,"CWN,SC",R07LWB202,R08MSKH04,BB759_5,3235.794798
ACD008DR1035A,ABU096EF2002A,114.000000,BB760,"CWN,MC",,R07BUBP04,BB760_1,0.000000
ABU096EF2002A,AMS096EF2001A,2061.199363,BB760,"CWN,MC",R07BUBP04,R07MSIZ03,BB760_2,1947.199363
ANV132X2C047A,ALW078EP1001A,181.000000,BB761,MC,R07NVF937,R07LWBE01,BB761_1,97.000000
AYZ096EF2003A,ABU060C32001D,120.000000,BB762,"CWN,SC",,R07BUCG06,BB762_1,0.000000
ABU060C32001D,AAB054TN1005A,2816.787972,BB762,"CWN,SC",R07BUCJ02,R07ABL925,BB762_6,2696.787972
AAB054TN1005A,AAB054TN1004A,5707.334801,BB762,"CWN,MC",R07ABL709,R07ABHJ07,BB762_9,5593.334801
ANV132X2C047A,AAW048TP1008B,539.000000,BB764,"CWN,SC",R07NVF926,R07AWCQ18,BB764_1,419.000000
AAW048TP1008B,AMS078EN1001A,3009.190158,BB764,"CWN,SC",R07AWC711,R07MSHL06,BB764_4,2889.190158
ANV132X2C047A,AAW048TP1008B,458.000000,BB766,MC,R07NVFE48B,R07AWBP37,BB766_1,374.000000
