CAN_RUN_MODELS,PROCESS_TIME,amount_of_tools,amount_of_wires,automotive,bom_id,code,customer,dest_oper,fcst_time,hold,is_sub_lot,log,lot_number,lot_size,mvin,oper,package_id,part_id,part_no,pin_package,prescheduled_machine,prescheduled_order,process_id,prod_id,qty,queue_time,recipe,route,uphs,urgent_code,wb_location
"UTC1000S,UTC2000","738.287138,672.327086",3,257,N,CD060002,,ProMOS,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot finishes traversing the route,R03DYA201,4160,N,2090,V58C2512164SHAZXJ,1091A07T21,A0801CB1046,FBGA60LCD(2),,-1,060CD122,060CDDY028,4080,0,ADY060CD4002A,BGA140,"331.578308,364.108490",,N2A07-4
"UTC1000S,UTC2000","745.525247,678.918528",3,257,N,CD060002,,ProMOS,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R03DYA203,4160,N,2150,V58C2512164SHAZXJ,1091A07T21,A0801CB1046,FBGA60LCD(2),,-1,060CD122,060CDDY028,4120,30,ADY060CD4002A,BGA140,"331.578308,364.108490",,N2A07-2
"UTC1000S,UTC2000","340.553038,310.127347",3,257,N,CD060002,,ProMOS,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R03DYA207,4160,N,2150,V58C2512164SHAZXJ,1091A07T21,A0801CB1046,FBGA60LCD(2),,-1,060CD122,060CDDY028,1882,30,ADY060CD4002A,BGA140,"331.578308,364.108490",,N2A07-2
"UTC1000S,UTC2000","745.525247,678.918528",3,257,N,CD060002,,ProMOS,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R03DYA204,4160,N,2150,V58C2512164SHAZXJ,1091A07T21,A0801CB1046,FBGA60LCD(2),,-1,060CD122,060CDDY028,4120,30,ADY060CD4002A,BGA140,"331.578308,364.108490",,N2A07-2
"UTC1000S,UTC2000","745.525247,678.918528",3,257,N,CD060002,,ProMOS,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R03DYA205,4160,N,2150,V58C2512164SHAZXJ,1091A07T21,A0801CB1046,FBGA60LCD(2),,-1,060CD122,060CDDY028,4120,30,ADY060CD4002A,BGA140,"331.578308,364.108490",,N2A07-2
"UTC1000S,UTC2000","742.630003,676.281951",3,257,N,CD060002,,ProMOS,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R03DYA202,4160,N,2150,V58C2512164SHAZXJ,1091A07T21,A0801CB1046,FBGA60LCD(2),,-1,060CD122,060CDDY028,4104,30,ADY060CD4002A,BGA140,"331.578308,364.108490",,N2A10-5
"UTC1000S,UTC2000","748.601443,681.719891",3,257,N,CD060002,,ProMOS,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R03DYA206,4160,N,2150,V58C2512164SHAZXJ,1091A07T21,A0801CB1046,FBGA60LCD(2),,-1,060CD122,060CDDY028,4137,30,ADY060CD4002A,BGA140,"331.578308,364.108490",,N2A07-4
"UTC1000S,UTC2000","759.749900,782.150054",30,33,N,MA048060,,FIDELIX,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot finishes traversing the route,R05GAA101,4800,N,2090,CMP0818BA8-H70I,1091A10C41,A0801CB0055,MINIBGA48A2,BB597,1,048MA346,048MAGA019,4800,0,GA048MA2012A,BGA154,"379.072113,368.215790",,BB597-1
"UTC1000S,UTC2000","472.944313,486.888409",30,33,N,MA048060,,FIDELIX,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R05GAA102,4800,N,2150,CMP0818BA8-H70I,1091A10C41,A0801CB0055,MINIBGA48A2,,-1,048MA346,048MAGA019,2988,30,GA048MA2012A,BGA154,"379.072113,368.215790",,N2A08-2
UTC2000,392.602327,20,117,Y,MA024097,,MXIC,2200,0,N,Y,"Add queue time + 0.000000 for the reason : DA Queue Time||Pass the station(2080), add cure time : 0||Add cure time + 0.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route",R06AWC201,8640,N,2080,6732X-24XD05RYE999{A},1091A07T41,A0801CB0533,MINIBGA24A4L,,-1,024MA093,024MAAW047,4931,150,AAW024MA6024A,BGA161,753.586975,4,
UTC1000S,758.47002,20,117,Y,MA024109,,MXIC,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot finishes traversing the route,R05AWBN01,8640,N,2090,6750N-24XD08QYD999{A},1091A07T41,A0801CB0700,MINIBGA24A4L,BB444,1,024MA129,024MAAW058,8640,0,AAW024MA6029D,BGA161,683.481201,,BB444-1
"UTC1000S,UTC2000","384.990798,367.794994",20,117,Y,MA024095,,MXIC,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot finishes traversing the route,R06AWAF03,8640,N,2090,6732O-24XD08RYI399{A},1091A07T41,A0801CB0533,MINIBGA24A4L,BB481,1,024MA091,024MAAW045,4127,0,AAW024MA6022C,BGA161,"643.184204,673.255493",,BB481-1
UTC1000S,696.668759,20,117,Y,MA024109,,MXIC,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R05AWBN02,8640,N,2150,6750N-24XD08QYD999{A},1091A07T41,A0801CB0700,MINIBGA24A4L,,-1,024MA129,024MAAW058,7936,30,AAW024MA6029D,BGA161,683.481201,,N2A10-6
UTC1000S,981.231964,4,132,N,MA048148,,ISSI-VG,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R05VGED05,6160,N,2150,IS29GL032-70BLED,1091A07C41,A0801CB1190,MINIBGA48J3U,,-1,048MA362,048MAVG003,6157,30,ABU048MA3002A,BGA161,376.485901,,N2A17-1
"UTC1000S,UTC2000","777.910895,743.165121",20,117,Y,MA024095,,MXIC,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06AWAG01,8640,N,2150,6732O-24XD08RYI399{A},1091A07T41,A0801CB0533,MINIBGA24A4L,,-1,024MA091,024MAAW045,8339,30,AAW024MA6022C,BGA161,"643.184204,673.255493",,N2A17-1
"UTC1000S,UTC2000","317.358540,303.183564",20,117,Y,MA024095,,MXIC,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R06AWAI01,8640,N,2150,6732L-24XD08QYI499{A},1091A07T41,A0801CB0533,MINIBGA24A4L,,-1,024MA091,024MAAW045,3402,30,AAW024MA6022C,BGA161,"643.184204,673.255493",,N2A07-1
UTC1000S,981.391333,4,132,N,MA048148,,ISSI-VG,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R05VGED02,6160,N,2150,IS29GL032-70BLED,1091A07C41,A0801CB1190,MINIBGA48J3U,,-1,048MA362,048MAVG003,6158,30,ABU048MA3002A,BGA161,376.485901,,N2A08-4
