ENTITY,SUM,MODEL,STATUS,LOT#,Pre-Lot,OPER,PRODUCT,PACKAGE ID,BOND ID,WIP,IC Q'ty,IN TIME,OUTPLAN,CUST,PIN_PKG,CLOT,JCODE,UPH,LAMILATION,REMARK1,AREA,PM,SETTING OPER,
	BB211       ,	0,	UTC3000     ,	RUNNING     ,	P49AWBM43  ,	,	2200,	048TPAW086               ,	5468ANB-48TG000          ,	AAW048TP1041B,	720,	33981,	21-12-08 07:26,	21-12-08 16:43,	MXIC                                              ,	TSOP1-48/M2    ,	T1213707                                          ,	     ,	77.5263,	,	3000M       ,	TA-A20                   ,	                              ,	2200                          ,
	BB212       ,	0,	UTC3000     ,	IDLE        ,	,	,	,	,	,	AMS078EP1001A,	,	,	21-12-06 16:54,	,	,	,	,	     ,	,	,	3000M       ,	TA-A19                   ,	                              ,	2200                          ,
	BB213       ,	0,	UTC3000     ,	RUNNING     ,	P46NVK627  ,	,	3400,	345XTNV062               ,	SC7800490S-20000-00224{SS,	ANV345XTB007A,	670,	32655,	21-12-07 10:45,	21-12-07 22:06,	PHISON                                            ,	STBGA345SBC    ,	00P46NVK6                                         ,	     ,	59.0979,	,	3000M       ,	TA-A19                   ,	                              ,	3400                          ,
	BB214       ,	0,	UTC3000     ,	IDLE        ,	,	,	,	,	,	ABU024XJ8004A,	,	,	21-12-08 03:52,	,	,	,	,	     ,	,	,	3000M       ,	TA-A19                   ,	                              ,	3400                          ,
	BB215       ,	0,	UTC3000     ,	ENG         ,	,	,	,	,	,	AEU252X02002A,	,	,	21-12-06 17:52,	21-12-06 17:52,	,	,	,	EE   ,	,	,	3000M       ,	TA-A19                   ,	                              ,	2200                          ,
	BB216       ,	0,	UTC3000     ,	RUNNING     ,	P49AWBM47  ,	,	2200,	048TPAW086               ,	5468ANB-48TG000          ,	AAW048TP1041B,	720,	33981,	21-12-08 09:23,	21-12-08 18:41,	MXIC                                              ,	TSOP1-48/M2    ,	T1213707                                          ,	     ,	77.5263,	,	3000M       ,	TA-A19                   ,	                              ,	2200                          ,
	BB217       ,	709,	UTC3000     ,	RUNNING     ,	P46NVK631  ,	,	3400,	345XTNV062               ,	SC7800490S-20000-00224{SS,	ANV345XTB007A,	699,	32655,	21-12-08 10:55,	21-12-08 22:44,	PHISON                                            ,	STBGA345SBC    ,	00P46NVK6                                         ,	     ,	59.0979,	,	2000M       ,	TA-A20                   ,	                              ,	3400                          ,
	BB218       ,	0,	UTC3000     ,	IDLE        ,	,	,	,	,	,	AMS078EP1001A,	,	,	21-12-08 09:27,	,	,	,	,	     ,	,	,	1000M       ,	TA-A20                   ,	12/08/2021 MP                 ,	2200                          ,
	BB219       ,	0,	UTC3000     ,	IN-REPAIR   ,	P49AWBM44  ,	,	2200,	048TPAW086               ,	5468ANB-48TG000          ,	AAW048TP1041B,	720,	33981,	21-12-08 14:23,	21-12-08 19:48:41,	MXIC                                              ,	TSOP1-48/M2    ,	T1213707                                          ,	W1   ,	77.5263,	,	3000M       ,	TA-A20                   ,	12/09/2021 MP                 ,	2200                          ,
	BB220       ,	0,	UTC3000     ,	IDLE        ,	,	,	,	,	,	AMS078EP1001A,	,	,	21-12-06 18:34,	,	,	,	,	     ,	,	,	3000M       ,	TA-A20                   ,	12/10/2021 MP                 ,	2200                          ,
