ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER
BB211,UTC3000,RUNNING,R07CDAF01,2200,054TNCD026,ACD054TN1002B,22-02-16 12:07,22-02-15 23:26,ETRON,TSOP2-54ME,2880,,1091A07T21,,R07CDAD09,TSOP2-54ME,ETRON,ACD054TN1002B,1091A07T21,226.9653,22-02-16 12:07,2200
BB212,UTC3000,RUNNING,R07BUAX01,2200,096EABU001,ABU096EA1001A,22-02-16 10:06,22-02-15 21:53,ICSI,FBGA-96LEA,2600,,1091A07C21,,R07BUAY01,FBGA-96LEA,ICSI,ABU096EA1001A,1091A07C21,212.746,22-02-16 10:06,2200
BB213,UTC3000,SETUP,R07AWB515,2200,048TPAW056,AAW048TP1024D,22-02-16 08:02,22-02-16 07:32,MXIC,TSOP1-48/48M,2160,,1091A08T41,,R07AWB503,TSOP1-48/48M,MXIC,AAW048TP1024D,1091A08T41,433.8075,22-02-16 09:36,2200
BB214,UTC3000,RUNNING,R07AWC524,2200,048TPAW086,AAW048TP1041B,22-02-16 10:15,22-02-16 00:58,MXIC,TSOP1-48/M2,720,,1091A08T41,,R07AWAF40,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,77.5263,22-02-16 10:15,2200
BB215,UTC3000,SETUP,,,,ANV345XTG001A,22-02-16 09:09,22-02-16 07:45,,,,,,,R03NVBN06,STBGA345NBC,PHISON,ANV345XTG001A,1091A07C41,73.5056,,3400
BB216,UTC3000,RUNNING,R07AWC521,2200,048TPAW086,AAW048TP1041B,22-02-16 10:16,22-02-16 00:59,MXIC,TSOP1-48/M2,720,,1091A08T41,,R07AWC126,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,77.5263,22-02-16 10:16,2200
BB217,UTC3000,RUNNING,R07BUAX04,2200,096EABU001,ABU096EA1001A,22-02-16 10:39,22-02-15 23:34,ICSI,FBGA-96LEA,2358,,1091A07C21,,R07BUAY03,FBGA-96LEA,ICSI,ABU096EA1001A,1091A07C21,212.746,22-02-16 10:39,2200
BB218,UTC3000,RUNNING,R04NVCJ02,2200,345XTNV086,ANV345XTB029A,22-02-16 03:52,22-02-15 20:02,PHISON,STBGA345SBC,650,,1091A07C41,E,R04NVCJ03A,STBGA345SBC,PHISON,ANV345XTB029A,1091A07C41,82.9764,22-02-16 03:52,2200
BB219,UTC3000,RUNNING,R07CDA301,2200,054TNCD027,ACD054TN1002B,22-02-16 09:47,22-02-14 03:52,ETRON,TSOP2-54ME,2880,,1091A07T21,,R07CDAD05,TSOP2-54ME,ETRON,ACD054TN1002B,1091A07T21,226.9653,22-02-16 09:47,2200
BB220,UTC3000,RUNNING,R07AWB520,2200,048TPAW056,AAW048TP1024D,22-02-16 07:40,22-02-16 02:41,MXIC,TSOP1-48/48M,2160,,1091A08T41,,R07AWB508,TSOP1-48/48M,MXIC,AAW048TP1024D,1091A08T41,433.8075,22-02-16 07:40,2200
