process_id,remark
0086A128,A0803CB1212(KNS)
020YU001,A0803CB0826
012Y1002,A0803CB0938 (KNS)
020YU002,A0803CB0826 (KNS)
020YU006,A0803CB0826 (KNS)
008YK046,A0803CB1315(KNS)
024MA043,A0801CB0700 (UTC)
024MA043,A0803CB0700 (KNS)
096EF064,A0801CB1366 (UTC)
096EF064,A0803CB1366 (KNS)
096EF064,A0801CB1366 (UTC)
096EF064,A0803CB1366 (KNS)
012DN020,A0801CB0727(UTC)
012DN020,A0803CB0727(KNS)
0282J028,A0803CB0991(KNS)
0086A138,A0803CB1212(KNS)
132X2313,A0801CB1176(UTC)
132X2313,A0803CB1295(KNS)
132X2348,A0801CB1176(UTC)
132X2348,A0803CB1295(KNS)
0086A140,A0803CB1212(KNS)
0086A139,A0803CB1212(KNS)
0086A137,A0803CB1212(KNS)
345XT064,A0801CB1285(UTC)
345XT064,A0803CB1323(KNS)
345XT064,A0801CB1285(UTC)
345XT064,A0803CB1323(KNS)
0086A172,A0803CB1212(KNS)
0086A173,A0803CB1212(KNS)
096EF006,A0801CB0889(UTC)
096EF006,A0803CB0889(KNS)
008Y6080,A0803CB1229(KNS)
132X2317,A0801CB1176(UTC)
132X2317,A0803CB1295(KNS)
060NR037,A0801CB0745(UTC)
060NR037,A0803CB0745(KNS)
008YQ092,A0803CB0974(KNS)
054TN074,A0801CB0756 (UTC)
054TN074,A0803CB0756 (KNS)
048MA351,A0803CB1097(KNS)
064MR026,A0801CB0746(UTC)
064MR026,A0803CB0746(KNS)
008YM110,A0803CB0832(KNS)
162KE035,A0803CB0818(KNS)
048TR124,A0801CB1192(UTC)
048TR124,A0803CB1192(KNS)
008YD088,A0803CB0635(KNS)
064RK005,A0801CB0890(UTC)
060NR021,A0801CB0724 (UTC)
060NR021,A0803CB0724 (KNS)
084UC003,A0801CB0546 (UTC)
084UC003,A0803CB0546 (KNS)
016D5012,A0801CB0934(UTC)
016D5012,A0803CB0934(KNS)
084UC088,A0801CB0660(UTC)
084UC088,A0803CB0660(KNS)
0225N011,A0803CB1267(KNS)
008YQ202,A0803CB1359(KNS)
060U9005,A0801CB0791
096EF044,A0801CB1211(UTC)
096EF044,A0801CB1205(UTC)
0343A010,A0803CB1094(KNS)
0343A010,A0803CB1094(KNS)
0086A174,A0803CB1212(KNS)
0086A175,A0803CB1212(KNS)
0086A176,A0803CB1212(KNS)
345XT058,A0801CB1285(UTC)
345XT058,A0803CB1323(KNS)
345XT058,A0801CB1285(UTC)
345XT058,A0803CB1323(KNS)
345XT058,A0801CB1285(UTC)
345XT058,A0803CB1323(KNS)
345XT059,A0801CB1285(UTC)
345XT059,A0803CB1323(KNS)
345XT059,A0801CB1285(UTC)
345XT059,A0803CB1323(KNS)
345XT059,A0801CB1285(UTC)
345XT059,A0803CB1323(KNS)
345XT066,A0801CB1285(UTC)
345XT066,A0803CB1323(KNS)
345XT066,A0801CB1285(UTC)
345XT066,A0803CB1323(KNS)
345XT066,A0801CB1285(UTC)
345XT066,A0803CB1323(KNS)
345XT066,A0801CB1285(UTC)
345XT066,A0803CB1323(KNS)
345XT066,A0801CB1285(UTC)
345XT066,A0803CB1323(KNS)
096EI023,A0801CB1277(UTC)
024MA200,A0801CB1057(UTC)
024MA218,A0801CB1057(UTC)
153XT184,A0803CB1224(KNS)
153XT183,A0803CB1224(KNS)
048TP094,A0801CB1000 (UTC)
048TP094,A0803CB1000 (KNS)
048TP083,A0801CB0912
048MA243,A0801CB0248(UTC)
048MA243,A0803CB0248(KNS)
048MA269,A0801CB0248
048MA354,A0801CB0248
056AD080,A0803CB0346(KNS)
0086B027,A0803CB1212(KNS)
345XT065,A0801CB1285(UTC)
345XT065,A0803CB1323(KNS)
345XT065,A0801CB1285(UTC)
345XT065,A0803CB1323(KNS)
345XT065,A0801CB1285(UTC)
345XT065,A0803CB1323(KNS)
0086A124,A0803CB1212(KNS)
0086A123,A0803CB1212(KNS)
016D5035,A0801CB0934(UTC)
016D5035,A0803CB0934(KNS)
078EP009,A0801CB1264(UTC)
078EP009,A0803CB1264(KNS)
008YD083,A0803CB1038(KNS)
008YQ203,A0803CB1365(KNS)
008YB027,A0803CB0783
008YQ204,A0803CB1365(KNS)
008YQ204,A0803CB1365(KNS)
162KE038,A0803CB1122(KNS)
162KE040,A0803CB1122(KNS)
096EL009,A0803CB1080(KNS)
096EL013,A0803CB1080(KNS)
024MA084,A0801CB0373
024MA197,A0801CB1057(UTC)
024XJ049,A0801CB0871(UTC)
024XJ049,A0803CB0871(KNS)
024XJ049,A0801CB0871(UTC)
024XJ049,A0803CB0871(KNS)
048MW004,A0801CB0248
084XU012,A0801CB0486 (UTC)
084XU012,A0803CB1324 (KNS)
084XU012,A0801CB0486 (UTC)
084XU012,A0803CB1324 (KNS)
096EF033,A0801CB1087(UTC)
096EF033,A0803CB1087(KNS)
165ML036,A0801CB0248
096EF039,A0801CB1087 (UTC)
096EF039,A0803CB1087 (KNS)
048TG295,A0801CB0325
048AC129,A0803CB0315(KNS)
048AC128,A0803CB0315(KNS)
048AC124,A0803CB0315(KNS)
048AC123,A0803CB0315(KNS)
032YB007,A0803CB0783(KNS)
064AE205,A0803CB0316
036AB062,A0803CB0430
032YB010,A0803CB0783(KNS)
008DR054,A0801CB1137
008DR054,A0801CB1137
054TN128,A0801CB0758(UTC)
054TN128,A0803CB0758(KNS)
0086B031,A0803CB1212(KNS)
0086B032,A0803CB1212(KNS)
0442J030,A0803CB1294(KNS)
0442J030,A0803CB1294(KNS)
0225S001,A0803CB1028(KNS)
0442J026,A0803CB1181(KNS)
0442J026,A0803CB1181(KNS)
0442J032,A0803CB1181(KNS)
0442J032,A0803CB1181(KNS)
0345V009,A0803CB1294(KNS)
0345V009,A0803CB1294(KNS)
054TS031,A0801CB0960 (UTC)
054TS031,A0801CB0960(UTC)
054TS043,A0801CB0960 (UTC)
054TS043,A0801CB0960(UTC)
048TW441,A0801CB1149 (UTC)
048TW441,A0803CB1149 (KNS)
048TW528,A0801CB1154(UTC)
048TW528,A0803CB1154(KNS)
078EP006,A0801CB1264(UTC)
078EP006,A0803CB1264(KNS)
010YK025,A0803CB1315(KNS)
132X2292,A0801CB1176(UTC)
132X2292,A0803CB1295(KNS)
132X2263,A0801CB1176(UTC)
132X2263,A0803CB1295(KNS)
153XT134,A0801CB1072(UTC)
153XT134,A0803CB1294(KNS)
086TA023,A0801CB0647
086TA023,A0803CB0647
048XZ001,A0801CB0571(UTC)
008YD056,A0803CB1038
024MA255,A0801CB1057(UTC)
024MA255,A0803CB1057(KNS)
064RK006,A0801CB0890(UTC)
064RK006,A0803CB0890(KNS)
100X6003,A0801CB1200 (UTC)
100X6003,A0803CB1200 (KNS)
008YQ037,A0803CB0883
178NN002,A0801CB1332
054TN104,A0801CB0549(UTC)
054TN104,A0803CB0549(KNS)
060EM004,A0801CB1291(UTC)
048TP090ENG,A0801CB1173(UTC)
024XJ052,A0801CB0871(UTC)
024XJ052,A0803CB0871(KNS)
024XJ052,A0801CB0871(UTC)
024XJ052,A0803CB0871(KNS)
054MF005,A0801CB0514
096EF058,A0801CB1265(UTC)
096EF058,A0803CB1265(KNS)
096EC009,A0801CB0824 (UTC)
096EC009,A0803CB0824 (KNS)
084UC178,A0801CB1250(UTC)
084UC178,A0803CB1250(KNS)
008YD091,A0803CB1034(KNS)
084UC193,A0801CB1250(UTC)
084UC193,A0803CB1250(KNS)
096EL021,A0801CB1102(UTC)
054NB025,A0801CB0248
054TN110,A0801CB0891 (UTC)
054TN110,A0803CB0808 (KNS)
008YD052,A0803CB1020
008YB023,A0803CB0783
048TW394,A0801CB0850 (UTC)
048TW394,A0803CB0850 (KNS)
008Y6076,A0803CB0913(KNS)
024MA174,A0801CB1057(UTC)
054NB026,A0801CB0248
008YQ188,A0803CB1365(KNS)
090MV050,A0801CB0744
024MA150,A0801CB1057(UTC)
008YM164,A0803CB0832(KNS)
008YM098,A0803CB0832(KNS)
024MA031,A0801CB0533(KNS)
024MA031,A0801CB0533(UTC)
008YQ168,A0803CB0883(KNS)
096EL103,A0801CB1331(UTC)
096EL103,A0803CB1331(KNS)
060NR008,A0801CB0569 (UTC)
060NR008,A0803CB0569 (KNS)
008YQ157,A0803CB1050(KNS)
008YM141,A0803CB0832(KNS)
008YQ136,A0803CB1050(KNS)
008YB041,A0803CB0783(KNS)
008YD089,A0803CB1034(KNS)
048TW396,A0801CB0864
008Y6049,A0803CB0926(KNS)
008YM116,A0803CB0918(KNS)
008YB049,A0803CB0783(KNS)
024MA184,A0801CB1057(UTC)
008YQ042,A0803CB0883 (KNS)
066TN079,A0801CB0788 (UTC)
066TN079,A0803CB0788 (KNS)
096EF048,A0801CB1257(UTC)
162KE032,A0801CB0818(UTC)
162KE032,A0803CB0818(KNS)
048TW407,A0801CB0864 (UTC)
024MA230,A0801CB1057
048N0001,A0803CB1249(KNS)
008YQ133,A0803CB1228(KNS)
096EI008,A0803CB1012 (KNS)
008FG005,A0803CB1278(KNS)
008YQ096,A0803CB0974(KNS)
008FG013,A0803CB1278(KNS)
008YQ132,A0803CB1228(KNS)
016D5015ENG,A0801CB0934(UTC)
016D5015ENG,A0803CB0934(KNS)
052XY004,A0801CB0572(UTC)
024XJ053,A0801CB0533
024XJ053,A0801CB0533(UTC)
024MA046,A0801CB0373
048TP199,A0801CB1000(UTC)
048TP199,A0803CB1000(KNS)
008Y6091,A0803CB0926(KNS)
048TP076,A0801CB0831 (UTC)
048TP076,A0803CB0831 (KNS)
024MA099,A0801CB0700
008YM107,A0803CB0832(KNS)
064MR019,A0801CB0746
048TP077,A0801CB0831
008Y6097,A0803CB0926(KNS)
048TP189,A0801CB0967
048TP074,A0801CB0831 (UTC)
048TP074,A0803CB0831 (KNS)
064MR020,A0801CB0746(UTC)
024MA093,A0801CB0533
024MA091,A0801CB0533
024XJ069,A0801CB0871
024XJ069,A0801CB0871(UTC)
016D5011ENG,A0801CB0934(UTC)
016D5011ENG,A0803CB0934(KNS)
096EA004,A0801CB1021
054NB037,A0801CB0248
086TA127,A0801CB0462(UTC)
084UC015,A0801CB0641
054NO014,A0801CB0373(UTC)
078EA001,A0801CB1021(UTC)
060NL014,A0801CB0248(UTC)
048MA364,A0801CB1057
048MW009,A0801CB0248
060MV007,A0801CB0248
054MF003,A0801CB0248
060C3005,A0801CB0417
048MA300,A0801CB0373
054TN117,A0801CB0756(UTC)
054TN117,A0803CB0756(KNS)
008DR036,A0801CB1137(UTC)
008DR036,A0801CB1137(UTC)
008DR035,A0801CB1137(UTC)
008DR035,A0801CB1137(UTC)
084UC087,A0801CB0660 (UTC)
084UC087,A0803CB0660 (KNS)
054TS034,A0801CB0971 (UTC)
054TS023,A0801CB0971 (UTC)
252X0002,A0803CB1176(KNS)
252X0003,A0801CB1176(UTC)
252X0003,A0803CB1176(KNS)
252X0003,A0801CB1176(UTC)
252X0003,A0803CB1176(KNS)
252X2008,A0803CB1176(KNS)
252X2008,A0803CB1176(KNS)
0223R009,A0803CB1090(KNS)
0442J027,A0803CB1181(KNS)
0442J027,A0803CB1181(KNS)
078U9030,A0801CB0823 (UTC)
078U9030,A0803CB0823 (KNS)
078EP004,A0801CB1264(UTC)
078EP004,A0803CB1264(KNS)
078EP001,A0801CB1264(UTC)
078EP001,A0803CB1264(KNS)
078U9031,A0801CB0823 (UTC)
078U9031,A0803CB0823 (KNS)
096EC018,A0801CB0824(UTC)
096EC018,A0803CB0824(KNS)
078U9034,A0801CB0823(UTC)
078U9034,A0803CB0823(KNS)
048TW554,A0801CB0564(UTC)
060NR015,A0801CB0724
078EN002,A0801CB1169 (UTC)
078EN002,A0803CB1169 (KNS)
096EC002,A0801CB0644 (UTC)
096EC002,A0803CB0644 (KNS)
048TW451,A0801CB1150(UTC)
048TW511,A0801CB0564(UTC)
078EN014,A0801CB1338(UTC)
078EN014,A0803CB1338(KNS)
048TW503,A0801CB0616
0086A125,A0803CB1212(KNS)
132X2271,A0801CB1176(UTC)
132X2271,A0803CB1295(KNS)
132X2296,A0801CB1176(UTC)
132X2296,A0803CB1295(KNS)
132X2347,A0801CB1176(UTC)
132X2347,A0803CB1295(KNS)
153XT159,A0801CB1072(UTC)
153XT159,A0803CB1294(KNS)
153XT159,A0801CB1072(UTC)
153XT159,A0803CB1294(KNS)
153XT097,A0803CB1294(KNS)
132X2202,A0801CB1176(UTC)
132X2202,A0803CB1295(KNS)
153XT164,A0801CB1072(UTC)
153XT164,A0803CB1294(KNS)
153XT186,
153XT186,A0801CB1072(UTC)
153XT186,A0803CB1294(KNS)
153XT186,
153XT186,A0801CB1072(UTC)
153XT186,A0803CB1294(KNS)
048TV269,A0801CB0655(UTC)
048TV269,A0803CB0655(KNS)
016D5020,A0801CB0934(UTC)
016D5020,A0803CB0934(KNS)
192X8001,A0803CB1295(KNS)
048XV001,A0801CB0514(UTC)
084UC202,A0801CB0660(UTC)
084UC202,A0803CB0660(KNS)
100X6004,A0801CB1200(UTC)
100X6004,A0803CB1200(KNS)
008YM133,A0803CB1069(KNS)
008YQ119,A0803CB1174(KNS)
008YQ128,A0803CB1050(KNS)
024MA236,A0801CB1057(UTC)
024MA236,A0803CB1057(KNS)
024MA166,A0801CB1057(UTC)
024XJ074,A0801CB1129 (UTC)
024XJ074,A0803CB1129 (KNS)
024XJ074,A0801CB1129 (UTC)
024XJ074,A0803CB1129 (KNS)
024XJ073,A0801CB1129 (UTC)
024XJ073,A0803CB1129 (KNS)
024XJ073,A0801CB1129(UTC)
024XJ073,A0803CB1129(KNS)
024XJ073,A0801CB1129(UTC)
024XJ073,A0803CB1129(KNS)
024XJ073,A0801CB1129(UTC)
024XJ073,A0803CB1129(KNS)
008Y6100,A0803CB0913(KNS)
024MA181,A0801CB1057(UTC)
008YQ125,A0803CB1050(KNS)
008YQ125,A0803CB1174(KNS)
008YD106,A0803CB0635(KNS)
024XW0015,A0801CB1190(UTC)
024XW0015,A0803CB1097(KNS)
024XW0015,A0801CB1190(UTC)
024XW0015,A0803CB1097(KNS)
096EF063,A0801CB1087(UTC)
096EF063,A0803CB1087(KNS)
066TS030,A0803CB0800(KNS)
084UC192,A0801CB0660(UTC)
084UC192,A0803CB0660(KNS)
107XK018,A0801CB0789
048TW404,A0801CB0850 (UTC)
048TW404,A0803CB0850 (KNS)
024MA105,A0801CB0373 (UTC)
024MA164,A0801CB1057(UTC)
096EL076,A0801CB1331
008YQ159,A0803CB1168(KNS)
008YD119,A0803CB0635(KNS)
008DR011,A0803CB1198(KNS)
048TP216,A0803CB0831(KNS)
0008WAA2,A0803CB0818(KNS)
048TP091ENG,A0801CB1173(UTC)
054MF006,A0801CB0514
0442J031,A0803CB1294(KNS)
0442J031,A0803CB1294(KNS)
0442J017,A0803CB1181(KNS)
0442J017,A0803CB1181(KNS)
048TW517,A0801CB1153(UTC)
090NC073,A0801CB0622
024MA257,A0803CB1057(KNS)
0086A115,A0803CB1212(KNS)
054NB046,A0801CB1193(UTC)
054NB046,A0803CB1193(KNS)
008YB045,A0803CB0783(KNS)
008YD009ENG,A0803CB0635
063XM012,A0801CB1232
056TH122ENG,A0801CB1375(UTC)
056TH122ENG,A0801CB1375(UTC)
132X2360,A0801CB1176(UTC)
132X2360,A0803CB1295(KNS)
132X2360,A0801CB1176(UTC)
132X2360,A0803CB1295(KNS)
0343A001,A0803CB1094(KNS)
0343A001,A0803CB1094 (KNS)
132X2364,A0801CB1176(UTC)
132X2364,A0803CB1295(KNS)
132X2364,A0801CB1176(UTC)
132X2364,A0803CB1295(KNS)
048TW499,A0801CB1152(UTC)
008FG027,A0803CB1278(KNS)
156KP004ENG,A0801CB1241(UTC)
156KP004ENG,A0803CB1286(KNS)
156KP004ENG,A0801CB1241(UTC)
156KP004ENG,A0803CB1286(KNS)
156KP004ENG,A0801CB1241(UTC)
156KP004ENG,A0803CB1286(KNS)
0282D001,A0801CB0966
008YQ206,A0803CB1359(KNS)
084UC288ENG,A0801CB0660
008Y6059,A0803CB0926(KNS)
048LF046,A0801CB0231 (UTC)
048LF046,A0803CB0231 (KNS)
066TN073,A0801CB0841 (UTC)
066TN073,A0803CB0841 (KNS)
162KE022,A0801CB0818 (UTC)
162KE022,A0803CB0818 (KNS)
162KE022,A0801CB0818 (UTC)
162KE022,A0803CB0818 (KNS)
060MV015,A0801CB0815(UTC)
048TG077,A0801CB0070
048TW473,A0801CB1150(UTC)
048TW473,A0803CB1150(KNS)
008YD112,A0803CB0635(KNS)
153XT081,A0803CB1224(KNS)
008YK027,A0803CB0784 (KNS)
010YK031,A0803CB1315(KNS)
345XT046,A0801CB1285(UTC)
345XT046,A0803CB1323(KNS)
345XT046,A0801CB1285(UTC)
345XT046,A0803CB1323(KNS)
345XT046,A0801CB1285(UTC)
345XT046,A0803CB1323(KNS)
345XT046,A0801CB1285(UTC)
345XT046,A0803CB1323(KNS)
345XT046,A0801CB1285(UTC)
345XT046,A0803CB1323(KNS)
078EN010,A0801CB1169(UTC)
078EN010,A0803CB1169(KNS)
0445T003,A0803CB1326(KNS)
0445T003,A0803CB1326(KNS)
0345V001ENG,A0803CB1294(KNS)
0345V001ENG,A0803CB1294(KNS)
024XW002ENG,A0801CB1129(UTC)
084UC196,A0803CB1313(KNS)
096EL063,A0803CB1239(KNS)
0225N004,A0803CB1267(KNS)
048TP079,A0801CB0831
008YM112,A0803CB0832(KNS)
008YM153,A0803CB1069(KNS)
008YB046,A0803CB1157(KNS)
084UC147,A0803CB1017 (KNS)
054MF020,A0801CB1193(UTC)
096EL074,A0801CB1329(UTC)
096EL074,A0803CB1329(KNS)
054TN112,A0801CB0982
345XT063,A0801CB1285(UTC)
345XT063,A0803CB1323(KNS)
345XT063,A0801CB1285(UTC)
345XT063,A0803CB1323(KNS)
345XT063,A0801CB1285(UTC)
345XT063,A0803CB1323(KNS)
048MA362,A0801CB1190(UTC)
008YB026,A0803CB0783 (KNS)
024XJ103,A0801CB1190
024XJ103,A0801CB1190
024XJ103,A0801CB1190
024XJ103,A0801CB1190
054NO015,A0801CB0373(UTC)
054NO015,A0803CB0373(KNS)
024MA102,A0801CB1057(UTC)
0442J033,A0803CB1294(KNS)
0442J033,A0803CB1294(KNS)
0415L018,A0803CB1253(KNS)
0415L007,A0803CB1253(KNS)
078ED017,A0801CB0927 (UTC)
078ED017,A0803CB0927 (KNS)
096EI026,A0801CB1385(UTC)
096EI026,A0803CB1385(KNS)
024MA187,A0801CB0533(UTC)
060NR020,A0801CB0724 (UTC)
024MA213,A0801CB1057(UTC)
008Y6087,A0803CB0926(KNS)
008Y6109,A0803CB0926(KNS)
048MA323,A0801CB0533(UTC)
054TN077,A0801CB0758 (UTC)
054TN077,A0803CB0758 (KNS)
0086B012,A0803CB1212(KNS)
0442J013,A0803CB1181(KNS)
0442J013,A0803CB1181(KNS)
024MA256,A0801CB1057(UTC)
024MA256,A0803CB1057(KNS)
008YD110,A0803CB0635(KNS)
096EL069,A0801CB1102(UTC)
024XJ102,A0801CB1190
024XJ102,A0801CB1190
078EA007,A0801CB1380(UTC)
078EA007,A0803CB1380(KNS)
008YQ122,A0803CB1168(KNS)
165MC051,A0801CB1383(UTC)
165MC051,A0803CB1383(KNS)
153XT165,A0801CB1072(UTC)
153XT165,A0803CB1294(KNS)
096EL101,A0801CB1331(UTC)
096EL101,A0803CB1331(KNS)
008YD046,A0803CB0635 (KNS)
054NB051,A0801CB1193(UTC)
054NB051,A0803CB1193(KNS)
008YQ170,A0803CB1050(KNS)
0225N010,A0803CB1267(KNS)
132NY044,A0801CB1176(UTC)
072AF132,A0803CB0424
010YK026,A0803CB1315(KNS)
100X6006,A0801CB1200(UTC)
132X2355,A0801CB1176(UTC)
