product,process_id,bom_id
000IABW074,000IA147,IA000064
000IAVT005,000IA162,IA000074
000IABW072,000IA143,IA000060
000IABW108,000IA220,IA000097
000IABW067,000IA009,IA000039
000SNV294,0086A128,6A008179
000IABW045,000IA089,IA000031
014OLNI032,014OL001,OL014602
014OLNI034,014OL001,OL014602
012Y3NI153,012Y3002,Y3012603
020YUNI150,020YU001,YU020603
012Y1NI054,012Y1002,Y1012604
020YUNI135,020YU001,YU020603
012Y1NI055,012Y1002,Y1012604
012Y3NI160,012Y3002,Y3012603
000IABW112,000IA232,IA000112
008OKNI075,008OK001,OK008601
016OFNI041,016OF002,OF016603
012Y3NI138,012Y3002,Y3012603
012Y1NI059,012Y1002,Y1012604
020YUNI108,020YU002,YU020604
020YUNI224,020YU002,YU020604
020YUNI236,020YU001,YU020603
014OLNI033,014OL001,OL014602
020YUNI124,020YU002,YU020604
020YUNI252,020YU002,YU020604
020YUNI221,020YU002,YU020604
014OLNI042,014OL001,OL014602
020YUNI170,020YU002,YU020604
020YUNI263,020YU002,YU020604
020YUNI267,020YU001,YU020603
012Y3NI149,012Y3002,Y3012603
014OANI060,014OA002,OA014603
008OKNI091,008OK001,OK008601
016OFNI032,016OF001,OF016604
008Y7NI031,008Y7001,Y7008602
012Y3NI184,012Y3002,Y3012603
000IABW052,000IA045,IA000018
000IABW123,000IA259,IA000121
020YUNI139,020YU002,YU020604
012Y3NI192,012Y3002,Y3012603
000IABW032,000IA033,IA000013
020YUNI130,020YU002,YU020604
012Y3NI169,012Y3002,Y3012603
000IABW142,000IA317,IA000140
020YUNI289,020YU006,YU020611
000IABW015,000IA039,IA000017
020YUNI297,020YU002,YU020604
020YUNI244,020YU002,YU020604
008YKNI092,008YK046,YK008646
020YUNI122,020YU002,YU020604
024MAAW012,024MA043,MA024043
012Y3NI147,012Y3001,Y3012604
0008WZI012,096EF064,8W000A01
000IABW036,000IA031,IA000016
020YUNI305,020YU002,YU020604
020YUNI146,020YU002,YU020604
020YUNI317,020YU001,YU020603
000IAQR011,000IA179,IA000083
000IABW109,000IA313,IA000025
020YUNI043,020YU006,YU020611
020YUNI160,020YU006,YU020611
020YUNI175,020YU002,YU020604
020YUNI325,020YU002,YU020604
012DNUK014,012DN020,DN012025
000IABW064,000IA125,IA000050
0282JHQ034,0282J028,2J028035
000IABW143,000IA325,IA000122
012Y3NI194,012Y3002,Y3012603
0086ANV162,0086A138,6A008191
008OKNI077,008OK001,OK008601
0008WNV486,132X2313,X2132375
000IABW075,000IA149,IA000065
000IABW094,000IA193,IA000090
020YUNI337,020YU006,YU020611
132X2NV194,132X2348,X2132414
014OANI067,014OA002,OA014603
020YUNI293,020YU002,YU020604
012Y3NI120,012Y3001,Y3012604
020YUNI331,020YU002,YU020604
008Y7NI029,008Y7001,Y7008602
0086ANV164,0086A140,6A008193
0086ANV163,0086A139,6A008192
0086ANV161,0086A137,6A008190
0086ANV208,0086A138,6A008191
0086ANV209,0086A137,6A008190
008OKNI093,008OK001,OK008601
020YUNI232,020YU001,YU020603
345XTNV085,345XT064,XT345090
000IABW144,000IA333,IA000158
012Y3NI204,012Y3002,Y3012603
014OANI052,014OA002,OA014603
0086ANV210,0086A172,6A008239
0086ANV211,0086A173,6A008240
012Y3NI150,012Y3002,Y3012603
096EFCD001,096EF006,EF096013
008YKNI091,008YK046,YK008646
008Y6CM043ENG,008Y6080,Y6008080
132X2CME53ENG,132X2317,X2132E65
020YUNI101,020YU001,YU020603
000IACM233ENG,000IAE22ENG,IA000E14
0008WSMT001,0008WSMT001,8W000A01
0008WDAF001,0008WDAF001,8W000A01
0008WDAE001,0008WDAE001,8W000A01
0008WLAS001,0008WLAS001,8W000A01
0008WPRT001,0008WPRT001,8W000A01
0008WPRT005,0008WPRT001,8W000A01
0008WLF001,0008WLAS001,8W000A01
060NRAB019,060NR037,NR060038
008YQAS018,008YQ092,YQ008107
054TNCD021,054TN074,TN054067
048MAAS008,048MA351,MA048136
064MRAW028,064MR026,MR064035
008YMAW018,008YM110,YM008119
162KEAW001,162KE035,KE162039
048TREU016,048TR124,TR048132
020YUNI003,020YU002,YU020002
008YDVG001,008YD088,YD008095
064RKVG004,064RK005,RK064006
060NRAB010,060NR021,NR060021
084UCAB001,084UC003,CC084007
016D5AW011,016D5012,D5016027
084UCBU006,084UC088,CC084074
000IABW040,000IA085,IA000025
0225NHQ011,0225N011,5N022010
014OANI051,014OA002,OA014603
020YUNI084,020YU006,YU020611
020YUNI169,020YU002,YU020604
020YUNI332,020YU002,YU020604
020YUNI217,020YU002,YU020604
008OKNI089,008OK001,OK008601
012Y3NI003,012Y3002,Y3012002
008YQAW001,008YQ202,YQ008235
060U9BU003,060U9005,C9060004
096EFBU003,096EF044,EF096045
0343AHQ012,0343A010,3A034017
014OLNI027,014OL001,OL014602
012Y3NI151,012Y3001,Y3012604
012Y3NI170,012Y3002,Y3012603
008YZNI021,008YZ006,YZ008604
008OKNI002,008OK001,OK008001
008Y7NI032,008Y7001,Y7008602
008Y7NI003,008Y7001,Y7008001
012Y3NI004,012Y3001,Y3012001
020YUNI058,020YU006,YU020611
020YUNI088,020YU006,YU020611
020YUNI041,020YU006,YU020611
0086ANV212,0086A174,6A008241
0086ANV213,0086A175,6A008242
0086ANV214,0086A176,6A008243
345XTNV079,345XT058,XT345082
345XTNV080,345XT059,XT345083
345XTNV087,345XT066,XT345092
000IAQR004,000IA281,IA000045
000IAQR024,000IA236,IA000096
096EIYZ001,096EI023,EI096025
024MAAB073,024MA200,MA024215
024MAAB081,024MA218,MA024233
153XTAS010,153XT184,XT153237
153XTAS009,153XT183,XT153236
048TPAW086,048TP094,TP048117
048TPBU013,048TP083,TP048104
048MABU002,048MA243,MA048A38
048MABU018,048MA269,MA048040
048MABU061,048MA354,MA048139
056ADBW031,056AD080,AD056080
014OLNI050,014OL001,OL014602
020YUNI247,020YU002,YU020604
012Y3NI121,012Y3002,Y3012603
008OKNI092,008OK001,OK008601
008OKNI010,008OK001,OK008601
008OKNI023,008OK001,OK008601
008OKNI024,008OK001,OK008601
008OKNI094,008OK001,OK008601
016OFNI022,016OF001,OF016604
014OANI073,014OA002,OA014603
012Y1NI052,012Y1002,Y1012604
008OKNI008,008OK001,OK008601
0086BNV026,0086B027,6B008034
345XTNV086,345XT065,XT345091
0086ANV157,0086A124,6A008175
0086ANV156,0086A123,6A008174
016D5OK013,016D5035,D5016086
000IAQR039,000IA298,IA000143
078EPRK003,078EP009,EP078012
008YDVE004,008YD083,YD008089
000IAXI001,000IA119,IA000038
008YQAB112,008YQ203,YQ008236
008YBAB012,008YB027,YB008027
000IAAB002,000IA278,IA000129
008YQAB113,008YQ204,YQ008237
0008WAS124,0008WA413,8W000A01
162KEAS010,162KE038,KE162044
162KEAS012,162KE040,KE162046
096ELAS001,096EL009,EL096009
096ELAS005,096EL013,EL096013
024MAAW023,024MA084,MA024054
024MAAW078,024MA197,MA024212
024XJAW017,024XJ049,XJ024049
048MWBU010,048MW004,MW048001
084XUBU007,084XU012,XU084013
096EFBU001,096EF033,EF096033
165MLBU055,165ML036,ML165012
096EFBU002,096EF039,EF096020
048TGBU008,048TG295,TG048204
048ACBW031,048AC129,AC048129
048ACBW030,048AC128,AC048128
048ACBW026,048AC124,AC048124
048ACBW025,048AC123,AC048123
032YBBW007,032YB007,YB032007
064AEBW038,064AE205,AE064205
036ABBW009,036AB062,AB036109
032YBBW010,032YB010,YB032011
008DRCD042,008DR054,DR008073
008DRCD043,008DR054,DR008074
054TNCD030,054TN128,TN054133
0086BEU015,0086B031,6B008039
0086BEU016,0086B032,6B008040
0442JHQ029,0442J030,2J044037
0225SHQ001,0225S001,5S022001
0442JHQ026,0442J026,2J044032
0442JHQ033,0442J032,2J044042
0345VHQ009,0345V009,5V034011
054TSCS005,054TS031,TS054031
054TSCS017,054TS043,TS054043
048TWMS097,048TW441,TW048B07
048TWMS087,048TW528,TW048E20
078EPMS003,078EP006,EP078008
012Y3NI210,012Y3002,Y3012603
009YZNI001,009YZ001,YZ009001
008YZNI017,008YZ006,YZ008604
020YUNI330,020YU002,YU020604
020YUNI306,020YU002,YU020604
020YUNI089,020YU002,YU020604
014OANI054,014OA002,OA014603
016OFNI035,016OF003,OF016610
016OFNI010,016OF003,OF016005
008OKNI021,008OK001,OK008601
008OKNI095,008OK001,OK008601
020YUNI117,020YU001,YU020603
010YKNI039,010YK025,YK010630
010YKNI037,010YK025,YK010030
012Y3NI124,012Y3002,Y3012603
012Y3NI142,012Y3001,Y3012604
012Y3NI211,012Y3002,Y3012603
0008WNV311,0008WA39,8W000A01
132X2NV154,132X2292,X2132354
132X2NV126,132X2263,X2132321
000IAQR007,000IA163,IA000075
153XTSS004,153XT134,XT153174
086TAUL006,086TA023,TA086027
048XZVE001,048XZ001,XZ048003
008YDVE002,008YD056,YD008056
024MAVG026,024MA255,MA024271
064RKVG005,064RK006,RK064007
100X6VG003,100X6003,X6100004
008YQAB010,008YQ037,YQ008037
178NNAB002,178NN002,NN178002
054TNAB037,054TN104,TN054104
060EMAB004,060EM004,EM060004
048TPAW102,048TP090ENG,TP048091
024XJAW020,024XJ052,XJ024052
054MFCD001,054MF005,MF054005
054TNCD017,054TN074,TN054067
096EFMS006,096EF058,EF096063
096ECMS010,096EC009,EC096014
0008WAB208,0008WA28,8W000A01
084UCAB027,084UC178,CC084180
008YDAB015,008YD091,YD008098
084UCAB028,084UC193,CC084195
096ELAB016,096EL021,EL096026
054NBAB001,054NB025,NB054013
054TNAB036,054TN110,TN054110
054TNAB041,054TN110,TN054110
008YDAB004,008YD052,YD008052
008YBAB009,008YB023,YB008023
048TWAB012,048TW394,TW048394
008Y6AB028,008Y6076,Y6008076
024MAAB064,024MA174,MA024185
054NBAB002,054NB026,NB054015
008YQAB104,008YQ188,YQ008223
090MVAB008,090MV050,MV090050
024MAAB053,024MA150,MA024158
