OPER,CUST,B/D#,MODEL,G.UPH
2200,EliteMT,AAS153XT9015A,,0.0000
2200,EliteMT,AAS153XT9015A,,0.0000
2200,EliteMT,AAS153XT9015A,,0.0000
2200,EliteMT,AAS153XT9015A,,0.0000
2200,EliteMT,AAS153XT9015A,,0.0000
2200,EliteMT,AAS153XT9015A,,0.0000
2200,EliteMT,AAS153XT9015A,,0.0000
2200,EMC,AHQ0442J3006A,,0.0000
2200,EMC,AHQ0442J3006A,,0.0000
2200,EMC,AHQ0442J3006A,,0.0000
2200,EMC,AHQ0442J3006A,,0.0000
2200,EMC,AHQ0442J3006A,,0.0000
2200,EMC,AHQ0442J3006A,,0.0000
2200,EMC,AHQ0442J3006A,,0.0000
2200,EMC,AHQ0345V1001A,,0.0000
2200,EMC,AHQ0345V1001A,,0.0000
2200,EMC,AHQ0345V1001A,,0.0000
2200,EMC,AHQ0345V1001A,,0.0000
2200,EMC,AHQ0345V1001A,,0.0000
2200,EMC,AHQ0345V1001A,,0.0000
2200,EMC,AHQ0345V1001A,,0.0000
2200,PHISON,TDANV153XT8028A-A,,0.0000
2200,PHISON,TDANV153XT8028A-A,,0.0000
2200,PHISON,TDANV153XT8028A-A,,0.0000
2200,PHISON,TDANV153XT8028A-A,,0.0000
2200,PHISON,TDANV153XT8028A-A,,0.0000
2200,PHISON,TDANV153XT8028A-A,,0.0000
2200,PHISON,TDANV153XT8028A-A,,0.0000
2200,PHISON,ANV0086A1032A,MAXUM-CU,0.0000
2200,PHISON,ANV0086A1032A,ICONN,0.0000
2200,PHISON,ANV0086A1032A,MAXUM-PLUS,0.0000
2200,PHISON,ANV0086A1032A,MAXUM,0.0000
2200,PHISON,ANV0086A1032A,RAPID,97.5593
2200,PHISON,ANV0086A1032A,MAXUM-BASE,0.0000
2200,PHISON,ANV0086A1032A,ICONN-PLUS,100.1652
2200,PHISON,ANV0086A1065A,MAXUM-BASE,0.0000
2200,PHISON,ANV0086A1065A,MAXUM,0.0000
2200,PHISON,ANV0086A1065A,ICONN,0.0000
