code_flag,gw_part_no,serialn_no,op_id,trans_date,trans_time,mc_no,area,roll_length,no_208,item_208,date_208,roll_weight,roll_weight_old,roll_length_inch,roll_length_old,roll_length_inch_old,roll_weight_dif,roll_length_dif,roll_length_inch_dif,transaction,txt_trans_date,txt_trans_time,trans_ways,assy_lot,oper,cimes_hist_seq,cimes_ent_hist_seq,die_count,die_count_old,die_count_dif,cimes_transaction,
N  ,1091A06T41               ,S21Z0246-7590  ,11176     ,20220123,155643,          ,TA,3000.000,2022004110,2,20220123,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220123,155643,M,,0,0,0,0,0,0,,
N  ,1091A06T41               ,S21Z0246-7591  ,11176     ,20220123,155643,          ,TA,3000.000,2022004110,2,20220123,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220123,155643,M,,0,0,0,0,0,0,,
N  ,1091A06T41               ,S21Z0246-7592  ,11176     ,20220123,155643,          ,TA,3000.000,2022004110,2,20220123,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220123,155643,M,,0,0,0,0,0,0,,
N  ,1091A06T41               ,S21Z0246-7593  ,11176     ,20220123,155643,          ,TA,3000.000,2022004110,2,20220123,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220123,155643,M,,0,0,0,0,0,0,,
N  ,1091A06T41               ,S21Z0246-7594  ,11176     ,20220123,155643,          ,TA,3000.000,2022004110,2,20220123,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220123,155643,M,,0,0,0,0,0,0,,
N  ,1091A06T41               ,S21Z0246-7595  ,11176     ,20220123,155643,          ,TA,3000.000,2022004110,2,20220123,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220123,155643,M,,0,0,0,0,0,0,,
N  ,1091A06T41               ,S21Z0246-7596  ,11176     ,20220123,155643,          ,TA,3000.000,2022004110,2,20220123,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220123,155643,M,,0,0,0,0,0,0,,
N  ,1091A06T41               ,S21Z0246-7597  ,11176     ,20220123,155643,          ,TA,3000.000,2022004110,2,20220123,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220123,155643,M,,0,0,0,0,0,0,,
N  ,1091A06T41               ,S21Z0246-7598  ,11176     ,20220123,155643,          ,TA,3000.000,2022004110,2,20220123,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220123,155643,M,,0,0,0,0,0,0,,
N  ,1091A06T41               ,S21Z0246-7622  ,11176     ,20220123,155643,          ,TA,3000.000,2022004110,2,20220123,0.000,0.000,9840.000,0.000,0.000,0.000,3000.000,9840.000,ADD       ,20220123,155643,M,,0,0,0,0,0,0,,
