¦C¼Æ,bd_id,oper,model,remark,trans_date,trans_time,
1,	ABU096EF5001A       ,	3200,	UTC2000     ,	20220214-F-ABU096EF5001A-3200-Criteria  ,	20220214,	15036,
2,	ABU096EF5001A       ,	2200,	UTC2000     ,	20220214-F-ABU096EF5001A-2200-Criteria  ,	20220214,	15036,
3,	ALW048TW1060A       ,	2200,	UTC1000S    ,	ALW048TW1060A-2200-Criteria             ,	20210207,	234538,
4,	ALW048TW1060A       ,	2200,	UTC2000     ,	ALW048TW1060A-2200-Criteria             ,	20210207,	234538,
5,	AAW024XJ6011B       ,	2200,	UTC2000     ,	AAW024XJ6011B-2200-Criteria             ,	20220123,	2449,
6,	AAW024XJ6011B       ,	2200,	UTC3000     ,	AAW024XJ6011B-2200-Criteria             ,	20220123,	2449,
7,	AAW024XJ6011B       ,	3200,	UTC2000     ,	AAW024XJ6011B-3200-Criteria             ,	20220123,	2449,
8,	AAW024XJ6011B       ,	3200,	UTC3000     ,	AAW024XJ6011B-3200-Criteria             ,	20220123,	2449,
9,	ABU008YQ2027A       ,	3200,	MAXUM       ,	20220126-C-ABU008YQ2027A-3200-Criteria  ,	20220126,	231220,
10,	ABU144C71005A       ,	2200,	UTC2000     ,	ABU144C71005A-2200-Criteria             ,	20220123,	171458,
11,	ABU153XT9001A       ,	2200,	ICONN       ,	20220201-A-ABU153XT9001A-2200-Criteria  ,	20220201,	50203,
12,	ABU153XT9001A       ,	2200,	ICONN-PLUS  ,	20220201-A-ABU153XT9001A-2200-Criteria  ,	20220201,	50203,
13,	AAB008YM2020A-A     ,	2200,	MAXUM-PLUS  ,	20190515-A-AAB008YM2020A-A-2200-Criteria,	20220216,	174021,
14,	AAB008YM2020A-A     ,	2200,	MAXUM       ,	20190515-A-AAB008YM2020A-A-2200-Criteria,	20220216,	174021,
15,	ABU100X69002A       ,	2200,	UTC2000     ,	ABU100X69002A-2200-Criteria             ,	20220124,	2607,
16,	ANV345XTA010A       ,	3600,	RAPID       ,	20220124-A-ANV345XTA010A-3600-Criteria  ,	20220124,	14811,
17,	ANV345XTA010A       ,	3400,	RAPID       ,	20220124-A-ANV345XTA010A-3400-Criteria  ,	20220124,	14811,
18,	ANV345XTA010A       ,	3200,	RAPID       ,	20220124-A-ANV345XTA010A-3200-Criteria  ,	20220124,	14811,
19,	ANV345XTA010A       ,	2200,	UTC5000S    ,	20220124-A-ANV345XTA010A-2200-Criteria  ,	20220124,	14811,
20,	ANV345XTA010A       ,	4200,	RAPID       ,	20220124-A-ANV345XTA010A-4200-Criteria  ,	20220124,	14811,
21,	AEU0086B1003A       ,	2200,	ICONN       ,	20220124-A-AEU0086B1003A-2200-Criteria  ,	20220124,	62425,
22,	AGJ132X2C005A       ,	2200,	UTC2000     ,	20220124-A-AGJ132X2C005A-2200-Criteria  ,	20220124,	84612,
23,	AAB008YQ2026A       ,	2200,	MAXUM       ,	20220124-A-AAB008YQ2026A-2200-Criteria  ,	20220124,	85817,
24,	AAS090NC4002A       ,	2200,	MAXUM       ,	20220124-A-AAS090NC4002A-2200-Criteria  ,	20220124,	162540,
25,	ANV0086A1051A       ,	2200,	MAXUM-PLUS  ,	20220124-A-ANV0086A1051A-2200-Criteria  ,	20220124,	175031,
26,	AMS078EN1001A       ,	2200,	UTC1000S    ,	20220211-D-AMS078EN1001A-2200-Criteria  ,	20220211,	102152,
27,	AMS078EN1001A       ,	2200,	UTC2000     ,	20220211-D-AMS078EN1001A-2200-Criteria  ,	20220211,	102152,
28,	AMS078EN1001A       ,	2200,	UTC3000     ,	20220211-D-AMS078EN1001A-2200-Criteria  ,	20220211,	102152,
29,	AMS078EN1001A       ,	2200,	UTC5000S    ,	20220211-D-AMS078EN1001A-2200-Criteria  ,	20220211,	102152,
30,	AMS078EN1001A       ,	2200,	MAXUM-PLUS  ,	20220211-D-AMS078EN1001A-2200-Criteria  ,	20220211,	102152,
31,	AMS078EN1001A       ,	2200,	MAXUM       ,	20220211-D-AMS078EN1001A-2200-Criteria  ,	20220211,	102152,
32,	AMS078EN1001A       ,	2200,	ICONN       ,	20220211-D-AMS078EN1001A-2200-Criteria  ,	20220211,	102152,
33,	AMS078EN1001A       ,	2200,	ICONN-PLUS  ,	20220211-D-AMS078EN1001A-2200-Criteria  ,	20220211,	102152,
34,	AMS078EN1001A       ,	2200,	RAPID       ,	20220211-D-AMS078EN1001A-2200-Criteria  ,	20220211,	102152,
35,	AAB024XW3011A       ,	3200,	UTC2000     ,	20220124-F-AAB024XW3011A-3200-Criteria  ,	20220124,	203045,
36,	AAB024XW3011A       ,	2200,	UTC2000     ,	20220124-F-AAB024XW3011A-2200-Criteria  ,	20220124,	203045,
37,	AMS048TW1065A       ,	2200,	UTC1000S    ,	20220125-A-AMS048TW1065A-2200-Criteria  ,	20220125,	83520,
38,	AAB084CC9002A       ,	2200,	UTC1000S    ,	20220212-A-AAB084CC9002A-2200-Criteria  ,	20220212,	20958,
39,	ABU153XT9005A       ,	2200,	ICONN       ,	ABU153XT9005A-2200-Criteria             ,	20220125,	1421,
40,	AAB008Y62014A       ,	2200,	MAXUM-PLUS  ,	20220125-A-AAB008Y62014A-2200-Criteria  ,	20220125,	85017,
41,	AAB008Y62014A       ,	2200,	MAXUM       ,	20220125-A-AAB008Y62014A-2200-Criteria  ,	20220125,	85017,
42,	AAB008Y62014A       ,	2200,	RAPID       ,	20220125-A-AAB008Y62014A-2200-Criteria  ,	20220125,	85017,
43,	ANV153XT9079A       ,	2200,	UTC2000     ,	20220125-G-ANV153XT9079A-2200-Criteria  ,	20220125,	92709,
44,	ANV153XT9079A       ,	2200,	UTC5000S    ,	20220125-G-ANV153XT9079A-2200-Criteria  ,	20220125,	92709,
45,	ANV0086A1007A       ,	2200,	MAXUM-PLUS  ,	ANV0086A1007A-2200-Criteria             ,	20210308,	164838,
46,	ANV0086A1007A       ,	2200,	MAXUM       ,	ANV0086A1007A-2200-Criteria             ,	20210308,	164838,
