MATNR,CLABS,
1091A06T21,405000,
1091A07C41,108000,
1091A07M41,3000,
1091A08T41,99000,
1091C07NP3,11000,
1091G07PA4,138000,
1091G07PA4,69000,
1091G08PA1,150000,
1091G08PA1,200000,
1091P10TP1,9000,
1091A06C21,300000,
1091A06C41,114000,
1091A06T21,81000,
1091A06T21,276000,
1091A07C21,300000,
1091A07C41,300000,
1091A07C41,111000,
1091A07T21,276000,
1091A07T21,300000,
1091A07T41,285000,
1091A08T21,36000,
1091A08T41,450000,
1091A08T41,126000,
1091A08T41,198000,
1091A08T41,444000,
1091A10C41,40000,
1091C07NP3,8000,
1091C07NP3,16000,
1091G07PA4,73000,
1091G07PA4,50000,
1091G08PA1,55000,
1091G08PA4,50000,
1091G08PA4,115000,
1091G08PA4,300000,
1091A06C21,600000,
1091A06T21,360000,
1091A06T21,390000,
1091A06T41,102000,
1091A07T41,180000,
1091A07T41,24000,
1091A08T21,60000,
1091A10T42,48000,
1091C07NP3,80000,
1091C07NP3,6000,
1091C07NP3,22000,
1091G08MA1,12500,
1091G08MA1,88500,
1091G08PA1,83000,
1091G08PA4,109000,
1091G08PA4,125000,
1091G08PA4,200000,
1091P07TP1,1000,
1091A07C41,15000,
1091A07C41,201000,
1091A07T21,255000,
1091A07T21,75000,
1091A07T21,252000,
1091A07T41,273000,
1091A08C21,24000,
1091A08T41,129000,
1091A10C41,132000,
1091A12C41,14000,
1091C08NP3,12000,
1091G08PA4,160000,
1091A06T21,300000,
1091A06T21,393000,
1091A06T41,177000,
1091A06T41,105000,
1091A07C41,297000,
1091A07C41,378000,
1091A07T41,135000,
1091A08T21,63000,
1091A08T21,30000,
1091A08T41,243000,
1091A10T41,4000,
1091C07NP3,65000,
1091C07NP3,146000,
1091C07NP3,1000,
1091C07NP3,82000,
1091G07PA4,45000,
1091G07PA4,30000,
1091G07PA4,40000,
1091G08PA1,10000,
1091G08PA4,20500,
1091A06C21,282000,
1091A06C21,129000,
1091A06T21,450000,
1091A06T41,417000,
1091A06T41,123000,
1091A07C41,147000,
1091A07M41,27000,
1091A07T21,63000,
1091A07T21,81000,
1091A08C21,3000,
1091A08C41,36000,
1091A08T41,219000,
1091G08MA1,2500,
1091G08PA1,54000,
1091G08PA1,100000,
1091G08PA4,100000,
1091A06C41,36000,
1091A06T41,414000,
1091A06T41,45000,
1091A07C41,303000,
1091A07T21,639000,
1091A07T41,276000,
1091A08C21,6000,
1091A08T41,408000,
1091A08T41,384000,
1091A09C21,27000,
1091A10C41,20000,
1091C07NP3,70000,
1091G07PA4,3000,
1091G08PA1,157000,
1091G08PA1,99000,
1091G08PA1,28000,
1091G08PA4,55000,
1091G08PA4,90000,
1091G08PA4,110000,
1091A07T21,261000,
1091A07T41,111000,
1091A08C41,69000,
1091A08C41,3000,
1091A08T41,465000,
1091A09C21,111000,
1091G08PA1,222000,
1091G08PA1,53000,
1091G08PA1,160000,
1091G08PA4,256000,
