¦C¼Æ,pin_package,bd_id,product,da_out,da_act,wb_out,wb_act,cure_out,cure_act,
1,	WLCSP       ,	ENG                 ,	000IABW052               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
2,	WLCSP       ,	                    ,	000IABW064               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
3,	WLCSP       ,	                    ,	000IABW074               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
4,	WLCSP       ,	                    ,	000IABW143               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
5,	MAT         ,	,	0008WPRT001              ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
6,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI002               ,	480.00,	220.55,	0.00,	0.00,	0.00,	0.00,
7,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI040               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
8,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI067               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
9,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI079               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
10,	FCDFN-08Y72D,	ANI008Y71001C       ,	008Y7NI030               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
11,	FCDFN-08YZ2A,	ANI008YZ1001D       ,	008YZNI044               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
12,	FCDFN-08YZ2A,	ANI008YZ1001D       ,	008YZNI048               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
13,	QFN-10YK2A  ,	ANI010YK3001A       ,	010YKNI054               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
14,	DFN-12Y12A  ,	ANI012Y11002C       ,	012Y1NI048               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
15,	DFN-12Y12A  ,	ANI012Y11002C       ,	012Y1NI053               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
16,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI120               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
17,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI139               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
18,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI143               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
19,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI190               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
20,	FCQFN-14OA2D,	ANI014OA1001C       ,	014OANI054               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
21,	QFN-20YU2D  ,	ANI020YU1005C       ,	020YUNI133               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
22,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI135               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
23,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI145               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
24,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI148               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
25,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI151               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
26,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI187               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
27,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI211               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
28,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI219               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
29,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI244               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
30,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI267               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
31,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI280               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
32,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI327               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
33,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI346               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
34,	TSOP1-56/56 ,	AGA056TH2002A       ,	056THYU003               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
35,	SMT         ,	AHQ0442J3005A       ,	000SHQ288                ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
36,	FPSTLGA44YBV,	AHQ0442J3005A       ,	0442JHQ027               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
37,	WLCSP       ,	ENG                 ,	000IACM112ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
38,	WLCSP       ,	                    ,	000IACM138ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
39,	STDFN-08YQ2A,	ACM008YQ2002A       ,	008YQCME66ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
40,	VFBGA90B4U  ,	AGA090NC7004A       ,	090NCCME009ENG           ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
